Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,78.58,78.45,78.45,78.93,18177475.0,77.7
2015-01-05,77.98,77.19,77.19,79.2455,26452191.0,76.86
2015-01-06,77.23,76.15,76.15,77.59,27399288.0,75.365
2015-01-07,76.76,76.15,76.15,77.36,22045333.0,75.82
2015-01-08,76.74,78.175,78.175,78.23,23960953.0,76.08
2015-01-09,78.2,77.74,77.74,78.62,21004109.0,77.2
2015-01-12,77.84,76.72,76.72,78.0,19190194.0,76.21
2015-01-13,77.23,76.45,76.45,78.08,25179561.0,75.85
2015-01-14,76.42,76.28,76.28,77.2,25918564.0,76.0291
2015-01-15,76.4,74.05,74.05,76.57,34133974.0,73.54
2015-01-16,74.04,75.18,75.18,75.32,21791529.0,73.84
2015-01-20,75.72,76.24,76.24,76.31,22821614.0,74.82
2015-01-21,76.16,76.74,76.74,77.3,25096737.0,75.85
2015-01-22,77.17,77.65,77.65,77.75,19519458.0,76.68
2015-01-23,77.65,77.83,77.83,78.19,16746503.0,77.04
2015-01-26,77.98,77.495,77.495,78.47,19260820.0,77.29
2015-01-27,76.71,75.78,75.78,76.88,20109977.0,75.63
2015-01-28,76.9,76.24,76.24,77.638,53306422.0,76.0
2015-01-29,76.85,78.0,78.0,78.02,61293468.0,74.21
2015-01-30,78.0,75.91,75.91,78.16,42649491.0,75.75
2015-02-02,76.11,74.99,74.99,76.14,41955258.0,73.75
2015-02-03,75.19,75.4,75.4,75.58,26957714.0,73.86
2015-02-04,75.09,75.63,75.63,76.35,20277368.0,75.01
2015-02-05,75.71,75.615,75.615,75.98,15062573.0,75.21
2015-02-06,75.68,74.47,74.47,75.7,21210994.0,74.25
2015-02-09,74.05,74.44,74.44,74.83,16194322.0,73.45
2015-02-10,74.85,75.19,75.19,75.34,15811344.0,74.5
2015-02-11,75.09,76.51,76.51,76.75,20877427.0,75.03
2015-02-12,76.86,76.23,76.23,76.87,17234976.0,75.89
2015-02-13,76.46,75.74,75.74,76.48,18621860.0,75.5
2015-02-17,75.3,75.6,75.6,76.91,25254400.0,75.08
2015-02-18,75.94,76.71,76.71,76.9,22426421.0,75.45
2015-02-19,76.986,79.42,79.42,79.84,45851177.0,76.95
2015-02-20,79.55,79.895,79.895,80.34,36931698.0,79.2
2015-02-23,79.96,78.84,78.84,80.19,24139056.0,78.38
2015-02-24,78.5,78.45,78.45,79.48,18897133.0,78.1
2015-02-25,78.5,79.56,79.56,80.2,25593800.0,78.5
2015-02-26,79.88,80.41,80.41,81.37,31111891.0,79.72
2015-02-27,80.68,78.97,78.97,81.23,30739197.0,78.62
2015-03-02,79.0,79.75,79.75,79.855,21662537.0,78.52
2015-03-03,79.61,79.6,79.6,79.7,18634973.0,78.52
2015-03-04,79.3,80.895,80.895,81.15,28126686.0,78.85
2015-03-05,81.23,81.21,81.21,81.99,27825733.0,81.05
2015-03-06,80.9,80.005,80.005,81.33,24488581.0,79.83
2015-03-09,79.68,79.44,79.44,79.91,18925097.0,78.63
2015-03-10,78.5,77.55,77.55,79.26,23067057.0,77.55
2015-03-11,77.8,77.57,77.57,78.43,20215704.0,77.26
2015-03-12,78.1,78.93,78.93,79.05,16093319.0,77.91
2015-03-13,78.6,78.05,78.05,79.38,18557296.0,77.68
2015-03-16,77.96,78.07,78.07,78.12,19305406.0,77.36
2015-03-17,78.36,79.365,79.365,79.78,22169969.0,78.34
2015-03-18,79.25,80.91,80.91,81.24,36912446.0,79.17
2015-03-19,81.12,82.75,82.75,83.0,42099523.0,81.0
2015-03-20,83.39,83.8,83.8,84.6,44466323.0,83.07
2015-03-23,83.92,84.43,84.43,84.96,27357333.0,83.3
2015-03-24,84.71,85.31,85.31,86.0699,32576522.0,84.52
2015-03-25,85.5,82.92,82.92,85.52,37436147.0,82.92
2015-03-26,82.72,83.01,83.01,83.77,32794800.0,82.14
2015-03-27,83.38,83.3,83.3,83.95,18372582.0,82.88
2015-03-30,83.81,83.195,83.195,84.34,24527686.0,82.41
2015-03-31,82.9,82.215,82.215,83.5,19734277.0,82.21
2015-04-01,82.5,81.665,81.665,82.72,22058167.0,80.87
2015-04-02,82.25,81.555,81.555,82.56,19664053.0,81.44
2015-04-06,80.8,82.44,82.44,82.81,19062934.0,80.8
2015-04-07,82.65,82.32,82.32,83.42,17467042.0,82.22
2015-04-08,82.63,82.275,82.275,83.1,18966732.0,81.84
2015-04-09,82.5,82.17,82.17,82.8,15927281.0,81.71
2015-04-10,82.21,82.04,82.04,82.61,12529738.0,81.91
2015-04-13,81.93,83.01,83.01,83.94,26883094.0,81.92
2015-04-14,83.17,83.515,83.515,83.69,19634173.0,82.44
2015-04-15,83.55,82.705,82.705,83.66,22390943.0,82.27
2015-04-16,82.47,82.31,82.31,83.07,13769687.0,82.15
2015-04-17,81.48,80.775,80.775,82.11,24214983.0,80.37
2015-04-20,81.54,83.09,83.09,83.15,28796761.0,81.24
2015-04-21,84.0,83.62,83.62,84.49,27171852.0,83.54
2015-04-22,84.32,84.63,84.63,84.74,45547963.0,83.65
2015-04-23,84.1,82.41,82.41,85.59,73728080.0,82.41
2015-04-24,82.77,81.53,81.53,82.94,29660356.0,81.48
2015-04-27,81.87,81.91,81.91,82.93,25446032.0,81.63
2015-04-28,81.83,80.68,80.68,81.9,23775344.0,80.23
2015-04-29,80.01,80.465,80.465,81.39,26430258.0,79.52
2015-04-30,80.01,78.77,78.77,80.96,28999005.0,78.32
2015-05-01,79.24,78.99,78.99,79.76,24136358.0,78.11
2015-05-04,79.33,78.81,78.81,79.69,14691991.0,78.6301
2015-05-05,78.55,77.56,77.56,78.8,22311318.0,77.22
2015-05-06,77.97,78.1,78.1,78.81,28663026.0,77.05
2015-05-07,78.0,78.425,78.425,78.94,19749428.0,77.56
2015-05-08,79.1,78.51,78.51,79.23,19943595.0,78.03
2015-05-11,78.48,78.01,78.01,79.03,18874054.0,77.93
2015-05-12,77.87,77.46,77.46,77.89,21285310.0,76.79
2015-05-13,77.72,78.44,78.44,78.53,21512309.0,77.65
2015-05-14,78.94,81.37,81.37,81.845,49437996.0,78.67
2015-05-15,81.41,80.42,80.42,81.52,27069884.0,80.18
2015-05-18,80.33,80.88,80.88,81.38,21613674.0,80.23
