Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,173.78,168.4491,172.45,174.64,1249847.0,170.33
2015-01-05,171.82,165.8606,169.8,171.93,1726204.0,169.3475
2015-01-06,172.42,165.8508,169.79,173.32,2613704.0,169.58
2015-01-07,171.97,167.0718,171.04,172.34,1835878.0,170.05
2015-01-08,173.18,170.979,175.04,175.36,1819537.0,172.46
2015-01-09,174.51,168.6543,172.66,175.23,1393571.0,172.35
2015-01-12,174.06,168.5663,172.57,175.0,1884709.0,172.49
2015-01-13,173.93,167.5212,171.5,174.73,1738541.0,170.1002
2015-01-14,170.0,168.7422,172.75,172.96,1928877.0,169.01
2015-01-15,173.29,169.8166,173.85,174.46,2221250.0,172.08
2015-01-16,172.86,172.6591,176.76,176.9,2588860.0,172.86
2015-01-20,178.31,174.9742,179.13,179.47,2596301.0,177.2
2015-01-21,178.94,174.5444,178.69,180.43,1616328.0,177.49
2015-01-22,179.53,177.1915,181.4,181.49,1537443.0,178.31
2015-01-23,177.56,171.9265,176.01,180.74,3342836.0,175.55
2015-01-26,175.94,172.5615,176.66,177.94,1393780.0,175.17
2015-01-27,175.54,169.846,173.88,175.59,1387968.0,173.61
2015-01-28,175.43,167.4723,171.45,175.62,1220717.0,171.1503
2015-01-29,172.14,168.8789,172.89,173.24,1640567.0,170.05
2015-01-30,171.57,165.1866,169.11,173.64,2194461.0,168.88
2015-02-02,169.3,167.277,171.25,171.3,1475147.0,168.033
2015-02-03,173.02,168.9571,172.97,173.99,1649544.0,170.75
2015-02-04,172.14,168.0877,172.08,173.2125,1442277.0,171.17
2015-02-05,172.72,169.3478,173.37,174.17,1149661.0,172.6
2015-02-06,174.09,169.2306,173.25,174.98,1056568.0,172.33
2015-02-09,172.29,167.6579,171.64,173.2,1210487.0,170.96
2015-02-10,172.95,169.2794,173.3,173.74,1497878.0,170.78
2015-02-11,173.39,169.885,173.92,174.99,1386041.0,172.95
2015-02-12,174.71,172.2098,176.3,176.81,2116184.0,174.19
2015-02-13,175.86,172.3759,176.47,177.48,1674385.0,175.6
2015-02-17,176.6,175.3746,179.54,179.67,1527595.0,176.51
2015-02-18,179.39,175.6091,179.78,180.05,1270725.0,178.84
2015-02-19,179.97,174.5053,178.65,180.0,1698730.0,178.62
2015-02-20,178.05,174.3588,178.5,178.87,1430245.0,176.93
2015-02-23,178.5,174.1634,178.3,178.81,956499.0,177.39
2015-02-24,177.92,173.675,177.8,178.59,1136426.0,177.44
2015-02-25,178.01,171.5651,175.64,178.06,1419397.0,175.3
2015-02-26,175.49,170.5492,174.6,175.97,1893896.0,173.42
2015-02-27,177.06,172.874,176.98,178.05,2398241.0,176.25
2015-03-02,176.98,172.6982,176.8,178.15,1535324.0,176.0601
2015-03-03,176.5,172.0633,176.15,176.52,1282163.0,174.82
