Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,62.33,59.7399,62.41,63.03,666711.0,61.82
2015-01-05,62.16,58.7061,61.33,62.24,952943.0,60.74
2015-01-06,61.39,58.6296,61.25,61.73,1190042.0,60.36
2015-01-07,61.8,59.5964,62.26,62.3,925175.0,61.36
2015-01-08,62.83,60.4387,63.14,63.1875,907227.0,62.71
2015-01-09,63.28,60.2377,62.93,63.41,555558.0,62.62
2015-01-12,62.89,60.0462,62.73,63.17,666198.0,62.42
2015-01-13,63.05,60.1803,62.87,63.98,946821.0,62.21
2015-01-14,62.09,59.5581,62.22,62.34,585043.0,61.55
2015-01-15,62.43,59.6346,62.3,62.64,749894.0,61.87
2015-01-16,62.16,60.5823,63.29,63.34,846587.0,62.11
2015-01-20,63.45,60.5823,63.29,63.789,654867.0,62.65
2015-01-21,62.87,60.0462,62.73,63.19,753318.0,62.41
2015-01-22,63.01,61.1088,63.84,63.9582,644936.0,62.5
2015-01-23,63.86,61.2715,64.01,64.42,773642.0,63.6435
2015-01-26,63.87,61.3098,64.05,64.21,640354.0,63.48
2015-01-27,63.28,60.4387,63.14,63.43,1048144.0,62.47
2015-01-28,63.71,59.7399,62.41,63.76,1080242.0,62.36
2015-01-29,62.4,60.6493,63.36,63.5,1104118.0,62.2
2015-01-30,63.04,59.7591,62.43,63.24,1439579.0,62.36
2015-02-02,62.86,60.3047,63.0,63.01,1124577.0,61.65
2015-02-03,63.25,61.5778,64.33,64.39,1101671.0,62.99
2015-02-04,64.29,61.7309,64.49,64.86,1378737.0,63.81
2015-02-05,64.45,61.2715,64.01,64.79,1842076.0,63.08
2015-02-06,64.05,61.1949,63.93,64.6,1493747.0,63.63
2015-02-09,63.47,60.8886,63.61,63.88,1231074.0,63.22
2015-02-10,63.87,61.9128,64.68,64.84,687967.0,63.75
2015-02-11,64.74,62.3627,65.15,65.36,969012.0,64.69
2015-02-12,65.36,63.3582,66.19,66.19,762647.0,65.36
2015-02-13,66.2,63.6741,66.52,66.57,702450.0,66.04
2015-02-17,66.25,64.0474,66.91,66.96,902955.0,66.25
2015-02-18,66.58,64.3729,67.25,67.4,1075322.0,66.57
2015-02-19,67.33,64.794,67.69,67.705,973207.0,67.08
2015-02-20,67.61,65.7417,68.68,68.98,2837021.0,67.43
2015-02-23,68.68,65.2918,68.21,68.79,1208860.0,67.82
2015-02-24,68.06,65.2439,68.16,68.4,865587.0,67.93
2015-02-25,67.97,65.1004,68.01,68.45,998135.0,67.91
2015-02-26,68.05,65.2248,68.14,68.3058,751253.0,67.87
2015-02-27,67.89,64.6983,67.59,68.03,1104331.0,67.44
2015-03-02,67.48,65.3205,68.24,68.3,765215.0,67.345
2015-03-03,67.9,64.7175,67.61,67.99,948414.0,67.28
2015-03-04,67.33,64.1431,67.01,67.5,788691.0,66.7
2015-03-05,67.28,64.3729,67.25,67.37,578551.0,66.85
2015-03-06,66.9,63.2721,66.1,67.02,808991.0,65.97
2015-03-09,66.02,63.7698,66.62,66.77,675195.0,66.02
2015-03-10,66.26,62.3148,65.1,66.29,940511.0,65.09
2015-03-11,65.03,61.8362,64.6,65.235,1016810.0,64.5
2015-03-12,64.74,63.4156,66.25,66.27,1087440.0,64.74
2015-03-13,66.02,62.7552,65.3,66.18,812063.0,64.95
2015-03-16,65.7,64.0429,66.64,66.65,885082.0,65.61
2015-03-17,66.2,63.7642,66.35,66.62,584813.0,66.05
2015-03-18,66.14,64.8598,67.49,67.795,972432.0,66.1
2015-03-19,67.5,64.9751,67.61,67.76,659656.0,67.19
2015-03-20,68.18,65.6671,68.33,68.745,1571834.0,67.7
2015-03-23,68.29,65.8593,68.53,68.89,920031.0,68.06
2015-03-24,68.39,65.4845,68.14,68.6,1293343.0,67.98
2015-03-25,68.12,64.9079,67.54,68.19,2031369.0,67.53
2015-03-26,67.3,64.7925,67.42,67.72,946983.0,66.88
2015-03-27,67.25,64.4562,67.07,67.69,1150138.0,66.74
2015-03-30,67.58,65.619,68.28,68.58,759955.0,67.55
2015-03-31,68.05,65.4076,68.06,68.58,736205.0,67.83
2015-04-01,67.94,65.0616,67.7,68.04,1009078.0,67.17
2015-04-02,67.81,65.4268,68.08,68.45,924748.0,67.54
2015-04-06,67.41,65.4941,68.15,68.47,1185916.0,67.34
