Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,20.41,18.745,20.21,20.53,6398967.0,19.99
2015-01-05,20.02,18.1792,19.6,20.09,7501117.0,19.59
2015-01-06,19.65,17.4465,18.81,19.79,27930004.0,18.8
2015-01-07,19.1,17.6413,19.02,19.13,12862197.0,18.81
2015-01-08,19.19,18.0401,19.45,19.47,14648791.0,19.14
2015-01-09,19.5,17.5578,18.93,19.52,6817144.0,18.9
2015-01-12,18.9,17.2888,18.64,18.98,11466437.0,18.53
2015-01-13,18.86,17.1683,18.51,19.01,10613111.0,18.405
2015-01-14,18.24,16.89,18.21,18.31,14223001.0,17.975
2015-01-15,18.18,16.7138,18.02,18.35,9330931.0,17.91
2015-01-16,17.96,16.9735,18.3,18.325,10179251.0,17.91
2015-01-20,18.54,16.7694,18.08,18.54,10925645.0,17.89
2015-01-21,17.96,16.2593,17.53,18.18,28189876.0,17.43
2015-01-22,17.58,16.6118,17.91,18.05,25885654.0,17.47
2015-01-23,17.84,16.3891,17.67,18.16,11882917.0,17.67
2015-01-26,17.73,16.6303,17.93,18.04,9073390.0,17.64
2015-01-27,17.66,16.3845,17.665,17.87,7305508.0,17.58
2015-01-28,17.84,15.9718,17.22,17.84,7541180.0,17.22
2015-01-29,17.17,16.1944,17.46,17.5,7230316.0,17.14
2015-01-30,17.23,16.046,17.3,17.58,10799857.0,17.16
2015-02-02,17.52,16.5839,17.88,17.97,12585477.0,17.41
2015-02-03,17.94,16.9271,18.25,18.31,11502400.0,17.92
2015-02-04,18.22,17.0199,18.35,18.48,13803769.0,18.14
2015-02-05,18.25,17.2796,18.63,18.68,9960932.0,18.25
2015-02-06,18.82,17.5207,18.89,19.16,23096073.0,18.8
2015-02-09,18.74,17.428,18.79,18.92,9747353.0,18.66
2015-02-10,18.7,17.4836,18.85,18.87,8922774.0,18.68
2015-02-11,18.82,17.4187,18.78,18.86,8543270.0,18.69
2015-02-12,18.91,17.799,19.19,19.22,9822995.0,18.78
2015-02-13,19.19,17.8639,19.26,19.36,4802332.0,19.12
2015-02-17,19.27,18.0587,19.47,19.47,8209443.0,19.09
2015-02-18,19.4,17.7294,19.115,19.44,8327439.0,19.09
2015-02-19,19.04,17.8082,19.2,19.26,7479731.0,18.76
2015-02-20,19.18,17.9845,19.39,19.4,7565731.0,18.92
2015-02-23,19.38,17.8917,19.29,19.38,6071313.0,19.12
2015-02-24,19.37,17.9845,19.39,19.535,9432238.0,19.29
2015-02-25,19.53,17.9937,19.4,19.53,6592898.0,19.24
2015-02-26,19.34,18.0308,19.44,19.47,3978371.0,19.31
2015-02-27,19.4,17.9566,19.36,19.525,6902195.0,19.34
2015-03-02,19.32,18.0958,19.51,19.54,7420912.0,19.24
2015-03-03,19.42,18.0772,19.49,19.55,7684670.0,19.34
2015-03-04,19.43,17.8824,19.28,19.44,6020733.0,19.18
2015-03-05,19.28,17.9103,19.31,19.32,4869952.0,19.07
2015-03-06,19.32,18.0401,19.45,19.75,8028181.0,19.16
2015-03-09,19.49,18.054,19.465,19.5,7391968.0,19.355
2015-03-10,19.19,17.6923,19.075,19.33,6977037.0,19.07
2015-03-11,19.14,17.6413,19.02,19.1499,8029991.0,18.93
2015-03-12,19.21,17.8453,19.24,19.39,15268743.0,18.97
2015-03-13,19.23,17.6969,19.08,19.27,9608279.0,18.945
2015-03-16,19.2,17.8546,19.25,19.3,9314310.0,19.1
2015-03-17,19.26,17.8546,19.25,19.31,9765127.0,19.05
2015-03-18,19.23,17.8593,19.255,19.48,9163343.0,19.05
2015-03-19,19.15,17.8268,19.22,19.35,9223027.0,19.0
2015-03-20,19.33,18.0679,19.48,19.5,7396687.0,19.21
2015-03-23,19.51,17.8917,19.29,19.6297,4967387.0,19.29
2015-03-24,19.21,17.7897,19.18,19.3,6054211.0,19.05
2015-03-25,19.16,17.4512,18.815,19.17,9405602.0,18.81
2015-03-26,18.74,17.7062,19.09,19.17,10634335.0,18.66
2015-03-27,18.87,17.6598,18.91,18.95,8355877.0,18.69
2015-03-30,19.04,17.7999,19.06,19.14,5706684.0,18.96
2015-03-31,18.99,17.6038,18.85,19.055,11565252.0,18.8
2015-04-01,18.78,17.6645,18.915,18.92,8702014.0,18.63
2015-04-02,18.92,17.7252,18.98,19.09,5482086.0,18.82
2015-04-06,18.77,17.7252,18.98,19.09,6633946.0,18.68
2015-04-07,19.05,17.9213,19.19,19.29,4932334.0,19.02
2015-04-08,19.2,17.8373,19.1,19.3,6344983.0,19.02
2015-04-09,19.18,17.9307,19.2,19.23,5252451.0,19.04
2015-04-10,19.2,17.7906,19.05,19.25,3940271.0,19.0
2015-04-13,19.09,17.94,19.21,19.24,4703438.0,19.04
2015-04-14,19.12,17.7532,19.01,19.22,5721914.0,18.95
2015-04-15,19.06,17.9027,19.17,19.34,4932263.0,19.0
2015-04-16,19.18,18.0054,19.28,19.36,6976259.0,18.97
2015-04-17,19.1,17.6552,18.905,19.2,6423113.0,18.88
2015-04-20,19.04,17.7346,18.99,19.1,6201256.0,18.89
2015-04-21,19.25,18.1268,19.41,19.6,14334727.0,19.15
2015-04-22,19.45,18.4443,19.75,19.85,9363531.0,19.4
2015-04-23,19.72,18.3976,19.7,19.78,4446134.0,19.6
2015-04-24,19.65,18.2482,19.54,19.71,5034416.0,19.44
2015-04-27,19.55,18.3509,19.65,19.79,7650552.0,19.51
2015-04-28,19.66,18.5097,19.82,19.86,6387753.0,19.57
2015-04-29,19.81,18.7525,20.08,20.21,7399723.0,19.78
2015-04-30,20.02,18.6778,20.0,20.18,7717629.0,19.87
2015-05-01,20.08,18.9019,20.24,20.24,8873998.0,19.92
2015-05-04,20.27,19.0887,20.44,20.44,6389162.0,20.18
2015-05-05,20.35,19.0046,20.35,20.61,5729946.0,20.29
2015-05-06,20.38,18.7805,20.11,20.43,7177237.0,20.02
2015-05-07,20.13,18.6544,19.975,20.19,7269507.0,19.875
2015-05-08,20.07,18.8739,20.21,20.23,4433624.0,19.98
2015-05-11,20.14,18.9766,20.32,20.35,4652677.0,20.11
2015-05-12,20.25,18.9393,20.28,20.35,4754070.0,20.03
2015-05-13,20.23,19.1354,20.49,20.5,5165439.0,20.155
2015-05-14,20.58,19.2615,20.625,20.65,6044565.0,20.44
2015-05-15,20.64,19.014,20.36,20.64,4851956.0,20.29
2015-05-18,20.4,19.1634,20.52,20.59,3985406.0,20.33
2015-05-19,20.85,19.5556,20.94,20.97,6463392.0,20.65
2015-05-20,20.76,19.1167,20.47,20.85,11854409.0,20.46
2015-05-21,20.4,19.112,20.465,20.55,4990739.0,20.38
2015-05-22,20.47,19.1541,20.51,20.57,4407293.0,20.42
2015-05-26,20.49,19.07,20.42,20.52,8416809.0,20.315
2015-05-27,20.48,19.2475,20.61,20.66,8245688.0,20.31
2015-05-28,20.6,19.2288,20.59,20.61,6298640.0,20.44
2015-05-29,20.58,18.9019,20.24,20.58,11516066.0,20.24
2015-06-01,20.24,18.7385,20.065,20.29,15818148.0,19.88
2015-06-02,20.03,18.9673,20.31,20.41,10174908.0,19.96
2015-06-03,20.42,19.2101,20.57,20.66,6527770.0,20.35
2015-06-04,20.48,18.9953,20.34,20.55,8233484.0,20.28
2015-06-05,20.59,19.4622,20.84,20.88,10507832.0,20.5
2015-06-08,20.8,19.4249,20.8,20.98,5618819.0,20.73
2015-06-09,20.85,19.6023,20.99,21.136,6234283.0,20.74
2015-06-10,21.13,19.8825,21.29,21.45,8164613.0,21.05
2015-06-11,21.31,19.7611,21.16,21.4,6861070.0,21.15
2015-06-12,21.13,19.7704,21.17,21.28,5931447.0,21.09
2015-06-15,20.99,19.7424,21.14,21.29,7245488.0,20.9417
2015-06-16,21.05,19.8218,21.225,21.295,3869271.0,21.025
2015-06-17,21.27,19.5743,20.96,21.34,7036020.0,20.935
2015-06-18,21.0,19.7331,21.13,21.14,11032596.0,20.78
2015-06-19,21.1,19.649,21.04,21.24,6056396.0,21.01
2015-06-22,21.28,20.2,21.63,21.67,11425780.0,21.05
2015-06-23,21.81,20.2561,21.69,21.9,8715807.0,21.58
2015-06-24,21.65,20.0973,21.52,21.7,5866735.0,21.485
