Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,25.34,22.7286,25.06,25.46,40919008.0,24.87
2015-01-05,25.01,22.3114,24.6,25.01,42033195.0,24.52
2015-01-06,24.46,21.8307,24.07,24.57,63740067.0,23.93
2015-01-07,24.21,21.8398,24.08,24.39,43638485.0,23.98
2015-01-08,24.32,22.1028,24.37,24.38,43197484.0,24.13
2015-01-09,24.52,21.7944,24.03,24.53,39213096.0,23.95
2015-01-12,24.07,21.7491,23.98,24.14,42867312.0,23.77
2015-01-13,24.26,21.6402,23.86,24.33,41333023.0,23.63
2015-01-14,23.65,21.5677,23.78,23.85,41832495.0,23.41
2015-01-15,23.86,21.3863,23.58,23.97,31471114.0,23.56
2015-01-16,23.51,21.3954,23.59,23.65,49793936.0,23.45
2015-01-20,23.84,21.6312,23.85,23.87,44521742.0,23.55
2015-01-21,23.83,21.8035,24.04,24.08,37618894.0,23.71
2015-01-22,24.3,22.0212,24.28,24.36,47115052.0,23.96
2015-01-23,24.43,22.2026,24.48,24.885,63737552.0,24.29
2015-01-26,24.72,22.3023,24.59,24.74,39173398.0,24.4
2015-01-27,24.39,22.1119,24.38,24.46,38398141.0,24.2
2015-01-28,24.47,21.6221,23.84,24.49,49636325.0,23.81
2015-01-29,23.84,21.8398,24.08,24.2,40423190.0,23.78
2015-01-30,23.88,21.6674,23.89,24.11,54696459.0,23.82
2015-02-02,24.0,21.9577,24.21,24.22,39599787.0,23.9
2015-02-03,24.29,22.1935,24.47,24.5272,37723846.0,24.26
2015-02-04,24.41,21.9123,24.16,24.43,33227446.0,24.08
2015-02-05,24.25,22.2207,24.5,24.5,25636578.0,24.235
2015-02-06,24.54,22.2388,24.52,24.75,27471599.0,24.47
2015-02-09,24.47,22.3477,24.64,24.75,27237482.0,24.45
2015-02-10,24.77,22.4202,24.72,24.7961,27075753.0,24.55
2015-02-11,24.71,22.4656,24.77,24.82,24453269.0,24.6
2015-02-12,24.81,22.5744,24.89,24.99,26522270.0,24.71
2015-02-13,24.99,22.8102,25.15,25.17,33076157.0,24.94
2015-02-17,25.12,22.8284,25.17,25.21,35986551.0,24.98
2015-02-18,25.29,22.9009,25.25,25.29,30738248.0,25.15
2015-02-19,25.03,22.8919,25.01,25.21,33230805.0,24.95
2015-02-20,24.88,23.0749,25.21,25.215,39889162.0,24.8
2015-02-23,25.22,23.0383,25.17,25.3,30736744.0,25.1
2015-02-24,25.12,23.2397,25.39,25.45,42464097.0,25.09
2015-02-25,25.45,23.7156,25.91,26.06,68219592.0,25.44
2015-02-26,25.94,23.6973,25.89,26.01,38246220.0,25.81
2015-02-27,25.83,23.7889,25.99,26.27,51526554.0,25.75
2015-03-02,25.88,23.8987,26.11,26.12,32406831.0,25.85
2015-03-03,26.05,23.6699,25.86,26.08,30540241.0,25.78
2015-03-04,25.76,23.4868,25.66,25.77,31439760.0,25.47
2015-03-05,25.62,23.6333,25.82,25.82,28373771.0,25.5799
2015-03-06,25.71,23.2671,25.42,25.78,32286776.0,25.33
2015-03-09,25.52,23.4685,25.64,25.7,31591142.0,25.49
2015-03-10,25.5,23.0383,25.17,25.64,37442079.0,25.17
2015-03-11,25.28,23.0566,25.19,25.49,36133460.0,25.135
2015-03-12,25.27,23.2488,25.4,25.41,29369497.0,25.17
2015-03-13,25.28,22.9193,25.04,25.36,45302949.0,24.81
2015-03-16,25.06,23.2946,25.45,25.48,34610233.0,24.96
2015-03-17,25.3,23.1664,25.31,25.39,34257086.0,25.09
2015-03-18,25.18,23.4685,25.64,25.8542,38234788.0,25.11
2015-03-19,25.44,23.1848,25.33,25.61,38305599.0,25.26
2015-03-20,25.34,23.2488,25.4,25.53,50632559.0,25.3
2015-03-23,25.48,23.3129,25.47,25.74,31983230.0,25.45
2015-03-24,25.38,23.1298,25.27,25.48,25785785.0,25.27
2015-03-25,25.23,22.8003,24.91,25.33,34891683.0,24.91
2015-03-26,24.8,22.6996,24.8,24.92,32500749.0,24.67
2015-03-27,24.92,22.7546,24.86,24.92,28257264.0,24.71
2015-03-30,24.98,22.9925,25.12,25.2,27280524.0,24.97
2015-03-31,25.09,22.7088,24.81,25.09,34933625.0,24.81
2015-04-01,24.72,22.7363,24.84,24.92,38749526.0,24.57
2015-04-02,24.81,22.8278,24.94,25.0,29213060.0,24.7
2015-04-06,24.9,23.0475,25.18,25.41,33441606.0,24.79
2015-04-07,25.17,22.901,25.02,25.28,21259320.0,25.0
2015-04-08,25.05,22.8919,25.01,25.12,22439203.0,24.87
2015-04-09,25.09,23.5509,25.73,25.83,60097242.0,24.915
2015-04-10,27.13,26.0954,28.51,28.68,352640214.0,27.0
2015-04-13,28.06,25.29,27.63,28.19,153984855.0,27.5
2015-04-14,27.48,25.3815,27.73,27.84,55777197.0,27.38
2015-04-15,27.69,25.1344,27.46,27.85,56420065.0,27.43
2015-04-16,27.29,24.9696,27.28,27.495,13210346.0,27.18
2015-04-17,27.33,24.9421,27.25,27.67,21395265.0,26.93
2015-04-20,27.32,24.7316,27.02,27.44,61686961.0,27.01
2015-04-21,27.03,24.3655,26.62,27.06,76872343.0,26.55
2015-04-22,26.7,24.6309,26.91,27.02,47055120.0,26.6
2015-04-23,26.78,24.576,26.85,27.07,38161000.0,26.71
2015-04-24,26.88,24.5303,26.8,26.94,27713961.0,26.7
2015-04-27,26.96,24.6035,26.88,27.0,36214596.0,26.81
2015-04-28,26.95,24.8232,27.12,27.16,38424635.0,26.64
2015-04-29,26.95,24.7957,27.09,27.25,37151469.0,26.9
2015-04-30,27.06,24.7865,27.08,27.35,42976850.0,26.97
2015-05-01,27.09,24.9971,27.31,27.32,28303317.0,26.99
2015-05-04,27.36,24.9604,27.27,27.61,26190866.0,27.25
2015-05-05,27.25,24.6401,26.92,27.36,30346246.0,26.85
2015-05-06,27.0,24.5394,26.81,27.18,27760551.0,26.61
2015-05-07,26.78,24.7499,27.04,27.12,31038224.0,26.66
2015-05-08,27.25,25.0428,27.36,27.49,37217508.0,27.22
2015-05-11,27.25,24.6401,26.92,27.3,32444130.0,26.86
2015-05-12,26.82,24.7408,27.03,27.09,29789641.0,26.75
2015-05-13,27.02,24.9055,27.21,27.24,37170407.0,26.92
2015-05-14,27.32,25.0886,27.41,27.43,26963729.0,27.15
2015-05-15,27.38,24.9604,27.27,27.44,35761883.0,27.25
2015-05-18,27.21,24.9971,27.31,27.39,22488840.0,27.21
2015-05-19,27.27,25.0337,27.35,27.39,29150774.0,27.21
2015-05-20,27.34,25.2991,27.64,27.7,40168598.0,27.2
2015-05-21,27.68,25.3723,27.72,27.79,40307685.0,27.55
2015-05-22,27.69,25.3357,27.68,27.775,23289341.0,27.62
2015-05-26,27.52,25.1893,27.52,27.58,47463006.0,27.38
2015-05-27,27.57,25.1893,27.52,27.62,25324976.0,27.46
2015-05-28,27.5,25.29,27.63,27.63,26418344.0,27.3
2015-05-29,27.5,24.9604,27.27,27.5,41660034.0,27.27
2015-06-01,27.26,24.9696,27.28,27.34,33322277.0,27.07
2015-06-02,27.22,25.0154,27.33,27.42,26322704.0,27.15
2015-06-03,27.43,25.1984,27.53,27.56,26306271.0,27.36
2015-06-04,27.42,24.9513,27.26,27.62,33360470.0,27.21
2015-06-05,27.26,24.9788,27.29,27.38,30647728.0,27.16
2015-06-08,27.32,24.933,27.24,27.36,29812813.0,27.21
2015-06-09,27.28,25.0154,27.33,27.47,31113885.0,27.17
2015-06-10,27.36,25.29,27.63,27.68,33175668.0,27.32
2015-06-11,27.57,25.1801,27.51,27.64,31388401.0,27.36
2015-06-12,27.44,25.0703,27.39,27.48,22170553.0,27.28
2015-06-15,27.2,24.9055,27.21,27.31,28498668.0,27.11
2015-06-16,27.17,24.9147,27.22,27.24,27569524.0,27.0
2015-06-17,27.19,24.9604,27.27,27.4,36548320.0,27.11
2015-06-18,27.075,25.2625,27.37,27.41,37680561.0,27.03
2015-06-19,27.27,25.1425,27.24,27.38,60174688.0,27.18
2015-06-22,27.3,25.3087,27.42,27.5,27491214.0,27.29
2015-06-23,27.42,25.4286,27.55,27.6,32510907.0,27.39
2015-06-24,27.55,25.161,27.26,27.59,32456002.0,27.25
2015-06-25,27.28,24.9579,27.04,27.35,23273868.0,27.02
2015-06-26,27.04,25.0041,27.09,27.13,25777391.0,26.91
2015-06-29,26.9,24.5887,26.64,26.97,33370576.0,26.53
2015-06-30,26.82,24.5241,26.57,26.96,35557794.0,26.5301
2015-07-01,26.67,24.6072,26.66,26.8699,30427429.0,26.47
2015-07-02,26.7,24.7179,26.78,26.83,26002262.0,26.6
2015-07-06,26.53,24.2841,26.31,26.64,27855761.0,26.2
2015-07-07,26.38,24.4318,26.47,26.55,32640248.0,25.93
2015-07-08,26.09,23.8965,25.89,26.24,32030673.0,25.88
2015-07-09,26.17,24.0165,26.02,26.4,30411376.0,26.01
2015-07-10,26.39,24.2472,26.27,26.44,25355836.0,26.04
2015-07-13,26.49,24.4318,26.47,26.53,24324597.0,26.24
2015-07-14,26.35,24.6072,26.66,26.73,22294172.0,26.35
2015-07-15,26.61,24.7087,26.77,26.79,27925145.0,26.6
2015-07-16,26.98,24.9579,27.04,27.04,30635414.0,26.84
2015-07-17,27.26,25.1425,27.24,27.33,41186752.0,27.03
2015-07-20,27.12,25.0502,27.14,27.21,24666210.0,27.01
2015-07-21,27.01,24.7825,26.85,27.15,29279785.0,26.8
2015-07-22,26.88,24.5795,26.63,26.96,24130117.0,26.57
2015-07-23,26.58,24.238,26.26,26.6,23201200.0,26.2
2015-07-24,26.31,23.7672,25.75,26.32,31117470.0,25.67
2015-07-27,25.54,23.9518,25.95,25.98,36276960.0,25.52
2015-07-28,26.1,24.0903,26.1,26.24,27755489.0,25.95
2015-07-29,26.09,24.238,26.26,26.28,23987875.0,26.05
2015-07-30,26.23,24.1088,26.12,26.24,22118833.0,26.01
2015-07-31,26.23,24.0903,26.1,26.293,23197506.0,26.05
2015-08-03,26.12,23.878,25.87,26.125,32564532.0,25.6
2015-08-04,25.89,23.9057,25.9,26.06,21985187.0,25.83
2015-08-05,26.09,24.0903,26.1,26.33,25378490.0,26.03
2015-08-06,26.15,24.0257,26.03,26.18,17267700.0,25.96
2015-08-07,25.95,23.8042,25.79,26.06,25916189.0,25.61
2015-08-10,25.9,24.2195,26.24,26.3,23475142.0,25.9
2015-08-11,26.03,23.7303,25.71,26.03,28235312.0,25.64
2015-08-12,25.54,23.8688,25.86,25.88,32656190.0,25.35
2015-08-13,25.77,23.8042,25.79,25.91,16418672.0,25.62
2015-08-14,25.65,24.0718,26.08,26.1,20786347.0,25.62
2015-08-17,25.95,24.1918,26.21,26.24,19223741.0,25.8
2015-08-18,26.17,24.0626,26.07,26.21,20348548.0,25.94
2015-08-19,25.9,23.7488,25.73,26.025,29145695.0,25.615
2015-08-20,25.51,23.2504,25.19,25.64,34645831.0,25.18
2015-08-21,24.9,22.6966,24.59,25.13,65098113.0,24.56
2015-08-24,22.84,22.032,23.87,24.38,91206909.0,19.37
2015-08-25,24.73,21.4782,23.27,24.74,60771423.0,23.27
2015-08-26,23.85,22.1612,24.01,24.07,78878180.0,23.27
2015-08-27,24.43,23.0842,25.01,25.01,64891540.0,24.38
2015-08-28,24.92,23.2227,25.16,25.17,32939824.0,24.78
2015-08-31,24.98,22.9089,24.82,24.98,37004964.0,24.58
2015-09-01,24.24,22.0412,23.88,24.36,65343028.0,23.68
2015-09-02,24.14,22.6781,24.57,24.58,50480282.0,23.83
2015-09-03,24.76,22.6227,24.51,24.95,33564783.0,24.39
2015-09-04,24.18,22.152,24.0,24.18,35628376.0,23.85
2015-09-08,24.51,23.0381,24.96,24.98,46208771.0,24.27
