Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,94.52,96.65,95.14,94.91,89.0819,12340245.0
2015-01-05,93.18,98.73,95.24,96.785,90.8417,27530431.0
2015-01-06,96.09,99.3399,98.47,97.65,91.6536,22363845.0
2015-01-07,98.44,99.9,99.31,99.48,93.3712,16373670.0
2015-01-08,100.29,102.45,100.8,102.3,96.0181,18902291.0
2015-01-09,101.75,103.83,103.52,102.21,95.9336,14605825.0
2015-01-12,100.76,103.34,102.84,101.21,94.995,12745984.0
2015-01-13,95.25,101.88,101.85,97.21,91.2406,27030551.0
2015-01-14,95.71,100.09,96.0,99.26,93.1648,16183672.0
2015-01-15,97.23,100.39,99.3,97.4,91.419,11442169.0
2015-01-16,97.07,100.89,97.42,100.71,94.5257,14097738.0
2015-01-20,100.15,104.05,101.14,103.78,97.4072,18838104.0
2015-01-21,102.57,105.07,103.04,103.58,97.2195,12312484.0
2015-01-22,101.56,105.18,104.14,105.14,98.6837,12963053.0
2015-01-23,103.8,106.11,104.4,105.54,99.0591,9593491.0
2015-01-26,104.874,107.77,104.874,107.11,100.5327,10307537.0
2015-01-27,104.86,107.02,105.94,105.03,98.5804,10341071.0
2015-01-28,102.35,105.5,105.32,102.45,96.1589,11554534.0
2015-01-29,101.07,104.5099,102.5,104.18,97.7826,8410510.0
2015-01-30,103.73,106.27,104.33,104.83,98.3927,13608217.0
2015-02-02,104.43,107.19,106.1,106.19,99.6692,13965576.0
2015-02-03,104.1,107.31,106.71,107.18,100.5984,19849948.0
2015-02-04,95.81,100.21,98.93,98.43,92.3857,59415804.0
2015-02-05,97.3,100.9182,98.92,99.9,93.7655,20641508.0
2015-02-06,97.15,100.58,99.73,97.48,91.4941,21546250.0
2015-02-09,96.629,98.67,97.01,96.9,90.9497,12668518.0
2015-02-10,97.12,98.75,97.75,98.32,92.2825,11495107.0
2015-02-11,98.42,101.26,98.63,99.98,93.8405,14529625.0
2015-02-12,99.6,101.7,100.62,100.8,94.6102,10659883.0
2015-02-13,100.83,101.9,101.26,101.9,95.6426,11084707.0
2015-02-17,101.91,103.85,102.06,103.84,97.4635,10789904.0
2015-02-18,103.01,104.14,103.755,103.94,97.5574,7459437.0
2015-02-19,102.55,104.31,103.4,102.73,96.4217,9203786.0
2015-02-20,101.92,102.99,102.42,102.61,96.309,9965413.0
2015-02-23,102.95,104.99,102.96,104.51,98.0924,8926892.0
2015-02-24,104.01,105.42,104.59,104.7,98.2707,7830302.0
2015-02-25,103.8997,105.0,104.84,104.43,98.0173,7270157.0
2015-02-26,103.3,104.85,104.2975,104.19,97.792,6698033.0
2015-02-27,102.71,104.34,104.28,103.53,97.1726,7939977.0
2015-03-02,102.8,104.3,104.3,103.83,97.4541,7672808.0
2015-03-03,102.15,103.9,103.84,102.79,96.478,8348514.0
2015-03-04,101.66,104.08,102.09,103.06,96.7314,8884504.0
2015-03-05,102.7199,104.45,103.43,103.415,97.0646,8650683.0
2015-03-06,101.71,103.75,103.0,101.81,95.5582,8658882.0
2015-03-09,100.19,101.98,101.54,101.37,95.1452,9335877.0
2015-03-10,98.7,100.55,99.87,98.83,92.7612,12728946.0
2015-03-11,98.76,100.14,99.13,98.97,92.8926,9006448.0
2015-03-12,98.88,100.55,99.63,99.93,93.7936,8356819.0
2015-03-13,98.88,100.98,99.59,99.61,93.4933,7810201.0
2015-03-16,99.77,101.6,100.0,101.3,95.0795,10524243.0
2015-03-17,99.61,101.75,100.8001,100.44,94.2723,9906256.0
2015-03-18,98.54,100.59,100.28,100.28,94.1221,12992173.0
2015-03-19,100.04,101.73,100.29,101.44,95.2109,9231112.0
2015-03-20,101.7,102.71,102.01,102.29,96.0087,17162213.0
2015-03-23,99.25,101.19,99.78,100.26,94.1034,17983654.0
2015-03-24,100.07,102.85,100.49,101.41,95.1827,11784818.0
2015-03-25,99.7801,103.11,101.99,99.86,93.7279,15629330.0
2015-03-26,98.59,101.8191,99.13,101.075,94.8683,10927965.0
2015-03-27,100.9,102.1,101.0,101.0,94.7979,8815858.0
2015-03-30,99.57,101.66,101.12,100.69,94.5069,9968236.0
2015-03-31,98.07,100.2,100.01,98.13,92.1041,13559908.0
2015-04-01,95.38,98.16,98.16,97.72,91.7193,15134187.0
2015-04-02,97.01,99.5,97.985,98.43,92.3857,10727280.0
2015-04-06,97.19,98.7412,97.92,97.79,91.785,9697287.0
2015-04-07,98.01,99.74,98.28,98.69,92.6298,8264715.0
2015-04-08,98.56,100.9,98.7,99.87,93.7373,10967054.0
2015-04-09,99.92,101.18,100.17,101.16,94.9481,9178113.0
2015-04-10,101.06,102.45,101.75,101.77,95.5206,9257629.0
2015-04-13,102.0,103.82,102.01,102.28,95.9993,10648428.0
2015-04-14,101.47,102.66,102.34,102.21,95.9336,7224660.0
2015-04-15,102.33,104.36,102.39,104.03,97.6418,12899718.0
2015-04-16,103.11,104.72,103.95,103.34,96.9942,6670359.0
2015-04-17,100.61,102.81,102.35,101.38,95.1546,9896452.0
2015-04-20,100.41,102.28,102.28,100.655,94.4741,8752017.0
2015-04-21,100.89,105.71,101.42,105.2,98.74,19722658.0
2015-04-22,103.83,105.415,105.24,104.18,97.7826,8267266.0
2015-04-23,104.01,105.75,104.64,105.205,98.7447,8071809.0
2015-04-24,103.6,105.68,104.64,103.695,97.3274,9734440.0
2015-04-27,102.01,104.53,104.18,102.94,96.6188,10829233.0
2015-04-28,101.14,103.834,103.115,103.72,97.3509,9793738.0
2015-04-29,101.62,103.9,103.12,102.32,96.0369,8932245.0
2015-04-30,99.8,102.7,102.15,100.51,94.338,14009454.0
2015-05-01,102.5,106.34,103.2,105.01,98.5617,22306478.0
2015-05-04,105.22,107.5,105.65,105.66,99.1718,13215612.0
