Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,53.1,47.8927,53.11,53.6,2168616.0,52.8
2015-01-05,52.27,47.027,52.15,52.69,4155769.0,52.06
2015-01-06,52.44,46.9098,52.02,52.62,3036444.0,51.9
2015-01-07,52.45,47.9017,53.12,53.26,3200087.0,52.37
2015-01-08,53.09,48.6772,53.57,53.655,4005929.0,52.97
2015-01-09,53.59,48.1865,53.03,53.68,2045885.0,52.8
2015-01-12,52.88,47.8412,52.65,53.18,2009401.0,52.52
2015-01-13,53.03,47.8958,52.71,53.27,2998180.0,52.4699
2015-01-14,52.42,48.0866,52.92,52.99,4428118.0,52.3
2015-01-15,53.18,48.5682,53.45,53.92,4532136.0,52.81
2015-01-16,53.32,48.5318,53.41,53.55,4273079.0,53.03
2015-01-20,53.61,49.4314,54.4,54.545,5211131.0,53.22
2015-01-21,54.1,49.1406,54.08,54.48,3565462.0,53.88
2015-01-22,54.41,49.7767,54.78,54.8,2986177.0,53.9
2015-01-23,54.68,49.5768,54.56,54.72,3000473.0,54.24
2015-01-26,54.5,49.9312,54.95,54.97,3717866.0,54.28
2015-01-27,54.36,50.0766,55.11,55.465,4819593.0,54.27
2015-01-28,55.24,49.1406,54.08,55.59,3116525.0,54.02
2015-01-29,53.6,48.7317,53.63,53.73,4450107.0,52.86
2015-01-30,53.19,47.6868,52.48,53.4,3919462.0,52.42
2015-02-02,52.65,48.2229,53.07,53.1,3631358.0,51.9
2015-02-03,53.45,48.3955,53.26,53.5,2632361.0,52.83
2015-02-04,53.28,48.3592,53.22,53.66,2434766.0,53.06
2015-02-05,53.27,48.5227,53.4,53.45,1948790.0,53.107
2015-02-06,53.26,48.3047,53.16,53.46,1997107.0,52.99
2015-02-09,53.06,48.1593,53.0,53.23,3168079.0,52.82
2015-02-10,53.1,48.3683,53.23,53.405,2530246.0,52.84
2015-02-11,53.37,48.3047,53.16,53.53,2523628.0,52.77
2015-02-12,52.55,48.0957,52.93,52.96,3115638.0,52.41
2015-02-13,52.66,47.6868,52.48,52.66,3464679.0,51.95
2015-02-17,52.33,47.5596,52.34,52.52,3534085.0,52.0
2015-02-18,52.34,48.0502,52.88,52.96,2572891.0,52.33
2015-02-19,52.88,48.5682,53.45,53.64,3431717.0,52.75
2015-02-20,53.41,48.5864,53.47,53.57,3113009.0,53.03
2015-02-23,53.38,48.6045,53.49,53.55,1747241.0,53.26
2015-02-24,53.37,48.5409,53.42,53.5,2463499.0,53.02
2015-02-25,53.36,48.65,53.54,53.66,1824188.0,53.32
2015-02-26,53.63,48.5409,53.42,53.63,2099108.0,53.355
2015-02-27,53.45,48.8771,53.79,53.839,3038289.0,53.33
2015-03-02,53.61,48.6136,53.5,53.758,1518873.0,53.33
2015-03-03,53.41,48.5954,53.48,53.495,1690726.0,53.05
2015-03-04,53.34,48.3501,53.21,53.44,1993840.0,52.97
2015-03-05,53.35,48.4137,53.28,53.35,1600653.0,52.92
2015-03-06,52.94,47.3687,52.13,52.95,3430866.0,51.94
2015-03-09,52.09,47.7049,52.5,52.66,2170174.0,51.94
2015-03-10,52.21,47.0598,51.79,52.31,2280248.0,51.79
2015-03-11,51.96,46.978,51.7,52.1,2545076.0,51.43
2015-03-12,51.88,47.814,52.62,52.6999,2501064.0,51.87
2015-03-13,52.47,47.3869,52.15,52.552,2240144.0,51.77
2015-03-16,52.34,47.6232,52.41,52.61,2811789.0,52.085
2015-03-17,52.22,47.296,52.05,52.22,2854014.0,51.8
2015-03-18,51.89,48.0321,52.86,53.15,5122662.0,51.45
2015-03-19,52.73,47.7413,52.54,53.17,2495979.0,52.51
2015-03-20,52.83,48.5682,53.45,53.73,4070051.0,52.77
2015-03-23,53.45,48.8317,53.74,54.07,2622953.0,53.4
2015-03-24,53.88,48.341,53.2,54.1,2850047.0,53.18
2015-03-25,53.77,48.8317,53.74,54.83,6753340.0,53.33
2015-03-26,53.53,49.0134,53.94,54.04,5693146.0,53.51
2015-03-27,53.91,49.9675,54.99,55.0,4990793.0,53.86
2015-03-30,55.03,51.2033,56.35,56.38,7165937.0,54.73
2015-03-31,56.22,51.4305,56.6,57.25,7898268.0,56.16
2015-04-01,56.39,51.3214,56.48,56.515,4627861.0,55.685
2015-04-02,56.44,51.385,56.55,56.83,3271114.0,56.25
2015-04-06,57.54,51.5577,56.74,57.73,4172963.0,56.63
2015-04-07,56.74,50.958,56.08,56.74,3109621.0,56.0
2015-04-08,55.7,51.1306,55.83,55.8599,2875322.0,55.43
2015-04-09,55.7,51.4054,56.13,56.21,2261509.0,55.6
2015-04-10,56.17,51.7351,56.49,56.51,2962907.0,56.06
2015-04-13,56.47,51.6801,56.43,56.6,2555795.0,56.36
2015-04-14,56.49,51.8633,56.63,56.86,2443882.0,56.28
2015-04-15,56.78,51.6984,56.45,56.84,2067564.0,56.35
2015-04-16,56.38,51.4969,56.23,56.4,2704645.0,56.1
2015-04-17,55.86,51.3687,56.09,56.19,2639300.0,55.69
2015-04-20,56.69,51.6984,56.45,57.12,2276570.0,56.395
2015-04-21,56.45,51.3871,56.11,56.6,1805744.0,56.04
2015-04-22,56.37,51.4786,56.21,56.37,1891600.0,55.95
2015-04-23,55.98,51.5519,56.29,56.5,2411650.0,55.88
2015-04-24,56.46,51.6343,56.38,56.64,1754831.0,56.195
2015-04-27,56.44,51.3321,56.05,56.5,1697139.0,56.0
2015-04-28,56.0,51.3779,56.1,56.225,1805548.0,55.76
2015-04-29,56.01,50.8925,55.57,56.19,2069243.0,55.47
2015-04-30,55.58,50.6819,55.34,55.6799,1815572.0,55.105
2015-05-01,55.51,51.0116,55.7,55.82,2573874.0,55.26
2015-05-04,55.73,51.1489,55.85,55.93,1426134.0,55.67
2015-05-05,56.0,50.9475,55.63,56.16,2097979.0,55.41
2015-05-06,55.86,50.6452,55.3,55.926,2198364.0,54.94
