Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,8.59,8.43,8.43,8.62,4054956.0,8.31
2015-01-05,8.31,8.23,8.23,8.31,8390977.0,8.11
2015-01-06,8.23,8.04,8.04,8.24,10209199.0,7.96
2015-01-07,8.15,7.83,7.83,8.24,6568155.0,7.8
2015-01-08,7.95,8.15,8.15,8.3,8164062.0,7.89
2015-01-09,8.16,7.92,7.92,8.24,4554347.0,7.9099
2015-01-12,7.91,7.66,7.66,7.94,3564720.0,7.6
2015-01-13,7.69,7.63,7.63,7.86,5139665.0,7.545
2015-01-14,7.48,7.31,7.31,7.53,7369275.0,7.18
2015-01-15,7.31,7.13,7.13,7.46,4850259.0,7.11
2015-01-16,7.11,7.3,7.3,7.31,4531100.0,7.06
2015-01-20,7.4,7.1,7.1,7.4,4656552.0,7.05
2015-01-21,7.05,7.11,7.11,7.17,5560800.0,6.92
2015-01-22,7.16,7.39,7.39,7.43,4772824.0,7.1
2015-01-23,7.36,7.22,7.22,7.42,3362901.0,7.2
2015-01-26,7.2,7.35,7.35,7.35,3166722.0,7.16
2015-01-27,7.22,7.19,7.19,7.27,4084217.0,7.09
2015-01-28,7.21,6.93,6.93,7.29,4934578.0,6.93
2015-01-29,6.97,6.94,6.94,7.0262,6183316.0,6.75
2015-01-30,6.87,6.98,6.98,7.135,7765540.0,6.78
2015-02-02,7.02,7.42,7.42,7.47,6031724.0,7.02
2015-02-03,7.43,7.64,7.64,7.71,8139979.0,7.42
2015-02-04,7.6,7.46,7.46,7.808,5833074.0,7.4
2015-02-05,7.42,7.59,7.59,7.675,3527545.0,7.41
2015-02-06,7.66,7.76,7.76,7.92,5559606.0,7.66
2015-02-09,7.73,7.88,7.88,7.94,4509652.0,7.65
2015-02-10,7.94,7.81,7.81,7.98,7108101.0,7.67
2015-02-11,8.28,8.33,8.33,8.75,24688924.0,7.96
2015-02-12,8.39,8.5,8.5,8.53,8826140.0,8.24
2015-02-13,8.51,8.67,8.67,8.7,8251736.0,8.48
2015-02-17,8.59,8.82,8.82,8.82,6450001.0,8.515
2015-02-18,8.73,8.02,8.02,8.73,11509942.0,8.02
2015-02-19,7.74,8.09,8.09,8.19,10320962.0,7.61
2015-02-20,8.06,7.99,7.99,8.1,10726804.0,7.785
2015-02-23,7.97,7.91,7.91,8.03,6291326.0,7.83
2015-02-24,7.91,8.0,8.0,8.15,6233503.0,7.83
2015-02-25,8.02,7.87,7.87,8.0576,5350803.0,7.71
2015-02-26,7.88,7.77,7.77,7.99,3740754.0,7.73
2015-02-27,7.77,7.75,7.75,7.85,4706276.0,7.66
2015-03-02,7.75,7.33,7.33,7.79,21300877.0,7.04
2015-03-03,7.21,7.51,7.51,7.58,7986607.0,7.183
2015-03-04,7.43,7.58,7.58,7.6,4529387.0,7.32
2015-03-05,7.57,7.61,7.61,7.64,4591061.0,7.44
2015-03-06,7.59,7.67,7.67,7.965,6193055.0,7.57
2015-03-09,7.66,7.44,7.44,7.73,5238294.0,7.405
2015-03-10,7.35,7.15,7.15,7.36,5645288.0,7.11
2015-03-11,7.18,7.27,7.27,7.33,5785605.0,7.06
2015-03-12,7.32,7.38,7.38,7.39,4844383.0,7.16
2015-03-13,7.33,7.35,7.35,7.429,4797887.0,7.23
2015-03-16,7.36,7.43,7.43,7.44,4372148.0,7.26
2015-03-17,7.37,7.35,7.35,7.46,4857003.0,7.22
2015-03-18,7.34,7.33,7.33,7.45,5717130.0,7.18
2015-03-19,7.3,7.26,7.26,7.38,5341246.0,7.1
2015-03-20,7.3,7.38,7.38,7.44,8150724.0,7.25
2015-03-23,7.79,7.75,7.75,7.955,13601829.0,7.7
2015-03-24,7.76,7.6,7.6,7.84,6629709.0,7.59
2015-03-25,7.62,7.35,7.35,7.65,5948926.0,7.34
2015-03-26,7.34,7.3,7.3,7.39,4802080.0,7.24
2015-03-27,7.31,7.29,7.29,7.33,4705657.0,7.21
2015-03-30,7.32,7.34,7.34,7.38,3698710.0,7.25
2015-03-31,7.26,7.31,7.31,7.32,5951801.0,7.22
2015-04-01,7.28,7.33,7.33,7.45,4703539.0,7.27
2015-04-02,7.34,7.76,7.76,7.94,15235852.0,7.29
2015-04-06,7.61,7.75,7.75,7.78,6253936.0,7.54
2015-04-07,7.77,7.75,7.75,7.8,6021335.0,7.68
2015-04-08,7.74,7.71,7.71,7.84,4853971.0,7.675
2015-04-09,7.71,7.89,7.89,8.0,6523869.0,7.65
2015-04-10,7.89,7.73,7.73,7.94,4533701.0,7.69
2015-04-13,7.81,7.94,7.94,7.97,4889248.0,7.69
2015-04-14,7.95,7.98,7.98,8.11,4798665.0,7.9
2015-04-15,8.0,8.09,8.09,8.14,5455239.0,7.99
2015-04-16,8.09,7.99,7.99,8.11,4454491.0,7.95
2015-04-17,7.87,8.02,8.02,8.06,7138748.0,7.82
2015-04-20,8.03,7.79,7.79,8.08,15881325.0,7.75
2015-04-21,7.79,7.65,7.65,7.85,4877946.0,7.64
2015-04-22,7.65,7.84,7.84,7.92,5723129.0,7.65
2015-04-23,7.82,7.96,7.96,8.0,6409556.0,7.82
2015-04-24,7.95,7.86,7.86,8.02,5533869.0,7.755
2015-04-27,7.87,7.89,7.89,8.0,6206634.0,7.85
2015-04-28,7.86,7.99,7.99,8.12,9615198.0,7.79
2015-04-29,8.49,8.92,8.92,9.08,23799670.0,8.31
2015-04-30,9.03,8.79,8.79,9.05,14300966.0,8.7
2015-05-01,8.85,9.03,9.03,9.14,10684622.0,8.81
2015-05-04,9.11,9.15,9.15,9.19,6755026.0,9.05
2015-05-05,8.82,8.64,8.64,8.92,20868003.0,8.54
2015-05-06,8.72,8.33,8.33,8.76,9271852.0,8.25
2015-05-07,8.17,8.25,8.25,8.405,9355800.0,8.09
2015-05-08,8.3,8.28,8.28,8.37,4680387.0,8.155
2015-05-11,8.39,8.4,8.4,8.56,7980653.0,8.32
2015-05-12,8.46,8.18,8.18,8.46,6277398.0,8.11
2015-05-13,8.13,8.03,8.03,8.16,9029287.0,7.9
2015-05-14,8.05,7.98,7.98,8.05,7952307.0,7.9
2015-05-15,7.99,7.91,7.91,8.0,6220340.0,7.88
2015-05-18,7.92,8.03,8.03,8.05,4835299.0,7.81
2015-05-19,8.05,7.9,7.9,8.075,7087249.0,7.86
2015-05-20,7.89,7.73,7.73,7.89,9459180.0,7.635
2015-05-21,7.72,7.78,7.78,7.91,6079015.0,7.69
2015-05-22,7.78,7.93,7.93,7.96,4801276.0,7.72
2015-05-26,7.9,7.65,7.65,7.92,9601613.0,7.62
2015-05-27,7.68,7.75,7.75,7.79,5241836.0,7.55
2015-05-28,7.85,7.86,7.86,7.88,6137826.0,7.7
2015-05-29,7.85,7.94,7.94,7.99,25808252.0,7.7636
2015-06-01,7.9,7.72,7.72,7.93,7134204.0,7.7
2015-06-02,7.71,7.91,7.91,7.96,5507187.0,7.7
