Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,41.815,42.5,42.37,42.1,37.8194,3067833.0
2015-01-05,41.895,42.66,42.45,42.15,38.062,4215246.0
2015-01-06,41.22,42.53,42.13,41.59,37.5563,4247227.0
2015-01-07,41.91,43.64,42.28,43.6,39.3714,5200091.0
2015-01-08,42.73,43.85,43.8,43.1,38.9198,7772026.0
2015-01-09,41.88,42.99,42.98,42.02,37.9446,3815842.0
2015-01-12,41.98,42.4,42.23,42.25,38.1523,2784388.0
2015-01-13,41.52,42.78,42.37,41.59,37.5563,3411883.0
2015-01-14,40.9,41.6,41.11,41.29,37.2854,3537635.0
2015-01-15,40.26,41.7,41.48,40.31,36.4004,4095041.0
2015-01-16,39.28,40.52,40.02,40.5,36.572,6189627.0
2015-01-20,39.98,40.97,40.7,40.42,36.4998,4082237.0
2015-01-21,40.32,41.31,40.39,41.2,37.2041,3069164.0
2015-01-22,41.2145,42.25,41.26,42.11,38.0259,2505223.0
2015-01-23,42.091,42.49,42.12,42.2,38.1071,2238324.0
2015-01-26,41.88,42.53,42.08,42.37,38.2606,1938150.0
2015-01-27,41.87,42.72,42.02,42.6,38.4683,2225526.0
2015-01-28,42.205,42.92,42.78,42.3,38.1974,3173536.0
2015-01-29,41.87,42.6,42.27,42.3,38.1974,3983017.0
2015-01-30,41.15,42.27,41.99,41.19,37.1951,4750647.0
2015-02-02,40.24,41.37,41.18,41.18,37.1861,3621318.0
2015-02-03,41.38,42.3,41.51,42.2,38.1071,4584443.0
2015-02-04,41.83,42.5,41.89,42.19,38.0981,2670379.0
2015-02-05,41.47,42.44,42.24,41.5,37.475,4481771.0
2015-02-06,41.39,42.12,41.81,41.79,37.7369,3151868.0
2015-02-09,41.0,41.8,41.48,41.1,37.1138,3939870.0
2015-02-10,40.36,41.43,41.24,40.78,36.8249,6210774.0
2015-02-11,40.63,41.48,40.84,41.24,37.2402,3986860.0
2015-02-12,41.05,41.765,41.52,41.57,37.5382,4383193.0
2015-02-13,40.88,41.49,40.94,41.2,37.2041,3956190.0
2015-02-17,40.4,41.19,41.06,40.91,36.9422,4016779.0
2015-02-18,40.4,40.95,40.92,40.65,36.7075,2917309.0
2015-02-19,40.71,41.135,40.71,41.07,37.0867,3274835.0
2015-02-20,40.74,41.257,41.16,41.0,37.0235,3624180.0
2015-02-23,40.215,41.26,41.16,40.3,36.3914,5800947.0
2015-02-24,39.7,40.38,40.25,39.95,36.0754,4567324.0
2015-02-25,39.91,40.51,40.08,40.29,36.3824,6508718.0
2015-02-26,40.01,40.51,40.35,40.37,36.4546,6019695.0
2015-02-27,41.09,42.2,41.4,41.6,37.5653,12337481.0
2015-03-02,40.97,41.56,41.28,41.41,37.3938,5359190.0
2015-03-03,41.7,42.3,42.21,41.98,37.9085,5644619.0
2015-03-04,41.69,42.25,42.15,42.03,37.9536,3192667.0
2015-03-05,41.27,42.07,41.99,41.43,37.4118,3932902.0
2015-03-06,40.6151,41.23,40.84,40.72,36.7707,4576364.0
2015-03-09,40.4,40.94,40.7,40.78,36.8249,2896806.0
2015-03-10,40.32,41.02,40.66,40.87,36.9061,3100100.0
2015-03-11,40.59,41.29,40.81,40.85,36.8881,3883472.0
2015-03-12,40.66,41.48,40.76,41.42,37.4028,2999619.0
2015-03-13,40.88,41.45,41.42,41.13,37.1409,3107988.0
2015-03-16,41.01,41.53,41.13,41.27,37.2673,3274286.0
2015-03-17,40.97,41.38,41.23,41.28,37.2764,2267457.0
