Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,195.3,186.6095,194.41,195.73,1877498.0,192.7001
2015-01-05,193.06,180.7831,188.34,194.04,3417017.0,187.48
2015-01-06,188.3,177.1259,184.53,188.659,3430666.0,183.93
2015-01-07,186.85,179.7656,187.28,187.99,1896744.0,185.77
2015-01-08,189.35,182.6356,190.27,190.82,1953237.0,189.25
2015-01-09,190.48,179.8328,187.35,191.31,1942594.0,186.96
2015-01-12,187.36,177.6443,185.07,187.53,2083868.0,184.11
2015-01-13,186.58,177.5099,184.93,189.375,2747022.0,183.37
2015-01-14,181.18,172.9985,180.23,182.51,5204532.0,178.1
2015-01-15,180.18,171.3283,178.49,181.6,3145103.0,177.5
2015-01-16,176.73,170.1188,177.23,180.1,5124104.0,174.06
2015-01-20,177.57,168.583,175.63,178.33,3607421.0,174.23
2015-01-21,174.55,170.042,177.15,178.39,3736831.0,172.82
2015-01-22,178.81,174.7358,182.04,182.59,6228147.0,177.25
2015-01-23,181.43,173.248,180.49,182.98,3123379.0,180.42
2015-01-26,178.72,173.1808,180.42,180.99,2736479.0,178.06
2015-01-27,177.24,169.4085,176.49,178.64,3335640.0,176.3
2015-01-28,177.73,166.1066,173.05,177.97,3016978.0,172.97
2015-01-29,173.18,168.9286,175.99,176.3,2420945.0,173.07
2015-01-30,174.13,165.4922,172.41,175.69,3036872.0,172.32
2015-02-02,172.99,168.4486,175.49,175.6,2974905.0,172.26
2015-02-03,176.01,173.0081,180.24,180.48,3766909.0,175.91
2015-02-04,178.72,171.6066,178.78,180.71,2980241.0,178.53
2015-02-05,179.44,173.5168,180.77,181.6,2434290.0,179.23
2015-02-06,182.05,176.0701,183.43,184.62,3250893.0,181.14
2015-02-09,181.69,174.9086,182.22,182.95,2421753.0,181.15
2015-02-10,183.35,177.1547,184.56,184.8,2556334.0,182.35
2015-02-11,184.07,180.1207,187.65,188.19,4079632.0,183.75
2015-02-12,188.25,182.1653,189.78,190.0,3086685.0,187.4
2015-02-13,189.87,181.4166,189.0,191.33,2720401.0,188.34
2015-02-17,188.78,182.3956,190.02,190.63,2123317.0,188.31
2015-02-18,189.54,181.0998,188.67,190.035,1850421.0,187.82
2015-02-19,187.68,181.5222,189.11,189.85,1470372.0,187.27
2015-02-20,188.35,183.8259,191.51,191.64,2317113.0,187.05
2015-02-23,190.74,182.674,190.31,190.74,1689132.0,189.27
2015-02-24,190.03,184.5074,192.22,193.28,2627289.0,189.68
2015-02-25,191.55,184.0274,191.72,192.45,2775703.0,190.46
2015-02-26,190.51,185.0641,192.2,192.47,2449262.0,190.0
2015-02-27,191.19,182.7436,189.79,192.5,2572381.0,189.79
2015-03-02,190.0,184.6693,191.79,191.92,1659394.0,189.78
2015-03-03,190.7,184.1686,191.27,192.87,1487567.0,190.57
2015-03-04,190.35,182.628,189.67,190.82,1631613.0,188.98
2015-03-05,190.13,183.0228,190.08,190.72,1330072.0,189.07
2015-03-06,187.58,179.9705,186.91,191.4,4103633.0,186.58
2015-03-09,187.3,180.9526,187.93,188.79,2233659.0,186.57
2015-03-10,185.59,175.9264,182.71,186.14,2768460.0,182.71
2015-03-11,183.3,177.3419,184.18,185.84,2076270.0,183.01
2015-03-12,185.94,182.8976,189.95,190.0,3114792.0,185.94
2015-03-13,188.87,182.3103,189.34,189.74,3094199.0,186.16
2015-03-16,190.04,184.7752,191.9,192.49,2127659.0,189.9
2015-03-17,190.97,183.4946,190.57,191.24,1880463.0,188.8
2015-03-18,189.67,185.1796,192.32,193.04,2790127.0,189.2
2015-03-19,191.76,182.9169,189.97,191.76,2097000.0,189.09
2015-03-20,190.47,185.9596,193.13,193.918,3473782.0,189.9
2015-03-23,193.27,184.833,191.96,194.25,1590324.0,191.96
2015-03-24,191.94,184.1783,191.28,192.51,1790318.0,191.16
