Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,73.94,73.97,73.97,74.63,2038153.0,73.07
2015-01-05,73.93,71.81,71.81,73.97,3025472.0,71.06
2015-01-06,71.89,71.69,71.69,72.55,3050403.0,70.91
2015-01-07,72.48,72.99,72.99,73.45,2023456.0,72.134
2015-01-08,73.77,74.93,74.93,75.09,3627147.0,73.56
2015-01-09,74.76,74.65,74.65,75.94,3349443.0,74.58
2015-01-12,75.91,72.2,72.2,76.18,4525880.0,72.01
2015-01-13,73.12,72.14,72.14,73.19,4460211.0,70.7217
2015-01-14,71.27,70.46,70.46,71.54,4336458.0,69.92
2015-01-15,70.75,70.07,70.07,71.06,2770640.0,69.575
2015-01-16,69.8,69.84,69.84,70.005,4871443.0,68.3653
2015-01-20,69.86,67.86,67.86,70.05,5654855.0,67.05
2015-01-21,67.69,69.27,69.27,69.872,3597280.0,67.53
2015-01-22,69.52,70.4,70.4,70.68,2759063.0,68.75
2015-01-23,70.45,68.64,68.64,70.51,2582168.0,68.56
2015-01-26,71.9,73.0,73.0,73.45,81149637.0,71.27
2015-01-27,72.56,72.42,72.42,72.9,6572095.0,71.84
2015-01-28,72.32,71.5,71.5,73.0,5963532.0,71.41
2015-01-29,71.92,72.19,72.19,72.42,4202111.0,70.74
2015-01-30,71.52,70.8,70.8,72.37,5436696.0,70.6
2015-02-02,71.04,70.18,70.18,71.27,7447106.0,69.32
2015-02-03,67.74,69.89,69.89,70.095,8457563.0,67.49
2015-02-04,68.5,68.96,68.96,69.65,5677394.0,68.5
2015-02-05,69.0,68.85,68.85,69.69,4916623.0,68.61
2015-02-06,69.0,67.98,67.98,69.15,4517750.0,67.54
2015-02-09,67.85,67.26,67.26,67.97,5210233.0,66.63
2015-02-10,67.85,69.01,69.01,69.66,3701963.0,67.66
2015-02-11,68.81,68.97,68.97,69.54,3843729.0,68.52
2015-02-12,68.91,69.02,69.02,69.46,2808614.0,68.65
2015-02-13,68.7,68.54,68.54,69.15,3318806.0,68.02
2015-02-17,68.42,69.32,69.32,69.36,2663421.0,68.23
2015-02-18,69.24,69.0,69.0,69.56,3634519.0,68.5
2015-02-19,69.03,69.6,69.6,70.26,3409046.0,68.944
2015-02-20,69.56,69.79,69.79,70.17,3086846.0,69.0
2015-02-23,70.32,70.86,70.86,71.15,3501643.0,70.32
2015-02-24,71.0,70.41,70.41,71.61,2776994.0,70.21
2015-02-25,70.29,70.98,70.98,71.19,2732192.0,69.97
2015-02-26,70.92,72.27,72.27,72.37,3567641.0,70.44
2015-02-27,72.33,71.54,71.54,72.57,2787838.0,71.35
2015-03-02,71.79,71.99,71.99,73.45,3190838.0,71.61
2015-03-03,71.72,70.79,70.79,71.985,4101925.0,70.07
2015-03-04,70.73,74.93,74.93,77.08,12786433.0,70.21
2015-03-05,74.99,72.91,72.91,75.38,4418049.0,72.31
2015-03-06,73.01,72.82,72.82,74.32,5026223.0,72.01
2015-03-09,73.0,71.69,71.69,73.375,3135530.0,71.56
2015-03-10,71.19,70.24,70.24,71.63,3931258.0,70.24
2015-03-11,70.47,71.76,71.76,72.37,3598443.0,70.22
2015-03-12,71.99,72.42,72.42,73.08,3610032.0,71.85
2015-03-13,72.44,71.8,71.8,73.14,2143031.0,71.31
2015-03-16,72.38,73.14,73.14,73.49,3274991.0,72.38
2015-03-17,72.61,73.16,73.16,73.563,1963593.0,72.11
2015-03-18,73.17,75.03,75.03,75.08,3848123.0,73.05
2015-03-19,75.0,75.42,75.42,75.87,3048190.0,74.74
2015-03-20,75.91,76.03,76.03,76.26,4569125.0,75.19
2015-03-23,76.27,77.64,77.64,78.44,4484624.0,76.21
2015-03-24,77.33,76.5,76.5,77.48,2216598.0,76.37
2015-03-25,76.62,75.65,75.65,77.14,2660186.0,75.46
2015-03-26,75.47,76.1,76.1,76.81,3043015.0,75.13
2015-03-27,76.22,76.07,76.07,77.04,1846400.0,75.96
2015-03-30,76.95,76.17,76.17,77.08,1580088.0,76.09
2015-03-31,76.06,75.23,75.23,76.69,2111562.0,75.22
2015-04-01,75.7,74.85,74.85,76.02,2564415.0,73.65
2015-04-02,74.96,75.05,75.05,75.78,1657833.0,74.565
2015-04-06,74.59,75.95,75.95,76.69,2556502.0,74.42
2015-04-07,76.03,75.72,75.72,76.75,1214445.0,75.69
2015-04-08,75.82,76.76,76.76,77.21,2668705.0,75.8
2015-04-09,76.72,77.85,77.85,77.92,3083454.0,76.55
2015-04-10,77.85,78.24,78.24,78.46,2488620.0,77.36
2015-04-13,78.23,77.41,77.41,79.24,2292522.0,77.27
2015-04-14,77.2,77.34,77.34,77.37,2346758.0,76.51
2015-04-15,79.12,79.24,79.24,80.2,6450273.0,78.475
2015-04-16,79.94,77.81,77.81,79.94,3109797.0,77.64
2015-04-17,77.22,78.04,78.04,78.23,2195882.0,76.91
2015-04-20,78.83,78.56,78.56,78.9,5748219.0,77.88
2015-04-21,78.39,77.68,77.68,78.6,4365838.0,77.56
2015-04-22,77.73,77.53,77.53,78.0,3408143.0,76.8
2015-04-23,77.58,77.44,77.44,78.02,4276124.0,76.97
2015-04-24,77.59,77.74,77.74,78.37,2497696.0,77.53
2015-04-27,77.85,76.38,76.38,78.1,2083915.0,76.22
2015-04-28,76.58,75.95,75.95,76.98,4146049.0,73.93
2015-04-29,75.52,76.06,76.06,76.48,2433916.0,75.22
2015-04-30,75.71,74.01,74.01,76.27,5310482.0,73.88
2015-05-01,74.31,74.5,74.5,74.59,2231470.0,73.68
2015-05-04,74.85,75.44,75.44,75.77,2081585.0,74.7201
2015-05-05,75.5,73.61,73.61,75.76,4848327.0,73.02
2015-05-06,73.96,74.5,74.5,74.98,4557818.0,73.65
2015-05-07,74.7,76.59,76.59,77.37,4451848.0,74.544
2015-05-08,77.08,76.9,76.9,77.32,3334465.0,76.6
2015-05-11,76.74,77.63,77.63,77.92,2927150.0,76.68
2015-05-12,77.25,76.51,76.51,77.61,2267217.0,76.14
2015-05-13,76.51,77.73,77.73,78.09,4346349.0,76.5
2015-05-14,78.51,79.07,79.07,79.48,2874463.0,78.31
2015-05-15,79.04,79.84,79.84,79.85,2259524.0,78.64
2015-05-18,79.76,81.0,81.0,81.0,3901548.0,79.69
2015-05-19,81.0,82.52,82.52,83.875,5439696.0,80.68
2015-05-20,82.34,82.14,82.14,83.16,3684802.0,81.88
2015-05-21,82.22,81.59,81.59,82.39,2673083.0,81.555
2015-05-22,81.35,82.13,82.13,82.58,2820463.0,81.26
2015-05-26,82.0,82.19,82.19,82.51,3132056.0,81.74
2015-05-27,82.58,81.95,81.95,82.68,2846224.0,81.4
2015-05-28,81.74,81.8,81.8,82.01,1946131.0,80.95
2015-05-29,81.53,81.83,81.83,82.39,3423091.0,81.17
2015-06-01,82.39,82.39,82.39,82.69,3199648.0,81.22
2015-06-02,81.96,81.55,81.55,82.248,2311942.0,81.12
2015-06-03,81.91,81.09,81.09,82.01,2241284.0,80.97
2015-06-04,80.81,80.48,80.48,81.18,2062543.0,80.4
2015-06-05,80.8,81.28,81.28,81.42,2831590.0,80.39
2015-06-08,81.14,80.25,80.25,81.47,2209104.0,80.25
2015-06-09,80.34,81.32,81.32,81.51,2370740.0,80.3
2015-06-10,81.71,83.09,83.09,83.31,4702889.0,81.5
2015-06-11,82.83,83.62,83.62,84.11,3774396.0,82.62
2015-06-12,83.29,82.46,82.46,84.16,2377316.0,82.43
2015-06-15,81.67,83.83,83.83,84.03,2623082.0,81.67
2015-06-16,83.38,83.02,83.02,84.13,2267462.0,82.56
2015-06-17,83.15,84.12,84.12,84.58,3279064.0,82.72
2015-06-18,84.04,83.6,83.6,84.336,2899687.0,82.72
2015-06-19,83.71,84.4,84.4,85.06,3818265.0,83.65
2015-06-22,84.66,84.51,84.51,85.48,2131365.0,84.15
2015-06-23,84.69,83.96,83.96,85.21,2180359.0,83.93
2015-06-24,84.0,83.37,83.37,84.1,2795575.0,82.6
2015-06-25,84.02,90.72,90.72,92.63,15822589.0,83.74
2015-06-26,92.44,91.84,91.84,92.63,10373599.0,91.27
2015-06-29,91.02,90.61,90.61,93.09,5274628.0,90.4
2015-06-30,91.58,90.72,90.72,91.58,4654572.0,90.31
2015-07-01,91.2,90.87,90.87,91.4,4136594.0,90.41
2015-07-02,91.0,90.5,90.5,91.6,2785429.0,90.425
2015-07-06,90.05,92.1,92.1,92.66,4272766.0,90.01
2015-07-07,92.28,92.45,92.45,92.989,4289024.0,90.64
2015-07-08,91.94,91.04,91.04,92.55,2911985.0,90.93
2015-07-09,91.43,91.64,91.64,92.175,4195371.0,91.1401
2015-07-10,92.51,92.97,92.97,93.24,2708898.0,91.88
2015-07-13,93.84,94.81,94.81,94.95,3802681.0,93.36
2015-07-14,94.45,94.72,94.72,95.489,3690979.0,94.37
2015-07-15,94.89,94.12,94.12,95.18,2676558.0,93.37
2015-07-16,93.74,93.74,93.74,93.99,4567951.0,91.9
2015-07-17,93.63,93.24,93.24,94.67,3670658.0,92.49
2015-07-20,93.68,93.17,93.17,93.89,1908498.0,92.82
2015-07-21,93.01,92.28,92.28,93.34,1897244.0,91.64
2015-07-22,92.07,93.27,93.27,93.76,2073462.0,91.93
2015-07-23,93.44,93.32,93.32,94.44,1451331.0,93.02
2015-07-24,92.97,92.83,92.83,93.39,1765902.0,92.21
2015-07-27,92.6,92.03,92.03,92.62,1525788.0,91.38
2015-07-28,92.2,92.29,92.29,92.66,2124258.0,90.93
2015-07-29,92.5,93.56,93.56,94.16,2167855.0,92.13
2015-07-30,93.3,92.96,92.96,93.59,1615269.0,92.09
2015-07-31,93.65,93.01,93.01,94.31,1800420.0,92.78
2015-08-03,92.88,92.88,92.88,94.17,1616669.0,92.44
2015-08-04,93.7,94.04,94.04,94.41,1749314.0,93.21
2015-08-05,93.73,92.26,92.26,94.15,6337482.0,87.28
2015-08-06,90.78,91.38,91.38,93.05,2616210.0,90.73
2015-08-07,91.8,91.46,91.46,92.38,1988602.0,90.65
2015-08-10,91.88,91.43,91.43,92.99,1637102.0,91.08
2015-08-11,90.69,90.46,90.46,91.27,2276967.0,89.08
2015-08-12,89.46,90.88,90.88,91.3,1950248.0,88.3
2015-08-13,91.11,90.85,90.85,91.89,1247117.0,90.46
2015-08-14,91.22,91.4,91.4,91.86,1875755.0,90.9
2015-08-17,90.81,91.32,91.32,91.52,2850724.0,89.76
2015-08-18,91.35,90.48,90.48,91.58,1914072.0,90.319
2015-08-19,90.26,89.82,89.82,90.54,2711390.0,89.27
2015-08-20,89.25,87.05,87.05,89.25,2861500.0,87.0099
2015-08-21,86.21,86.25,86.25,87.0,6136712.0,84.1
2015-08-24,81.54,84.31,84.31,85.97,5482704.0,43.91
2015-08-25,85.9,83.11,83.11,86.61,4093222.0,83.08
2015-08-26,84.7,86.95,86.95,87.09,4152940.0,83.83
2015-08-27,87.48,88.84,88.84,89.84,3115469.0,86.76
2015-08-28,88.48,88.82,88.82,89.23,2195272.0,87.94
2015-08-31,89.0,86.62,86.62,89.6099,2650415.0,86.13
2015-09-01,84.89,84.32,84.32,85.77,2491024.0,83.6
2015-09-02,85.28,85.47,85.47,85.5,2589859.0,83.74
2015-09-03,86.17,86.4,86.4,88.18,2372230.0,85.74
2015-09-04,85.26,85.41,85.41,86.25,1721129.0,84.45
2015-09-08,87.04,87.42,87.42,87.9,1986935.0,86.41
2015-09-09,88.44,85.97,85.97,88.46,1918971.0,85.76
