Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,76.05,66.4109,76.95,77.2,1794978.0,75.99
2015-01-05,76.71,67.2307,77.9,78.1,2066548.0,76.425
2015-01-06,77.68,68.1887,79.01,79.41,2897737.0,75.31
2015-01-07,79.03,68.8187,79.74,80.05,2736686.0,78.61
2015-01-08,80.09,68.5339,79.41,80.202,2459702.0,78.54
2015-01-09,79.28,68.603,79.49,80.05,1828098.0,78.44
2015-01-12,79.76,69.6386,80.69,80.83,1644879.0,79.69
2015-01-13,80.64,69.794,80.87,81.3334,1911723.0,80.39
2015-01-14,80.61,70.6829,81.9,81.94,2302181.0,80.46
2015-01-15,81.93,71.779,83.17,83.25,3081649.0,81.36
2015-01-16,83.28,72.7628,84.31,84.42,3164341.0,82.89
2015-01-20,84.4,71.9516,83.37,84.88,3071025.0,83.0
2015-01-21,83.21,71.1403,82.43,83.35,2858516.0,81.73
2015-01-22,82.56,71.6236,82.99,83.28,3341754.0,82.4445
2015-01-23,83.14,71.8307,83.23,83.5,2160789.0,82.72
2015-01-26,83.02,71.7013,83.08,83.23,2038217.0,81.93
2015-01-27,82.92,71.6495,83.02,83.67,1579552.0,82.72
2015-01-28,83.09,71.6668,83.04,83.91,2317792.0,83.03
2015-01-29,82.98,72.2709,83.74,83.755,2367843.0,82.71
2015-01-30,83.54,70.726,81.95,83.63,2640580.0,81.91
2015-02-02,81.82,70.726,81.95,82.05,2614604.0,80.2
2015-02-03,82.0,70.5621,81.76,82.0,2884592.0,80.35
2015-02-04,81.5,69.6645,80.72,81.5,2596933.0,80.33
2015-02-05,81.22,70.4499,81.63,81.7,1882813.0,80.4
2015-02-06,81.1,67.3818,77.25,81.1,3838441.0,76.97
2015-02-09,77.18,67.2248,77.07,77.78,1886242.0,76.96
2015-02-10,77.07,67.5998,77.5,77.71,2144856.0,76.51
2015-02-11,77.68,67.373,77.24,78.24,2511442.0,76.3901
2015-02-12,77.34,67.5562,77.45,77.8,1613897.0,76.848
2015-02-13,77.26,67.2684,77.12,77.5263,1267385.0,76.52
2015-02-17,76.78,67.1375,76.97,77.95,1711405.0,76.63
2015-02-18,77.17,68.1319,78.11,78.17,2259648.0,76.24
2015-02-19,77.79,66.4833,76.22,77.79,2005695.0,76.06
2015-02-20,76.66,68.0796,78.05,78.45,4007942.0,76.35
2015-02-23,78.04,68.6378,78.69,78.73,2953469.0,77.57
2015-02-24,76.3,66.7276,76.5,77.53,16363897.0,76.05
2015-02-25,76.9,67.7132,77.63,78.3355,4391200.0,76.83
2015-02-26,77.75,66.3525,76.07,77.87,2865001.0,75.96
2015-02-27,76.34,67.2597,77.11,77.12,2660056.0,75.65
2015-03-02,77.44,67.4952,77.38,78.43,2900086.0,77.23
2015-03-03,77.69,67.6609,77.57,77.81,1964611.0,76.8
2015-03-04,77.51,66.9195,76.72,78.19,2064227.0,76.53
2015-03-05,77.02,66.8846,76.68,77.75,2015054.0,76.66
2015-03-06,75.61,64.2155,73.62,75.61,4831263.0,73.2
2015-03-09,73.92,64.8871,74.39,74.6,2935329.0,73.67
2015-03-10,74.21,65.3581,74.93,75.45,3302852.0,74.13
2015-03-11,74.81,64.7476,74.23,75.14,1924436.0,73.86
2015-03-12,74.59,65.6809,75.3,75.4,2030424.0,74.59
2015-03-13,75.36,65.4366,75.02,75.74,1414972.0,74.61
2015-03-16,75.26,65.5936,75.2,76.22,2653155.0,75.03
2015-03-17,75.2,65.1226,74.66,75.64,2510184.0,74.58
2015-03-18,74.67,67.1375,76.97,77.29,3301702.0,74.3
2015-03-19,77.05,66.9718,76.78,77.64,2538149.0,76.61
2015-03-20,76.55,69.0216,79.13,79.13,6907595.0,76.55
2015-03-23,78.93,69.2571,79.4,80.35,2300204.0,78.76
2015-03-24,79.19,68.9867,79.09,79.65,2463456.0,78.79
2015-03-25,79.19,67.9749,77.93,79.6,1874552.0,77.78
2015-03-26,77.46,67.5126,77.4,78.0,1946138.0,77.17
2015-03-27,77.59,67.8441,77.78,78.26,1798554.0,77.27
2015-03-30,78.03,68.6553,78.71,78.77,1665376.0,77.59
2015-03-31,78.43,67.4777,77.36,78.6485,3228179.0,77.3
2015-04-01,77.46,67.3382,77.2,77.46,2044174.0,76.78
2015-04-02,77.15,67.8877,77.83,78.09,1804008.0,76.96
2015-04-06,78.12,69.292,79.44,79.6,2558439.0,78.11
2015-04-07,79.2,68.1406,78.12,79.2,2749855.0,78.04
2015-04-08,78.35,68.2453,78.24,78.631,1630287.0,77.97
2015-04-09,78.19,66.8933,76.69,78.34,1697305.0,76.525
2015-04-10,76.9,66.4572,76.19,77.35,1454434.0,75.86
2015-04-13,76.06,65.8466,75.49,76.32,1816541.0,75.49
2015-04-14,75.84,66.4485,76.18,76.64,1191357.0,75.84
2015-04-15,76.13,65.7943,75.43,76.58,1633937.0,75.38
2015-04-16,75.2,65.9687,75.63,76.04,1213688.0,74.92
2015-04-17,75.56,65.646,75.26,76.07,1413709.0,75.02
2015-04-20,75.34,65.6373,75.25,75.68,1105849.0,75.0
2015-04-21,75.63,65.6198,75.23,76.04,1226202.0,75.19
2015-04-22,75.11,65.803,75.44,75.79,1245921.0,75.07
2015-04-23,75.39,66.1344,75.82,76.01,1289192.0,75.24
2015-04-24,75.79,66.1693,75.86,76.34,1055256.0,75.56
2015-04-27,76.02,66.0472,75.72,76.58,1514736.0,75.45
2015-04-28,75.46,65.96,75.62,75.97,1182588.0,75.01
2015-04-29,74.89,64.512,73.96,75.61,2017263.0,73.63
2015-04-30,73.68,62.8199,72.02,73.936,3481371.0,71.5301
2015-05-01,72.25,63.0292,72.26,73.0,1969421.0,72.09
2015-05-04,72.59,62.9158,72.13,73.0,1503320.0,72.0
2015-05-05,72.02,62.1308,71.23,72.25,1895086.0,70.99
2015-05-06,71.15,61.747,70.79,71.375,2269007.0,70.49
2015-05-07,70.95,62.3401,71.47,71.97,2692478.0,70.81
2015-05-08,71.47,63.6616,72.16,73.16,1923582.0,71.46
2015-05-11,71.95,62.4088,70.74,72.24,2053961.0,70.59
2015-05-12,70.21,62.5765,70.93,71.325,1854616.0,69.77
2015-05-13,71.1,61.8354,70.09,71.65,2686677.0,69.9
2015-05-14,70.35,62.7705,71.15,71.18,1825285.0,70.19
2015-05-15,71.4,63.8822,72.41,72.65,2785526.0,71.32
2015-05-18,72.0,63.3705,71.83,72.23,1935480.0,71.39
2015-05-19,71.54,63.1411,71.57,72.24,1646390.0,71.35
2015-05-20,71.91,63.1411,71.57,72.08,1659218.0,71.37
2015-05-21,71.66,62.8499,71.24,71.67,2095717.0,70.91
2015-05-22,70.99,62.5147,70.86,71.47,1438471.0,70.25
2015-05-26,71.0,62.2677,70.58,71.04,2205855.0,70.2
2015-05-27,70.84,62.7441,71.12,71.33,1348607.0,70.44
2015-05-28,71.19,62.4882,70.83,71.19,1566836.0,70.325
2015-05-29,70.9,61.9854,70.26,71.03,3784822.0,70.0
2015-06-01,70.42,62.7617,71.14,71.47,1932597.0,70.26
2015-06-02,70.89,62.2236,70.53,70.92,2206735.0,70.21
2015-06-03,70.31,61.1296,69.29,70.454,2643792.0,69.22
2015-06-04,69.09,61.4207,69.62,70.19,4032149.0,68.65
2015-06-05,68.63,59.8239,67.81,68.89,2935507.0,67.77
2015-06-08,67.87,60.3268,68.38,68.89,2087503.0,67.61
2015-06-09,68.31,59.8239,67.81,68.535,1444174.0,67.685
2015-06-10,67.77,60.265,68.31,68.87,1565971.0,67.623
2015-06-11,68.72,60.3709,68.43,68.87,2004094.0,68.295
2015-06-12,68.34,59.9562,67.96,68.73,1563283.0,67.9
2015-06-15,67.83,59.5681,67.52,67.95,1932469.0,67.37
2015-06-16,67.61,59.9915,68.0,68.39,2024330.0,67.48
2015-06-17,68.04,60.1944,68.23,68.35,3060047.0,67.32
2015-06-18,68.51,60.7679,68.88,69.53,2374298.0,68.23
2015-06-19,68.89,60.6444,68.74,69.26,3196905.0,68.23
2015-06-22,69.04,59.5945,67.55,69.04,1944096.0,67.48
2015-06-23,67.41,59.1358,67.03,67.88,1661453.0,66.65
2015-06-24,67.13,58.6858,66.52,67.41,3234949.0,66.414
2015-06-25,66.51,58.2094,65.98,66.74,2636757.0,65.92
2015-06-26,66.04,58.5623,66.38,66.63,2027427.0,65.7
2015-06-29,66.38,58.0153,65.76,67.22,2430585.0,65.72
2015-06-30,66.35,57.9006,65.63,66.42,2496544.0,65.48
2015-07-01,66.0,58.5359,66.35,66.37,3443605.0,65.37
2015-07-02,66.88,58.43,66.23,67.63,2309437.0,66.09
2015-07-06,65.88,58.7564,66.6,66.66,1720837.0,65.88
2015-07-07,66.98,60.2562,68.3,68.4,2323967.0,66.69
2015-07-08,68.07,60.6091,68.7,69.065,2689733.0,67.65
2015-07-09,69.14,60.2915,68.34,69.44,2270938.0,68.24
2015-07-10,68.8,60.6532,68.75,69.47,1835418.0,68.28
2015-07-13,69.21,60.3974,68.46,69.53,1907307.0,67.95
2015-07-14,68.71,60.1062,68.13,68.76,1448392.0,68.06
2015-07-15,68.13,59.5769,67.53,68.25,3136869.0,67.38
2015-07-16,67.7,59.5769,67.53,68.0,2799244.0,67.07
2015-07-17,67.55,59.374,67.3,67.64,1743903.0,66.98
2015-07-20,67.26,59.4004,67.33,67.43,1548384.0,66.8
2015-07-21,67.27,59.1975,67.1,67.55,1914090.0,66.95
2015-07-22,67.06,59.6916,67.66,67.8,1569951.0,67.0209
