Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,44.28,37.954,44.85,45.1,2204594.0,44.16
2015-01-05,44.58,38.3348,45.3,45.43,3947265.0,44.57
2015-01-06,45.53,39.0626,46.16,46.43,5033402.0,45.5
2015-01-07,46.4,39.8919,47.14,47.32,3902440.0,46.1
2015-01-08,47.33,39.3588,46.51,47.67,5943256.0,46.26
2015-01-09,46.56,39.4011,46.56,46.92,3419154.0,45.94
2015-01-12,46.75,40.0273,47.3,47.43,2661821.0,46.65
2015-01-13,47.44,39.9511,47.21,47.7401,2975401.0,47.04
2015-01-14,46.95,40.3996,47.74,47.8,3607192.0,46.77
2015-01-15,47.8,40.7551,48.16,48.39,3792874.0,47.39
2015-01-16,48.2,40.7974,48.21,48.53,3457433.0,47.8046
2015-01-20,49.56,40.7635,48.17,49.61,4406320.0,47.96
2015-01-21,48.05,40.1796,47.48,48.05,4241414.0,47.11
2015-01-22,47.75,40.6451,48.03,48.12,4044233.0,47.34
2015-01-23,48.21,40.7466,48.15,48.44,3548133.0,47.88
2015-01-26,47.91,40.6958,48.09,48.1504,2689031.0,47.56
2015-01-27,47.92,40.5858,47.96,48.25,2004714.0,47.855
2015-01-28,48.12,40.5181,47.88,48.61,3041823.0,47.85
2015-01-29,47.97,40.5774,47.95,48.22,2855954.0,47.651
2015-01-30,48.18,40.0188,47.29,48.288,6476818.0,47.22
2015-02-02,47.26,39.9258,47.18,47.28,3156937.0,46.15
2015-02-03,47.15,39.6126,46.81,47.3,3169993.0,46.28
2015-02-04,46.52,38.3856,45.36,46.54,5656435.0,45.3
2015-02-05,44.96,38.7283,45.2,45.23,3701136.0,44.5
2015-02-06,45.29,37.5459,43.82,45.29,4603073.0,43.62
2015-02-09,43.82,37.3917,43.64,44.14,2866083.0,43.609
2015-02-10,43.01,36.5691,42.68,43.1,8771681.0,41.55
2015-02-11,42.88,36.492,42.59,43.28,3866851.0,42.3
2015-02-12,42.66,36.5606,42.67,42.95,3221544.0,42.42
2015-02-13,42.71,36.7319,42.87,42.9,3287805.0,42.29
2015-02-17,43.04,36.8262,42.98,43.59,3404703.0,42.74
2015-02-18,43.06,37.3146,43.55,43.55,2825293.0,42.58
2015-02-19,43.49,36.809,42.96,43.55,2799181.0,42.86
2015-02-20,43.06,37.2374,43.46,43.55,4602720.0,42.9501
2015-02-23,43.39,37.4688,43.73,43.74,3528624.0,43.25
2015-02-24,43.27,36.1236,42.16,43.36,5307246.0,42.045
2015-02-25,42.67,36.2435,42.3,42.73,3373432.0,41.8733
2015-02-26,42.32,35.798,41.78,42.32,3062580.0,41.65
2015-02-27,41.89,36.2949,42.36,42.39,2561223.0,41.56
2015-03-02,42.4,36.1407,42.18,42.84,2861589.0,42.1
2015-03-03,42.07,36.175,42.22,42.34,2217741.0,41.78
2015-03-04,42.2,35.798,41.78,42.3999,1975448.0,41.67
2015-03-05,41.97,35.9351,41.94,42.75,3103630.0,41.91
