Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,73.19,69.9827,74.14,74.82,1908489.0,72.95
2015-01-05,72.64,66.594,70.55,73.0,3510494.0,69.94
2015-01-06,69.88,65.5652,69.46,71.71,3652977.0,68.77
2015-01-07,70.3,65.4141,69.3,71.11,2309597.0,68.94
2015-01-08,70.21,67.3775,71.38,71.55,3349983.0,69.6
2015-01-09,71.28,67.1321,71.12,71.61,2142006.0,70.22
2015-01-12,69.77,64.5929,68.43,70.38,3523984.0,67.95
2015-01-13,68.86,63.8944,67.69,69.51,3370009.0,67.19
2015-01-14,66.97,65.3575,69.24,69.31,3730744.0,66.17
2015-01-15,70.24,64.1115,67.92,70.74,5392420.0,67.7714
2015-01-16,68.5,66.0938,70.02,70.68,3776911.0,68.44
2015-01-20,68.48,65.669,69.57,69.69,2656450.0,68.28
2015-01-21,70.41,67.4058,71.41,71.8,2077711.0,70.02
2015-01-22,71.81,68.0288,72.07,72.15,3192457.0,70.56
2015-01-23,71.28,66.8583,70.83,71.99,2647019.0,70.6
2015-01-26,70.78,67.6324,71.65,71.84,2836848.0,69.97
2015-01-27,71.54,67.5946,71.61,72.48,2511749.0,70.2
2015-01-28,70.5,62.3181,66.02,70.89,6723041.0,66.0
2015-01-29,66.6,62.016,65.7,67.3,5022858.0,63.81
2015-01-30,65.04,63.7056,67.49,68.79,5993532.0,64.8
2015-02-02,68.84,66.1504,70.08,70.38,3589617.0,68.478
2015-02-03,71.24,68.6046,72.68,73.36,4812359.0,71.08
2015-02-04,71.42,67.9722,72.01,72.61,3624952.0,70.85
2015-02-05,72.75,69.0671,73.17,73.93,4893510.0,72.17
2015-02-06,73.87,68.8783,72.97,74.34,2682030.0,72.5
2015-02-09,74.47,69.6429,73.78,74.65,2904564.0,73.22
2015-02-10,73.47,68.7084,72.79,73.66,2917287.0,71.46
2015-02-11,71.65,68.7179,72.8,73.56,2983467.0,71.36
2015-02-12,73.76,70.5208,74.71,74.87,3718624.0,73.42
2015-02-13,75.68,72.5219,76.83,77.06,3505170.0,75.37
2015-02-17,75.99,73.0033,77.34,77.63,3622452.0,75.53
2015-02-18,76.2,72.7768,77.1,77.55,2867058.0,75.9956
2015-02-19,74.54,72.1915,76.48,76.97,4111342.0,74.11
2015-02-20,76.42,72.0216,76.3,76.7,2563247.0,75.5
2015-02-23,75.16,71.6157,75.87,76.56,3779856.0,75.01
2015-02-24,76.44,72.201,76.49,76.72,2011781.0,75.64
2015-02-25,76.36,72.352,76.65,77.37,2044701.0,76.16
2015-02-26,75.93,71.2004,75.43,76.34,2704813.0,74.69
2015-02-27,75.84,70.87,75.08,76.03,3349041.0,74.96
2015-03-02,74.8,69.9544,74.11,74.85,3050868.0,73.16
2015-03-03,74.22,70.3131,74.49,75.14,2188286.0,73.98
2015-03-04,74.72,70.6435,74.84,74.95,2241440.0,73.77
2015-03-05,74.38,69.3786,73.5,74.56,2630678.0,73.5
2015-03-06,73.04,67.3869,71.39,73.295,3166181.0,71.09
2015-03-09,71.49,66.4713,70.42,71.79,2392898.0,70.4
2015-03-10,69.53,65.3575,69.24,70.25,2955050.0,69.11
2015-03-11,69.51,65.6973,69.6,70.4,2311545.0,69.15
2015-03-12,70.06,64.9139,68.77,70.2,2240423.0,68.71
2015-03-13,68.24,65.131,69.0,69.21,2432027.0,67.42
2015-03-16,68.53,65.4425,69.33,69.37,2186649.0,68.01
2015-03-17,68.49,64.9233,68.53,69.17,2468765.0,67.55
2015-03-18,68.15,66.098,69.77,70.32,3681764.0,67.96
2015-03-19,68.35,63.8528,67.4,68.69,3200714.0,67.27
2015-03-20,67.91,64.7433,68.34,69.515,5292017.0,67.85
2015-03-23,68.71,64.2507,67.82,69.19,2796351.0,67.81
2015-03-24,68.62,64.497,68.08,68.65,3032758.0,67.7
2015-03-25,68.52,65.4633,69.1,69.61,3225040.0,68.2
2015-03-26,69.96,65.2738,68.9,70.39,2730702.0,68.74
2015-03-27,68.36,63.8243,67.37,68.4,2712915.0,67.15
2015-03-30,68.28,64.9517,68.56,68.72,2688937.0,67.74
2015-03-31,67.8,64.298,67.87,68.59,3555922.0,67.52
2015-04-01,68.48,65.5391,69.18,70.105,3471226.0,68.48
2015-04-02,68.89,65.558,69.2,69.88,2362026.0,68.272
2015-04-06,69.8,68.7128,72.53,72.81,3466357.0,69.46
2015-04-07,72.34,68.5422,72.35,73.41,2472609.0,71.98
2015-04-08,72.3,68.0686,71.85,72.97,1853729.0,71.7
2015-04-09,71.86,68.5707,72.38,72.8875,2621092.0,71.86
2015-04-10,72.52,69.2717,73.12,73.18,3755028.0,71.89
2015-04-13,73.5,68.8928,72.72,73.99,1770044.0,72.605
2015-04-14,73.31,70.7023,74.63,74.88,3034302.0,73.31
2015-04-15,75.25,73.9802,78.09,78.25,4322183.0,75.16
2015-04-16,77.66,73.9138,78.02,78.53,2693182.0,77.03
2015-04-17,77.36,73.3833,77.46,77.76,2780945.0,76.83
2015-04-20,77.68,73.5917,77.68,79.0,2443520.0,77.44
2015-04-21,77.56,70.9959,74.94,77.72,2902350.0,74.7002
2015-04-22,75.12,71.318,75.28,75.88,1807113.0,74.56
2015-04-23,75.75,71.8107,75.8,76.57,1674110.0,75.7
2015-04-24,75.29,71.2517,75.21,75.71,1663259.0,74.78
