Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,66.53,60.7009,65.79,66.58,1014165.0,64.89
2015-01-05,65.09,59.5107,64.5,65.2,1516028.0,64.19
2015-01-06,64.76,58.8003,63.73,64.76,1754393.0,62.78
2015-01-07,64.3,59.7691,64.78,64.78,1013640.0,63.86
2015-01-08,65.44,61.0146,66.13,66.223,1180331.0,65.44
2015-01-09,66.44,59.7875,64.8,66.53,975057.0,64.56
2015-01-12,65.06,59.6584,64.66,65.07,1575206.0,64.24
2015-01-13,65.12,59.2247,64.19,65.93,1943682.0,63.725
2015-01-14,63.75,58.5789,63.49,63.75,1932403.0,62.16
2015-01-15,63.76,57.7946,62.64,64.07,2575439.0,62.6
2015-01-16,62.53,58.3113,63.2,63.24,1357536.0,61.95
2015-01-20,63.19,58.4589,63.36,63.57,1260578.0,62.56
2015-01-21,62.97,59.0586,64.01,64.14,1394837.0,62.73
2015-01-22,64.4,60.5441,65.62,65.83,1674474.0,64.18
2015-01-23,66.12,59.9721,65.0,66.28,2068191.0,64.99
2015-01-26,64.82,59.8337,64.85,65.4,1988731.0,64.67
2015-01-27,64.04,57.6562,62.49,64.07,4182396.0,61.82
2015-01-28,62.62,57.4717,62.29,63.0,4263108.0,61.21
2015-01-29,63.06,59.603,64.6,65.28,3473617.0,62.67
2015-01-30,63.6,56.9273,61.7,63.65,3576539.0,61.62
2015-02-02,61.63,56.9089,61.68,62.06,2184586.0,60.775
2015-02-03,62.25,58.5789,63.49,63.53,1379266.0,62.2
2015-02-04,63.12,57.9053,62.76,63.45,1276647.0,62.65
2015-02-05,63.01,58.2559,63.14,63.56,1223890.0,62.97
2015-02-06,63.4,59.2432,64.21,64.36,1571647.0,63.274
2015-02-09,63.84,58.8557,63.79,64.59,1337173.0,63.73
2015-02-10,64.09,58.8741,63.81,64.36,1231920.0,63.01
2015-02-11,63.52,57.9053,62.76,63.98,1830511.0,62.6
2015-02-12,62.92,58.2006,63.08,63.11,1720625.0,62.38
2015-02-13,62.91,59.2432,63.9,63.95,1182068.0,62.89
2015-02-17,63.98,59.6326,64.32,64.62,1027897.0,63.64
2015-02-18,63.94,58.6498,63.26,64.15,1489985.0,63.18
2015-02-19,63.26,58.7518,63.37,63.65,766767.0,62.98
2015-02-20,62.93,58.8538,63.48,63.8,1464647.0,62.5
2015-02-23,63.21,57.8432,62.39,63.38,1862805.0,62.25
2015-02-24,62.39,57.7412,62.28,62.47,2278395.0,61.87
2015-02-25,62.1,58.7425,63.36,63.4,1690416.0,62.08
2015-02-26,63.42,59.1875,63.84,64.0,1838967.0,63.35
2015-02-27,64.06,58.9372,63.57,64.4296,1405080.0,63.51
2015-03-02,63.56,60.3279,65.07,65.2,2274315.0,63.5
2015-03-03,64.95,59.4749,64.15,64.95,1267518.0,63.85
2015-03-04,63.8,58.2604,62.84,63.96,1159546.0,62.51
2015-03-05,62.94,58.4088,63.0,63.34,1051050.0,62.71
2015-03-06,62.75,57.5373,62.06,63.26,2634348.0,61.96
2015-03-09,62.02,58.2975,62.88,63.03,2044808.0,61.28
2015-03-10,62.34,57.6763,62.21,62.71,1422539.0,61.98
2015-03-11,62.4,57.63,62.16,62.72,1947354.0,62.16
2015-03-12,62.48,56.4154,60.85,62.75,4481008.0,60.26
2015-03-13,60.21,54.5148,58.8,60.23,6399091.0,58.24
2015-03-16,58.99,54.9228,59.24,59.3,2256171.0,58.75
2015-03-17,59.03,55.3956,59.75,59.99,2484373.0,59.03
2015-03-18,59.75,56.4618,60.9,61.36,2467765.0,59.01
2015-03-19,60.72,56.7214,61.18,61.43,1425905.0,60.72
2015-03-20,61.43,57.426,61.94,62.09,4502578.0,61.26
2015-03-23,61.81,57.2406,61.74,62.38,2249360.0,61.58
2015-03-24,61.55,56.4803,60.92,61.7,1027065.0,60.92
2015-03-25,61.83,55.8777,60.27,62.15,1428029.0,60.27
2015-03-26,59.8,55.6088,59.98,60.25,1199224.0,59.78
2015-03-27,59.8,55.1267,59.46,60.24,1927740.0,59.32
2015-03-30,59.97,56.3227,60.75,60.965,1887281.0,59.84
2015-03-31,60.44,56.3135,60.74,60.89,1593947.0,60.42
2015-04-01,60.7,55.887,60.28,61.1,1733246.0,59.99
2015-04-02,60.2,56.6009,61.05,61.2,1444867.0,60.0
2015-04-06,60.77,57.1201,61.61,61.95,2703106.0,60.5502
2015-04-07,61.37,56.9254,61.4,61.9,2130394.0,61.1603
2015-04-08,61.78,57.7876,62.33,62.53,2773575.0,61.78
2015-04-09,62.04,58.0286,62.59,62.66,1785088.0,61.98
2015-04-10,62.65,57.9545,62.51,62.96,1661696.0,62.27
2015-04-13,62.62,57.8896,62.44,62.92,1412377.0,62.31
2015-04-14,62.06,57.6392,62.17,62.366,1382867.0,61.19
2015-04-15,62.18,57.2035,61.7,62.26,2012980.0,61.57
2015-04-16,61.64,57.2128,61.71,61.93,2277510.0,61.14
2015-04-17,61.31,56.1837,60.6,61.33,2490112.0,60.29
2015-04-20,60.99,57.2684,61.77,61.83,3422535.0,60.93
2015-04-21,56.44,51.6593,55.72,57.78,15471892.0,55.59
2015-04-22,55.76,52.1321,56.23,56.96,7542921.0,55.51
2015-04-23,56.48,52.7997,56.95,57.2,2999092.0,56.14
2015-04-24,57.41,53.0593,57.23,57.7875,2458511.0,57.08
2015-04-27,57.43,53.3096,57.5,57.66,2760019.0,56.87
2015-04-28,57.67,52.7811,56.93,57.91,2963323.0,56.65
2015-04-29,56.6,52.7069,56.85,57.075,2265865.0,56.53
2015-04-30,56.75,52.1136,56.21,56.88,2481268.0,56.17
2015-05-01,56.69,52.4659,56.59,56.78,2044349.0,56.36
2015-05-04,56.78,52.5679,56.7,57.06,2296457.0,56.54
2015-05-05,56.76,52.9944,57.16,57.58,3318034.0,56.66
2015-05-06,57.2,52.4103,56.53,57.27,2186150.0,56.31
2015-05-07,56.43,52.7162,56.86,57.0,1081574.0,56.3013
2015-05-08,57.4,53.0593,57.23,57.89,1236756.0,57.17
2015-05-11,57.01,52.7348,56.88,57.6,1166232.0,56.85
2015-05-12,56.63,52.0858,56.18,56.84,1749834.0,56.11
2015-05-13,56.4,51.7335,55.8,56.475,1910019.0,55.705
2015-05-14,55.48,50.6302,54.61,55.51,7396594.0,53.04
2015-05-15,54.73,51.6315,55.69,55.72,3959523.0,54.61
2015-05-18,55.71,52.0672,56.16,56.19,2004506.0,55.62
2015-05-19,56.33,51.9003,55.98,56.33,1944411.0,55.73
2015-05-20,55.98,52.4103,56.53,56.67,2241670.0,55.89
2015-05-21,56.5,52.846,57.0,57.1025,1966713.0,56.39
2015-05-22,57.0,52.7997,56.95,57.25,2110102.0,56.9
2015-05-26,56.72,51.2235,54.94,56.72,2552104.0,54.56
2015-05-27,55.0,51.2515,54.97,55.26,1973000.0,54.7
2015-05-28,54.82,50.3658,54.02,54.93,2670285.0,53.76
2015-05-29,53.95,49.8716,53.49,53.99,2596771.0,53.38
2015-06-01,53.68,49.7784,53.39,53.68,2347974.0,53.1
2015-06-02,53.2,50.3658,54.02,54.97,2121328.0,53.2
2015-06-03,54.24,50.8413,54.53,55.06,1729077.0,54.2
2015-06-04,54.13,50.5056,54.17,54.7,1314019.0,54.005
2015-06-05,54.19,50.6268,54.3,54.5,1324338.0,53.94
2015-06-08,54.23,50.2539,53.9,54.38,1718162.0,53.85
2015-06-09,53.94,50.3658,54.02,54.31,1412676.0,53.64
2015-06-10,53.59,50.9905,54.69,54.84,1924720.0,53.55
