Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,52.16,24.3456,51.62,52.35,443536.0,51.34
2015-01-05,51.33,23.9117,50.7,51.54,694621.0,50.61
2015-01-06,50.93,23.7325,50.32,51.13,1280770.0,50.18
2015-01-07,50.69,24.1193,51.14,51.36,1260436.0,50.69
2015-01-08,51.49,24.3787,51.69,51.87,961907.0,51.37
2015-01-09,51.94,24.1853,51.28,52.22,693216.0,51.19
2015-01-12,51.3,23.8268,50.52,51.49,619360.0,50.41
2015-01-13,50.75,23.9117,50.7,51.25,789118.0,50.35
2015-01-14,50.36,23.8599,50.59,50.68,812095.0,50.15
2015-01-15,50.67,24.1428,50.94,51.19,910288.0,50.35
2015-01-16,50.95,24.4035,51.49,51.55,789024.0,50.92
2015-01-20,51.64,24.6263,51.96,51.98,631097.0,51.09
2015-01-21,51.89,25.1144,52.99,53.05,1394837.0,51.68
2015-01-22,53.01,25.4652,53.73,53.75,930251.0,52.3
2015-01-23,53.68,25.2851,53.35,54.08,666637.0,53.21
2015-01-26,53.42,25.2424,53.26,53.5,633252.0,52.92
2015-01-27,52.85,25.0907,52.94,53.16,549862.0,52.62
2015-01-28,53.08,24.8348,52.4,53.56,616683.0,52.3
2015-01-29,52.57,24.9012,52.54,52.65,652059.0,51.75
2015-01-30,52.24,24.2755,51.22,52.59,1784628.0,51.07
2015-02-02,50.41,24.522,51.74,51.79,1059699.0,50.13
2015-02-03,51.96,24.7732,52.27,52.47,900655.0,51.81
2015-02-04,52.17,25.5742,53.96,54.19,1658129.0,52.125
2015-02-05,53.96,25.5979,54.01,54.03,879790.0,53.27
2015-02-06,53.94,25.3941,53.58,54.0,871486.0,53.4
2015-02-09,53.43,25.1618,53.09,53.58,589416.0,53.02
2015-02-10,53.38,25.6216,54.06,54.19,527795.0,53.24
2015-02-11,54.3,25.5599,53.93,54.3999,561832.0,53.41
2015-02-12,53.94,25.6737,54.17,54.18,854706.0,53.53
2015-02-13,54.13,26.413,55.73,55.75,1751657.0,53.77
2015-02-17,55.73,26.4036,55.71,55.9,1873691.0,54.67
2015-02-18,55.69,26.6074,56.14,56.5,1490193.0,55.5
2015-02-19,57.1,27.323,57.65,58.0,1957384.0,56.23
2015-02-20,57.61,27.451,57.92,58.15,832307.0,57.13
2015-02-23,57.86,27.3941,57.8,58.16,755062.0,57.51
2015-02-24,57.67,27.3799,57.77,57.92,586482.0,57.4504
