Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,104.33,96.5169,103.71,104.59,786968.0,102.93
2015-01-05,103.15,95.8375,102.98,104.0,857810.0,102.5
2015-01-06,103.35,96.154,103.32,104.3,1241159.0,102.9
2015-01-07,104.2,97.8477,105.14,105.49,1020638.0,103.83
2015-01-08,105.93,99.7369,107.17,107.5,1246970.0,105.505
2015-01-09,107.3,99.0296,106.41,107.32,745859.0,106.2
2015-01-12,106.45,98.1176,105.43,106.72,1123694.0,105.33
2015-01-13,106.44,99.2716,106.67,107.11,1415133.0,106.02
2015-01-14,106.29,99.5973,107.02,107.18,1499495.0,106.14
2015-01-15,107.84,100.9375,108.46,109.11,1518908.0,107.58
2015-01-16,108.96,102.9849,110.66,110.75,2532624.0,108.91
2015-01-20,111.0,102.7243,110.38,111.35,1149573.0,109.46
2015-01-21,108.96,102.5568,110.2,110.38,1320635.0,108.71
2015-01-22,110.35,103.0965,110.78,110.99,1154158.0,109.26
2015-01-23,108.73,101.0864,108.62,109.32,1557322.0,108.15
2015-01-26,108.57,101.7471,109.33,109.4,808487.0,108.16
2015-01-27,106.91,101.6075,109.18,109.78,1071445.0,106.91
2015-01-28,109.18,100.2116,107.68,110.22,1431254.0,107.39
2015-01-29,101.92,96.126,103.29,103.41,6049809.0,98.73
2015-01-30,102.34,95.1209,102.21,103.56,3111732.0,101.8005
2015-02-02,102.0,96.8426,104.06,104.16,1624690.0,101.56
2015-02-03,104.2,97.4382,104.7,104.7799,1264290.0,103.7092
2015-02-04,104.56,98.3689,105.7,106.48,1555406.0,104.56
2015-02-05,105.93,98.4713,105.81,106.335,886596.0,105.09
2015-02-06,105.56,98.2107,105.53,106.405,1106838.0,105.19
2015-02-09,105.04,97.6709,104.95,105.97,879497.0,104.81
2015-02-10,105.61,98.5364,105.88,106.22,793806.0,104.99
2015-02-11,106.07,98.8063,106.17,106.45,781486.0,104.99
2015-02-12,105.96,99.2623,106.66,106.67,1044416.0,105.38
2015-02-13,106.09,98.6667,106.02,106.51,1122107.0,105.72
2015-02-17,105.89,98.5643,105.91,106.31,1105148.0,105.0
2015-02-18,105.74,99.5322,106.95,107.0,1267158.0,105.52
2015-02-19,106.97,98.6015,105.95,107.31,1448321.0,105.42
2015-02-20,106.04,99.8021,107.24,107.57,1483650.0,105.46
