Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,101.42,95.3498,100.85,101.86,291229.0,100.17
2015-01-05,100.45,93.9505,99.37,101.06,382784.0,98.87
2015-01-06,99.79,92.7971,98.15,100.43,421341.0,97.59
2015-01-07,98.75,93.7142,99.12,99.23,516650.0,97.94
2015-01-08,99.89,96.0967,101.64,101.68,333916.0,99.8
2015-01-09,102.06,96.5789,102.15,102.54,450401.0,101.34
2015-01-12,102.13,95.5862,101.1,102.5,289475.0,100.633
2015-01-13,102.0,97.2124,102.82,103.05,606015.0,101.62
2015-01-14,101.86,98.2902,103.96,104.25,658889.0,101.68
2015-01-15,104.43,99.5288,105.27,105.98,757848.0,104.264
2015-01-16,105.13,101.5048,107.36,107.42,728128.0,104.8575
2015-01-20,108.46,101.7128,107.58,108.46,507639.0,106.04
2015-01-21,107.24,101.0037,106.83,107.78,677795.0,106.16
2015-01-22,107.55,104.8895,110.94,110.97,786188.0,107.32
2015-01-23,110.82,103.1026,109.05,110.89,891018.0,108.06
2015-01-26,108.77,102.4597,108.37,108.88,470425.0,107.59
2015-01-27,107.32,101.0888,106.92,107.52,521597.0,106.3
2015-01-28,107.52,99.5193,105.26,107.89,710877.0,105.18
2015-01-29,105.13,100.9753,106.8,106.94,334815.0,105.01
2015-01-30,105.91,100.323,106.11,107.39,410296.0,105.72
2015-02-02,106.53,100.9564,106.78,107.09,314413.0,105.35
2015-02-03,107.58,102.1099,108.0,108.14,476695.0,106.74
2015-02-04,107.69,101.8357,107.71,108.41,289326.0,107.3
2015-02-05,108.36,102.715,108.64,108.802,278590.0,107.89
2015-02-06,108.78,103.1215,109.07,109.1,346151.0,108.08
2015-02-09,108.81,101.5237,107.38,108.88,361055.0,107.11
2015-02-10,107.67,102.0531,107.94,108.26,371097.0,107.23
2015-02-11,108.09,101.1644,107.0,108.4,1051031.0,106.71
2015-02-12,109.33,108.5107,114.77,116.48,1342227.0,109.33
2015-02-13,115.34,110.5812,116.96,118.58,761781.0,114.83
2015-02-17,116.88,110.8081,117.2,117.6,495458.0,115.8
2015-02-18,116.99,111.8198,118.27,118.37,332763.0,116.82
2015-02-19,118.27,113.55,120.1,120.42,526745.0,117.57
2015-02-20,120.01,114.7791,121.4,121.54,418168.0,119.31
2015-02-23,120.65,114.6278,121.24,122.0,432607.0,120.49
2015-02-24,120.99,115.942,122.63,122.85,452999.0,120.59
2015-02-25,122.96,115.2234,121.87,123.08,472908.0,121.43
2015-02-26,122.0,115.1951,121.84,122.4,470833.0,121.28
2015-02-27,121.95,115.2802,121.93,122.51,371089.0,121.12
2015-03-02,120.0,116.0743,122.77,122.84,401366.0,117.32
2015-03-03,122.31,115.0532,121.69,122.64,280725.0,120.77
2015-03-04,121.52,114.6089,121.22,121.96,346337.0,120.3
2015-03-05,121.25,114.2874,120.88,121.54,358861.0,120.23
2015-03-06,120.59,112.5194,119.01,120.71,396128.0,118.52
2015-03-09,119.55,114.1078,120.69,121.36,468581.0,119.43
2015-03-10,119.71,111.1863,117.6,119.91,744139.0,117.6
2015-03-11,117.6,110.7892,117.18,118.54,760573.0,116.695
2015-03-12,118.03,112.9827,119.5,120.01,457689.0,117.74
2015-03-13,119.43,111.6023,118.04,119.66,465542.0,117.03
2015-03-16,118.49,112.5005,118.99,119.15,298823.0,118.2
2015-03-17,118.34,111.4699,117.9,118.77,461698.0,116.74
2015-03-18,117.38,111.7063,118.15,118.96,601989.0,115.26
2015-03-19,118.07,112.0278,118.49,120.08,510677.0,117.1
2015-03-20,118.82,113.3798,119.92,120.4,638290.0,118.66
2015-03-23,119.67,113.1623,119.69,120.6199,490120.0,119.35
2015-03-24,119.41,112.9921,119.51,120.56,427482.0,119.07
2015-03-25,119.43,111.139,117.08,120.96,482343.0,117.08
2015-03-26,116.84,110.7783,116.7,117.345,528528.0,116.01
2015-03-27,117.06,111.234,117.18,117.79,354408.0,116.55
2015-03-30,117.84,112.487,118.5,119.27,300774.0,117.24
2015-03-31,118.29,111.4428,117.4,118.5,473910.0,117.0
2015-04-01,117.1,111.0346,116.97,118.105,462791.0,116.08
2015-04-02,116.96,111.4333,117.39,118.81,334134.0,116.74
2015-04-06,116.76,112.6009,118.62,118.96,317297.0,116.76
2015-04-07,118.38,112.1927,118.19,119.545,520111.0,118.16
2015-04-08,118.56,112.2117,118.21,118.96,376165.0,117.41
2015-04-09,118.14,112.2592,118.26,118.5,297391.0,117.335
2015-04-10,118.54,112.9331,118.97,119.03,296276.0,118.2054
2015-04-13,119.13,112.7433,118.77,120.42,297739.0,118.75
2015-04-14,118.89,112.8762,118.91,119.45,277277.0,118.06
2015-04-15,119.73,112.6484,118.67,120.14,222941.0,118.52
2015-04-16,118.34,112.6389,118.66,119.33,256259.0,118.01
2015-04-17,117.91,110.3796,116.28,118.62,437820.0,115.89
2015-04-20,117.09,111.6991,117.67,117.87,204862.0,117.09
2015-04-21,117.75,110.8922,116.82,118.31,237476.0,116.64
2015-04-22,117.0,110.1043,115.99,117.26,475127.0,115.16
2015-04-23,116.03,110.6549,116.57,117.06,223123.0,115.442
2015-04-24,116.62,109.9715,115.85,117.2,379551.0,115.04
2015-04-27,116.35,110.2847,116.18,117.22,261720.0,115.236
2015-04-28,115.96,111.0156,116.95,116.98,345041.0,115.64
2015-04-29,116.0,110.3417,116.24,116.94,297057.0,115.6
2015-04-30,115.66,108.9273,114.75,116.61,438768.0,114.11
2015-05-01,115.48,111.4618,117.42,117.55,310191.0,115.48
2015-05-04,117.51,112.2307,118.23,118.6,345297.0,117.24
2015-05-05,118.02,110.6834,116.6,118.87,268251.0,116.19
2015-05-06,117.36,112.1073,118.1,118.12,410088.0,115.8
2015-05-07,117.66,112.2212,118.22,118.41,256090.0,116.81
2015-05-08,119.54,113.3793,119.44,120.61,298369.0,119.01
2015-05-11,119.02,113.2464,119.3,119.61,536523.0,118.49
2015-05-12,115.68,108.595,114.4,117.32,1013532.0,113.34
2015-05-13,114.03,106.9718,112.69,114.03,971115.0,110.5701
2015-05-14,113.31,109.212,115.05,115.16,467945.0,112.62
2015-05-15,114.99,109.5728,115.43,115.44,295372.0,114.69
2015-05-18,115.02,109.4304,115.28,115.49,222653.0,114.82
2015-05-19,115.36,110.0094,115.89,116.31,266731.0,115.03
2015-05-20,116.05,111.5662,117.53,117.86,419420.0,115.59
2015-05-21,117.29,112.2592,118.26,118.46,492181.0,117.29
2015-05-22,117.99,112.3446,118.35,118.72,365123.0,117.78
2015-05-26,117.47,111.158,117.1,117.97,419578.0,116.47
2015-05-27,116.92,112.7907,118.82,119.06,382760.0,116.8501
2015-05-28,118.87,113.2179,119.27,119.765,337176.0,118.74
2015-05-29,119.45,112.9996,119.04,120.2,556126.0,118.5
2015-06-01,119.29,111.5472,117.51,119.29,432181.0,116.74
2015-06-02,117.18,110.5315,116.44,118.04,382430.0,116.4
2015-06-03,116.65,108.6615,114.47,117.05,952325.0,113.97
2015-06-04,113.67,106.7725,112.48,114.36,856462.0,112.34
2015-06-05,112.15,105.4815,111.12,112.44,627679.0,111.01
2015-06-08,111.2,104.741,110.34,112.26,562413.0,110.31
2015-06-09,110.34,104.1905,109.76,110.44,607402.0,109.41
2015-06-10,110.27,105.2062,110.83,111.04,1131347.0,109.88
2015-06-11,110.9,105.7947,111.45,112.07,754322.0,110.69
2015-06-12,111.32,104.7316,110.33,111.59,363132.0,110.08
2015-06-15,109.39,103.8203,109.37,109.92,420483.0,108.82
2015-06-16,109.43,105.5954,111.24,111.92,634450.0,109.38
2015-06-17,111.6,105.9181,111.58,112.57,625459.0,111.35
2015-06-18,112.22,107.5888,113.34,113.66,552674.0,111.46
2015-06-19,113.48,107.0952,112.82,114.6,536304.0,112.8
2015-06-22,113.59,107.7692,113.53,114.09,355592.0,113.0
2015-06-23,113.98,107.4654,113.21,114.04,376398.0,113.03
2015-06-24,112.64,107.38,112.65,113.9,422197.0,112.25
2015-06-25,112.73,107.3514,112.62,113.53,339327.0,112.5
2015-06-26,113.0,107.3514,112.62,113.4,400965.0,112.454
2015-06-29,111.6,104.1772,109.29,112.36,326223.0,109.23
2015-06-30,110.22,104.1772,109.29,110.56,441270.0,108.87
2015-07-01,110.28,105.0637,110.22,110.79,362337.0,109.66
2015-07-02,110.77,105.1685,110.33,110.87,374495.0,109.84
2015-07-06,109.17,104.568,109.7,110.64,279066.0,108.91
2015-07-07,109.62,104.5299,109.66,110.12,410792.0,108.2
2015-07-08,108.67,103.3765,108.45,109.24,515243.0,108.25
2015-07-09,109.73,103.8149,108.91,110.31,333776.0,108.81
2015-07-10,110.4,105.9502,111.15,111.35,278089.0,109.58
2015-07-13,112.15,107.38,112.65,112.92,331171.0,111.17
2015-07-14,112.51,107.8661,113.16,113.33,270706.0,112.4
2015-07-15,112.93,107.4181,112.69,113.77,315030.0,112.57
2015-07-16,112.98,108.0472,113.35,113.55,374051.0,112.18
2015-07-17,113.07,107.3704,112.64,113.435,220291.0,112.41
2015-07-20,112.18,106.3886,111.61,112.39,404083.0,111.42
2015-07-21,111.93,106.3791,111.6,114.31,493579.0,111.52
2015-07-22,112.4,107.0178,112.27,113.99,340185.0,111.5
2015-07-23,112.59,106.932,112.18,113.0,379976.0,111.85
2015-07-24,112.04,105.9025,111.1,112.07,381417.0,110.0
2015-07-27,110.51,105.912,111.11,111.42,365470.0,110.11
2015-07-28,111.56,108.3809,113.7,113.84,439867.0,110.97
2015-07-29,113.65,109.2102,114.57,114.82,350865.0,112.75
2015-07-30,114.29,110.1062,115.51,116.06,468147.0,114.06
2015-07-31,116.38,110.1824,115.59,116.87,474645.0,115.37
2015-08-03,115.45,109.906,115.3,115.75,258431.0,114.68
2015-08-04,115.51,110.5733,116.0,116.8,258603.0,115.51
2015-08-05,117.19,111.7552,117.24,118.08,382688.0,116.61
2015-08-06,117.23,110.9736,116.42,118.09,458997.0,115.72
2015-08-07,116.53,110.8402,116.28,116.926,283293.0,115.85
2015-08-10,116.74,113.2518,118.81,118.87,390909.0,116.33
2015-08-11,115.54,108.7145,114.05,117.11,888108.0,112.78
2015-08-12,112.99,108.419,113.74,114.43,552176.0,112.42
2015-08-13,113.36,107.9233,113.22,114.09,501792.0,112.432
2015-08-14,113.23,109.01,114.36,114.69,350052.0,113.045
2015-08-17,113.95,109.6105,114.99,115.195,368233.0,113.83
2015-08-18,114.73,110.1252,115.53,115.85,324676.0,114.73
2015-08-19,114.21,108.7717,114.11,115.16,403658.0,113.67
2015-08-20,113.61,106.7604,112.0,113.88,705497.0,111.62
2015-08-21,113.12,106.7127,111.95,114.12,1065488.0,111.92
2015-08-24,106.87,102.9475,108.0,110.45,1178260.0,106.2
2015-08-25,110.59,102.042,107.05,110.64,813237.0,107.0
2015-08-26,109.19,103.8149,108.91,109.64,553839.0,107.16
2015-08-27,110.16,105.5212,110.7,112.2476,495431.0,108.94
