Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,92.21,87.9577,91.21,93.16,1882035.0,90.37
2015-01-05,90.3,87.6105,90.85,91.335,2499623.0,89.74
2015-01-06,90.81,84.92,88.06,91.2,2288407.0,87.61
2015-01-07,87.97,85.7493,88.67,89.04,1657627.0,87.87
2015-01-08,89.18,86.9001,89.86,90.63,1954769.0,89.12
2015-01-09,90.33,85.0724,87.97,90.4951,2210242.0,87.86
2015-01-12,87.9,83.8635,86.72,88.27,1835095.0,86.48
2015-01-13,87.59,83.467,86.31,88.915,1553614.0,85.63
2015-01-14,85.2,83.3897,86.23,86.26,1618053.0,85.08
2015-01-15,86.15,82.2776,85.08,86.64,910588.0,84.89
2015-01-16,84.95,83.5734,86.42,86.44,1393669.0,84.751
2015-01-20,87.05,84.5405,87.42,87.97,1843383.0,86.17
2015-01-21,85.92,83.5541,86.4,87.93,1770550.0,85.92
2015-01-22,86.93,85.8654,88.79,89.26,2997443.0,86.27
2015-01-23,89.39,86.4746,89.42,90.11,2138613.0,88.9
2015-01-26,89.46,86.4166,89.36,89.62,2058623.0,88.645
2015-01-27,88.19,85.5366,88.45,89.5,1520463.0,87.5
2015-01-28,89.31,84.6178,87.5,89.53,1541936.0,87.49
2015-01-29,87.32,85.5366,88.45,88.79,1617449.0,87.04
2015-01-30,87.96,83.9602,86.82,88.5,1900347.0,86.73
2015-02-02,87.51,85.3722,88.28,88.855,1772273.0,85.77
2015-02-03,88.54,87.519,90.5,90.52,1998097.0,88.54
2015-02-04,89.97,87.5577,90.54,91.14,1483457.0,89.8
2015-02-05,90.47,88.6892,91.71,91.8,1084497.0,90.2003
2015-02-06,90.66,84.937,87.83,91.15,3880379.0,87.33
2015-02-09,87.67,84.9466,87.84,88.91,2200591.0,86.97
2015-02-10,88.5,86.2038,89.14,89.27,1817522.0,88.11
2015-02-11,89.37,85.8654,88.79,89.78,1863113.0,88.55
2015-02-12,89.18,86.4456,89.39,89.69,1969325.0,88.675
