Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,53.86,47.5989,53.24,54.01,2627547.0,52.85
2015-01-05,52.75,46.8479,52.4,53.02,4069414.0,52.16
2015-01-06,52.72,46.2131,51.69,53.19,3864352.0,51.57
2015-01-07,51.85,46.1327,51.6,51.91,3723022.0,51.35
2015-01-08,52.33,47.7151,53.37,53.37,2796924.0,52.26
2015-01-09,53.58,47.438,53.06,53.6,1518415.0,52.81
2015-01-12,53.08,47.5721,53.21,53.43,2763289.0,52.44
2015-01-13,53.6,47.6525,53.3,53.99,3991709.0,52.855
2015-01-14,52.58,47.7509,53.41,53.55,2854829.0,52.5
2015-01-15,53.62,47.7151,53.37,53.8,3745464.0,53.11
2015-01-16,53.55,48.3499,54.08,54.12,2787787.0,53.25
2015-01-20,54.46,48.484,54.23,54.7,2863138.0,53.645
2015-01-21,54.03,48.8059,54.59,54.82,2293009.0,53.735
2015-01-22,54.95,49.3333,55.18,55.23,2723304.0,54.6
2015-01-23,54.95,48.341,54.07,55.08,1836827.0,54.02
2015-01-26,54.75,48.8148,54.6,54.9,3281444.0,54.07
2015-01-27,53.57,48.0817,53.78,54.28,3201301.0,52.86
2015-01-28,54.99,47.5274,53.16,55.49,4387123.0,53.1
2015-01-29,53.11,47.8403,53.51,53.6,4104548.0,52.462
2015-01-30,52.83,47.0803,52.66,53.38,3093388.0,52.53
2015-02-02,52.96,47.1787,52.77,53.18,3774165.0,52.22
2015-02-03,52.48,48.037,53.73,53.8558,2395650.0,52.48
2015-02-04,53.73,48.6002,54.36,54.73,2943807.0,53.605
2015-02-05,54.68,49.1456,54.97,55.09,2228409.0,54.25
2015-02-06,54.84,48.7075,54.48,55.1,2140239.0,54.32
2015-02-09,54.36,48.4661,54.21,54.65,1837272.0,53.94
2015-02-10,54.34,49.6641,55.55,55.6,2972399.0,54.203
2015-02-11,55.35,49.986,55.51,55.74,2244003.0,55.1
2015-02-12,56.0,51.4988,57.19,57.5,3720079.0,56.0
2015-02-13,57.02,51.6069,57.31,57.53,2119152.0,56.93
2015-02-17,57.02,51.3097,56.98,57.46,2401534.0,56.765
2015-02-18,56.13,51.5618,57.26,57.265,2498191.0,55.9
2015-02-19,56.6,51.1836,56.84,57.12,1870909.0,56.38
2015-02-20,56.65,51.859,57.59,57.59,3447319.0,56.15
2015-02-23,57.0,51.6969,57.41,57.9,5345841.0,56.4099
2015-02-24,56.85,51.1116,56.76,57.23,2551456.0,56.34
2015-02-25,56.53,51.1566,56.81,56.89,2076884.0,56.42
2015-02-26,56.96,51.1116,56.76,57.65,2994794.0,56.72
2015-02-27,56.94,50.7964,56.41,56.98,2247393.0,56.39
2015-03-02,56.32,51.3097,56.98,57.01,1740193.0,56.32
2015-03-03,56.77,50.9945,56.63,56.815,2134033.0,56.34
2015-03-04,56.44,50.6433,56.24,56.51,2235301.0,55.77
2015-03-05,56.41,50.04,55.57,56.48,2087838.0,55.26
2015-03-06,55.07,49.6978,55.19,55.44,4569396.0,54.52
2015-03-09,55.51,49.5718,55.05,55.78,2376834.0,55.04
2015-03-10,54.44,48.8874,54.29,54.82,2707882.0,54.25
2015-03-11,54.35,48.6623,54.04,54.79,2822896.0,53.97
2015-03-12,54.35,49.4007,54.86,54.92,2858710.0,53.94
2015-03-13,54.77,49.2476,54.69,54.94,2960605.0,54.25
2015-03-16,54.85,49.3737,54.83,55.16,1930202.0,54.77
2015-03-17,54.54,49.2836,54.73,55.05,2370016.0,54.19
2015-03-18,54.58,49.6438,55.13,55.38,2935384.0,53.82
2015-03-19,55.03,48.8514,54.25,55.09,1942889.0,54.21
2015-03-20,54.52,49.8329,55.34,55.47,4201494.0,54.33
2015-03-23,55.18,49.2206,54.66,55.38,2146442.0,54.57
2015-03-24,54.5,49.1665,54.6,54.8,1675932.0,54.25
2015-03-25,54.56,48.5362,53.9,54.58,2550330.0,53.86
2015-03-26,53.78,48.8154,54.21,54.305,2072617.0,53.68
2015-03-27,54.17,49.0045,54.42,54.61,2374018.0,54.09
2015-03-30,54.63,49.7158,55.21,55.39,1727108.0,54.53
2015-03-31,55.11,49.968,55.49,56.05,3000452.0,55.02
2015-04-01,55.2,49.4367,54.9,55.25,2396861.0,54.32
2015-04-02,54.86,49.2296,54.67,55.0907,1460387.0,54.46
2015-04-06,54.28,48.9054,54.31,54.52,2012632.0,54.2
2015-04-07,54.3,48.5992,53.97,54.7,1722206.0,53.96
2015-04-08,53.95,49.0675,54.49,54.61,2079938.0,53.81
