Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,20.06,20.85,20.85,20.25,18.6737,2627092.0
2015-01-05,19.605,20.17,20.17,19.67,18.1388,3078777.0
2015-01-06,19.0,19.81,19.63,19.14,17.6501,9900234.0
2015-01-07,19.1,19.64,19.3,19.64,18.1112,3536014.0
2015-01-08,19.79,20.56,19.84,20.55,18.9503,5012732.0
2015-01-09,20.24,20.59,20.58,20.29,18.7106,4684381.0
2015-01-12,19.98,20.39,20.28,20.18,18.6091,1796504.0
2015-01-13,20.0,20.64,20.42,20.26,18.6829,3308716.0
2015-01-14,19.79,20.13,19.98,20.08,18.5169,2567278.0
2015-01-15,19.52,20.2,20.12,19.66,18.1296,4896128.0
2015-01-16,19.58,19.8001,19.62,19.77,18.2311,4188033.0
2015-01-20,19.5,19.84,19.75,19.79,18.2495,3208614.0
2015-01-21,19.63,20.26,19.69,20.23,18.6552,3255656.0
2015-01-22,20.23,20.91,20.41,20.86,19.2362,4350441.0
2015-01-23,20.495,20.94,20.87,20.59,18.9872,2478303.0
2015-01-26,20.44,20.84,20.52,20.75,19.1348,2179857.0
2015-01-27,20.25,20.68,20.42,20.36,18.7751,3407934.0
2015-01-28,19.74,20.5,20.5,19.75,18.2126,4485391.0
2015-01-29,19.48,20.29,19.76,20.28,18.7014,4020761.0
2015-01-30,19.89,20.29,20.08,19.94,18.3878,3667177.0
2015-02-02,19.52,20.21,20.0,20.2,18.6276,3056112.0
2015-02-03,20.23,20.62,20.34,20.61,19.0057,3282824.0
2015-02-04,20.46,20.79,20.58,20.58,18.978,2572325.0
2015-02-05,20.5,20.88,20.61,20.86,19.2362,2702393.0
2015-02-06,20.39,20.9,20.85,20.46,18.8673,2694935.0
2015-02-09,20.29,20.87,20.32,20.82,19.1993,2237765.0
2015-02-10,20.55,20.99,20.9,20.84,19.2178,4098129.0
2015-02-11,20.63,20.87,20.83,20.8,19.1809,2879668.0
2015-02-12,20.81,21.25,20.83,21.16,19.5129,2774800.0
2015-02-13,21.22,22.13,21.34,22.1,20.3797,6845058.0
2015-02-17,22.08,22.4,22.08,22.35,20.6102,6378099.0
2015-02-18,22.21,22.44,22.26,22.26,20.5272,2631339.0
2015-02-19,22.15,22.44,22.26,22.31,20.5733,2029106.0
2015-02-20,22.04,22.45,22.24,22.43,20.684,6327375.0
