Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,63.49,59.6069,63.26,64.0,1104235.0,62.64
2015-01-05,62.7,58.5704,62.16,62.99,1761834.0,61.89
2015-01-06,62.22,57.3455,60.86,62.36,2218717.0,60.36
2015-01-07,61.51,57.6564,61.19,61.78,1715164.0,61.02
2015-01-08,61.69,58.8248,62.43,62.46,1716821.0,61.648
2015-01-09,62.62,58.1841,61.75,62.62,964306.0,61.62
2015-01-12,62.94,58.6081,62.2,62.97,2258651.0,61.44
2015-01-13,62.84,58.316,61.89,63.25,1337119.0,61.11
2015-01-14,60.73,57.8825,61.43,61.49,1577410.0,60.53
2015-01-15,61.72,57.9956,61.55,62.17,2754511.0,60.92
2015-01-16,61.31,58.0616,61.62,61.7,2902902.0,60.15
2015-01-20,62.19,58.7683,62.37,62.71,2466764.0,61.43
2015-01-21,62.06,59.4749,63.12,63.275,1864221.0,61.85
2015-01-22,63.75,61.0014,64.74,64.76,2714149.0,63.41
2015-01-23,64.5,60.926,64.66,65.601,3152733.0,64.35
2015-01-26,64.67,61.5573,65.33,65.37,1670785.0,63.96
2015-01-27,64.45,61.0202,64.76,65.11,1697744.0,63.78
2015-01-28,65.15,60.1628,63.85,65.47,2025810.0,63.8
2015-01-29,63.79,60.926,64.66,64.75,2839978.0,63.31
2015-01-30,65.89,62.5655,66.4,66.54,4296044.0,64.85
2015-02-02,66.5,62.3394,66.16,66.53,3058985.0,64.95
2015-02-03,66.59,63.5549,67.45,67.5799,2650089.0,66.52
2015-02-04,67.5,62.9519,66.81,67.5,2005880.0,66.47
2015-02-05,66.91,62.9801,66.84,67.33,1890428.0,66.74
2015-02-06,66.89,62.7446,66.59,67.14,2637139.0,66.45
2015-02-09,66.55,62.5655,66.4,67.26,2258843.0,66.0
2015-02-10,66.78,63.1215,66.99,67.07,1658242.0,66.315
2015-02-11,66.69,62.8105,66.66,67.06,1988416.0,66.61
2015-02-12,67.15,63.7245,67.63,67.83,3518768.0,66.72
2015-02-13,67.75,63.781,67.69,68.03,2065903.0,66.96
2015-02-17,67.59,63.847,67.76,67.84,1402005.0,67.05
2015-02-18,67.76,63.9883,67.91,68.5,2121094.0,67.43
2015-02-19,67.63,64.0449,67.97,68.17,1309852.0,67.5007
2015-02-20,68.02,64.8364,68.81,69.01,1736816.0,67.6
2015-02-23,68.8,64.6762,68.64,68.94,1768650.0,68.31
2015-02-24,68.35,64.7798,68.75,68.84,1222477.0,68.2
2015-02-25,68.38,64.2804,68.22,68.59,1409391.0,67.88
2015-02-26,68.3,64.0166,67.94,68.41,1286925.0,67.69
2015-02-27,67.77,63.3099,67.19,67.95,1605744.0,67.12
2015-03-02,67.23,63.8658,67.78,68.02,1553979.0,67.12
2015-03-03,67.41,63.5549,67.45,67.79,1479113.0,66.96
2015-03-04,67.18,63.1309,67.0,67.32,2073435.0,66.18
2015-03-05,67.41,63.7716,67.68,67.7125,1882253.0,67.3
2015-03-06,67.17,62.999,66.86,67.53,1621222.0,66.38
2015-03-09,67.0,63.7528,67.66,67.82,1321284.0,67.0
2015-03-10,67.03,62.4053,66.23,67.03,1846175.0,66.15
2015-03-11,66.28,62.6503,66.2,66.4,1268806.0,65.74
2015-03-12,66.41,63.7765,67.39,67.495,1055275.0,66.4
2015-03-13,67.32,63.6156,67.22,67.39,1558214.0,66.35
2015-03-16,67.58,64.9216,68.6,68.65,1661898.0,67.32
2015-03-17,67.98,64.1456,67.78,68.08,1623317.0,67.45
2015-03-18,67.52,64.8649,68.54,68.75,1588167.0,67.015
2015-03-19,68.19,64.2308,67.87,68.396,1235583.0,67.41
2015-03-20,68.27,64.5526,68.21,68.81,1839530.0,68.13
2015-03-23,68.39,63.9374,67.56,68.51,1062700.0,67.56
2015-03-24,67.65,64.3065,67.95,68.13,1698776.0,67.1
2015-03-25,67.97,63.1898,66.77,68.11,1432431.0,66.77
2015-03-26,66.73,63.8522,67.47,67.61,2160361.0,66.4
2015-03-27,67.14,64.1361,67.77,67.92,1387520.0,66.96
2015-03-30,68.0,64.7797,68.45,68.56,1416588.0,67.9
2015-03-31,68.19,64.4295,68.08,68.52,1473767.0,67.77
2015-04-01,68.04,63.4548,67.05,68.11,2107243.0,66.94
2015-04-02,66.82,63.909,67.53,67.84,1932894.0,66.62
2015-04-06,66.92,64.2119,67.85,68.28,1484995.0,66.63
2015-04-07,68.12,63.7387,67.35,68.35,1173644.0,67.35
2015-04-08,67.28,63.8901,67.51,67.72,1300827.0,67.02
2015-04-09,67.46,64.2308,67.87,67.97,1936091.0,67.07
2015-04-10,67.83,64.9122,68.59,68.73,2034750.0,67.54
2015-04-13,68.3,65.0163,68.7,69.15,1465364.0,68.21
2015-04-14,68.49,64.9027,68.58,68.7325,1267066.0,68.0804
2015-04-15,68.92,65.48,69.19,69.42,1095779.0,68.68
2015-04-16,68.95,65.1109,68.8,69.41,1645099.0,68.675
2015-04-17,68.29,63.7292,67.34,68.36,1364822.0,67.08
2015-04-20,67.75,64.051,67.68,67.85,1048675.0,67.4
2015-04-21,67.75,63.5967,67.2,68.1125,1349481.0,67.14
2015-04-22,67.19,63.8712,67.49,67.6,1656047.0,66.62
2015-04-23,68.82,65.357,69.06,69.4,2832010.0,67.94
2015-04-24,69.14,64.95,68.63,69.14,2055735.0,68.23
2015-04-27,68.67,64.95,68.63,69.4,1787561.0,68.41
2015-04-28,68.53,65.48,69.19,69.22,1718641.0,68.2
2015-04-29,68.65,64.0226,67.65,68.9599,2412402.0,67.58
2015-04-30,67.29,62.3096,65.84,67.79,2886140.0,65.77
2015-05-01,65.98,63.2655,66.85,67.06,1713569.0,65.85
2015-05-04,66.97,63.3033,66.89,67.38,1262920.0,66.69
2015-05-05,66.69,62.3002,65.83,66.98,1589330.0,65.79
2015-05-06,66.01,63.2371,66.82,66.82,3489274.0,65.47
2015-05-07,66.83,63.5399,67.14,67.41,1556781.0,66.6
2015-05-08,67.94,63.8238,67.44,68.33,1588094.0,67.36
2015-05-11,67.3,63.5683,67.17,67.81,339865.0,67.12
2015-05-12,67.16,63.8996,67.52,67.77,331770.0,66.95
2015-05-13,67.6,64.4674,68.12,68.44,1962227.0,67.25
2015-05-14,69.49,66.4169,70.18,70.21,2622325.0,68.98
2015-05-15,70.1,67.1078,70.91,70.93,3010372.0,70.04
2015-05-18,70.5,66.7198,70.5,70.84,1602435.0,70.34
2015-05-19,70.54,66.0005,69.74,70.63,1986209.0,69.52
2015-05-20,69.81,65.622,69.34,69.9,1567499.0,69.2
2015-05-21,69.35,65.7923,69.52,69.87,1128343.0,68.96
2015-05-22,70.34,65.5557,69.27,70.34,1153832.0,69.27
2015-05-26,69.05,64.9122,68.59,69.066,942998.0,68.46
2015-05-27,68.96,65.7923,69.52,69.68,1236599.0,68.64
2015-05-28,69.41,65.7166,69.44,69.7,1090862.0,69.04
2015-05-29,69.29,65.092,68.78,69.5,2018217.0,68.59
2015-06-01,69.03,65.2907,68.99,69.27,1299054.0,68.39
2015-06-02,68.84,65.5273,69.24,69.71,2193799.0,68.6
2015-06-03,69.36,65.3854,69.09,69.505,2269064.0,68.905
2015-06-04,68.79,65.3475,69.05,69.12,2822112.0,68.245
2015-06-05,69.02,65.4043,69.11,69.24,2154629.0,68.63
2015-06-08,69.06,64.9122,68.59,69.17,960580.0,68.575
2015-06-09,68.65,64.9311,68.61,69.0,1258193.0,68.4301
2015-06-10,68.72,65.7545,69.19,69.57,1052699.0,68.55
2015-06-11,69.49,66.1916,69.65,69.75,1650651.0,69.4
2015-06-12,69.98,66.3912,69.86,70.47,2685846.0,69.64
2015-06-15,69.13,65.6119,69.04,69.3,1910591.0,68.43
2015-06-16,68.7,65.6309,69.06,69.14,1520952.0,68.6
2015-06-17,69.18,65.5549,68.98,69.3,2128902.0,68.535
2015-06-18,69.0,65.9825,69.43,69.8,1400923.0,68.95
2015-06-19,69.45,65.5644,68.99,69.53,2101173.0,68.98
2015-06-22,69.21,65.8305,69.27,69.38,2079474.0,68.82
2015-06-23,69.32,65.4503,68.87,69.45,1395744.0,68.85
2015-06-24,68.88,65.1652,68.57,68.99,1123142.0,68.3
2015-06-25,68.84,64.7851,68.17,68.84,950664.0,67.98
2015-06-26,68.36,65.0322,68.43,68.575,1708148.0,67.99
2015-06-29,68.0,64.2244,67.58,68.17,1920167.0,67.495
2015-06-30,68.13,64.0723,67.42,68.48,1757717.0,67.17
2015-07-01,68.03,64.2434,67.6,68.05,1181336.0,67.335
2015-07-02,67.87,64.1579,67.51,68.05,826432.0,67.3
2015-07-06,66.8,63.7017,67.03,67.4,1624039.0,66.33
2015-07-07,67.28,63.9583,67.3,67.41,1678896.0,66.28
2015-07-08,66.67,62.8939,66.18,67.24,1816354.0,66.15
2015-07-09,66.92,62.8179,66.1,67.28,1497204.0,66.1
2015-07-10,66.79,63.1125,66.41,66.92,1157288.0,66.18
2015-07-13,67.43,63.8918,67.23,67.51,2038452.0,67.08
2015-07-14,67.29,64.1009,67.45,67.59,1631856.0,67.23
2015-07-15,67.62,64.0248,67.37,67.71,2693640.0,67.1
2015-07-16,68.53,64.3194,67.68,68.69,3485368.0,67.59
2015-07-17,67.68,64.2719,67.63,68.33,1470314.0,67.21
2015-07-20,67.89,65.3458,68.76,69.28,2514455.0,67.77
2015-07-21,68.93,64.614,67.99,69.08,1827811.0,67.77
2015-07-22,67.97,64.8136,68.2,68.48,2662869.0,67.64
2015-07-23,68.25,63.6447,66.97,68.25,2135531.0,66.89
2015-07-24,66.84,62.7229,66.0,67.08,1408473.0,65.82
2015-07-27,65.5,61.7725,65.0,65.73,2215711.0,64.95
2015-07-28,61.9,57.686,60.7,62.0,8875737.0,60.44
2015-07-29,60.84,58.4463,61.5,62.08,4237247.0,60.63
2015-07-30,61.06,58.0757,61.11,61.2625,2660752.0,60.69
2015-07-31,61.27,58.3513,61.4,61.77,2299789.0,61.18
2015-08-03,61.19,57.5245,60.53,61.28,3543610.0,60.46
2015-08-04,60.78,56.4316,59.38,61.155,4526677.0,59.06
2015-08-05,59.8,56.9828,59.96,60.47,3193975.0,59.8
2015-08-06,59.99,57.0303,60.01,60.27,2701511.0,59.79
2015-08-07,59.96,57.2584,60.25,60.41,3774112.0,59.69
2015-08-10,60.58,58.5413,61.6,61.825,2683831.0,60.55
