Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,38.95,32.5057,38.96,39.1075,898814.0,38.59
2015-01-05,38.81,32.6642,39.15,39.27,907135.0,38.74
2015-01-06,39.33,32.9646,39.51,39.9,1389265.0,39.03
2015-01-07,39.79,33.0146,39.57,39.9575,1701981.0,39.42
2015-01-08,39.94,33.6237,40.3,40.3,2114228.0,39.7101
2015-01-09,40.3,32.9396,39.48,40.33,1277602.0,39.44
2015-01-12,39.59,32.8061,39.32,39.74,1479175.0,38.96
2015-01-13,39.49,33.1148,39.69,39.9,1760196.0,39.33
2015-01-14,39.68,33.3734,40.0,40.06,1284280.0,39.29
2015-01-15,40.08,33.6738,40.36,40.8,1614523.0,40.08
2015-01-16,40.42,33.6487,40.33,40.5999,1627535.0,39.72
2015-01-20,40.57,33.9992,40.75,40.99,1689617.0,40.2
2015-01-21,40.62,33.29,39.9,40.93,1490514.0,39.86
2015-01-22,40.24,33.6571,40.34,40.41,3099586.0,39.765
2015-01-23,40.36,33.9992,40.75,41.12,1240321.0,40.25
2015-01-26,40.65,34.0909,40.86,41.0297,711597.0,40.54
2015-01-27,40.58,33.6738,40.36,40.81,994667.0,40.25
2015-01-28,40.71,33.5153,40.17,40.8799,1023605.0,40.14
2015-01-29,40.08,33.9324,40.67,40.68,906848.0,40.07
2015-01-30,40.5,33.2399,39.84,40.55,1352913.0,39.63
2015-02-02,39.85,33.0981,39.67,39.89,1132395.0,38.7
2015-02-03,39.71,33.5403,40.2,40.21,793765.0,39.41
2015-02-04,40.2,33.8323,40.55,40.835,960124.0,40.04
2015-02-05,40.61,34.2828,41.09,41.115,1111744.0,40.5
2015-02-06,41.11,34.1327,40.91,41.53,1168716.0,40.79
2015-02-09,40.7,32.9813,39.53,40.8296,1065399.0,39.48
2015-02-10,39.64,33.1648,39.75,39.83,1132057.0,39.34
2015-02-11,39.78,33.2566,39.86,39.92,697231.0,39.31
2015-02-12,40.04,33.7656,40.47,40.52,835885.0,39.8101
2015-02-13,40.4,32.8478,39.37,40.4,1299146.0,39.02
2015-02-17,39.2,32.6058,39.08,39.45,1354472.0,39.02
2015-02-18,39.05,32.9813,39.53,39.64,1671839.0,38.75
2015-02-19,39.51,32.3972,38.83,39.51,1163143.0,38.8
2015-02-20,38.37,30.6285,36.71,38.37,3471305.0,36.1
2015-02-23,36.71,30.278,36.29,36.81,1648466.0,35.98
2015-02-24,36.22,30.52,36.58,36.63,1579344.0,35.84
2015-02-25,36.46,30.4366,36.48,36.69,1584398.0,36.09
2015-02-26,36.42,30.7453,36.85,36.88,1955891.0,36.2499
2015-02-27,36.8,30.6618,36.75,36.85,2199024.0,36.335
2015-03-02,36.67,31.2792,37.49,37.5499,1934521.0,36.63
2015-03-03,37.4,31.1958,37.39,37.5,1864223.0,37.04
2015-03-04,36.77,30.8412,36.49,37.126,2038739.0,36.41
2015-03-05,36.51,30.9257,36.59,36.6798,1082300.0,36.44
2015-03-06,36.31,30.6637,36.28,36.6,1678081.0,36.08
2015-03-09,36.34,30.9004,36.56,36.59,1148414.0,36.25
2015-03-10,36.31,30.6384,36.25,36.39,2319579.0,35.6
2015-03-11,36.3,30.4017,35.97,36.3,1653631.0,35.8
2015-03-12,36.01,31.0187,36.7,36.77,1045092.0,35.98
2015-03-13,36.7,31.1624,36.87,37.08,1701981.0,36.27
2015-03-16,37.06,31.7794,37.6,37.7,1301846.0,37.06
2015-03-17,37.54,31.8977,37.74,38.12,2230460.0,37.4
2015-03-18,37.71,32.5992,38.57,38.74,1761450.0,37.62
2015-03-19,38.56,32.3457,38.27,38.76,2046058.0,38.2
2015-03-20,38.49,32.6668,38.65,38.91,3722738.0,38.41
