Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,95.16,88.8304,94.68,95.46,1378518.0,93.88
2015-01-05,94.21,86.635,92.34,94.21,1827530.0,92.18
2015-01-06,92.68,85.4434,91.07,92.816,2682699.0,90.43
2015-01-07,91.84,86.3723,92.06,92.45,1696518.0,91.38
2015-01-08,92.94,88.4551,94.28,94.32,1717447.0,92.9
2015-01-09,94.5,87.789,93.57,94.718,1413076.0,93.07
2015-01-12,93.76,87.3856,93.14,93.96,1353964.0,92.84
2015-01-13,93.85,87.2824,93.03,94.52,2117041.0,92.29
2015-01-14,91.68,87.1041,92.84,93.03,1891322.0,91.6104
2015-01-15,92.88,86.4755,92.17,93.5,1735598.0,91.95
2015-01-16,92.08,87.5263,93.29,93.29,2161399.0,91.455
2015-01-20,93.76,87.6389,93.41,93.84,2009176.0,92.38
2015-01-21,93.09,87.9391,93.73,94.0,1770011.0,92.96
2015-01-22,94.43,88.7554,94.6,94.94,2242771.0,93.55
2015-01-23,94.63,87.7796,93.56,94.74,1793842.0,93.55
2015-01-26,93.55,87.9391,93.73,93.98,2217082.0,92.89
2015-01-27,93.37,87.6858,93.46,94.16,2701966.0,92.12
2015-01-28,93.85,86.4286,92.12,93.88,2972078.0,92.06
2015-01-29,92.13,87.9579,93.75,94.06,3202679.0,91.68
2015-01-30,92.98,87.3386,93.09,94.14,3866576.0,92.86
2015-02-02,93.56,89.0462,94.91,94.99,1750720.0,92.82
2015-02-03,95.0,89.9469,95.87,96.19,2222410.0,94.84
2015-02-04,96.0,89.9281,95.85,96.6,2111202.0,95.64
2015-02-05,96.0,91.0727,97.07,97.255,1671779.0,95.904
2015-02-06,96.98,91.0915,97.09,97.84,1810709.0,96.85
2015-02-09,96.67,90.8382,96.82,97.22,1050059.0,96.42
2015-02-10,97.21,91.054,97.05,97.25,1078460.0,96.4
2015-02-11,97.0,90.7444,96.72,97.1,826507.0,96.28
2015-02-12,97.09,91.7389,97.78,97.81,1513715.0,96.9
2015-02-13,97.8,92.1892,98.26,98.69,1280247.0,97.8
2015-02-17,97.86,92.1236,98.19,98.535,1232134.0,97.81
2015-02-18,97.71,92.3581,98.44,98.7,1202662.0,97.71
2015-02-19,97.97,92.3487,98.43,98.8,1317797.0,97.966
2015-02-20,98.25,93.3432,99.49,99.81,2221171.0,97.79
2015-02-23,99.25,93.1181,99.25,99.46,1376649.0,98.88
2015-02-24,98.96,93.3339,99.48,99.88,1806149.0,98.94
2015-02-25,99.27,93.5966,99.76,99.93,1516754.0,99.27
2015-02-26,99.87,93.1744,99.31,99.95,1775512.0,99.2
2015-02-27,99.32,92.7522,98.86,99.46,1709834.0,98.83
2015-03-02,98.9,93.4089,99.56,99.895,1797661.0,98.72
2015-03-03,99.2,93.5121,99.67,99.79,1912951.0,99.11
2015-03-04,99.28,92.1329,98.2,99.28,2038089.0,98.165
2015-03-05,98.14,92.9961,99.12,99.25,1705866.0,98.09
2015-03-06,98.17,91.7295,97.77,98.66,2361673.0,97.6
2015-03-09,97.72,92.5927,98.69,99.05,1549721.0,97.69
2015-03-10,97.75,90.7538,96.73,97.86,1868638.0,96.73
2015-03-11,96.83,90.2471,96.19,96.98,1884111.0,96.15
2015-03-12,96.52,92.0203,98.08,98.25,1420170.0,96.38
2015-03-13,97.92,91.6263,97.66,98.06,1784078.0,96.75
2015-03-16,98.04,92.9586,99.08,99.15,1378041.0,97.8
2015-03-17,98.64,92.6583,98.76,99.0,1450203.0,98.3601
2015-03-18,98.36,93.6435,99.81,100.14,2568013.0,97.34
2015-03-19,99.36,93.2306,99.37,99.68,1666639.0,98.77
2015-03-20,99.69,92.4425,98.53,99.74,5200114.0,98.38
2015-03-23,98.7,91.8515,97.9,98.93,1815633.0,97.89
2015-03-24,97.66,91.5794,97.61,98.17,1628803.0,97.52
2015-03-25,97.79,90.538,96.5,97.96,1761869.0,96.49
2015-03-26,96.08,90.5661,96.53,96.93,1685944.0,95.78
2015-03-27,96.49,91.2182,96.74,96.99,1860757.0,96.05
2015-03-30,97.2,92.3025,97.89,98.22,1973589.0,97.15
2015-03-31,97.34,91.5953,97.14,97.58,1741483.0,96.82
2015-04-01,97.0,91.0107,96.52,97.15,1480312.0,96.1
2015-04-02,96.31,91.0956,96.61,97.3,1074605.0,96.26
2015-04-06,96.14,92.18,97.76,98.25,1095282.0,96.0
2015-04-07,97.84,92.3497,97.94,98.76,1592717.0,97.56
