Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,39.72,35.3715,39.14,39.815,2899023.0,38.865
2015-01-05,38.77,34.3413,38.0,38.89,4067588.0,37.94
2015-01-06,37.6,33.6273,37.21,37.99,5081128.0,36.9
2015-01-07,37.66,34.0702,37.7,37.96,2547614.0,37.41
2015-01-08,38.16,34.6666,38.36,38.71,2892108.0,38.02
2015-01-09,38.38,34.025,37.65,38.4499,2586815.0,37.635
2015-01-12,37.64,33.8262,37.43,37.64,2286496.0,36.95
2015-01-13,37.79,33.7358,37.33,38.26,4254959.0,37.025
2015-01-14,36.75,33.0309,36.55,36.88,4716632.0,36.22
2015-01-15,36.6,32.4706,35.93,36.8,4341148.0,35.91
2015-01-16,35.66,32.8411,36.34,36.35,3427837.0,35.45
2015-01-20,36.47,32.5158,35.98,36.53,3097408.0,35.88
2015-01-21,35.91,32.814,36.31,36.4399,4313837.0,35.42
2015-01-22,36.58,33.7267,37.32,37.49,5032909.0,36.03
2015-01-23,37.27,33.4647,37.03,37.33,4714498.0,36.96
2015-01-26,37.25,33.799,37.4,37.4721,2895112.0,36.83
2015-01-27,36.87,33.555,37.13,37.4,3463269.0,36.74
2015-01-28,37.43,32.8411,36.34,37.43,4190477.0,36.33
2015-01-29,37.28,34.1334,37.77,37.86,6845390.0,36.63
2015-01-30,37.17,33.1936,36.73,37.57,5168426.0,36.43
2015-02-02,36.83,33.8171,37.42,37.44,3529549.0,36.49
2015-02-03,37.77,34.9468,38.67,38.7,4752557.0,37.66
2015-02-04,38.52,34.757,38.46,38.84,2869468.0,38.37
2015-02-05,38.64,35.1817,38.93,39.16,2835631.0,38.58
2015-02-06,39.28,35.1094,38.85,39.58,3501761.0,38.74
2015-02-09,38.58,35.0191,38.75,38.93,1885957.0,38.46
2015-02-10,39.16,35.5794,39.37,39.415,2182405.0,38.702
2015-02-11,39.38,35.5794,39.37,39.535,1827408.0,39.05
2015-02-12,39.78,35.7691,39.58,39.79,2405480.0,39.4099
2015-02-13,39.6,35.7149,39.52,39.79,1956101.0,39.43
2015-02-17,39.44,35.9318,39.51,39.73,1925280.0,39.2801
2015-02-18,39.5,35.6317,39.18,39.6,2029764.0,39.065
2015-02-19,39.06,35.6317,39.18,39.34,2904632.0,38.92
2015-02-20,38.96,36.4047,40.03,40.14,4124516.0,38.96
2015-02-23,39.97,36.141,39.74,40.01,2056921.0,39.58
2015-02-24,39.65,36.5593,40.2,40.299,2787279.0,39.65
2015-02-25,40.1,36.5502,40.19,40.28,1996629.0,39.97
2015-02-26,40.12,36.6776,40.33,40.73,3675103.0,40.05
2015-02-27,40.35,36.623,40.27,40.4,3683783.0,40.08
2015-03-02,39.93,36.7958,40.46,40.53,3099793.0,39.85
2015-03-03,40.35,36.623,40.27,40.72,2032303.0,40.02
2015-03-04,40.13,36.6866,40.34,40.36,2115870.0,39.81
2015-03-05,40.39,36.9322,40.61,40.72,2321172.0,40.24
2015-03-06,40.62,36.5048,40.14,41.19,3396717.0,40.06
