Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,2086695.0,22.46,22.24,22.45,22.58,21.4524
2015-01-05,3806484.0,22.32,22.071,22.2,22.33,21.2135
2015-01-06,4321959.0,22.19,21.735,21.89,22.22,20.9173
2015-01-07,9811231.0,22.01,21.92,22.38,22.715,21.3855
2015-01-08,5419058.0,22.61,22.6,23.03,23.1,22.0066
2015-01-09,4149054.0,23.03,22.68,23.05,23.21,22.0257
2015-01-12,5407529.0,22.85,22.39,22.45,22.85,21.4524
2015-01-13,3540833.0,22.3,22.145,22.4,22.93,21.4046
2015-01-14,6340833.0,22.2,21.73,22.25,22.34,21.2613
2015-01-15,10814471.0,22.32,21.32,21.39,22.55,20.4395
2015-01-16,3697147.0,21.38,21.24,21.63,21.68,20.6688
2015-01-20,2833483.0,21.74,21.47,21.72,21.84,20.7548
2015-01-21,2975005.0,21.55,21.37,21.84,21.89,20.8695
2015-01-22,1765274.0,21.59,21.52,22.05,22.06,21.0702
2015-01-23,2142850.0,22.04,21.97,22.01,22.38,21.0319
2015-01-26,2148977.0,21.98,21.76,22.15,22.16,21.1657
2015-01-27,5045205.0,21.83,21.73,21.83,22.03,20.8599
2015-01-28,11988681.0,23.39,22.65,22.65,23.59,21.6435
2015-01-29,6542959.0,22.71,22.49,22.71,22.99,21.7008
2015-01-30,8003087.0,22.61,22.56,22.73,22.995,21.7199
2015-02-02,5997100.0,22.73,22.15,22.56,22.83,21.5575
2015-02-03,5460560.0,22.69,22.69,23.22,23.28,22.1882
2015-02-04,5677269.0,23.06,22.7,22.74,23.48,21.7295
2015-02-05,4228185.0,22.83,22.82,23.24,23.34,22.2073
2015-02-06,5029389.0,23.24,23.24,23.43,23.61,22.3888
2015-02-09,2727650.0,23.3,23.13,23.15,23.45,22.1213
2015-02-10,3023522.0,23.3,22.86,23.12,23.33,22.0926
2015-02-11,4043804.0,23.14,23.1,23.29,23.38,22.2551
2015-02-12,4493380.0,23.43,23.41,23.65,23.94,22.5991
2015-02-13,2504113.0,23.64,23.58,23.84,23.9,22.7806
2015-02-17,2434288.0,23.82,23.68,23.93,23.95,22.8666
2015-02-18,2411722.0,23.82,23.67,23.75,23.9,22.6946
2015-02-19,3250473.0,23.73,23.62,24.0,24.09,22.9335
2015-02-20,6472435.0,23.93,23.76,24.2,24.22,23.1246
2015-02-23,4457141.0,24.13,23.89,24.13,24.14,23.0577
2015-02-24,7337153.0,24.11,24.06,24.45,24.6,23.3635
2015-02-25,4459486.0,24.43,24.36,24.5,24.57,23.4113
