Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,766300.0,46.6,46.04,46.99,47.22,45.9883
2015-01-05,1410373.0,46.5,44.97,45.44,46.55,44.4713
2015-01-06,1647803.0,45.52,44.03,44.5,45.76,43.5514
2015-01-07,2790595.0,44.15,42.7174,43.02,44.4,42.1029
2015-01-08,3102752.0,43.45,42.7735,44.14,44.15,43.199
2015-01-09,1810615.0,44.08,43.55,44.19,44.38,43.248
2015-01-12,1809134.0,43.47,42.02,43.34,43.85,42.4161
2015-01-13,1395922.0,43.48,42.56,43.21,43.67,42.2889
2015-01-14,2059978.0,42.47,42.16,43.43,43.61,42.5042
2015-01-15,1334733.0,44.07,42.365,42.39,44.089,41.4863
2015-01-16,1292196.0,42.39,41.89,42.19,42.47,41.2906
2015-01-20,724191.0,42.36,41.98,42.53,42.67,41.6234
2015-01-21,872768.0,42.25,42.14,43.09,43.15,42.1714
2015-01-22,1556082.0,44.75,43.92,44.3,45.25,43.3556
2015-01-23,853904.0,43.8,43.02,43.15,43.87,42.2301
2015-01-26,648351.0,43.13,42.89,43.61,43.65,42.6803
2015-01-27,1962383.0,41.67,40.97,41.29,42.29,40.4098
2015-01-28,1405778.0,41.79,40.66,40.81,42.02,39.94
2015-01-29,1507971.0,40.83,40.8,42.48,42.695,41.5744
2015-01-30,965453.0,42.37,41.77,41.94,42.6,41.0459
2015-02-02,1883637.0,42.13,41.94,43.24,43.36,42.3182
2015-02-03,1690498.0,43.84,43.75,44.17,44.38,43.2284
2015-02-04,1171994.0,43.76,43.23,43.37,44.27,42.4454
2015-02-05,788112.0,43.81,43.32,44.04,44.2,43.1012
2015-02-06,1434636.0,43.98,43.98,44.75,44.79,43.796
2015-02-09,1190869.0,44.69,44.48,44.78,45.25,43.8254
2015-02-10,693671.0,44.97,43.57,43.84,44.97,42.9054
2015-02-11,1206104.0,43.72,43.14,44.11,44.3,43.1697
2015-02-12,1534653.0,44.88,43.5,43.79,44.9397,42.8565
2015-02-13,1953251.0,44.2,44.1,44.14,45.08,43.199
2015-02-17,2122845.0,44.07,43.91,44.29,44.53,43.3458
2015-02-18,924804.0,44.28,44.11,44.47,44.97,43.522
2015-02-19,904386.0,44.07,43.6,44.16,44.54,43.2186
2015-02-20,1275688.0,43.93,43.42,44.8,44.96,43.845
2015-02-23,825101.0,44.39,44.111,44.68,44.93,43.7275
2015-02-24,647470.0,44.95,44.642,44.98,45.29,44.0211
2015-02-25,685131.0,44.92,44.68,45.07,45.215,44.1092
2015-02-26,730246.0,45.17,44.5,44.72,45.2884,43.7667
2015-02-27,697475.0,44.69,44.26,44.32,45.0,43.3752
2015-03-02,1359362.0,43.35,43.06,43.66,43.99,42.925
2015-03-03,1110490.0,43.37,42.9,42.97,43.69,42.2466
2015-03-04,1648927.0,42.96,41.82,42.13,42.98,41.4208
2015-03-05,8929643.0,39.56,38.64,39.94,40.36,39.2676
2015-03-06,3351385.0,39.6,38.74,39.05,39.84,38.3926
2015-03-09,1832491.0,39.0,38.7001,39.0,39.28,38.3434
2015-03-10,2859478.0,38.49,38.06,38.68,39.06,38.0288
2015-03-11,1665429.0,38.56,37.77,38.01,38.71,37.3701
2015-03-12,1920665.0,38.38,38.3,39.46,39.7,38.7957
2015-03-13,1932248.0,39.45,38.6,39.03,39.45,38.3729
2015-03-16,1341323.0,39.24,38.76,39.63,39.66,38.9628
2015-03-17,1635934.0,39.4,39.16,39.18,39.62,38.5204
2015-03-18,2049885.0,38.77,38.51,40.32,40.6,39.6412
2015-03-19,1300850.0,39.97,38.91,39.15,39.97,38.4909
2015-03-20,1995954.0,39.48,39.28,40.41,40.53,39.7297
2015-03-23,1667582.0,40.45,40.42,40.66,41.05,39.9755
2015-03-24,1438765.0,40.59,40.231,40.42,41.06,39.7395
2015-03-25,1379356.0,40.61,39.57,39.97,40.62,39.2971
2015-03-26,1394604.0,39.83,39.05,39.16,40.45,38.5008
2015-03-27,1442382.0,39.0,38.26,38.59,39.01,37.9404
2015-03-30,1144207.0,38.68,38.68,39.8,40.06,39.13
2015-03-31,906859.0,39.4,38.77,39.18,39.496,38.5204
2015-04-01,836350.0,39.14,38.85,38.92,39.5,38.2648
2015-04-02,967440.0,38.88,38.88,39.05,39.63,38.3926
2015-04-06,1350059.0,38.83,38.83,39.46,39.82,38.7957
