Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,871717.0,79.66,77.6,78.37,80.05,67.1759
2015-01-05,1178709.0,77.7,76.95,77.28,77.81,66.2416
2015-01-06,1435586.0,77.46,76.32,76.79,78.03,65.8216
2015-01-07,1720436.0,78.09,77.72,79.42,79.64,68.0759
2015-01-08,1231291.0,79.95,79.41,79.78,80.0501,68.3845
2015-01-09,971229.0,79.78,78.3,78.5,79.78,67.2873
2015-01-12,953294.0,78.38,78.03,78.38,78.9,67.1845
2015-01-13,1109675.0,79.19,77.43,77.95,79.57,66.8159
2015-01-14,1284444.0,76.59,75.94,77.04,77.32,66.0359
2015-01-15,964180.0,77.71,75.72,75.78,78.198,64.9558
2015-01-16,1553924.0,75.96,74.87,76.89,76.97,65.9073
2015-01-20,1270804.0,77.0,75.22,75.71,77.2,64.8958
2015-01-21,1008143.0,75.54,75.49,75.97,76.4,65.1187
2015-01-22,1132754.0,76.19,75.98,77.4,77.51,66.3444
2015-01-23,988693.0,77.5,77.0,77.08,77.78,66.0701
2015-01-26,1229506.0,76.88,76.71,77.99,78.04,66.8502
2015-01-27,1549935.0,77.35,77.051,78.72,79.26,67.4759
2015-01-28,1353564.0,79.2,77.77,77.86,79.89,66.7387
2015-01-29,1078075.0,78.09,77.3299,78.27,78.79,67.0902
2015-01-30,1288770.0,77.37,76.13,76.2,77.79,65.3158
2015-02-02,1295613.0,76.06,74.51,76.57,76.73,65.633
2015-02-03,1361926.0,77.05,76.81,78.89,78.92,67.6216
2015-02-04,1208675.0,78.5,78.13,78.9,79.22,67.6302
2015-02-05,944558.0,79.05,78.5,78.76,79.68,67.5102
2015-02-06,804782.0,79.06,78.15,78.5,79.24,67.2873
2015-02-09,1030911.0,77.9,77.9,78.52,78.71,67.3045
2015-02-10,997121.0,78.99,78.73,79.26,79.38,67.9388
2015-02-11,1073132.0,79.5,78.72,79.03,79.76,67.7416
2015-02-12,908212.0,79.24,78.58,79.37,79.46,68.033
2015-02-13,708226.0,79.53,79.13,79.41,79.65,68.0673
2015-02-17,1502283.0,78.25,78.18,78.9,79.43,67.6302
2015-02-18,2079639.0,78.78,77.57,78.05,79.31,66.9016
2015-02-19,3899703.0,78.28,76.82,77.14,78.63,66.1216
2015-02-20,6839439.0,77.67,77.63,81.74,81.78,70.0645
2015-02-23,2049861.0,81.71,80.65,81.11,81.71,69.5245
2015-02-24,1243524.0,80.94,80.275,80.56,81.49,69.0531
2015-02-25,1505504.0,80.48,80.01,81.19,81.59,69.9102
2015-02-26,982271.0,81.13,80.68,80.85,81.43,69.6175
2015-02-27,1322910.0,81.06,80.35,80.43,81.72,69.2558
2015-03-02,1201341.0,80.5,79.89,80.68,80.89,69.4711
2015-03-03,791852.0,80.76,79.72,79.97,80.886,68.8597
2015-03-04,1163769.0,79.51,78.99,79.95,80.13,68.8425
2015-03-05,1523601.0,80.0,79.75,80.65,81.49,69.4453
2015-03-06,1396322.0,80.07,80.03,80.86,81.52,69.6261
2015-03-09,960245.0,80.81,80.0,80.34,80.8101,69.1783
2015-03-10,1167348.0,80.03,79.205,79.44,80.26,68.4034
2015-03-11,666237.0,79.44,79.2,79.27,79.9,68.257
2015-03-12,774794.0,79.5,79.45,80.28,80.42,69.1267
2015-03-13,597868.0,80.25,79.69,80.36,80.55,69.1955
2015-03-16,1610309.0,80.5,79.47,80.23,80.85,69.0836
2015-03-17,727444.0,80.0,79.78,80.21,80.5,69.0664
2015-03-18,959013.0,80.25,79.18,80.49,80.78,69.3075
2015-03-19,765468.0,80.55,80.26,81.2,81.29,69.9188
2015-03-20,1163685.0,81.28,81.16,82.32,82.42,70.8832
2015-03-23,1008951.0,82.0,81.57,81.99,83.16,70.5991
2015-03-24,724353.0,81.78,81.59,81.63,82.34,70.2891
