Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,14.0,12.7573,13.86,14.05,6203660.0,13.66
2015-01-05,13.78,12.3707,13.44,13.79,7408463.0,13.43
2015-01-06,13.47,11.9934,13.03,13.48,13236875.0,12.98
2015-01-07,13.18,12.0854,13.13,13.28,11281209.0,13.01
2015-01-08,13.26,12.3339,13.4,13.435,9180097.0,13.2001
2015-01-09,13.4,11.9841,13.02,13.4,9593864.0,13.02
2015-01-12,13.01,11.8369,12.86,13.05,7665668.0,12.78
2015-01-13,12.97,11.6896,12.7,13.08,11630489.0,12.575
2015-01-14,12.53,11.4319,12.42,12.53,17117803.0,12.24
2015-01-15,12.37,11.1926,12.16,12.47,12889197.0,12.042
2015-01-16,12.13,11.4135,12.4,12.4,13083294.0,12.08
2015-01-20,12.39,11.2846,12.26,12.43,12997939.0,12.21
2015-01-21,12.24,11.349,12.33,12.4,17101821.0,12.16
2015-01-22,12.6,12.2143,13.27,13.36,30301043.0,12.59
2015-01-23,13.28,12.2143,13.27,13.45,13642221.0,13.17
2015-01-26,13.29,12.4076,13.48,13.5,10233868.0,13.21
2015-01-27,13.25,12.2511,13.31,13.46,9657851.0,13.23
2015-01-28,13.42,11.9105,12.94,13.42,12465103.0,12.93
2015-01-29,12.97,12.1498,13.2,13.23,10502795.0,12.9025
2015-01-30,12.98,11.9565,12.99,13.2,10476054.0,12.94
2015-02-02,13.09,12.2143,13.27,13.32,11852494.0,12.97
2015-02-03,13.35,12.4996,13.58,13.59,12911563.0,13.34
2015-02-04,13.56,12.472,13.55,13.68,6867921.0,13.52
2015-02-05,13.77,12.7021,13.8,13.835,12072445.0,13.68
2015-02-06,14.03,13.0335,14.16,14.3,19184784.0,13.98
2015-02-09,14.0,12.7757,13.88,14.025,10584222.0,13.86
2015-02-10,14.0,12.8678,13.98,14.0,7236713.0,13.83
2015-02-11,13.94,12.8125,13.92,13.95,12512446.0,13.785
2015-02-12,14.02,13.0611,14.19,14.225,9700296.0,13.95
2015-02-13,14.23,12.9874,14.11,14.29,8855453.0,14.02
2015-02-17,14.09,13.0242,14.15,14.17,7620163.0,13.9234
2015-02-18,14.13,12.831,13.94,14.14,6783050.0,13.895
2015-02-19,13.91,12.7941,13.9,13.93,6637256.0,13.71
2015-02-20,13.83,13.1025,14.02,14.02,7623938.0,13.67
2015-02-23,13.97,12.9997,13.91,13.99,4633777.0,13.83
2015-02-24,13.96,13.1586,14.08,14.09,7335302.0,13.92
2015-02-25,14.08,13.224,14.15,14.2,8383991.0,14.02
2015-02-26,14.1,13.1866,14.11,14.17,8619554.0,14.0
2015-02-27,13.99,13.0791,13.93,14.085,6735901.0,13.91
2015-03-02,13.95,13.1636,14.02,14.07,5770734.0,13.89
2015-03-03,13.94,13.1448,14.0,14.055,6771337.0,13.88
2015-03-04,13.9,13.051,13.9,13.945,11159120.0,13.79
2015-03-05,13.93,13.22,14.08,14.08,11170214.0,13.74
2015-03-06,14.12,13.4359,14.31,14.5,13553816.0,14.09
2015-03-09,14.27,13.4547,14.33,14.36,9682973.0,14.21
2015-03-10,14.16,13.1167,13.97,14.17,11961494.0,13.94
2015-03-11,14.0,13.3608,14.23,14.27,11370045.0,13.955
2015-03-12,14.47,13.7176,14.61,14.63,16077508.0,14.39
2015-03-13,14.59,13.6237,14.51,14.69,10739619.0,14.39
2015-03-16,14.58,13.6988,14.59,14.63,8385696.0,14.42
2015-03-17,14.48,13.7176,14.61,14.61,7821593.0,14.41
2015-03-18,14.58,13.5861,14.47,14.74,13410302.0,14.31
2015-03-19,14.46,13.5486,14.43,14.48,13281047.0,14.29
2015-03-20,14.49,13.7551,14.65,14.68,12773928.0,14.46
2015-03-23,14.67,13.6613,14.55,14.68,8403947.0,14.51
2015-03-24,14.5,13.4359,14.31,14.5,10217816.0,14.31
2015-03-25,14.3,13.173,14.03,14.31,11280065.0,13.98
2015-03-26,14.0,13.2857,14.15,14.195,10578974.0,13.9
2015-03-27,14.12,13.1448,14.0,14.12,7237394.0,13.92
2015-03-30,14.14,13.3326,14.2,14.28,4981766.0,14.095
2015-03-31,14.02,13.2951,14.16,14.18,8104263.0,14.01
2015-04-01,14.09,13.2951,14.16,14.18,17691359.0,13.99
2015-04-02,14.1,13.3796,14.25,14.28,8030403.0,14.1
2015-04-06,14.09,13.2951,14.16,14.2,7257573.0,13.93
2015-04-07,14.21,13.3796,14.25,14.34,8558727.0,14.115
2015-04-08,14.23,13.3232,14.19,14.36,6580370.0,14.15
2015-04-09,14.18,13.3232,14.19,14.25,6776493.0,14.07
2015-04-10,14.18,13.2012,14.06,14.21,9370341.0,14.01
2015-04-13,14.05,13.3796,14.25,14.26,15194081.0,14.03
2015-04-14,14.24,13.2387,14.1,14.3,14361195.0,14.06
2015-04-15,14.07,13.3232,14.19,14.29,10846257.0,14.06
2015-04-16,14.06,13.5204,14.4,14.53,21619429.0,13.9
2015-04-17,14.29,13.2293,14.09,14.37,11848421.0,14.0
2015-04-20,14.19,13.342,14.21,14.335,8117884.0,14.13
2015-04-21,14.26,13.3139,14.18,14.315,7977793.0,14.18
2015-04-22,14.16,13.4641,14.34,14.37,10232017.0,14.06
2015-04-23,14.32,13.4641,14.34,14.39,9558082.0,14.22
2015-04-24,14.33,13.3608,14.23,14.33,7453170.0,14.22
2015-04-27,14.25,13.2481,14.11,14.32,6984658.0,14.11
2015-04-28,14.1,13.389,14.26,14.28,7509746.0,14.005
2015-04-29,14.21,13.6049,14.49,14.56,11081790.0,14.21
2015-04-30,14.54,13.5674,14.45,14.62,11544523.0,14.37
2015-05-01,14.52,13.5204,14.4,14.57,6469561.0,14.36
2015-05-04,14.5,13.7364,14.63,14.64,7626092.0,14.41
2015-05-05,14.57,13.7551,14.65,14.83,16124288.0,14.54
2015-05-06,14.41,13.5767,14.46,14.71,19322078.0,14.38
2015-05-07,14.49,13.4735,14.35,14.5,11857379.0,14.29
2015-05-08,14.45,13.6894,14.58,14.6,9149169.0,14.33
2015-05-11,14.59,13.8396,14.74,14.805,7701600.0,14.53
2015-05-12,14.65,13.8209,14.72,14.79,14789775.0,14.51
2015-05-13,14.72,14.0087,14.92,14.97,16406268.0,14.66
2015-05-14,14.96,14.018,14.93,15.06,11426382.0,14.845
2015-05-15,15.0,13.8021,14.7,15.0,12852921.0,14.64
2015-05-18,14.73,13.9523,14.86,14.9,6735511.0,14.7
2015-05-19,14.92,14.187,15.11,15.11,9194127.0,14.88
2015-05-20,15.08,14.0556,14.97,15.1,6145384.0,14.93
2015-05-21,14.92,14.0087,14.92,15.03,6833276.0,14.86
2015-05-22,14.94,13.9899,14.9,15.0,4169181.0,14.84
2015-05-26,14.8,13.9148,14.82,14.86,10448996.0,14.68
