Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,25.26,22.3275,25.46,25.51,2716473.0,25.2
2015-01-05,25.45,22.5292,25.69,25.9,4106091.0,25.41
2015-01-06,25.84,22.6607,25.84,26.02,4957917.0,25.71
2015-01-07,25.97,23.2483,26.51,26.58,4571887.0,25.78
2015-01-08,26.64,23.3272,26.6,26.755,4189148.0,26.43
2015-01-09,26.67,23.2746,26.54,26.72,2790640.0,26.44
2015-01-12,26.59,23.4149,26.7,26.79,2691404.0,26.57
2015-01-13,26.74,23.5202,26.82,26.95,3457282.0,26.63
2015-01-14,26.65,23.9148,27.27,27.3,3532600.0,26.62
2015-01-15,27.39,23.9236,27.28,27.57,3529017.0,27.15
2015-01-16,27.18,24.3007,27.71,27.73,3406307.0,27.165
2015-01-20,27.78,23.9411,27.3,27.8,2874781.0,27.2
2015-01-21,27.16,23.9411,27.3,27.34,2719755.0,27.05
2015-01-22,27.5,24.5725,28.02,28.02,2424428.0,27.49
2015-01-23,28.03,24.5375,27.98,28.1,2035533.0,27.83
2015-01-26,27.91,24.8181,28.3,28.32,2419933.0,27.81
2015-01-27,28.18,24.8444,28.33,28.385,2079741.0,28.15
2015-01-28,28.41,24.6602,28.12,28.54,2650207.0,28.11
2015-01-29,28.14,24.8093,28.29,28.33,2379891.0,27.925
2015-01-30,28.18,24.2481,27.65,28.24,3309664.0,27.64
2015-02-02,27.65,24.3533,27.77,27.81,2971664.0,27.06
2015-02-03,27.7,24.6076,28.06,28.07,2490209.0,27.61
2015-02-04,27.92,24.2831,27.69,28.04,4798358.0,27.68
2015-02-05,27.7,24.5725,28.02,28.095,3115383.0,27.63
2015-02-06,27.94,23.4412,26.73,27.94,5948325.0,26.59
2015-02-09,26.75,23.2571,26.52,26.86,2215665.0,26.455
2015-02-10,26.56,23.5728,26.88,26.95,2937503.0,26.43
2015-02-11,26.94,23.4851,26.78,27.06,4596119.0,26.53
2015-02-12,26.8,23.7482,27.08,27.095,2198054.0,26.63
2015-02-13,27.05,23.5289,26.83,27.08,1698594.0,26.66
2015-02-17,26.83,23.4676,26.76,27.04,3460408.0,26.61
2015-02-18,26.76,23.6254,26.94,26.99,1979217.0,26.48
2015-02-19,26.85,23.0992,26.34,26.92,2604854.0,26.305
2015-02-20,26.39,23.5903,26.9,26.99,4503067.0,26.24
2015-02-23,26.88,23.906,27.26,27.28,3931980.0,26.86
2015-02-24,27.09,23.1957,26.45,27.09,4283835.0,26.37
2015-02-25,26.4,23.1957,26.45,26.63,3056074.0,26.375
2015-02-26,26.37,22.9501,26.17,26.37,2409782.0,26.0
2015-02-27,26.2,23.0466,26.28,26.4,2361289.0,26.01
2015-03-02,26.26,23.0729,26.31,26.625,2004482.0,26.16
2015-03-03,26.21,23.108,26.35,26.43,2274798.0,26.11
2015-03-04,26.29,22.7046,25.89,26.37,2315355.0,25.81
2015-03-05,26.04,22.9589,26.18,26.405,1894195.0,25.97
2015-03-06,25.69,22.1784,25.29,25.69,3475355.0,25.25
2015-03-09,25.41,22.3801,25.52,25.58,2057382.0,25.345
2015-03-10,25.44,22.4503,25.6,25.76,2747426.0,25.42
2015-03-11,25.6,22.459,25.61,25.76,2223586.0,25.53
2015-03-12,25.72,22.8712,26.08,26.13,1765375.0,25.64
2015-03-13,26.09,22.8361,26.04,26.23,1716097.0,25.92
2015-03-16,26.18,23.1694,26.42,26.59,2319696.0,26.18
2015-03-17,26.3,23.0817,26.32,26.55,1559237.0,26.22
2015-03-18,26.32,23.7306,27.06,27.11,1985339.0,26.17
2015-03-19,26.91,23.6693,26.99,27.18,1885727.0,26.76
2015-03-20,27.05,24.327,27.74,27.77,3717322.0,26.92
2015-03-23,27.73,24.2481,27.65,27.95,2779912.0,27.59
2015-03-24,27.58,23.985,27.35,27.67,3850144.0,27.305
2015-03-25,27.42,23.4588,26.75,27.47,2249116.0,26.72
2015-03-26,26.64,23.1957,26.45,26.83,2558986.0,26.39
2015-03-27,26.45,23.2571,26.52,26.71,2208268.0,26.435
2015-03-30,26.72,23.7043,27.03,27.1,3024874.0,26.54
2015-03-31,26.97,23.5465,26.85,27.19,3332631.0,26.75
2015-04-01,26.55,23.3448,26.38,26.63,2674062.0,26.26
2015-04-02,26.4,23.5483,26.61,26.72,1822275.0,26.38
2015-04-06,26.67,23.858,26.96,27.055,2047089.0,26.53
2015-04-07,26.92,23.4067,26.45,26.92,1565474.0,26.45
2015-04-08,26.5,23.3979,26.44,26.53,1063347.0,26.335
2015-04-09,26.35,22.7961,25.76,26.35,1702783.0,25.66
2015-04-10,25.88,22.9289,25.91,26.22,2847169.0,25.78
2015-04-13,25.93,22.7784,25.74,25.99,1482098.0,25.73
2015-04-14,25.79,22.8404,25.81,26.01,1326608.0,25.73
2015-04-15,25.85,22.566,25.5,25.86,1699201.0,25.49
2015-04-16,25.41,22.5837,25.52,25.675,1809257.0,25.28
2015-04-17,25.42,22.389,25.3,25.59,1710396.0,25.11
2015-04-20,25.4,22.4156,25.33,25.48,1425615.0,25.235
2015-04-21,25.47,22.389,25.3,25.61,1909447.0,25.28
2015-04-22,25.34,22.274,25.17,25.52,3584895.0,25.12
2015-04-23,25.15,22.3005,25.2,25.35,2621827.0,25.115
2015-04-24,25.21,22.5041,25.43,25.63,2420550.0,25.18
2015-04-27,25.49,22.389,25.3,25.62,1877004.0,25.22
2015-04-28,25.22,22.4775,25.4,25.49,3913076.0,24.97
2015-04-29,25.11,21.7961,24.63,25.336,2615540.0,24.595
2015-04-30,24.46,21.3271,24.1,24.57,4323467.0,24.065
2015-05-01,24.14,21.4599,24.25,24.44,3799029.0,24.08
2015-05-04,24.37,21.6014,24.41,24.6,2866665.0,24.3
2015-05-05,24.28,21.097,23.84,24.36,3143768.0,23.79
2015-05-06,23.88,21.1413,23.89,23.92,3307927.0,23.68
2015-05-07,23.97,21.4333,24.22,24.31,3662297.0,23.71
2015-05-08,24.5,21.7253,24.55,25.03,3123820.0,24.46
2015-05-11,24.45,21.3537,24.13,24.5,3808210.0,23.98
2015-05-12,23.97,21.3537,24.13,24.195,2395136.0,23.71
2015-05-13,24.23,21.2032,23.96,24.43,3147695.0,23.87
2015-05-14,24.05,21.6545,24.47,24.47,2259023.0,24.05
2015-05-15,24.55,21.7961,24.63,24.64,5271143.0,24.43
2015-05-18,24.51,21.7165,24.54,24.635,1648424.0,24.37
2015-05-19,24.47,21.6722,24.49,24.62,2207212.0,24.4
2015-05-20,24.47,21.6457,24.46,24.68,1433545.0,24.41
2015-05-21,24.53,21.513,24.31,24.59,1897662.0,24.17
2015-05-22,24.32,21.5395,24.34,24.51,1275804.0,24.14
2015-05-26,24.3,21.2652,24.03,24.34,2970909.0,23.99
2015-05-27,24.07,21.513,24.31,24.36,1425568.0,24.01
2015-05-28,24.27,21.5218,24.32,24.37,2177807.0,24.12
2015-05-29,24.32,21.2032,23.96,24.41,4836141.0,23.87
2015-06-01,23.99,21.4776,24.27,24.375,2570404.0,23.91
2015-06-02,24.21,21.2652,24.03,24.21,2185179.0,23.845
2015-06-03,24.02,21.0262,23.76,24.05,2347486.0,23.68
2015-06-04,23.73,20.9289,23.65,23.86,2257040.0,23.6
2015-06-05,23.3,20.6546,23.34,23.5,945032.0,23.16
2015-06-08,23.39,20.628,23.31,23.45,670084.0,23.22
2015-06-09,23.34,20.4068,23.06,23.36,1340410.0,23.02
2015-06-10,23.04,20.5926,23.27,23.47,2065086.0,22.98
2015-06-11,23.42,20.7077,23.4,23.535,3094381.0,23.34
2015-06-12,23.32,20.5926,23.27,23.42,3063522.0,23.22
2015-06-15,23.21,20.5838,23.26,23.37,3648785.0,23.11
2015-06-16,23.26,20.7431,23.44,23.51,2901274.0,23.192
2015-06-17,23.43,20.9023,23.62,23.66,1793937.0,23.23
2015-06-18,23.65,21.2563,24.02,24.14,2982954.0,23.65
2015-06-19,23.83,21.0262,23.76,24.01,2653822.0,23.76
2015-06-22,23.96,20.7961,23.5,23.96,2953065.0,23.48
2015-06-23,23.47,20.6546,23.34,23.57,2280509.0,23.28
2015-06-24,23.35,20.5749,23.25,23.4603,2315477.0,23.15
2015-06-25,23.28,20.4599,23.12,23.29,2056524.0,23.12
2015-06-26,23.11,20.4687,23.13,23.33,2811743.0,23.04
2015-06-29,23.06,20.0616,22.67,23.3,3060750.0,22.65
2015-06-30,22.83,19.9466,22.54,22.93,3973916.0,22.48
2015-07-01,22.45,20.3271,22.73,22.75,2957652.0,22.3
2015-07-02,23.11,20.4792,22.9,23.19,2918158.0,22.86
2015-07-06,22.78,20.7296,23.18,23.2,4495505.0,22.71
2015-07-07,23.26,21.1767,23.68,23.69,4315665.0,23.26
2015-07-08,23.54,21.3198,23.84,24.05,5626041.0,23.54
2015-07-09,24.02,21.132,23.63,24.13,2407117.0,23.56
2015-07-10,23.79,21.3556,23.88,24.11,3161570.0,23.68
2015-07-13,24.07,21.4986,24.04,24.24,3497023.0,23.84
2015-07-14,24.09,21.5612,24.11,24.24,3878385.0,23.87
2015-07-15,24.04,21.6954,24.26,24.41,3886437.0,23.92
2015-07-16,24.38,21.9458,24.54,24.585,3550588.0,24.3
2015-07-17,24.54,21.8653,24.45,24.65,3337229.0,24.365
2015-07-20,24.34,21.8653,24.45,24.51,1527525.0,24.25
2015-07-21,24.45,21.758,24.33,24.59,2039072.0,24.32
2015-07-22,24.33,21.9547,24.55,24.62,2397355.0,24.2207
2015-07-23,24.54,21.597,24.15,24.58,2887634.0,24.01
2015-07-24,24.08,21.7222,24.29,24.4,2773566.0,24.07
2015-07-27,24.32,21.758,24.33,24.51,2215763.0,24.23
2015-07-28,24.36,21.8295,24.41,24.61,3647568.0,24.23
2015-07-29,24.4,21.919,24.51,24.64,3242533.0,24.22
2015-07-30,24.44,21.8653,24.45,24.617,2970694.0,24.35
2015-07-31,24.69,22.0978,24.71,24.99,3394602.0,24.65
2015-08-03,24.7,22.4108,25.06,25.07,3921074.0,24.7
2015-08-04,25.0,22.2498,24.88,25.33,2980776.0,24.85
2015-08-05,24.97,22.0442,24.65,24.99,2834038.0,24.57
2015-08-06,24.62,22.1962,24.82,24.86,3995210.0,24.35
2015-08-07,24.76,22.2767,24.91,24.96,1959704.0,24.52
2015-08-10,24.98,22.062,24.67,25.06,2967263.0,24.57
2015-08-11,24.64,22.2677,24.9,25.04,3080540.0,24.58
2015-08-12,24.83,22.5002,25.16,25.17,4025705.0,24.74
2015-08-13,25.0,22.6433,25.32,25.44,2876055.0,24.94
2015-08-14,25.25,22.7149,25.4,25.415,1733199.0,25.1
2015-08-17,25.39,22.849,25.55,25.57,2209228.0,25.15
2015-08-18,25.47,22.9474,25.66,25.7,1857006.0,25.43
2015-08-19,25.51,22.7149,25.4,25.54,2820105.0,25.22
2015-08-20,25.29,22.5181,25.18,25.4,2544408.0,25.06
2015-08-21,25.13,21.9547,24.55,25.21,4181731.0,24.54
2015-08-24,24.49,20.8369,23.3,24.49,2308803.0,23.23
2015-08-25,23.76,20.2109,22.6,23.9,6017190.0,22.52
2015-08-26,23.23,21.0604,23.55,23.61,7235827.0,22.78
2015-08-27,23.75,21.293,23.81,24.04,5283722.0,23.39
2015-08-28,23.78,21.0873,23.58,23.78,4619758.0,23.46
2015-08-31,23.48,20.6133,23.05,23.58,6912867.0,23.02
2015-09-01,22.64,20.1572,22.54,22.97,4818781.0,22.34
2015-09-02,22.8,20.354,22.76,22.9,3909852.0,22.485
2015-09-03,22.88,20.4166,22.83,23.03,3034417.0,22.55
2015-09-04,22.56,19.9247,22.28,22.61,3187463.0,22.07
2015-09-08,22.57,20.2466,22.64,22.7,3200557.0,22.34
2015-09-09,22.82,19.9068,22.26,22.87,2743597.0,22.22
2015-09-10,22.22,20.0857,22.46,22.64,4643613.0,22.12
2015-09-11,22.39,20.5686,23.0,23.0,3175318.0,22.37
2015-09-14,23.09,20.5328,22.96,23.1,2134509.0,22.84
2015-09-15,23.03,20.81,23.27,23.4,2805924.0,22.89
2015-09-16,23.25,21.0962,23.59,23.67,2492170.0,23.25
2015-09-17,23.55,21.3198,23.84,24.3,3344902.0,23.485
2015-09-18,23.47,21.5791,24.13,24.33,7537426.0,23.45
2015-09-21,24.16,21.7222,24.29,24.49,3756327.0,24.09
2015-09-22,23.93,21.5165,24.06,24.26,3832036.0,23.84
2015-09-23,24.05,21.6686,24.23,24.37,2195465.0,23.97
2015-09-24,24.12,21.4003,23.93,24.32,3420770.0,23.75
2015-09-25,23.98,21.5702,24.12,24.24,3616192.0,23.76
2015-09-28,24.01,21.1767,23.68,24.08,3171655.0,23.44
2015-09-29,23.67,21.5344,24.08,24.12,2872949.0,23.67
2015-09-30,24.41,21.8474,24.43,24.48,4156771.0,24.14
2015-10-01,24.34,22.1157,24.49,24.535,4779375.0,23.98
2015-10-02,24.3,22.4769,24.89,24.89,4831559.0,24.2
2015-10-05,24.94,22.811,25.26,25.29,3424603.0,24.795
2015-10-06,25.26,22.5853,25.01,25.42,2740961.0,24.99
2015-10-07,25.05,22.9104,25.37,25.37,2993242.0,24.97
2015-10-08,25.41,23.2174,25.71,25.74,2620811.0,25.26
2015-10-09,25.71,22.9826,25.45,25.75,3642312.0,25.29
2015-10-12,25.5,23.3529,25.86,25.88,5126944.0,25.34
2015-10-13,25.82,23.4161,25.93,26.09,3929663.0,25.66
2015-10-14,26.0,22.811,25.26,26.0,3985715.0,25.22
2015-10-15,25.26,22.9555,25.42,25.46,5797113.0,25.14
2015-10-16,25.43,23.3348,25.84,25.865,3122650.0,25.43
2015-10-19,25.81,23.6419,26.18,26.2,2671309.0,25.75
2015-10-20,26.16,23.5515,26.08,26.26,2401037.0,25.965
2015-10-21,26.26,23.398,25.91,26.33,2090444.0,25.87
2015-10-22,26.13,23.8315,26.39,26.41,2448843.0,26.0
2015-10-23,26.38,23.7683,26.32,26.49,2124148.0,26.09
2015-10-26,26.38,23.9489,26.52,26.53,2052227.0,26.23
2015-10-27,26.49,24.2469,26.85,26.88,2919191.0,25.81
2015-10-28,26.86,24.4727,27.1,27.24,3783398.0,26.58
2015-10-29,26.95,24.4817,27.11,27.22,2522756.0,26.87
2015-10-30,27.16,24.1747,26.77,27.2,3135711.0,26.71
2015-11-02,26.71,24.6623,27.31,27.33,2681711.0,26.69
2015-11-03,27.11,24.5359,27.17,27.25,1834708.0,26.96
2015-11-04,27.25,24.2921,26.9,27.25,2247975.0,26.8
2015-11-05,26.08,24.3282,26.94,27.0,2755074.0,25.69
2015-11-06,26.56,23.6148,26.15,26.56,3229031.0,25.895
2015-11-09,25.95,23.0458,25.52,26.15,3459383.0,25.315
2015-11-10,25.53,23.3258,25.83,25.9,2049585.0,25.43
2015-11-11,25.96,23.5877,26.12,26.21,2593916.0,25.815
2015-11-12,26.01,23.389,25.9,26.23,2423873.0,25.78
2015-11-13,25.95,23.0187,25.49,26.02,2549055.0,25.46
2015-11-16,25.48,23.2897,25.79,25.81,1965813.0,25.26
2015-11-17,25.6,23.38,25.89,26.11,1597614.0,25.52
2015-11-18,26.0,23.7051,26.25,26.27,2040531.0,25.7
2015-11-19,26.34,23.7773,26.33,26.47,1812521.0,26.2
2015-11-20,26.46,23.9399,26.51,26.7,3600719.0,26.38
2015-11-23,26.55,23.6509,26.19,26.57,3432240.0,26.14
2015-11-24,26.07,23.5515,26.08,26.22,3865617.0,25.87
2015-11-25,26.09,23.5696,26.1,26.18,2802751.0,25.89
2015-11-27,26.09,23.8225,26.38,26.46,1100124.0,26.05
2015-11-30,26.45,23.5606,26.09,26.495,3822809.0,26.04
2015-12-01,26.3,24.0663,26.65,26.665,2841206.0,26.18
2015-12-02,26.55,23.4612,25.98,26.55,2915084.0,25.91
2015-12-03,25.89,22.8201,25.27,25.98,5316690.0,25.11
2015-12-04,25.48,23.1181,25.6,25.86,6207505.0,25.34
2015-12-07,25.63,23.1091,25.59,25.85,3811945.0,25.47
2015-12-08,25.53,22.9917,25.46,25.62,4134422.0,25.245
2015-12-09,25.27,23.0097,25.48,25.78,2541242.0,25.17
2015-12-10,25.56,22.7749,25.22,25.68,3347225.0,25.2
2015-12-11,25.0,22.6937,25.13,25.34,4371538.0,24.98
2015-12-14,24.99,22.8291,25.28,25.31,4167973.0,24.9825
2015-12-15,25.56,23.3529,25.86,26.1,5111690.0,25.5
2015-12-16,26.16,23.8586,26.42,26.54,3260058.0,26.08
2015-12-17,26.45,23.6689,26.21,26.54,2984207.0,26.0299
2015-12-18,26.02,23.2806,25.78,26.2,5247153.0,25.78
2015-12-21,26.08,23.5606,26.09,26.14,3648266.0,25.86
2015-12-22,26.14,23.5877,26.12,26.28,2441235.0,26.035
2015-12-23,26.25,23.9218,26.49,26.52,2333960.0,26.1
2015-12-24,26.49,23.9128,26.48,26.57,951122.0,26.31
2015-12-28,26.38,24.0753,26.66,26.68,2428877.0,26.35
2015-12-29,26.82,24.3553,26.97,27.13,2350440.0,26.67
2015-12-30,26.71,24.3327,26.69,26.83,1578264.0,26.6
2015-12-31,26.67,24.123,26.46,26.78,2394595.0,26.45
2016-01-04,26.17,23.4757,25.75,26.19,4018403.0,25.51
2016-01-05,25.86,24.2142,26.56,26.68,2699084.0,25.765
2016-01-06,26.33,23.9954,26.32,26.65,4626944.0,26.275
2016-01-07,25.85,23.3937,25.66,26.1,4445133.0,25.65
2016-01-08,25.8,22.9925,25.22,25.9,3185538.0,25.1701
2016-01-11,25.28,23.3572,25.62,25.72,3328127.0,25.27
2016-01-12,25.89,23.2569,25.51,26.01,4332587.0,25.2325
2016-01-13,25.56,22.9834,25.21,25.98,3460853.0,25.18
2016-01-14,25.39,23.0472,25.28,25.55,3035846.0,25.15
2016-01-15,24.84,23.1566,25.4,25.465,4828380.0,24.75
2016-01-19,25.74,23.4392,25.71,25.87,3028040.0,25.59
2016-01-20,25.32,23.111,25.35,25.72,5587968.0,24.85
