Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,70.62,64.3325,70.29,71.2565,821075.0,69.81
2015-01-05,69.77,62.8956,68.72,70.05,1077091.0,68.68
2015-01-06,68.56,61.0376,66.69,68.81,1952179.0,66.51
2015-01-07,66.78,62.0536,67.8,67.83,1636594.0,66.51
2015-01-08,68.38,63.0878,68.93,69.44,1276060.0,68.18
2015-01-09,69.29,63.3074,69.17,69.55,704758.0,68.34
2015-01-12,69.14,61.4037,67.09,69.32,1532468.0,66.67
2015-01-13,67.82,60.397,65.99,68.49,1475719.0,65.31
2015-01-14,65.21,59.9943,65.55,66.24,1789394.0,64.91
2015-01-15,67.25,61.2024,66.87,69.09,3301435.0,66.36
2015-01-16,66.73,62.0856,67.835,67.985,1399215.0,66.46
2015-01-20,68.25,63.0695,68.91,69.06,1515092.0,67.53
2015-01-21,68.48,63.5271,69.41,69.93,1251192.0,68.48
2015-01-22,69.49,64.9366,70.95,71.13,2274474.0,68.675
2015-01-23,66.58,59.7105,65.24,67.5,5466770.0,65.12
2015-01-26,64.88,59.8936,65.44,65.7,3084662.0,64.18
2015-01-27,63.86,57.9716,63.34,64.18,2535142.0,63.01
2015-01-28,64.01,57.4407,62.76,64.44,1701668.0,62.74
2015-01-29,62.53,58.0173,63.39,63.57,1281010.0,62.11
2015-01-30,62.41,56.2601,61.47,63.4,1631606.0,61.34
2015-02-02,61.42,56.6216,61.865,62.1,1434221.0,60.21
2015-02-03,62.03,58.0905,63.47,63.54,1482920.0,61.92
2015-02-04,63.41,57.8022,63.155,63.85,1512392.0,62.75
2015-02-05,63.15,57.9075,63.27,63.38,1298802.0,62.36
2015-02-06,63.56,57.3034,62.61,63.96,1663184.0,62.39
2015-02-09,62.01,56.9373,62.21,62.495,1789055.0,61.53
2015-02-10,62.75,58.4017,63.81,63.88,1269656.0,62.23
2015-02-11,63.95,58.539,63.96,64.34,890885.0,63.46
2015-02-12,63.6,58.9143,63.87,63.94,869881.0,63.04
2015-02-13,64.14,58.7021,63.64,64.26,1419850.0,63.55
2015-02-17,63.67,58.9696,63.93,64.15,1068650.0,63.5
2015-02-18,63.71,59.3017,64.29,64.67,1014879.0,63.63
2015-02-19,63.96,59.643,64.66,64.99,640140.0,63.82
2015-02-20,64.55,59.9289,64.97,65.19,995343.0,64.2
2015-02-23,64.83,59.4723,64.475,64.93,942086.0,64.36
2015-02-24,64.68,61.1373,66.28,66.36,1104696.0,64.48
2015-02-25,66.13,60.7683,65.88,66.66,922135.0,65.73
2015-02-26,65.9,60.427,65.51,66.12,775610.0,65.13
2015-02-27,65.46,59.9151,64.955,65.59,941081.0,64.85
2015-03-02,65.19,60.6023,65.7,66.2399,1370508.0,65.19
2015-03-03,65.3,58.9373,63.895,65.59,1288259.0,63.85
2015-03-04,63.5,58.2501,63.15,63.9,1052755.0,62.83
2015-03-05,63.14,57.4015,62.23,63.41,2591739.0,62.15
2015-03-06,61.93,56.3223,61.06,62.365,1478421.0,60.96
2015-03-09,61.01,56.6082,61.37,61.66,1178154.0,61.01
2015-03-10,60.68,55.4829,60.15,61.055,1545469.0,60.09
2015-03-11,60.54,55.6028,60.28,61.02,812992.0,60.16
2015-03-12,60.08,55.7227,60.41,60.47,1168290.0,59.55
2015-03-13,60.37,55.9995,60.71,61.0599,1078421.0,60.09
2015-03-16,61.0,57.1156,61.92,62.03,1064401.0,60.86
2015-03-17,61.43,56.6129,61.375,61.67,810102.0,61.09
2015-03-18,61.25,56.9957,61.79,62.2,1449102.0,60.58
2015-03-19,61.89,57.4015,62.23,62.53,1021180.0,61.86
2015-03-20,62.66,58.6099,63.54,63.69,1937572.0,62.39
2015-03-23,63.36,58.3608,63.27,63.83,1089566.0,63.25
2015-03-24,63.11,58.0841,62.97,63.61,936460.0,62.94
2015-03-25,62.94,54.7634,59.37,62.94,2139292.0,59.19
2015-03-26,58.28,53.8964,58.43,59.02,1779476.0,57.49
2015-03-27,58.52,54.4221,59.0,59.62,2175316.0,57.95
2015-03-30,59.6,54.7957,59.405,59.86,1134723.0,59.07
2015-03-31,59.03,53.7672,58.29,59.03,1873564.0,58.19
2015-04-01,58.27,53.2691,57.75,58.35,1846263.0,57.21
2015-04-02,58.08,53.5827,58.09,58.54,1117540.0,57.1
2015-04-06,57.64,53.6289,58.14,58.52,1215750.0,57.21
2015-04-07,58.17,53.2783,57.76,58.43,772396.0,57.75
2015-04-08,57.63,53.5458,58.05,58.25,1004985.0,57.63
2015-04-09,58.13,54.3668,58.94,59.05,1588361.0,57.73
2015-04-10,58.8,54.5328,59.12,59.13,1196034.0,58.36
2015-04-13,59.07,54.4221,59.0,59.67,1189709.0,58.78
2015-04-14,58.85,54.7542,59.36,59.6,1484475.0,58.48
2015-04-15,59.28,55.3814,60.04,60.58,1720791.0,59.23
2015-04-16,59.41,54.7265,59.33,60.09,2134874.0,58.92
2015-04-17,58.84,53.4951,57.995,58.89,1771402.0,57.67
2015-04-20,58.39,54.0163,58.56,59.04,1208161.0,58.056
2015-04-21,59.99,54.7358,59.34,60.34,2073437.0,58.93
2015-04-22,59.36,55.6213,60.3,60.5,1283004.0,59.11
2015-04-23,59.68,55.2062,59.85,60.27,1751984.0,59.45
2015-04-24,59.71,54.3207,58.89,59.86,2964913.0,58.16
2015-04-27,58.88,54.8649,59.48,60.8,2973484.0,58.672
2015-04-28,59.49,55.1324,59.77,59.94,1136879.0,58.95
2015-04-29,59.29,54.662,59.26,59.85,1773276.0,58.96
2015-04-30,59.11,54.2377,58.8,59.58,1478562.0,58.45
2015-05-01,59.11,55.4229,60.085,60.09,984177.0,58.89
2015-05-04,60.17,55.6074,60.285,60.46,719409.0,60.1
2015-05-05,59.84,53.9517,58.49,60.0,1543065.0,58.455
2015-05-06,58.56,53.7396,58.26,59.12,923796.0,57.77
2015-05-07,58.39,54.293,58.86,58.96,736866.0,58.228
2015-05-08,59.19,55.1601,59.8,60.23,1596735.0,59.152
2015-05-11,59.67,54.9848,59.61,60.17,1061474.0,59.49
2015-05-12,59.03,54.1731,58.73,59.215,1533197.0,57.8
2015-05-13,58.77,54.3114,58.88,59.48,988596.0,58.3301
2015-05-14,59.11,55.2062,59.35,59.49,1461119.0,58.355
2015-05-15,59.59,55.7271,59.91,60.28,1361940.0,59.38
2015-05-18,59.85,55.5597,59.73,60.09,958943.0,59.63
2015-05-19,59.74,54.955,59.08,60.15,1231914.0,58.88
2015-05-20,59.05,54.955,59.08,59.64,706484.0,58.82
2015-05-21,59.07,55.0294,59.16,59.24,690505.0,58.75
2015-05-22,58.95,54.9876,59.115,59.58,855488.0,58.83
2015-05-26,58.76,54.183,58.25,58.8796,1005550.0,58.05
2015-05-27,58.33,55.7922,59.98,60.13,1373192.0,58.08
2015-05-28,59.98,56.0619,60.27,60.7284,935961.0,59.85
2015-05-29,60.06,55.4945,59.66,60.5,1688169.0,59.43
2015-06-01,60.07,55.6155,59.79,60.09,1162742.0,59.41
2015-06-02,59.53,55.2062,59.35,59.73,979544.0,59.01
2015-06-03,59.7,54.5458,58.64,59.84,1374311.0,58.58
2015-06-04,58.27,53.2528,57.25,58.49,1823833.0,57.02
2015-06-05,57.31,52.9924,56.97,57.4,1038546.0,56.7
2015-06-08,56.8,52.0622,55.97,57.02,1361692.0,55.62
2015-06-09,56.0,51.7645,55.65,56.055,1233583.0,55.42
2015-06-10,55.96,52.2389,56.16,56.76,1149733.0,55.92
2015-06-11,56.33,52.5366,56.48,56.59,1009109.0,56.14
2015-06-12,56.05,51.9878,55.89,56.05,793573.0,55.51
2015-06-15,55.32,52.4901,56.43,56.69,1482846.0,55.24
2015-06-16,56.52,53.2063,57.2,57.29,1258193.0,56.32
2015-06-17,57.23,53.1412,57.13,57.42,857535.0,56.7
2015-06-18,57.31,54.1411,58.205,58.34,1158615.0,57.17
2015-06-19,58.26,53.9411,57.99,58.37,2199206.0,57.62
2015-06-22,58.37,54.1458,58.21,58.68,1109389.0,57.93
2015-06-23,58.12,53.2807,57.28,58.33,1182656.0,57.07
