Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,42.44,38.4824,42.81,42.87,8662289.0,42.27
2015-01-05,42.32,37.4396,41.65,42.69,15811108.0,41.42
2015-01-06,41.25,36.7025,40.83,41.55,20022186.0,40.22
2015-01-07,41.08,37.188,41.37,41.65,12044789.0,40.97
2015-01-08,41.54,38.0599,42.34,42.6,15449343.0,41.47
2015-01-09,42.41,37.5835,41.81,42.5,10211911.0,41.53
2015-01-12,41.6,37.4037,41.61,42.0,12522465.0,41.15
2015-01-13,41.61,36.7565,40.89,41.9243,14166540.0,40.57
2015-01-14,40.43,37.0531,41.22,41.28,13329471.0,40.2174
2015-01-15,41.59,36.6486,40.77,41.71,10391791.0,40.6
2015-01-16,40.86,37.3318,41.53,41.58,8760796.0,40.72
2015-01-20,41.79,37.5925,41.82,41.91,8765894.0,41.25
2015-01-21,41.95,37.7543,42.0,42.18,10653602.0,41.82
2015-01-22,42.38,37.8262,42.08,42.93,16915090.0,41.71
2015-01-23,42.5,37.997,42.27,42.54,11256224.0,41.97
2015-01-26,42.59,37.997,42.27,42.65,9304698.0,42.01
2015-01-27,42.17,38.1408,42.43,42.5,9409799.0,42.15
2015-01-28,42.47,37.179,41.36,42.5,14269156.0,41.21
2015-01-29,41.01,36.9992,40.71,41.03,14249676.0,39.95
2015-01-30,40.32,37.3082,41.05,41.52,14652662.0,40.2
2015-02-02,41.36,37.8262,41.62,41.69,13584444.0,40.3409
2015-02-03,41.91,37.699,41.48,41.97,15759897.0,41.17
2015-02-04,41.26,37.081,40.8,41.33,12784393.0,40.7
2015-02-05,41.3,37.7081,41.49,41.59,9426325.0,41.08
2015-02-06,41.65,37.6354,41.41,41.74,8198985.0,41.285
2015-02-09,41.43,37.4445,41.2,41.6,8191661.0,40.985
2015-02-10,41.3,37.7626,41.55,41.58,7945548.0,41.0
2015-02-11,41.38,37.4536,41.21,41.65,8115049.0,41.0
2015-02-12,41.56,37.9535,41.76,41.82,8276879.0,41.335
2015-02-13,41.92,38.1443,41.97,41.99,8533143.0,41.7
2015-02-17,41.98,38.2625,42.1,42.25,9040631.0,41.76
2015-02-18,41.84,38.3352,42.18,42.22,7872355.0,41.8
2015-02-19,41.77,38.1807,42.01,42.13,7892556.0,41.77
2015-02-20,41.88,38.0534,41.87,42.025,9709644.0,41.58
2015-02-23,41.72,38.1989,42.03,42.03,7653290.0,41.62
2015-02-24,42.03,38.3261,42.17,42.33,7879355.0,41.86
2015-02-25,42.17,38.2716,42.11,42.31,7227005.0,42.02
