Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,75.56,74.78,74.78,75.9,1352781.0,74.27
2015-01-05,74.32,73.0,73.0,74.32,3617298.0,72.36
2015-01-06,69.27,66.87,66.87,69.54,16868809.0,65.12
2015-01-07,67.51,68.71,68.71,70.05,8488148.0,67.01
2015-01-08,69.1,70.0,70.0,70.352,3832378.0,68.71
2015-01-09,70.1,69.26,69.26,70.23,2355256.0,68.54
2015-01-12,69.42,69.33,69.33,69.97,2593733.0,68.75
2015-01-13,69.78,68.42,68.42,70.53,2909131.0,67.71
2015-01-14,65.21,66.52,66.52,66.97,5445360.0,65.1
2015-01-15,67.36,66.01,66.01,68.0,3281402.0,66.0
2015-01-16,65.98,67.01,67.01,67.25,3618878.0,65.42
2015-01-20,66.81,67.01,67.01,67.65,3113934.0,66.52
2015-01-21,68.72,68.5,68.5,69.1999,2960900.0,67.78
2015-01-22,68.78,69.09,69.09,69.45,2331705.0,68.0
2015-01-23,69.86,69.33,69.33,70.01,3095003.0,68.78
2015-01-26,69.87,69.88,69.88,70.05,2419861.0,69.22
2015-01-27,69.3,70.78,70.78,71.0,3197769.0,68.76
2015-01-28,71.31,69.99,69.99,71.37,2681114.0,69.93
2015-01-29,72.47,72.53,72.53,73.0,4376564.0,71.08
2015-01-30,71.43,70.79,70.79,72.28,3198219.0,70.43
2015-02-02,70.85,71.56,71.56,71.76,2484040.0,70.32
2015-02-03,70.65,72.22,72.22,72.25,2899454.0,70.305
2015-02-04,69.68,71.38,71.38,71.98,5097101.0,69.68
2015-02-05,68.0,69.77,69.77,70.65,16900504.0,67.11
2015-02-06,70.08,72.0,72.0,72.64,6387496.0,69.85
2015-02-09,71.74,71.39,71.39,72.69,3427511.0,70.7701
2015-02-10,72.08,71.27,71.27,72.2499,3489596.0,70.5
2015-02-11,71.33,71.02,71.02,71.71,2648307.0,70.67
2015-02-12,71.52,71.55,71.55,72.09,2686805.0,70.81
2015-02-13,71.73,73.27,73.27,73.28,3226584.0,71.615
2015-02-17,72.9,72.75,72.75,73.47,2403312.0,72.65
2015-02-18,72.46,69.8,69.8,72.5,6018160.0,69.68
2015-02-19,70.15,69.59,69.59,70.65,4041642.0,69.49
2015-02-20,69.47,68.98,68.98,69.5773,4208965.0,68.51
2015-02-23,68.98,69.71,69.71,70.54,3105560.0,68.95
2015-02-24,70.1,68.39,68.39,70.1,2818673.0,68.31
2015-02-25,69.39,68.56,68.56,69.46,3242257.0,68.2
2015-02-26,68.66,67.89,67.89,68.85,2917693.0,67.74
2015-02-27,68.12,67.41,67.41,68.49,3035246.0,67.4
