Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,61.15,52.3854,59.59,61.24,2653723.0,59.05
2015-01-05,59.33,52.0689,59.23,59.85,2373056.0,58.89
2015-01-06,59.33,51.9985,59.15,60.11,3533478.0,58.38
2015-01-07,60.9,53.8974,61.31,61.96,4257404.0,60.38
2015-01-08,61.72,54.082,61.52,62.05,2575952.0,61.44
2015-01-09,61.08,52.9304,60.21,61.18,2225264.0,60.18
2015-01-12,60.31,53.2996,60.63,60.95,2022511.0,59.65
2015-01-13,61.18,53.3084,60.64,62.2,2106632.0,60.405
2015-01-14,59.82,52.6755,59.92,60.59,1910738.0,59.14
2015-01-15,60.12,51.4711,58.55,60.36,1985906.0,58.5
2015-01-16,58.59,52.1656,59.34,59.5,1938332.0,58.26
2015-01-20,59.42,51.3041,58.36,59.74,2411848.0,58.0
2015-01-21,58.3,51.5678,58.66,58.931,1567363.0,58.29
2015-01-22,59.02,52.9128,60.19,60.25,2315222.0,58.73
2015-01-23,60.18,52.904,60.18,60.73,2235509.0,59.85
2015-01-26,59.95,54.0029,61.43,61.65,3165085.0,59.63
2015-01-27,61.17,53.6952,61.08,61.55,1944939.0,60.6
2015-01-28,61.4,53.4491,60.8,62.2,1688234.0,60.7688
2015-01-29,61.03,53.4051,60.75,61.41,2151809.0,59.96
2015-01-30,60.28,52.4996,59.72,60.811,2403832.0,59.63
2015-02-02,59.99,54.0117,61.44,61.515,2971314.0,59.61
2015-02-03,61.4,55.2776,62.88,62.99,3384469.0,61.09
2015-02-04,65.61,58.7852,66.87,67.15,11152022.0,64.28
2015-02-05,66.87,59.55,67.74,67.89,4893366.0,66.24
2015-02-06,67.74,60.9214,69.3,69.47,6736363.0,67.35
2015-02-09,69.16,61.2027,69.62,70.4,4921748.0,68.66
2015-02-10,69.72,61.1675,69.58,69.89,3178324.0,69.15
2015-02-11,69.75,61.0708,69.47,70.25,2978133.0,69.1667
2015-02-12,70.16,60.5082,68.83,70.2,3538083.0,68.76
2015-02-13,68.95,59.9983,68.25,68.99,2850182.0,67.84
2015-02-17,67.95,60.5258,68.85,68.97,2578697.0,67.43
2015-02-18,68.64,60.4379,68.75,68.87,2626362.0,68.21
2015-02-19,68.74,60.1038,68.37,69.03,2176425.0,68.23
2015-02-20,68.25,61.0972,69.5,69.58,2332519.0,67.83
2015-02-23,69.65,61.5367,70.0,70.16,4023655.0,69.15
2015-02-24,70.0,61.5104,69.97,70.44,3246885.0,69.13
2015-02-25,70.0,62.3279,70.9,71.4325,4372886.0,69.63
2015-02-26,70.73,63.0224,71.69,73.2,5530591.0,69.4
2015-02-27,72.16,64.8773,73.8,74.66,6150740.0,71.98
2015-03-02,73.4,65.2817,74.26,74.41,4168485.0,72.9
2015-03-03,74.44,65.4927,74.5,74.94,3070454.0,73.58
2015-03-04,74.45,65.3169,74.3,74.7,2411978.0,73.94
2015-03-05,74.59,64.7015,73.6,74.7197,2723088.0,73.6
2015-03-06,73.61,64.4905,73.36,74.09,2211843.0,73.15
2015-03-09,73.26,65.1938,73.71,74.02,2016017.0,73.0
2015-03-10,73.43,65.3707,73.91,74.04,2803663.0,73.09
2015-03-11,73.85,65.3176,73.85,74.37,1821880.0,73.335
2015-03-12,73.86,65.8129,74.41,74.66,1482766.0,73.86
2015-03-13,74.26,65.5387,74.1,74.9,2574414.0,73.69
2015-03-16,74.4,65.6272,74.2,74.99,2863345.0,73.79
2015-03-17,73.77,65.7422,74.33,74.55,2688387.0,73.745
2015-03-18,74.33,66.2905,74.95,75.36,2578861.0,73.57
2015-03-19,74.94,66.8743,75.61,75.84,1876176.0,74.58
2015-03-20,75.37,66.9008,75.64,76.44,2600460.0,75.37
2015-03-23,75.99,66.8654,75.6,76.54,2646808.0,75.58
2015-03-24,75.38,66.3436,75.01,75.86,2481832.0,74.91
2015-03-25,75.15,66.0606,74.69,75.62,3491990.0,74.665
2015-03-26,74.52,66.3259,74.99,75.23,2205236.0,73.89
