Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,87.0,72.8608,86.05,87.03,1757995.0,85.45
2015-01-05,86.11,71.7685,84.76,86.44,2560871.0,84.64
2015-01-06,85.18,71.0319,83.89,85.94,2385954.0,83.53
2015-01-07,85.0,73.7075,87.05,87.1,3066743.0,84.79
2015-01-08,86.44,73.3943,86.68,87.14,3585760.0,85.16
2015-01-09,86.93,72.2935,85.38,86.9999,1433162.0,84.692
2015-01-12,85.74,72.5729,85.71,86.07,1437189.0,85.03
2015-01-13,86.21,70.9726,83.82,86.51,2540419.0,83.5
2015-01-14,82.44,69.5332,82.12,83.07,2971849.0,81.22
2015-01-15,82.49,68.2377,80.59,82.92,2590705.0,80.53
2015-01-16,80.17,69.5162,82.1,82.24,3175905.0,79.32
2015-01-20,83.45,69.584,82.18,83.45,2362322.0,81.79
2015-01-21,82.0,69.6856,82.3,82.7,2131061.0,81.79
2015-01-22,82.55,71.0573,83.92,84.15,1614546.0,82.3
2015-01-23,84.1,71.8447,84.85,85.23,1338841.0,83.98
2015-01-26,84.68,72.285,85.37,85.64,1236377.0,84.5
2015-01-27,84.72,72.4205,85.53,86.11,1137381.0,84.51
2015-01-28,86.29,71.9125,84.93,86.65,1489564.0,84.73
2015-01-29,84.67,73.1402,86.38,86.4,1694581.0,84.48
2015-01-30,85.66,71.6585,84.63,86.12,2208455.0,84.4453
2015-02-02,84.73,71.8447,84.85,85.05,1648057.0,82.38
2015-02-03,84.91,73.716,87.06,87.1,1938536.0,84.88
2015-02-04,86.85,73.2503,86.51,87.8,2120550.0,86.34
2015-02-05,90.67,77.213,91.19,92.0,4158279.0,89.61
2015-02-06,91.0,78.7117,92.96,93.32,2464350.0,90.7847
2015-02-09,92.37,78.1529,92.3,92.89,1902331.0,91.43
2015-02-10,93.005,78.9826,93.28,93.51,1260545.0,92.735
2015-02-11,93.7,79.1943,93.53,94.44,1659037.0,92.96
2015-02-12,93.56,80.2781,94.81,94.84,1265583.0,93.32
