Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,44.99,43.118,44.29,45.1,2024160.0,43.69
2015-01-05,44.18,42.787,43.95,44.2637,2428931.0,43.625
2015-01-06,44.06,42.4268,43.58,44.06,3552637.0,42.94
2015-01-07,43.92,44.5199,45.73,46.25,9628595.0,43.73
2015-01-08,46.16,45.62,46.86,47.12,4574977.0,45.94
2015-01-09,46.98,45.5518,46.79,47.15,3527333.0,46.23
2015-01-12,46.97,45.8244,47.07,47.77,3554131.0,46.71
2015-01-13,48.02,45.0553,46.28,48.515,10716767.0,45.12
2015-01-14,45.62,44.5491,45.76,46.29,6420134.0,44.75
2015-01-15,46.21,41.3559,42.48,46.945,16231697.0,41.63
2015-01-16,42.09,42.0568,43.2,43.6,7541968.0,41.25
2015-01-20,43.1,41.2098,42.33,43.18,5462051.0,41.715
2015-01-21,42.34,42.125,43.27,43.64,3786167.0,42.32
2015-01-22,43.51,42.6701,43.83,43.96,4180001.0,43.0
2015-01-23,43.89,42.5728,43.73,44.39,4042414.0,43.575
2015-01-26,44.3,43.7021,44.89,45.1,3414969.0,44.21
2015-01-27,44.09,43.7897,44.94,45.06,5009934.0,43.85
2015-01-28,45.06,43.5169,44.66,45.49,4382087.0,44.32
2015-01-29,44.8,45.0272,46.21,46.31,4677534.0,44.71
2015-01-30,45.73,43.7605,44.91,45.95,3788338.0,44.79
2015-02-02,45.01,43.4974,44.64,45.42,4701331.0,43.89
2015-02-03,44.72,44.2672,45.43,45.465,3110630.0,44.22
2015-02-04,45.22,45.2806,46.47,46.94,5252039.0,45.11
2015-02-05,46.36,45.2611,46.45,46.75,4445425.0,45.57
2015-02-06,46.5,46.7909,48.02,48.12,6055648.0,46.45
2015-02-09,47.98,47.2001,48.44,48.89,3266578.0,47.8
2015-02-10,48.76,48.1161,49.38,49.6,3318006.0,48.21
2015-02-11,49.62,47.9114,49.17,50.16,2954153.0,48.69
2015-02-12,49.35,48.9735,50.26,50.35,2989110.0,48.95
2015-02-13,50.3,48.7007,49.98,50.4,3210274.0,49.56
2015-02-17,49.8,49.1197,50.41,50.41,2345887.0,49.31
2015-02-18,50.3,48.8566,50.14,50.39,3369202.0,49.5
2015-02-19,50.08,48.9541,50.24,50.73,2237504.0,49.9
2015-02-20,50.16,49.032,50.32,50.33,2863801.0,49.5
2015-02-23,50.25,48.5253,49.8,50.59,2523638.0,49.26
2015-02-24,50.62,49.8992,51.21,51.38,2981509.0,50.48
2015-02-25,51.31,49.3828,50.68,51.51,2253117.0,50.44
2015-02-26,50.5,48.8079,50.09,50.54,2315749.0,49.685
2015-02-27,50.2,48.9248,50.21,50.54,1966405.0,49.855
2015-03-02,50.27,48.7592,50.04,50.54,3071493.0,49.78
2015-03-03,49.77,48.1843,49.45,49.85,1881458.0,49.01
2015-03-04,49.45,48.7689,50.05,50.14,1815514.0,49.11
2015-03-05,50.01,48.8371,50.12,50.49,2402978.0,49.867
2015-03-06,49.61,47.3755,48.62,49.85,3346896.0,48.51
2015-03-09,48.28,47.473,48.72,48.995,2464335.0,48.28
2015-03-10,48.32,47.0442,48.28,48.76,1697371.0,48.22
2015-03-11,48.53,46.9663,48.2,48.73,3641635.0,48.07
2015-03-12,48.5,48.2915,49.56,49.66,2122479.0,48.39
2015-03-13,49.32,47.9407,49.2,49.74,1917598.0,48.57
2015-03-16,49.51,48.0479,49.31,49.8,1946591.0,49.14
2015-03-17,49.25,47.6094,48.86,49.41,4102626.0,48.64
2015-03-18,49.07,48.4474,49.72,50.01,4946454.0,48.35
2015-03-19,51.0,48.3792,49.65,51.2,7807963.0,48.54
2015-03-20,50.05,48.9735,50.26,51.91,7880203.0,49.95
2015-03-23,50.19,48.272,49.54,50.83,3280369.0,49.5
2015-03-24,49.45,49.1489,50.44,50.97,2836248.0,49.15
2015-03-25,50.56,48.4084,49.68,50.81,2172568.0,49.58
2015-03-26,49.54,48.155,49.42,50.03,2114541.0,49.3
2015-03-27,49.44,49.1392,50.43,50.58,2173826.0,49.37
2015-03-30,50.69,50.1721,51.49,51.91,3755511.0,50.52
2015-03-31,51.36,50.4839,51.81,52.17,3244128.0,51.11
2015-04-01,51.88,50.5228,51.85,51.965,2676823.0,51.22
2015-04-02,51.87,51.8285,53.19,53.26,3562015.0,51.73
2015-04-06,52.93,50.7275,52.06,53.67,4746549.0,51.91
2015-04-07,52.0,49.4413,50.74,52.0,2851462.0,50.69
2015-04-08,50.73,49.9479,51.26,51.32,2033978.0,50.64
2015-04-09,51.12,49.1977,50.49,51.16,2532912.0,49.7
2015-04-10,50.75,49.2074,50.5,50.75,1380971.0,50.0156
2015-04-13,50.52,49.1197,50.41,50.78,1714342.0,49.995
2015-04-14,50.43,49.6654,50.97,51.02,2266538.0,49.88
2015-04-15,51.12,50.1233,51.44,51.77,2339394.0,50.95
2015-04-16,51.13,48.8664,50.15,51.24,3205453.0,49.94
2015-04-17,49.77,47.3365,48.58,49.89,4754977.0,48.29
2015-04-20,48.78,47.0345,48.23,48.91,3778779.0,47.71
2015-04-21,48.38,47.9219,49.14,49.37,3413180.0,48.24
2015-04-22,49.0,47.21,48.41,49.31,5160818.0,48.225
2015-04-23,47.97,45.5619,46.72,48.06,7269199.0,46.18
2015-04-24,46.86,46.0203,47.19,47.27,2033223.0,46.56
2015-04-27,47.45,45.2206,46.37,47.46,2637711.0,46.27
2015-04-28,46.29,45.3571,46.51,46.52,3026840.0,45.67
2015-04-29,46.2,45.0646,46.21,46.275,3513534.0,45.5
2015-04-30,45.95,44.6647,45.8,46.33,3882608.0,45.62
2015-05-01,45.72,45.6594,46.82,47.1,2721744.0,45.72
2015-05-04,46.94,45.2401,46.39,47.34,2162033.0,46.21
2015-05-05,46.36,44.1966,45.32,46.77,3417318.0,45.29
2015-05-06,45.49,44.1674,45.29,45.66,2855802.0,44.76
2015-05-07,45.24,45.3181,46.47,46.62,2697044.0,45.21
2015-05-08,47.79,46.3128,47.49,48.62,3815273.0,47.41
