Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,109.69,111.42,111.42,112.63,2068523.0,109.49
2015-01-05,112.4,112.39,112.39,113.95,3031344.0,111.6901
2015-01-06,112.33,110.6,110.6,112.5,2850899.0,108.7275
2015-01-07,110.91,112.54,112.54,112.94,1629660.0,110.81
2015-01-08,114.58,115.57,115.57,116.41,2019001.0,114.36
2015-01-09,115.55,116.0,116.0,116.64,2024525.0,114.52
2015-01-12,117.13,115.84,115.84,117.48,1844456.0,115.68
2015-01-13,116.87,115.86,115.86,118.07,1489420.0,114.85
2015-01-14,114.53,114.75,114.75,116.065,1604849.0,114.05
2015-01-15,115.11,114.92,114.92,115.83,1188790.0,114.505
2015-01-16,115.0,117.04,117.04,117.14,1136027.0,114.3
2015-01-20,117.92,117.23,117.23,118.5,1097546.0,116.68
2015-01-21,117.1,115.99,115.99,117.39,883184.0,115.56
2015-01-22,116.39,118.87,118.87,119.21,1028558.0,115.71
2015-01-23,119.06,117.29,117.29,119.08,990363.0,117.15
2015-01-26,117.0,117.19,117.19,117.32,936443.0,116.02
2015-01-27,116.05,116.29,116.29,116.63,1253273.0,115.56
2015-01-28,116.53,115.49,115.49,117.35,1869244.0,115.2
2015-01-29,115.9,116.12,116.12,116.23,1361400.0,114.56
2015-01-30,115.39,114.78,114.78,115.91,1302326.0,114.65
2015-02-02,113.32,115.5,115.5,115.51,1448211.0,112.75
2015-02-03,115.47,116.89,116.89,116.93,1258406.0,114.9
2015-02-04,116.57,117.05,117.05,117.43,1640894.0,115.79
2015-02-05,117.42,116.01,116.01,117.42,1172364.0,115.531
2015-02-06,115.73,115.15,115.15,116.43,674918.0,114.72
2015-02-09,114.89,113.62,113.62,115.23,1185347.0,113.01
2015-02-10,114.06,115.39,115.39,115.55,810565.0,113.87
2015-02-11,114.94,116.73,116.73,116.89,968649.0,114.94
2015-02-12,116.71,116.84,116.84,117.1,867510.0,115.68
2015-02-13,116.79,116.9,116.9,117.04,946951.0,115.98
2015-02-17,115.89,117.26,117.26,117.53,782636.0,115.89
2015-02-18,117.05,117.0,117.0,117.84,4854777.0,116.48
2015-02-19,115.79,117.14,117.14,117.26,1509134.0,115.54
2015-02-20,121.21,121.08,121.08,123.0,3015337.0,117.99
2015-02-23,123.65,122.9,122.9,124.56,2429007.0,122.26
2015-02-24,123.56,122.21,122.21,124.11,1545404.0,121.52
2015-02-25,122.35,122.4,122.4,122.46,1227178.0,120.91
2015-02-26,123.26,124.51,124.51,124.57,1640334.0,122.43
2015-02-27,124.48,123.03,123.03,124.48,1416239.0,122.86
2015-03-02,123.37,123.36,123.36,124.69,830437.0,122.76
2015-03-03,123.75,123.86,123.86,124.23,1134707.0,122.54
2015-03-04,123.2,123.9,123.9,125.09,1103406.0,122.86
2015-03-05,124.36,123.28,123.28,124.44,836007.0,123.0
2015-03-06,122.5,121.7,121.7,122.98,1307576.0,120.97
2015-03-09,122.02,121.17,121.17,122.2099,928604.0,120.73
2015-03-10,120.11,121.32,121.32,122.01,866323.0,120.09
2015-03-11,121.37,121.24,121.24,122.52,676363.0,121.04
2015-03-12,122.42,124.28,124.28,124.28,720199.0,122.02
2015-03-13,123.82,123.73,123.73,124.57,606900.0,123.0905
2015-03-16,124.59,125.67,125.67,126.27,853098.0,124.395
2015-03-17,125.11,125.27,125.27,125.38,796609.0,124.4975
2015-03-18,125.28,126.81,126.81,127.46,812570.0,124.9746
2015-03-19,126.44,126.26,126.26,126.89,584375.0,125.78
2015-03-20,127.32,126.8,126.8,127.32,1229723.0,125.76
2015-03-23,127.02,128.18,128.18,128.63,808202.0,126.36
2015-03-24,128.26,128.1,128.1,130.16,1150493.0,128.0
2015-03-25,128.18,126.89,126.89,129.45,1245418.0,126.68
2015-03-26,125.72,125.8,125.8,126.14,1254138.0,124.18
2015-03-27,126.63,127.15,127.15,127.36,1032344.0,126.17
2015-03-30,127.17,127.28,127.28,127.84,586436.0,126.47
2015-03-31,129.84,126.09,126.09,131.19,1140640.0,125.7926
2015-04-01,125.88,125.88,125.88,125.88,861423.0,124.72
2015-04-02,126.25,125.21,125.21,126.47,794497.0,124.91
2015-04-06,124.23,125.83,125.83,126.48,877139.0,123.5
2015-04-07,125.68,124.56,124.56,126.19,610022.0,124.51
2015-04-08,124.52,125.6,125.6,125.82,657813.0,124.02
2015-04-09,125.57,126.07,126.07,126.37,449845.0,124.8
2015-04-10,126.07,126.07,126.07,126.28,440736.0,125.42
2015-04-13,125.73,125.18,125.18,126.37,365302.0,125.06
2015-04-14,124.87,124.47,124.47,125.14,518575.0,124.17
2015-04-15,124.49,125.4,125.4,126.61,786336.0,124.49
2015-04-16,125.2,125.49,125.49,125.64,372702.0,124.52
2015-04-17,124.83,124.41,124.41,125.305,499743.0,123.83
2015-04-20,125.04,125.35,125.35,125.44,369245.0,124.43
2015-04-21,125.79,125.91,125.91,126.38,485136.0,125.52
2015-04-22,126.13,126.26,126.26,126.79,1179776.0,125.03
2015-04-23,126.25,126.38,126.38,126.74,2730889.0,125.68
2015-04-24,126.28,126.93,126.93,128.0,1129623.0,125.16
2015-04-27,128.0,125.61,125.61,129.33,1703743.0,125.13
2015-04-28,125.38,123.46,123.46,125.91,2882669.0,120.26
2015-04-29,123.1,120.65,120.65,123.58,1266098.0,119.42
2015-04-30,120.92,119.56,119.56,121.13,1387254.0,118.73
2015-05-01,119.7,119.77,119.77,120.61,1397514.0,118.36
2015-05-04,119.33,119.19,119.19,120.58,1178230.0,118.87
2015-05-05,118.28,117.3,117.3,118.87,1260526.0,117.2216
2015-05-06,117.41,117.21,117.21,118.0399,992391.0,116.72
2015-05-07,117.22,118.39,118.39,118.8597,836162.0,117.22
2015-05-08,119.62,118.4,118.4,120.0,722703.0,118.19
2015-05-11,118.12,117.46,117.46,118.55,854453.0,117.4
2015-05-12,116.61,116.3,116.3,117.38,939195.0,116.18
2015-05-13,116.79,116.56,116.56,117.64,1283612.0,116.0
2015-05-14,117.21,117.69,117.69,117.72,2046946.0,116.66
2015-05-15,117.98,117.29,117.29,118.03,1025294.0,117.15
2015-05-18,117.6,118.74,118.74,118.9532,2009162.0,117.26
2015-05-19,119.19,118.34,118.34,119.38,1937084.0,118.29
2015-05-20,118.73,119.55,119.55,120.54,1731100.0,118.51
