Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,126.99,120.1886,127.49,128.3,719180.0,125.9
2015-01-05,126.23,117.021,124.13,127.29,662883.0,124.02
2015-01-06,124.17,116.5591,123.64,125.27,574966.0,122.44
2015-01-07,124.57,118.5105,125.71,126.29,788414.0,124.48
2015-01-08,126.56,120.5091,127.83,128.75,1080186.0,126.52
2015-01-09,127.87,119.8963,127.18,127.98,860219.0,126.14
2015-01-12,127.67,119.5475,126.81,127.79,1027522.0,126.53
2015-01-13,127.0,119.0196,126.25,129.48,667300.0,125.17
2015-01-14,124.77,118.6048,125.81,126.56,618904.0,124.63
2015-01-15,127.08,118.5105,125.71,127.38,645195.0,125.4801
2015-01-16,125.57,118.4728,125.67,126.46,1040752.0,124.64
2015-01-20,126.0,118.5954,125.8,127.3,641631.0,124.17
2015-01-21,125.67,118.5954,125.8,126.74,718172.0,124.98
2015-01-22,126.18,120.905,128.25,128.45,899153.0,126.18
2015-01-23,128.28,120.4243,127.74,128.58,623291.0,127.35
2015-01-26,127.42,120.4525,127.77,127.84,659202.0,126.11
2015-01-27,125.95,118.5105,125.71,127.31,467323.0,125.55
2015-01-28,126.61,117.4547,124.59,127.35,981763.0,124.44
2015-01-29,122.39,116.0123,123.06,127.13,930916.0,121.45
2015-01-30,122.04,116.0688,123.12,124.61,1292683.0,120.5507
2015-02-02,123.34,117.3038,124.43,124.66,717860.0,121.71
2015-02-03,124.99,119.6512,126.92,126.99,596814.0,124.8101
2015-02-04,126.65,119.8021,127.08,128.12,648939.0,125.78
2015-02-05,127.53,120.4902,127.81,128.58,482292.0,126.5
2015-02-06,128.34,121.5272,128.91,129.96,702108.0,127.68
2015-02-09,128.21,120.2546,127.56,129.52,453258.0,127.12
2015-02-10,128.09,121.3576,128.73,129.07,385852.0,127.26
2015-02-11,128.52,121.0182,128.37,129.48,546761.0,127.51
2015-02-12,129.1,121.8572,129.26,129.61,435450.0,128.23
2015-02-13,129.07,122.0363,129.45,130.03,441421.0,128.9
2015-02-17,129.03,121.9043,129.31,130.03,392578.0,128.65
2015-02-18,129.04,122.1589,129.58,129.59,722755.0,127.84
2015-02-19,129.64,123.6672,131.18,131.21,616949.0,129.05
2015-02-20,130.82,125.2605,132.87,132.92,524574.0,130.1
2015-02-23,130.22,124.3931,131.95,132.23,658557.0,129.07
2015-02-24,130.71,124.8551,132.44,132.7,560894.0,130.52
2015-02-25,132.24,123.573,131.08,132.3,728437.0,130.75
2015-02-26,130.54,123.8746,130.75,131.86,874268.0,130.35
2015-02-27,130.64,122.6241,129.43,130.815,446198.0,129.36
2015-03-02,129.32,124.3578,131.26,131.28,483380.0,129.1231
2015-03-03,130.42,122.0556,128.83,130.86,620812.0,128.07
2015-03-04,128.75,121.184,127.91,128.75,521699.0,127.53
2015-03-05,127.44,120.5682,127.26,128.07,357792.0,127.01
2015-03-06,126.36,118.7112,125.3,127.03,485447.0,124.8
2015-03-09,125.51,119.6397,126.28,126.96,372714.0,125.35
2015-03-10,125.19,117.3564,123.87,125.57,468534.0,123.8404
2015-03-11,125.83,118.5028,125.08,126.425,751035.0,124.49
2015-03-12,125.52,119.0239,125.63,126.53,443379.0,125.01
2015-03-13,125.55,118.3228,124.89,126.52,449271.0,123.665
2015-03-16,125.13,120.3124,126.99,127.129,487539.0,125.08
2015-03-17,126.48,120.3408,127.02,127.39,374251.0,126.25
2015-03-18,126.85,120.4261,127.11,127.96,795624.0,124.63
2015-03-19,126.82,120.1039,126.77,127.325,551278.0,126.28
2015-03-20,127.39,121.8472,128.61,129.0,1386939.0,126.9
