Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,53.93,49.6918,53.69,54.3,867438.0,52.97
2015-01-05,53.14,48.72,52.64,53.29,881062.0,52.3175
2015-01-06,52.78,48.4979,52.4,52.87,1870921.0,52.16
2015-01-07,53.17,49.2475,53.21,53.58,905110.0,52.8
2015-01-08,53.57,49.9047,53.92,54.25,1006771.0,53.32
2015-01-09,53.99,49.7843,53.79,54.05,812328.0,53.37
2015-01-12,53.71,49.118,53.07,53.77,626712.0,52.82
2015-01-13,54.41,50.3952,54.45,54.765,1941410.0,53.52
2015-01-14,53.56,50.0157,54.04,54.24,1351655.0,53.21
2015-01-15,53.98,49.3308,53.3,54.23,1104689.0,53.18
2015-01-16,53.09,49.4141,53.39,53.45,939856.0,52.26
2015-01-20,53.64,49.2383,53.2,53.83,654215.0,52.74
2015-01-21,53.06,49.5344,53.52,53.86,626916.0,52.73
2015-01-22,53.78,51.3485,55.48,55.48,1252721.0,53.34
2015-01-23,55.25,50.7839,54.87,55.39,668735.0,54.78
2015-01-26,54.73,51.3577,55.49,55.55,423067.0,54.47
2015-01-27,54.71,50.7191,54.8,55.44,443661.0,54.49
2015-01-28,55.27,49.5159,53.5,55.27,696038.0,53.45
2015-01-29,53.44,50.0527,54.08,54.1,740566.0,53.28
2015-01-30,54.0,51.3115,55.44,56.68,2211289.0,53.92
2015-02-02,55.82,51.9686,56.15,56.44,997256.0,54.61
2015-02-03,56.61,52.598,56.83,56.93,1102425.0,56.09
2015-02-04,56.77,52.5609,56.79,57.18,1059098.0,56.34
2015-02-05,57.14,53.0144,57.28,57.67,936962.0,56.95
2015-02-06,57.85,53.4957,57.8,58.57,1191330.0,57.54
2015-02-09,57.4,53.0515,57.32,57.61,652192.0,57.05
2015-02-10,58.16,53.5142,57.82,58.49,930099.0,57.36
2015-02-11,57.81,53.3661,57.66,57.954,621702.0,57.17
2015-02-12,57.95,53.7641,58.09,58.245,526959.0,57.63
2015-02-13,58.09,53.5327,57.84,58.21,581387.0,57.72
2015-02-17,57.8,54.1436,58.5,58.74,857396.0,57.8
2015-02-18,58.87,54.0788,58.43,59.19,1684360.0,57.82
2015-02-19,58.23,54.0881,58.44,58.76,536603.0,58.13
2015-02-20,58.29,54.5323,58.92,58.96,680496.0,57.92
2015-02-23,58.7,54.2732,58.64,58.8,354593.0,58.43
2015-02-24,58.64,54.1343,58.49,59.18,825392.0,58.29
2015-02-25,58.42,54.3102,58.68,58.87,725584.0,58.22
2015-02-26,58.64,53.9585,58.3,58.78,335959.0,58.08
2015-02-27,58.22,53.0052,57.27,58.53,810462.0,57.2375
2015-03-02,57.33,53.7549,58.08,58.18,687883.0,57.23
2015-03-03,58.0,53.6068,57.92,58.23,381196.0,57.64
2015-03-04,57.76,52.7553,57.0,57.76,1011576.0,56.77
2015-03-05,57.24,52.9867,57.25,57.76,775737.0,57.008
2015-03-06,57.27,52.4314,56.65,58.11,907744.0,56.44
2015-03-09,56.66,52.3388,56.55,57.0199,972312.0,56.5
2015-03-10,56.16,50.7654,54.69,56.36,1342339.0,54.66
2015-03-11,54.69,51.081,55.03,55.26,872749.0,54.69
2015-03-12,55.22,52.2877,56.33,56.33,565398.0,55.22
2015-03-13,56.08,51.9628,55.98,56.44,550126.0,55.624
2015-03-16,56.42,53.3459,57.47,57.51,793069.0,56.25
2015-03-17,57.2,52.8725,56.96,57.32,554448.0,56.77
2015-03-18,56.86,53.6337,57.78,57.95,925670.0,56.67
2015-03-19,57.5,52.8261,56.91,57.52,512011.0,56.53
2015-03-20,57.3,54.0885,58.27,58.53,1516998.0,56.84
2015-03-23,58.45,53.9121,58.08,58.79,594875.0,58.04
2015-03-24,57.79,52.9468,57.04,57.81,468859.0,56.95
2015-03-25,56.95,51.3595,55.33,56.95,1673168.0,55.25
2015-03-26,55.06,51.7308,55.73,56.04,757557.0,54.85
2015-03-27,55.7,51.5266,55.51,55.8,486506.0,55.2
2015-03-30,55.95,51.9628,55.98,56.37,561867.0,55.81
2015-03-31,55.64,51.2388,55.2,55.73,773822.0,55.1
2015-04-01,54.96,51.2202,55.18,55.62,748265.0,54.73
2015-04-02,55.35,51.5915,55.58,55.77,1120791.0,55.125
2015-04-06,54.94,50.9418,54.88,55.43,928916.0,54.76
2015-04-07,54.98,50.4405,54.34,55.23,648461.0,54.29
2015-04-08,54.24,50.5798,54.49,54.53,542225.0,54.14
2015-04-09,54.35,50.9696,54.91,54.96,875855.0,54.12
2015-04-10,54.91,50.5241,54.43,54.94,545939.0,54.13
2015-04-13,54.48,50.8211,54.75,55.08,821961.0,54.43
2015-04-14,54.65,50.4127,54.31,54.84,1281098.0,53.73
2015-04-15,54.59,50.4127,54.31,54.78,1048765.0,53.95
2015-04-16,54.25,50.3013,54.19,54.48,988204.0,53.5
2015-04-17,53.71,49.633,53.47,53.795,842803.0,53.05
2015-04-20,53.77,50.2549,54.14,54.245,556772.0,53.68
2015-04-21,54.22,49.93,53.79,54.38,862900.0,53.57
2015-04-22,53.83,50.5519,54.46,54.54,830409.0,53.51
2015-04-23,54.32,50.6169,54.53,54.95,810673.0,54.2001
2015-04-24,54.52,50.6819,54.6,54.68,419966.0,54.2
2015-04-27,54.93,49.9764,53.84,54.97,993691.0,53.79
2015-04-28,53.61,50.422,54.32,54.37,583098.0,53.4
2015-04-29,53.96,49.7722,53.62,54.26,1007321.0,53.21
2015-04-30,53.33,48.8718,52.65,53.9,1527718.0,52.38
2015-05-01,53.72,50.9511,54.89,55.69,2033242.0,53.68
2015-05-04,55.29,51.2295,55.19,55.88,1314310.0,54.83
2015-05-05,54.96,50.9325,54.87,55.63,1014854.0,54.78
2015-05-06,54.97,50.4405,54.34,55.21,848208.0,53.9
2015-05-07,54.19,49.8279,53.68,54.4,1367199.0,53.67
2015-05-08,54.32,50.4405,54.34,54.77,918397.0,53.8068
2015-05-11,54.23,50.2549,54.14,54.89,1045512.0,54.04
2015-05-12,53.52,49.9021,53.76,54.02,796571.0,53.35
2015-05-13,53.87,50.1342,54.01,54.31,555664.0,53.62
2015-05-14,54.3,50.7283,54.65,54.68,678463.0,53.83
2015-05-15,54.66,50.7654,54.69,54.81,856194.0,54.21
2015-05-18,54.52,50.6076,54.52,55.05,955040.0,54.39
2015-05-19,54.66,50.4034,54.3,54.81,996175.0,54.12
2015-05-20,54.43,50.0692,53.94,54.5,710335.0,53.89
2015-05-21,53.8,49.93,53.79,54.07,763461.0,53.59
2015-05-22,53.67,49.9114,53.77,54.03,528026.0,53.38
2015-05-26,53.7,49.7443,53.59,53.93,1034694.0,53.47
2015-05-27,53.79,50.1156,53.99,54.28,1081199.0,53.54
2015-05-28,53.97,49.8,53.65,54.16,895527.0,53.42
2015-05-29,53.55,49.5308,53.36,53.64,1086363.0,52.84
2015-06-01,53.73,49.6886,53.53,53.89,707384.0,53.34
2015-06-02,53.35,49.7165,53.56,54.03,482047.0,53.14
