Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,192.1,177.8494,193.31,194.48,902755.0,191.04
2015-01-05,192.9,174.1509,189.29,194.5,1506476.0,188.6
2015-01-06,189.62,173.3321,188.4,190.99,1206318.0,186.8
2015-01-07,189.32,175.5677,190.83,191.02,942037.0,189.22
2015-01-08,190.9,179.5238,195.13,196.88,1952669.0,190.9
2015-01-09,195.09,179.4226,195.02,197.07,1436863.0,194.82
2015-01-12,195.51,178.9166,194.47,196.23,896874.0,193.7069
2015-01-13,196.14,178.8062,194.35,198.4399,1094981.0,192.68
2015-01-14,194.15,177.7758,193.23,194.24,1101279.0,191.63
2015-01-15,194.16,176.9846,192.37,194.73,897276.0,191.85
2015-01-16,191.88,179.1374,194.71,194.77,1085573.0,191.88
2015-01-20,196.63,180.0942,195.75,196.99,857814.0,193.01
2015-01-21,195.0,179.8642,195.5,196.75,966785.0,194.11
2015-01-22,197.0,182.2471,198.09,198.56,1307675.0,195.28
2015-01-23,197.99,181.6491,197.44,198.88,1313773.0,196.95
2015-01-26,196.25,180.0298,195.68,196.92,1339423.0,193.03
2015-01-27,193.0,175.3101,190.55,193.485,1943283.0,190.32
2015-01-28,191.84,174.1141,189.25,194.8,1570286.0,189.0
2015-01-29,189.26,177.1042,192.5,192.53,2017001.0,187.1
2015-01-30,189.77,173.3045,188.37,190.9599,2288787.0,188.28
2015-02-02,188.41,174.1877,189.33,189.76,1553055.0,186.01
2015-02-03,190.38,176.6442,192.0,192.3,1618183.0,189.59
2015-02-04,191.34,176.9018,192.28,193.53,1230783.0,190.62
2015-02-05,193.08,178.5394,194.06,194.47,1063892.0,191.58
2015-02-06,194.29,179.625,195.24,196.95,1127096.0,192.9
2015-02-09,194.35,177.5826,193.02,194.99,1208275.0,192.703
2015-02-10,195.1,180.0206,195.67,195.98,1280714.0,193.88
2015-02-11,195.17,180.6094,196.31,197.18,1439827.0,195.0
2015-02-12,196.71,181.6859,197.48,198.23,1217908.0,196.39
2015-02-13,197.29,181.1983,196.95,198.39,1253937.0,196.19
2015-02-17,196.53,181.7687,197.57,198.3,1023479.0,195.77
2015-02-18,197.57,182.6887,198.57,198.58,902483.0,196.95
2015-02-19,198.56,185.5776,201.71,201.74,1776075.0,197.97
2015-02-20,200.86,187.6752,203.99,204.0,1302159.0,200.28
2015-02-23,204.0,189.1472,205.59,205.66,1440587.0,203.2
2015-02-24,205.51,190.0949,206.62,206.93,1168595.0,204.82
2015-02-25,207.05,188.4756,204.86,207.06,2759828.0,204.5
2015-02-26,203.25,186.608,201.33,203.84,1349600.0,200.53
2015-02-27,201.0,185.4216,200.05,201.94,1311381.0,200.0
2015-03-02,200.67,188.1744,203.02,203.13,1037378.0,200.288
2015-03-03,202.45,185.3104,199.93,202.45,1312120.0,199.43
2015-03-04,199.7,184.4206,198.97,200.08,851444.0,198.78
2015-03-05,199.37,184.5411,199.1,200.03,872333.0,198.75
2015-03-06,198.38,183.2064,197.66,198.64,1221043.0,196.71
2015-03-09,197.42,185.1343,199.74,200.49,887636.0,197.21
2015-03-10,198.41,183.1322,197.58,198.98,1087980.0,197.31
2015-03-11,197.94,182.7893,197.21,198.405,952856.0,196.91
2015-03-12,197.54,184.2445,198.78,198.95,1047883.0,197.54
2015-03-13,197.97,182.6966,197.11,199.01,1155311.0,195.601
2015-03-16,198.22,187.331,202.11,202.3,1198019.0,198.1
2015-03-17,201.48,185.9963,200.67,202.0,936551.0,200.03
2015-03-18,200.77,187.7851,202.6,203.49,873473.0,198.355
2015-03-19,202.5,187.4051,202.19,203.36,1178037.0,201.04
2015-03-20,203.05,188.8696,203.77,204.04,3938121.0,201.67
2015-03-23,203.33,188.0817,202.92,204.59,1028052.0,202.92
2015-03-24,202.34,188.4339,203.3,204.365,1250876.0,200.9483
2015-03-25,203.34,184.4669,199.02,204.0,1337679.0,199.0
2015-03-26,197.57,185.8943,200.56,201.12,1499749.0,196.26
2015-03-27,200.56,187.4422,202.23,202.87,1256530.0,200.24
2015-03-30,203.5,189.9077,204.89,206.19,1048823.0,203.0
2015-03-31,203.46,188.1188,202.96,205.165,1262539.0,202.96
2015-04-01,202.1,184.2259,198.76,202.47,1897154.0,197.43
2015-04-02,199.37,184.1888,198.72,199.56,1387642.0,197.67
2015-04-06,199.33,185.8665,200.53,201.1192,1366317.0,197.85
2015-04-07,201.0,185.5143,200.15,202.55,1084817.0,199.9
2015-04-08,200.45,186.126,200.81,201.89,944803.0,199.6258
2015-04-09,200.52,186.7099,201.44,201.91,828324.0,200.29
2015-04-10,201.37,185.746,200.4,202.19,1278988.0,200.28
2015-04-13,200.03,182.641,197.05,201.1299,2130365.0,196.82
2015-04-14,196.89,182.9098,197.34,197.77,1586886.0,196.35
2015-04-15,198.27,182.7893,197.21,199.46,1154309.0,197.04
2015-04-16,196.58,182.7058,197.12,198.04,1065342.0,195.67
2015-04-17,195.8,180.574,194.82,196.44,1230786.0,193.94
2015-04-20,195.28,182.4092,196.8,197.65,1276939.0,195.0
2015-04-21,198.05,181.9365,196.29,198.34,1421126.0,195.105
2015-04-22,196.7,183.1785,197.63,198.09,1127369.0,195.211
2015-04-23,197.49,182.78,197.2,198.93,1178730.0,196.05
2015-04-24,197.01,181.0838,195.37,197.24,1307363.0,195.0
2015-04-27,195.64,179.6657,193.84,196.58,1378395.0,193.53
2015-04-28,193.75,179.8325,194.02,194.2725,1095622.0,191.5848
2015-04-29,193.38,177.3022,191.29,194.07,1427160.0,190.93
2015-04-30,190.97,172.9551,186.6,191.46,2257102.0,185.65
2015-05-01,186.8,175.1796,189.0,189.15,1196001.0,186.8
2015-05-04,189.2,175.8192,189.69,190.85,912656.0,189.15
2015-05-05,189.25,173.6503,187.35,189.9,993636.0,187.11
2015-05-06,188.51,173.1683,186.83,189.07,1192562.0,185.91
2015-05-07,186.65,174.4474,188.21,188.95,1040858.0,186.34
2015-05-08,189.96,176.5514,190.48,191.035,950567.0,189.48
2015-05-11,189.81,176.5421,190.47,191.18,831972.0,189.54
2015-05-12,189.22,176.6719,190.61,191.31,941811.0,188.55
2015-05-13,190.97,177.0334,191.0,191.99,980927.0,190.81
2015-05-14,191.62,178.9335,193.05,193.345,1004512.0,191.465
2015-05-15,193.03,178.2939,192.36,193.8099,1356467.0,192.1
2015-05-18,192.45,178.9613,193.08,193.6301,822104.0,192.36
2015-05-19,193.02,179.2393,193.38,194.31,772271.0,192.91
2015-05-20,193.9,179.1188,193.25,193.9,826517.0,192.4604
2015-05-21,193.57,178.9891,193.11,193.94,769670.0,192.52
2015-05-22,193.26,178.7573,192.86,193.36,995635.0,192.16
2015-05-26,192.68,176.5792,190.51,192.68,1380511.0,190.14
2015-05-27,190.45,177.3578,191.35,191.59,1196082.0,190.04
2015-05-28,189.41,177.608,190.12,190.76,1468947.0,188.93
2015-05-29,189.93,175.8144,188.2,190.1,1517391.0,187.62
2015-06-01,189.48,178.4955,191.07,192.2499,2003827.0,188.37
2015-06-02,190.61,178.2152,190.77,191.29,1469155.0,188.8
2015-06-03,191.42,179.2615,191.89,192.3299,1340274.0,190.79
2015-06-04,190.76,177.6547,190.17,192.29,1853956.0,189.99
2015-06-05,189.41,176.87,189.33,189.77,1389183.0,188.43
2015-06-08,189.34,176.9074,189.37,190.83,964763.0,189.06
2015-06-09,190.43,176.8887,189.35,190.54,1041153.0,189.3
2015-06-10,189.35,176.8233,189.28,190.65,1729345.0,188.84
2015-06-11,189.42,178.8785,191.48,191.54,1333103.0,189.42
2015-06-12,190.59,178.4114,190.98,191.53,1110108.0,190.22
2015-06-15,190.0,177.4212,189.92,190.58,710641.0,189.01
2015-06-16,189.26,178.262,190.82,191.14,853823.0,188.8901
2015-06-17,191.36,178.4488,191.02,191.78,862134.0,189.72
2015-06-18,191.5,180.0649,192.75,194.49,1159733.0,191.385
2015-06-19,192.69,178.5609,191.14,192.69,1234903.0,190.99
2015-06-22,191.95,179.439,192.08,192.98,716879.0,191.66
2015-06-23,192.43,179.028,191.64,192.95,573046.0,190.88
2015-06-24,191.22,177.6547,190.17,191.79,857638.0,190.12
2015-06-25,190.5,177.4866,189.99,191.17,884905.0,189.68
2015-06-26,190.53,176.2254,188.64,190.56,1876283.0,188.51
2015-06-29,187.59,173.3108,185.52,188.52,1202598.0,185.41
2015-06-30,187.17,173.6657,185.9,187.79,1275262.0,185.33
2015-07-01,186.01,175.7864,188.17,188.29,950075.0,186.01
2015-07-02,188.71,174.9736,187.3,188.79,1024465.0,186.7632
2015-07-06,186.73,175.6182,187.99,188.48,902600.0,186.42
2015-07-07,188.57,177.6454,190.16,190.28,1328045.0,187.54
2015-07-08,188.51,177.5426,190.05,191.3299,1528244.0,188.29
2015-07-09,191.76,179.4857,192.13,193.12,1442158.0,191.21
2015-07-10,193.99,181.4102,194.19,197.0,1638335.0,192.87
2015-07-13,196.0,184.8573,197.88,198.3908,1197212.0,195.61
2015-07-14,198.9,185.9503,199.05,199.82,1059162.0,198.36
2015-07-15,199.19,186.2866,199.41,199.64,972152.0,198.06
2015-07-16,199.8,188.3512,201.62,201.81,976176.0,199.6
2015-07-17,200.93,187.9402,201.18,201.66,997953.0,200.4
2015-07-20,202.31,191.6302,205.13,205.39,2050965.0,201.03
2015-07-21,204.44,189.7805,203.15,204.76,1766978.0,202.85
2015-07-22,203.33,189.4442,202.79,204.44,1124876.0,202.0
2015-07-23,202.81,189.4816,202.83,204.96,1175219.0,202.64
2015-07-24,202.8,187.8094,201.04,202.944,1124750.0,200.68
2015-07-27,200.36,187.9308,201.17,201.76,997872.0,199.38
2015-07-28,202.42,190.2289,203.63,204.72,1125188.0,201.28
2015-07-29,204.77,194.4515,208.15,210.41,2491048.0,204.31
2015-07-30,207.22,192.882,206.47,208.5,1554849.0,205.95
2015-07-31,207.61,193.4706,207.1,208.51,1116804.0,206.53
2015-08-03,207.27,194.1151,207.79,207.99,1064667.0,206.062
2015-08-04,208.51,195.7406,209.53,209.79,1066471.0,207.25
2015-08-05,210.02,195.6472,209.43,210.75,1209868.0,209.07
2015-08-06,209.73,195.4884,209.26,209.94,1148240.0,208.1633
2015-08-07,209.0,195.3296,209.09,209.39,997613.0,207.22
2015-08-10,210.04,196.9084,210.78,211.57,978459.0,209.34
2015-08-11,209.05,195.1147,208.86,209.76,985751.0,207.9
2015-08-12,207.54,195.04,208.78,209.32,932151.0,206.75
2015-08-13,208.73,195.9835,209.79,210.71,1091175.0,208.69
2015-08-14,209.75,198.0107,211.96,212.08,916141.0,209.33
2015-08-17,210.88,199.001,213.02,213.12,776428.0,210.77
2015-08-18,212.36,198.674,212.67,213.34,774902.0,212.1401
2015-08-19,211.96,197.3755,211.28,212.91,1303749.0,210.67
2015-08-20,210.98,195.367,209.13,211.5,1406359.0,209.13
2015-08-21,208.56,191.2098,204.68,208.84,2037399.0,204.57
2015-08-24,190.01,184.465,197.46,203.27,3307324.0,181.91
2015-08-25,205.5,185.8849,198.98,205.51,2100552.0,198.55
2015-08-26,203.23,188.8183,202.12,203.23,2933734.0,196.85
2015-08-27,203.92,191.9105,205.43,206.94,1688076.0,202.91
2015-08-28,203.63,191.8824,203.9,204.475,1391216.0,201.38
2015-08-31,203.21,189.3227,201.18,203.24,1086765.0,201.08
2015-09-01,197.87,185.9726,197.62,199.59,1674453.0,197.016
2015-09-02,199.69,192.0142,204.04,204.115,1490607.0,199.28
2015-09-03,204.69,193.1058,205.2,206.46,1350948.0,204.3201
2015-09-04,203.54,190.6779,202.62,204.34,1213571.0,201.41
2015-09-08,204.18,194.8091,207.01,207.29,1320745.0,204.0
2015-09-09,209.0,192.5976,204.66,209.24,1110283.0,204.52
2015-09-10,203.71,193.9998,206.15,207.29,1370045.0,203.71
2015-09-11,205.81,194.6209,206.81,206.96,1085923.0,205.33
2015-09-14,207.03,193.8587,206.0,207.03,1034319.0,205.56
2015-09-15,206.38,195.5902,207.84,208.54,1253748.0,205.51
2015-09-16,207.64,195.3267,207.56,208.19,927797.0,206.33
2015-09-17,207.85,195.3644,207.6,210.53,958851.0,207.13
2015-09-18,206.0,191.3272,203.31,206.0325,3010557.0,202.65
2015-09-21,204.35,192.3059,204.35,205.79,964832.0,203.185
2015-09-22,202.46,191.6566,203.66,203.97,1119269.0,201.5
2015-09-23,204.13,190.819,202.77,204.99,601166.0,201.71
2015-09-24,201.5,192.6917,204.76,205.89,1667478.0,199.56
2015-09-25,206.74,191.873,203.89,206.78,1413962.0,203.0
2015-09-28,202.55,188.4193,200.22,204.44,1313258.0,200.0
2015-09-29,200.0,190.5367,202.47,202.9199,1226643.0,199.01
2015-09-30,204.34,195.0915,207.31,207.71,1708324.0,204.23
2015-10-01,206.31,192.6823,204.75,207.34,1889689.0,202.815
2015-10-02,202.01,194.4327,206.61,206.61,1154767.0,201.81
2015-10-05,208.3,199.2509,211.73,211.86,1347479.0,207.7037
2015-10-06,211.7,197.9993,210.4,212.65,1625652.0,210.27
2015-10-07,211.79,200.399,212.95,214.02,1127085.0,211.038
2015-10-08,212.28,201.7353,214.37,214.659,782818.0,211.34
2015-10-09,214.44,200.6908,213.26,216.27,1339964.0,213.22
2015-10-12,213.61,201.6977,214.33,214.63,1048086.0,212.76
2015-10-13,213.22,199.4862,211.98,214.36,1026158.0,211.94
2015-10-14,212.05,195.8819,208.15,212.59,1192873.0,207.99
2015-10-15,209.23,196.8512,209.18,211.7,1497619.0,207.51
2015-10-16,210.4,197.4159,209.78,211.0,1145664.0,208.69
2015-10-19,209.24,198.2252,210.64,210.7325,1329875.0,208.5
2015-10-20,207.38,196.4278,208.73,209.545,1926488.0,205.14
2015-10-21,209.76,199.091,211.56,213.155,1333949.0,208.74
2015-10-22,212.22,203.7492,216.51,216.99,1190158.0,212.22
2015-10-23,218.0,206.3936,219.32,219.42,1280865.0,217.23
2015-10-26,219.32,207.9181,220.94,221.35,1383815.0,218.89
2015-10-27,219.97,209.8943,223.04,225.15,1399129.0,219.81
2015-10-28,222.25,208.0122,221.04,224.44,1973548.0,218.36
2015-10-29,221.0,205.3867,218.25,222.69,1795860.0,217.77
2015-10-30,219.0,206.8735,219.83,220.69,1774826.0,218.3256
2015-11-02,219.89,207.5887,220.59,221.0,1160716.0,218.91
2015-11-03,220.0,205.9984,218.9,220.46,1046325.0,218.34
2015-11-04,219.71,205.9325,218.83,220.352,933118.0,218.51
2015-11-05,219.17,205.716,218.6,220.59,911612.0,218.01
