Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,58.1,54.1109,57.42,58.549,1243755.0,56.95
2015-01-05,56.77,52.4429,55.65,57.05,2097826.0,55.29
2015-01-06,55.55,50.7655,53.87,55.64,3305389.0,53.695
2015-01-07,54.65,51.4722,54.62,55.23,1675886.0,54.23
2015-01-08,55.46,52.6502,55.67,56.04,2432345.0,55.0
2015-01-09,55.65,51.4113,54.36,55.7,1872159.0,54.09
2015-01-12,54.6,50.9573,53.88,54.62,1857316.0,53.4
2015-01-13,54.15,50.4182,53.31,54.65,2844934.0,52.74
2015-01-14,52.15,49.0847,51.9,52.76,2958168.0,51.22
2015-01-15,51.86,47.5337,50.26,52.22,3846093.0,50.22
2015-01-16,50.81,48.6402,51.43,51.45,3379339.0,49.97
2015-01-20,51.82,48.4132,51.19,51.97,3416308.0,50.54
2015-01-21,51.07,48.9428,51.75,51.84,1848911.0,50.67
2015-01-22,51.44,50.1156,52.99,53.11,2169513.0,51.31
2015-01-23,52.52,49.3401,52.17,52.77,2512294.0,52.11
2015-01-26,52.13,49.5197,52.36,52.44,1220918.0,51.68
2015-01-27,51.43,48.8861,51.69,51.96,2338410.0,51.18
2015-01-28,52.13,47.893,50.64,52.13,3259659.0,50.61
2015-01-29,50.95,48.6875,51.48,51.63,3002685.0,50.31
2015-01-30,50.54,47.2689,49.98,51.12,4185589.0,49.83
2015-02-02,50.36,48.7915,51.59,51.66,2729410.0,49.98
2015-02-03,52.15,50.3236,53.21,53.24,3138924.0,51.91
2015-02-04,53.12,50.3142,53.2,53.96,3780779.0,52.93
2015-02-05,52.37,50.8627,53.78,53.83,4565010.0,51.38
2015-02-06,54.71,52.7731,55.8,56.84,4301312.0,54.71
2015-02-09,55.4,53.4635,56.53,56.62,3632893.0,55.06
2015-02-10,57.12,53.9081,57.0,57.27,3339317.0,56.54
2015-02-11,57.13,54.6836,57.82,57.99,2473132.0,57.02
2015-02-12,57.95,54.9106,58.06,58.4,2377062.0,57.62
2015-02-13,57.89,55.2699,58.44,58.78,2203883.0,57.78
2015-02-17,58.37,55.6482,58.84,59.0,2197679.0,58.2
2015-02-18,58.54,54.7876,57.93,58.87,2880449.0,57.87
2015-02-19,57.62,55.0051,58.16,58.4,2359932.0,57.41
2015-02-20,57.85,55.3361,58.51,58.51,3160475.0,56.69
2015-02-23,58.55,54.7214,57.86,58.55,2526506.0,57.47
2015-02-24,57.91,55.2889,58.46,58.8,1925527.0,57.65
2015-02-25,58.31,55.0997,58.26,58.69,1430222.0,58.02
2015-02-26,58.3,54.9578,58.11,58.77,1994522.0,57.87
2015-02-27,58.14,54.5133,57.64,58.58,2217910.0,57.61
2015-03-02,57.58,55.582,58.77,58.79,2460113.0,57.52
2015-03-03,58.32,55.2889,58.46,58.8,2128951.0,57.97
2015-03-04,58.14,54.8822,58.03,58.43,1599982.0,57.62
2015-03-05,58.05,55.1659,58.33,58.4974,2258812.0,57.87
2015-03-06,58.8,55.7239,58.92,60.84,4431070.0,58.6
2015-03-09,58.67,55.8469,59.05,59.439,1562579.0,58.51
2015-03-10,58.1,53.3217,56.38,58.11,3791362.0,56.35
2015-03-11,56.48,53.5392,56.61,57.13,2604188.0,56.46
2015-03-12,57.05,54.9106,58.06,58.08,1518423.0,57.05
2015-03-13,57.88,54.5133,57.64,58.13,2209629.0,56.62
2015-03-16,57.89,55.5064,58.69,58.69,1371599.0,57.61
2015-03-17,58.2,55.2227,58.39,58.63,1270935.0,57.92
2015-03-18,58.14,55.0619,58.22,59.14,2748017.0,57.65
2015-03-19,58.17,54.2485,57.36,58.39,2058121.0,56.57
2015-03-20,57.72,55.0619,58.22,58.405,2018812.0,57.19
2015-03-23,58.45,54.816,57.96,59.124,1060597.0,57.96
2015-03-24,57.8,53.927,57.02,57.99,1750171.0,57.02
2015-03-25,57.2,53.4352,56.5,57.34,1741691.0,56.5
2015-03-26,56.38,53.9175,57.01,57.3,1714374.0,56.22
2015-03-27,56.8,53.4825,56.55,57.0,1074839.0,56.17
2015-03-30,57.22,54.4188,57.54,57.919,1366019.0,57.15
2015-03-31,57.1,54.3431,57.46,57.69,1395325.0,56.77
2015-04-01,56.96,53.7851,56.87,57.27,1392749.0,56.52
2015-04-02,56.88,54.3431,57.46,57.57,1719630.0,56.6201
2015-04-06,56.81,53.9364,57.03,57.22,1357540.0,56.2744
2015-04-07,57.09,53.5298,56.6,57.23,1482419.0,56.6
2015-04-08,56.62,53.9553,56.85,57.05,1245399.0,56.35
2015-04-09,56.67,54.4014,57.32,57.56,1334047.0,56.66
2015-04-10,57.23,53.9174,56.81,57.45,1081984.0,56.67
2015-04-13,56.61,54.1831,57.09,57.33,1088763.0,56.53
2015-04-14,57.25,53.6896,56.57,57.65,2348250.0,56.34
2015-04-15,56.66,55.4644,58.44,58.53,3031928.0,56.66
2015-04-16,58.21,55.0942,58.05,58.5,1265958.0,57.8675
2015-04-17,57.55,53.8984,56.79,57.61,1565052.0,56.42
2015-04-20,57.13,54.5817,57.51,57.69,1197532.0,56.96
