Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,22.54,21.78,22.63,22.69,1298448.0,22.34
2015-01-05,22.51,21.0678,21.89,22.51,1788998.0,21.83
2015-01-06,21.96,20.8464,21.66,21.97,2343447.0,21.28
2015-01-07,21.87,21.0871,21.91,22.0,2189077.0,21.8
2015-01-08,22.14,21.9436,22.8,22.82,1857145.0,22.06
2015-01-09,22.81,21.6453,22.49,22.876,1742547.0,22.37
2015-01-12,22.44,21.2795,22.11,22.48,1545895.0,21.94
2015-01-13,22.3,21.2699,22.1,22.59,1843613.0,21.92
2015-01-14,21.75,21.0486,21.87,21.8945,1937260.0,21.38
2015-01-15,21.97,20.8272,21.64,22.0999,2555295.0,21.51
2015-01-16,21.56,21.0197,21.84,21.85,1272595.0,21.5
2015-01-20,21.53,21.318,22.15,22.225,2147909.0,21.42
2015-01-21,22.01,21.5683,22.41,22.48,1470033.0,21.92
2015-01-22,22.53,22.2997,23.17,23.18,2597442.0,22.43
2015-01-23,23.08,22.1746,23.04,23.28,1375772.0,22.8
2015-01-26,23.04,22.6366,23.52,23.53,1077523.0,22.97
2015-01-27,23.24,22.7617,23.65,23.84,1873708.0,23.2
2015-01-28,23.75,21.8955,22.75,23.75,1432536.0,22.75
2015-01-29,22.71,22.0206,22.88,22.92,1176849.0,22.45
2015-01-30,22.61,21.8185,22.67,23.02,1396572.0,22.52
2015-02-02,22.66,21.9436,22.8,22.84,1381400.0,22.4
2015-02-03,22.92,22.4248,23.3,23.31,1302274.0,22.92
2015-02-04,23.11,22.396,23.27,23.45,1346901.0,23.1
2015-02-05,23.31,22.5307,23.41,23.56,1180185.0,23.3
2015-02-06,23.54,22.5115,23.39,23.74,1219048.0,23.3
2015-02-09,23.27,22.6847,23.57,23.625,1137085.0,23.212
2015-02-10,23.71,22.5307,23.41,23.79,1424248.0,23.316
2015-02-11,23.38,22.4248,23.3,23.45,1287569.0,23.1
2015-02-12,23.38,22.627,23.51,23.615,1843684.0,23.32
2015-02-13,23.51,22.6173,23.5,23.64,1388401.0,23.33
2015-02-17,23.5,22.8291,23.72,23.8,1240911.0,23.37
2015-02-18,23.59,22.9446,23.84,23.86,1084615.0,23.56
2015-02-19,23.8,23.0504,23.95,24.8,1319187.0,23.64
2015-02-20,23.94,23.2044,24.11,24.11,716254.0,23.61
2015-02-23,24.2,23.0119,23.91,24.2,928269.0,23.78
2015-02-24,23.93,23.2622,24.17,24.36,1105699.0,23.93
2015-02-25,24.17,23.1563,24.06,24.2,903593.0,23.9
2015-02-26,24.01,22.8772,23.77,24.105,935867.0,23.69
2015-02-27,23.74,22.8387,23.73,23.885,1384671.0,23.54
2015-03-02,23.72,22.8098,23.7,23.85,1188493.0,23.57
2015-03-03,23.61,23.0889,23.99,24.0,1236701.0,23.56
2015-03-04,23.84,22.8964,23.79,23.93,893406.0,23.46
2015-03-05,23.87,23.0601,23.96,24.02,723506.0,23.69
