Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,42.69,41.6759,42.69,43.05,6889608.0,42.2
2015-01-05,42.83,40.6509,41.64,42.9,7877714.0,41.45
2015-01-06,41.9,39.4989,40.46,42.05,10576350.0,39.67
2015-01-07,40.77,39.8308,40.8,41.12,7692445.0,40.38
2015-01-08,41.0,40.8852,41.88,42.09,7300467.0,40.95
2015-01-09,41.88,39.8211,40.79,42.039,7116654.0,40.64
2015-01-12,40.45,39.2939,40.25,40.861,7095641.0,39.721
2015-01-13,40.62,39.5184,40.48,41.76,8366218.0,39.94
2015-01-14,39.72,38.5031,39.44,40.23,8540378.0,38.63
2015-01-15,39.22,37.976,38.9,39.76,7479637.0,38.75
2015-01-16,38.68,38.5422,39.48,39.57,9110055.0,38.26
2015-01-20,40.24,39.8211,40.79,40.815,10061696.0,39.72
2015-01-21,40.45,40.8364,41.83,41.91,10336160.0,40.17
2015-01-22,43.45,44.2727,45.35,45.7,20864948.0,43.34
2015-01-23,45.45,44.6925,45.78,46.0,11929531.0,44.6
2015-01-26,45.33,45.2978,46.4,46.41,8445226.0,45.21
2015-01-27,45.6,44.7902,45.88,46.41,7746981.0,44.87
2015-01-28,46.62,44.7121,45.8,47.08,9337552.0,45.72
2015-01-29,45.95,45.8738,46.99,47.1738,8232523.0,45.5
2015-01-30,46.34,44.1068,45.18,46.78,11994488.0,45.1
2015-02-02,44.94,43.4722,44.53,45.02,13259423.0,42.59
2015-02-03,43.17,42.2226,43.25,43.94,12057274.0,42.54
2015-02-04,43.51,43.5796,44.64,45.07,8899594.0,43.47
2015-02-05,44.31,43.4136,44.47,44.48,7950047.0,43.36
2015-02-06,44.13,43.0915,44.14,44.73,8557972.0,43.7212
2015-02-09,43.5,42.2324,43.26,43.69,8591024.0,42.91
2015-02-10,43.72,42.74,43.78,44.19,5881467.0,43.22
2015-02-11,44.46,42.4667,43.5,44.51,5288819.0,43.21
2015-02-12,43.06,42.4667,43.5,43.516,7304447.0,42.19
2015-02-13,43.11,42.2714,43.3,43.63,6395526.0,42.92
2015-02-17,43.46,41.5783,42.59,43.6,8817838.0,42.55
2015-02-18,42.94,42.5155,43.55,43.68,8269239.0,42.23
2015-02-19,44.92,42.7205,43.76,44.97,7534903.0,43.7
2015-02-20,43.65,43.7163,44.78,44.95,7116936.0,43.4
2015-02-23,45.11,43.6284,44.69,45.4899,7303143.0,44.28
2015-02-24,44.38,44.2727,45.35,45.36,6998748.0,44.04
2015-02-25,45.02,43.072,44.12,45.27,7774986.0,43.98
2015-02-26,44.56,43.0329,44.08,44.63,6745038.0,43.73
2015-02-27,44.16,42.2129,43.24,44.16,4792671.0,43.2
2015-03-02,43.63,43.1696,44.22,44.275,6399876.0,43.4415
2015-03-03,43.61,42.9743,43.96,44.42,6262388.0,43.51
2015-03-04,43.79,43.0232,44.01,44.19,5904973.0,43.48
2015-03-05,44.17,43.1112,44.1,44.28,5324551.0,43.71
2015-03-06,43.72,42.3291,43.3,44.045,5322436.0,43.25
2015-03-09,43.3,42.4269,43.4,43.75,4026762.0,43.11
