Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,49.46,49.35,49.35,49.99,1383404.0,48.93
2015-01-05,49.25,48.57,48.57,49.42,1903606.0,48.4
2015-01-06,48.2,47.02,47.02,48.35,4322849.0,46.64
2015-01-07,47.47,47.02,47.02,47.47,1610165.0,46.67
2015-01-08,47.51,47.24,47.24,47.695,3211555.0,47.15
2015-01-09,47.32,47.21,47.21,47.48,1402685.0,46.9
2015-01-12,47.42,47.18,47.18,47.72,3010755.0,46.93
2015-01-13,47.57,47.44,47.44,48.3,2393044.0,46.96
2015-01-14,47.28,47.88,47.88,47.93,2206993.0,47.17
2015-01-15,48.18,47.3,47.3,48.3,1732821.0,47.27
2015-01-16,47.23,47.8,47.8,47.85,1991599.0,47.13
2015-01-20,48.09,48.33,48.33,48.56,2945151.0,47.95
2015-01-21,49.0,49.52,49.52,49.82,2950381.0,48.53
2015-01-22,49.74,50.09,50.09,50.11,2236023.0,49.24
2015-01-23,50.29,49.94,49.94,50.4,1867759.0,49.85
2015-01-26,49.93,50.04,50.04,50.48,2263976.0,49.9
2015-01-27,49.59,50.18,50.18,50.33,2716535.0,49.3562
2015-01-28,50.41,49.77,49.77,50.47,2873651.0,49.59
2015-01-29,49.78,50.05,50.05,50.12,2685612.0,48.9
2015-01-30,49.6,49.74,49.74,50.22,3932497.0,49.5
2015-02-02,49.8,50.19,50.19,50.27,3222236.0,49.32
2015-02-03,50.35,51.39,51.39,51.43,4537793.0,50.21
2015-02-04,50.76,52.5,52.5,54.35,1611439.0,50.61
2015-02-05,52.89,53.38,53.38,53.735,3693843.0,52.67
2015-02-06,53.38,52.42,52.42,53.67,2289876.0,52.27
2015-02-09,52.28,52.83,52.83,53.21,2580890.0,52.28
2015-02-10,53.0,53.55,53.55,53.63,1445869.0,52.81
2015-02-11,53.55,53.69,53.69,53.71,1433558.0,53.04
2015-02-12,53.99,54.01,54.01,54.15,1667898.0,53.76
2015-02-13,53.87,53.49,53.49,54.04,2019633.0,53.22
2015-02-17,53.28,53.47,53.47,53.52,2490878.0,52.84
2015-02-18,53.39,53.31,53.31,53.62,1346713.0,52.85
2015-02-19,53.34,52.86,52.86,53.87,1270380.0,52.785
2015-02-20,52.89,54.08,54.08,54.14,2025090.0,52.73
2015-02-23,54.17,53.86,53.86,54.46,1218338.0,53.57
2015-02-24,53.91,53.91,53.91,54.1,2006010.0,53.7
2015-02-25,53.83,53.87,53.87,54.18,1874543.0,53.59
2015-02-26,53.94,53.39,53.39,54.11,2001497.0,53.02
2015-02-27,53.46,53.86,53.86,53.91,1675854.0,53.4
2015-03-02,54.0,54.0,54.0,54.33,3865493.0,53.72
2015-03-03,53.96,54.9,54.9,54.93,1928139.0,53.88
2015-03-04,54.71,54.7,54.7,54.96,2062523.0,54.09
2015-03-05,54.92,55.46,55.46,55.95,2155004.0,54.76
2015-03-06,55.01,54.58,54.58,55.34,2225500.0,54.33
2015-03-09,54.49,54.47,54.47,54.75,1506923.0,54.26
2015-03-10,54.33,53.48,53.48,54.36,2325059.0,53.21
2015-03-11,53.3,53.54,53.54,54.15,2020103.0,53.22
2015-03-12,53.7,54.82,54.82,54.95,1797517.0,53.62
2015-03-13,54.61,54.41,54.41,54.9,1450198.0,53.9526
2015-03-16,54.57,54.55,54.55,54.8044,1699048.0,54.1796
2015-03-17,54.4,54.42,54.42,54.85,1176112.0,54.14
2015-03-18,54.17,55.31,55.31,55.52,1668129.0,54.03
2015-03-19,55.29,54.67,54.67,55.62,1525186.0,54.46
2015-03-20,54.92,55.4,55.4,55.59,3317421.0,54.83
2015-03-23,55.46,55.28,55.28,55.7,1488970.0,55.24
2015-03-24,55.23,54.99,54.99,55.61,1171011.0,54.932
2015-03-25,54.99,53.51,53.51,55.1,1092030.0,53.51
2015-03-26,53.25,53.65,53.65,53.85,1046649.0,53.04
2015-03-27,53.73,53.95,53.95,54.1,1083902.0,53.37
2015-03-30,54.35,54.47,54.47,54.82,1343827.0,54.11
2015-03-31,54.22,53.84,53.84,54.54,1126972.0,53.83
2015-04-01,53.85,53.92,53.92,53.94,1217266.0,53.25
2015-04-02,54.1,54.23,54.23,54.9,1148577.0,53.84
2015-04-06,53.95,54.06,54.06,54.41,1396939.0,53.68
2015-04-07,54.19,54.05,54.05,54.55,605720.0,54.04
2015-04-08,54.13,54.22,54.22,54.61,1010824.0,53.99
