Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,66.33,57.8428,65.69,66.96,4503950.0,64.94
2015-01-05,64.73,57.3497,65.13,65.44,5004617.0,64.67
2015-01-06,65.41,57.1383,64.89,65.75,4276797.0,64.06
2015-01-07,67.56,59.4806,67.55,67.83,8131749.0,66.27
2015-01-08,68.26,59.7095,67.81,68.3,4984541.0,67.4
2015-01-09,66.28,58.0453,65.92,66.6,7362857.0,65.505
2015-01-12,65.98,58.151,66.04,66.2,3022319.0,65.38
2015-01-13,66.73,57.7459,65.58,67.23,3623327.0,65.16
2015-01-14,64.97,56.7333,64.43,65.14,7025887.0,63.32
2015-01-15,64.58,54.893,62.34,65.21,5234834.0,62.32
2015-01-16,62.41,55.5974,63.14,63.39,4284066.0,62.23
2015-01-20,63.6,55.7383,63.3,63.75,3722350.0,62.35
2015-01-21,63.42,56.5308,64.2,64.27,3322279.0,63.395
2015-01-22,64.58,57.6755,65.5,65.65,3336610.0,64.26
2015-01-23,66.36,57.9661,65.83,66.52,3691748.0,65.3
2015-01-26,65.64,58.1862,66.08,66.18,2418936.0,65.22
2015-01-27,65.3,57.6843,65.51,65.82,2771665.0,65.06
2015-01-28,66.15,57.1383,64.89,66.4,2264096.0,64.86
2015-01-29,64.93,57.5522,65.36,65.43,2360297.0,64.25
2015-01-30,64.95,56.249,63.88,64.95,2965754.0,63.82
2015-02-02,64.0,56.5132,64.18,64.415,3154979.0,62.46
2015-02-03,64.47,58.1774,66.07,66.09,3960895.0,64.26
2015-02-04,64.95,57.1383,64.89,65.38,5723184.0,64.4
2015-02-05,64.04,56.0905,63.7,64.95,4680530.0,63.7
2015-02-06,63.97,56.1169,63.73,64.17,6499131.0,63.4
2015-02-09,63.56,56.0817,63.69,63.865,3302946.0,63.16
2015-02-10,64.16,56.8125,64.52,64.67,3105527.0,63.78
2015-02-11,64.65,57.0239,64.76,65.16,2136799.0,64.53
2015-02-12,64.86,56.9358,64.66,64.91,2284743.0,64.13
2015-02-13,64.4,56.6364,64.32,64.75,2897225.0,64.07
2015-02-17,63.49,56.0377,63.64,63.64,4618308.0,62.71
2015-02-18,63.69,55.932,63.52,63.99,2548180.0,63.27
2015-02-19,63.52,55.4741,63.0,63.7228,2958644.0,62.97
2015-02-20,63.06,56.0905,63.7,63.82,4338771.0,62.51
2015-02-23,64.06,56.4955,64.16,64.27,4525811.0,63.43
2015-02-24,64.23,54.6816,62.1,64.45,12863870.0,61.1
2015-02-25,62.15,55.9848,63.58,64.1,6970869.0,62.1
2015-02-26,63.71,55.9848,63.58,63.86,4891531.0,62.585
2015-02-27,63.68,56.1081,63.72,64.06,3573916.0,63.27
2015-03-02,63.4,56.2666,63.9,64.64,4664358.0,63.26
2015-03-03,63.89,55.888,63.47,64.14,2944641.0,63.0
2015-03-04,63.36,55.3773,62.89,63.49,2725081.0,62.65
2015-03-05,63.19,55.6414,63.19,63.29,2598358.0,62.8259
2015-03-06,62.91,55.4565,62.98,63.21,2775006.0,62.7
2015-03-09,62.85,55.0867,62.56,63.0,2703216.0,62.5
2015-03-10,62.02,55.7383,63.3,63.38,4792526.0,61.85
2015-03-11,63.19,55.1857,62.36,63.21,2856130.0,62.21
2015-03-12,62.65,55.9203,63.19,63.25,3218552.0,62.54
2015-03-13,63.18,56.0707,63.36,63.52,3226717.0,62.61
2015-03-16,63.63,56.7521,64.13,64.15,3611435.0,63.61
2015-03-17,63.85,56.7256,64.1,64.26,2787612.0,63.6
2015-03-18,64.06,57.1769,64.61,64.99,4013040.0,63.5
2015-03-19,64.43,57.584,65.07,65.19,2823947.0,64.37
2015-03-20,65.17,58.3893,65.98,66.135,5929075.0,65.0
2015-03-23,65.82,58.0884,65.64,66.14,3472998.0,65.63
2015-03-24,65.32,57.8141,65.33,65.77,2323597.0,65.14
2015-03-25,65.33,57.2742,64.72,65.82,3670036.0,64.72
2015-03-26,64.14,55.9822,63.26,64.215,5000928.0,63.23
2015-03-27,63.49,56.3273,63.65,64.01,2379601.0,63.25
2015-03-30,64.07,57.0264,64.44,64.665,2721931.0,63.95
2015-03-31,64.44,57.4424,64.91,65.75,4808308.0,64.06
2015-04-01,64.52,57.9203,65.45,66.07,6269174.0,64.4
2015-04-02,65.52,60.0441,67.85,68.48,10021276.0,65.29
2015-04-06,67.34,60.2919,68.13,68.18,5113113.0,67.0
2015-04-07,68.17,60.1326,67.95,69.39,4176456.0,67.875
2015-04-08,67.92,61.7698,69.8,69.98,5338301.0,67.77
2015-04-09,69.72,60.1769,68.0,69.72,6404159.0,67.97
2015-04-10,68.73,61.2034,69.16,69.78,7663480.0,68.71
2015-04-13,69.24,61.1946,69.15,69.88,4586225.0,68.98
2015-04-14,68.81,60.1769,68.0,69.05,4501599.0,67.17
2015-04-15,68.39,60.0972,67.91,68.71,3148934.0,67.79
2015-04-16,67.84,59.8848,67.67,68.27,2238311.0,67.53
2015-04-17,67.1,58.8052,66.45,67.53,4506301.0,66.42
2015-04-20,66.89,59.1061,66.79,67.14,3013423.0,66.45
2015-04-21,66.8,59.3185,67.03,67.25,2759979.0,66.35
2015-04-22,67.07,59.2919,67.0,67.37,2011359.0,66.37
2015-04-23,67.03,59.6636,67.42,67.87,2394780.0,67.03
2015-04-24,67.42,59.2831,66.99,67.65,2269783.0,66.91
2015-04-27,66.83,58.3539,65.94,67.2,3539868.0,65.68
2015-04-28,65.56,58.23,65.8,66.17,3396830.0,65.07
2015-04-29,65.68,57.3539,64.81,65.76,5502888.0,64.425
2015-04-30,64.77,57.1946,64.63,65.63,3291751.0,64.3
2015-05-01,64.16,57.584,65.07,65.26,3449874.0,63.96
2015-05-04,65.11,57.7787,65.29,65.67,2041845.0,64.94
2015-05-05,64.99,57.0795,64.5,65.25,2905417.0,64.44
2015-05-06,64.49,56.2919,63.61,64.6,6060331.0,63.54
2015-05-07,63.83,57.2654,64.71,65.11,4548949.0,63.77
2015-05-08,65.71,58.3539,65.94,66.85,3458325.0,65.7
2015-05-11,65.84,58.4335,66.03,66.3,5258650.0,65.46
2015-05-12,65.56,57.8141,65.33,65.75,6025591.0,65.06
2015-05-13,63.75,56.3981,63.73,65.3,15048560.0,63.27
2015-05-14,63.27,55.9468,63.22,63.81,12725380.0,62.8
2015-05-15,63.26,58.876,66.53,66.55,12343982.0,63.0902
2015-05-18,66.25,60.0441,67.85,68.15,8016885.0,65.98
2015-05-19,67.96,61.1326,69.08,69.22,9370434.0,67.38
2015-05-20,69.04,60.3627,68.21,69.19,5724525.0,68.1499
2015-05-21,67.89,59.876,67.66,68.44,4659688.0,67.6
2015-05-22,67.73,60.2742,68.11,68.4,4005289.0,67.73
2015-05-26,68.03,59.584,67.33,68.14,3973519.0,67.275
2015-05-27,66.48,59.9999,67.8,67.85,4183993.0,66.34
2015-05-28,67.87,60.2123,68.04,68.79,4493420.0,67.6
2015-05-29,67.73,59.2477,66.95,67.94,4812480.0,66.755
2015-06-01,67.03,59.1238,66.81,67.51,2421602.0,66.65
2015-06-02,66.77,60.6105,68.49,69.5,11752643.0,66.5
2015-06-03,68.79,61.6636,69.68,69.99,6052600.0,68.36
2015-06-04,68.73,61.2742,69.24,69.9,4300683.0,68.53
2015-06-05,69.24,61.2831,69.25,69.55,4102227.0,68.7511
2015-06-08,69.34,61.0353,68.97,69.845,3951899.0,68.65
2015-06-09,69.14,61.1769,69.13,69.9,5666445.0,68.77
2015-06-10,69.26,60.9733,68.9,69.6,4603780.0,68.65
2015-06-11,69.12,61.3096,68.92,69.18,2893085.0,68.46
2015-06-12,68.78,61.9234,69.61,69.91,5617485.0,68.61
2015-06-15,69.29,61.363,68.98,69.29,3338311.0,68.81
2015-06-16,68.74,61.2563,68.86,69.25,2905001.0,68.74
2015-06-17,69.18,62.3148,70.05,70.32,4391199.0,69.07
2015-06-18,70.12,62.8397,70.64,70.99,4451086.0,70.06
2015-06-19,70.285,62.1369,69.85,70.83,5279514.0,69.85
2015-06-22,70.44,62.1814,69.9,70.51,3219321.0,69.78
2015-06-23,70.41,62.3682,70.11,71.1,4064256.0,70.045
2015-06-24,70.17,62.1814,69.9,70.68,3351700.0,69.89
2015-06-25,69.96,61.532,69.17,70.3,3180370.0,69.16
2015-06-26,69.43,62.1369,69.85,70.19,2634650.0,69.17
2015-06-29,67.79,59.6817,67.09,68.49,7591417.0,66.99
2015-06-30,67.92,60.0197,67.47,68.5,5645344.0,67.19
2015-07-01,67.82,60.2332,67.71,67.99,4314479.0,67.15
2015-07-02,67.89,59.9931,67.44,68.33,3097622.0,67.26
2015-07-06,67.06,60.0464,67.5,67.89,3134737.0,66.97
2015-07-07,67.55,60.509,68.02,68.05,3936935.0,67.27
2015-07-08,67.68,58.8722,66.18,67.81,6091950.0,65.92
2015-07-09,66.88,58.5164,65.78,67.14,4282872.0,65.53
2015-07-10,66.46,59.1391,66.48,66.85,2332021.0,66.27
2015-07-13,66.96,59.3437,66.71,67.3199,3717872.0,66.5
2015-07-14,66.82,59.3615,66.73,67.16,2518157.0,66.52
2015-07-15,66.97,64.0584,72.01,72.75,24834287.0,66.08
2015-07-16,71.98,64.7612,72.8,72.87,4841916.0,71.1
2015-07-17,72.5,64.3253,72.31,73.61,6294176.0,72.057
2015-07-20,72.59,64.1741,72.14,72.81,3460639.0,72.0
2015-07-21,72.16,63.756,71.67,72.3,2765555.0,71.34
2015-07-22,71.84,63.9695,71.91,72.34,1984800.0,71.59
2015-07-23,71.79,63.3468,71.21,72.2,2513518.0,71.05
2015-07-24,70.99,62.217,69.94,71.02,2739623.0,69.89
2015-07-27,69.75,62.2259,69.95,70.32,3139776.0,69.17
2015-07-28,69.0,61.274,68.88,69.5,5937759.0,68.43
2015-07-29,68.86,61.5498,69.19,69.43,5768862.0,68.695
2015-07-30,69.07,61.6744,69.33,69.75,3328159.0,68.98
2015-07-31,69.69,61.4342,69.06,69.94,3336754.0,68.94
2015-08-03,69.11,60.678,68.21,69.15,3925906.0,67.77
2015-08-04,68.4,60.9983,68.57,68.84,2509377.0,68.13
2015-08-05,69.24,61.3007,68.91,70.12,3703125.0,68.83
2015-08-06,68.54,60.0019,67.45,68.71,3929875.0,66.795
2015-08-07,67.55,59.5127,66.9,67.59,3289610.0,66.66
2015-08-10,67.23,59.9397,67.38,67.94,4019814.0,67.09
2015-08-11,67.08,60.0731,67.53,67.69,6851043.0,66.77
2015-08-12,66.55,57.0308,64.11,67.08,17747448.0,63.52
2015-08-13,63.64,56.0255,62.98,65.11,6315917.0,62.89
2015-08-14,63.1,56.3636,63.36,63.49,5831528.0,62.3
2015-08-17,62.91,55.9989,62.95,63.27,4827282.0,62.5
2015-08-18,63.08,55.7498,62.67,63.43,5207361.0,62.3699
2015-08-19,62.46,55.5007,62.39,62.76,7282015.0,61.9901
2015-08-20,61.65,54.6556,61.44,62.29,3632794.0,61.44
2015-08-21,60.87,52.654,59.19,61.29,5756603.0,59.11
2015-08-24,56.01,50.8126,57.12,58.85,7808750.0,55.16
2015-08-25,58.85,50.5013,56.77,59.47,7540493.0,56.76
2015-08-26,57.92,52.2359,58.72,58.78,5481029.0,56.9603
2015-08-27,59.06,52.5295,59.05,59.64,5632222.0,58.17
2015-08-28,59.14,52.485,59.0,59.51,2807242.0,58.7
2015-08-31,58.88,52.1381,58.61,59.11,3294388.0,58.35
2015-09-01,57.61,51.551,57.95,58.51,3923102.0,57.5
2015-09-02,58.62,52.147,58.62,59.105,3458833.0,57.885
2015-09-03,58.97,52.7341,59.28,60.13,4337900.0,58.65
2015-09-04,58.42,51.9513,58.4,59.23,2738578.0,58.23
2015-09-08,59.37,52.6363,59.17,59.37,2818304.0,58.65
2015-09-09,59.68,52.3516,58.85,59.91,6192386.0,58.73
2015-09-10,58.89,51.9424,58.39,59.39,4256345.0,58.17
2015-09-11,57.9,52.0847,58.19,58.28,3275012.0,57.12
2015-09-14,58.16,51.7893,57.86,58.21,2988928.0,57.405
2015-09-15,57.96,51.1717,57.17,57.99,4131983.0,57.13
2015-09-16,56.9,51.2702,57.28,57.47,7727329.0,56.69
2015-09-17,57.34,50.1245,56.0,57.6,7020942.0,55.911
2015-09-18,55.42,48.388,54.06,55.56,8889147.0,53.99
2015-09-21,54.29,48.2538,53.91,54.8,4597146.0,53.72
2015-09-22,53.75,47.8331,53.44,53.99,3871097.0,52.96
2015-09-23,53.49,47.305,52.85,53.7,3251540.0,52.785
2015-09-24,52.38,46.6158,52.08,52.8,9602697.0,51.685
2015-09-25,52.64,47.0007,52.51,53.105,4942843.0,52.33
2015-09-28,52.15,45.0136,50.29,52.28,5218741.0,50.22
2015-09-29,50.55,45.1031,50.39,50.82,5636167.0,49.72
2015-09-30,50.99,45.9355,51.32,51.435,4655037.0,50.75
2015-10-01,51.18,45.6938,51.05,51.5,4129899.0,50.75
2015-10-02,50.25,46.401,51.84,51.85,4223770.0,50.03
2015-10-05,51.59,46.2846,51.71,51.94,4734705.0,51.21
2015-10-06,51.31,45.9982,51.39,51.55,4275617.0,50.73
2015-10-07,51.37,45.7654,51.13,51.79,3509869.0,50.845
2015-10-08,51.27,46.0698,51.47,52.2,4753684.0,51.13
2015-10-09,51.49,45.6491,51.0,51.67,5805483.0,50.935
2015-10-12,50.97,45.0762,50.36,51.17,6767722.0,49.73
2015-10-13,50.33,44.9867,50.26,50.85,7392297.0,49.91
2015-10-14,50.42,44.5481,49.77,50.85,5691044.0,49.48
2015-10-15,49.89,45.1657,50.46,50.5,4041463.0,49.45
2015-10-16,50.56,45.1747,50.47,50.88,3109976.0,50.358
2015-10-19,50.32,45.3895,50.71,51.0,3480280.0,50.18
2015-10-20,50.29,45.3179,50.63,50.915,3791089.0,50.27
2015-10-21,50.99,45.0494,50.33,51.34,3162722.0,50.27
2015-10-22,50.44,44.6466,49.88,50.7099,4191707.0,49.62
2015-10-23,50.19,42.937,47.97,50.36,7175142.0,47.6801
2015-10-26,47.69,43.5546,48.66,49.02,6418792.0,47.1
2015-10-27,48.91,43.9037,49.05,49.11,4184063.0,48.27
2015-10-28,49.15,44.6376,49.87,49.93,4147162.0,48.94
2015-10-29,49.86,44.4855,49.7,50.28,3491595.0,49.32
2015-10-30,49.93,45.6312,50.98,51.63,6062208.0,49.82
2015-11-02,51.02,45.9534,51.34,51.42,7794510.0,49.86
2015-11-03,51.24,45.8102,51.18,52.48,7900873.0,50.96
2015-11-04,50.57,45.1478,50.44,50.78,7776474.0,49.55
2015-11-05,50.57,45.1568,50.45,50.77,3857183.0,49.72
2015-11-06,50.25,43.7694,48.9,50.45,8078943.0,48.74
2015-11-09,48.52,41.3885,46.24,48.59,14208647.0,45.83
2015-11-10,46.24,42.0867,47.02,47.75,9685674.0,45.86
2015-11-11,42.66,36.197,40.44,42.81,39208516.0,39.75
2015-11-12,40.12,36.5372,40.82,41.58,15482044.0,39.93
2015-11-13,40.17,34.9976,39.1,40.17,13298863.0,39.01
2015-11-16,38.88,34.568,38.62,39.02,10955679.0,37.87
2015-11-17,38.96,34.0399,38.03,38.96,9980519.0,37.75
2015-11-18,38.35,34.8365,38.92,39.12,10489219.0,37.95
2015-11-19,38.9,34.4964,38.54,39.17,5917453.0,38.25
2015-11-20,39.04,34.5501,38.6,39.69,10616145.0,38.4
2015-11-23,39.14,35.839,40.04,40.29,10647447.0,38.83
2015-11-24,39.6,35.472,39.63,40.07,14585295.0,39.25
