Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,25.39,21.1481,25.01,25.47,3013148.0,24.82
2015-01-05,24.87,20.7845,24.58,24.94,2948631.0,24.39
2015-01-06,24.62,20.7591,24.55,24.8,3432516.0,24.21
2015-01-07,24.64,21.072,24.83,25.0,2725216.0,24.58
2015-01-08,25.08,21.9121,25.82,25.84,4808499.0,25.0
2015-01-09,25.89,21.5387,25.38,25.94,5734582.0,25.36
2015-01-12,25.48,21.3775,25.19,25.55,3130255.0,25.14
2015-01-13,25.43,21.0041,24.75,25.72,5272964.0,24.32
2015-01-14,24.46,20.7495,24.45,24.67,4997671.0,24.12
2015-01-15,24.5,20.1639,23.76,24.59,6125629.0,23.73
2015-01-16,23.7,20.5118,24.17,24.21,4226947.0,23.23
2015-01-20,24.28,20.113,23.7,24.35,3622457.0,23.53
2015-01-21,23.61,20.4524,24.1,24.18,5025360.0,23.61
2015-01-22,24.26,20.8937,24.62,24.74,5230279.0,24.13
2015-01-23,24.62,20.9192,24.65,24.71,3392749.0,24.38
2015-01-26,24.73,21.5048,25.34,25.37,3810119.0,24.52
2015-01-27,25.02,21.3435,25.15,25.265,3338646.0,24.91
2015-01-28,25.34,21.2332,25.02,25.51,3096853.0,24.98
2015-01-29,24.88,21.5727,25.42,25.51,3690620.0,24.7
2015-01-30,25.23,21.0804,24.84,25.32,3367002.0,24.81
2015-02-02,25.06,21.352,25.16,25.33,4599331.0,24.61
2015-02-03,25.34,22.0394,25.97,25.98,4100091.0,25.28
2015-02-04,25.85,22.1667,26.12,26.37,5119933.0,25.76
2015-02-05,26.13,21.7169,25.59,26.13,5557459.0,25.17
2015-02-06,25.63,22.1073,26.05,26.15,5701964.0,25.54
2015-02-09,27.24,22.2431,26.21,27.4,7139547.0,26.04
2015-02-10,26.02,22.3364,26.32,26.58,5551905.0,25.77
2015-02-11,26.25,22.1667,26.12,26.5,3032215.0,26.09
2015-02-12,26.19,22.4298,26.43,26.49,3531027.0,26.19
2015-02-13,26.43,22.4468,26.45,26.62,2678595.0,26.26
2015-02-17,26.41,22.7183,26.77,26.88,2237617.0,26.35
2015-02-18,26.73,22.625,26.66,26.73,2210481.0,26.49
2015-02-19,26.6,22.7353,26.79,26.92,2506041.0,26.58
2015-02-20,26.63,22.7014,26.75,26.775,3180150.0,26.42
2015-02-23,26.83,22.5486,26.57,26.95,2611049.0,26.43
2015-02-24,26.73,22.7777,26.84,27.05,4981339.0,26.72
2015-02-25,26.87,22.7353,26.79,26.95,2057635.0,26.64
2015-02-26,26.75,22.2516,26.22,26.75,3085667.0,26.14
2015-02-27,26.25,22.2261,26.19,26.39,2155215.0,26.14
2015-03-02,26.23,22.5147,26.53,26.54,4151190.0,26.1292
2015-03-03,26.45,22.3958,26.39,26.53,2273425.0,26.21
2015-03-04,26.22,22.4722,26.48,26.51,3231937.0,25.97
2015-03-05,26.47,22.7693,26.83,26.92,3071872.0,26.465
2015-03-06,26.68,22.0394,25.97,26.68,3117468.0,25.93
2015-03-09,26.06,22.1413,26.09,26.235,1981657.0,25.98
2015-03-10,25.91,22.1837,26.14,26.28,4056851.0,25.75
2015-03-11,26.15,22.2176,26.18,26.29,2314778.0,25.95
2015-03-12,26.37,22.8456,26.92,26.925,3173947.0,26.3
2015-03-13,26.88,22.4553,26.46,26.9,2821662.0,26.255
2015-03-16,26.55,22.311,26.29,26.66,2438223.0,26.29
2015-03-17,26.1,21.9291,25.84,26.118,3250740.0,25.78
2015-03-18,25.69,22.2431,26.21,26.35,3108824.0,25.49
2015-03-19,26.14,22.294,26.27,26.3,2504257.0,25.97
2015-03-20,26.27,22.7098,26.76,26.92,4128840.0,26.26
2015-03-23,26.8,22.591,26.62,26.96,2502306.0,26.55
2015-03-24,26.58,22.7353,26.79,27.09,2456017.0,26.41
2015-03-25,26.79,22.1752,26.13,26.92,3474501.0,26.03
2015-03-26,26.05,21.9376,25.85,26.15,2955035.0,25.76
2015-03-27,25.86,22.2431,26.21,26.29,2573843.0,25.71
2015-03-30,26.38,22.4468,26.45,26.87,4395817.0,26.29
2015-03-31,26.34,22.6589,26.7,26.94,3607246.0,26.23
2015-04-01,26.81,22.1243,26.07,26.81,3771678.0,25.97
2015-04-02,26.02,22.591,26.62,26.74,5574208.0,25.95
2015-04-06,26.6,22.8032,26.87,26.9,4379860.0,26.47
2015-04-07,26.9,22.311,26.29,26.92,2990663.0,26.28
2015-04-08,26.17,22.4128,26.32,26.48,3738289.0,26.11
2015-04-09,26.29,22.4043,26.31,26.36,1922405.0,26.07
2015-04-10,26.33,22.6257,26.57,26.6,1883875.0,26.22
2015-04-13,26.22,22.5235,26.45,26.75,1820841.0,26.22
2015-04-14,26.42,22.5065,26.43,26.58,2287202.0,26.14
2015-04-15,26.52,22.5746,26.51,26.8425,2801943.0,26.42
2015-04-16,26.43,22.0296,25.87,26.46,3568052.0,25.76
2015-04-17,25.62,21.8423,25.65,25.76,3659528.0,25.47
2015-04-20,25.81,21.9445,25.77,26.01,3194117.0,25.65
2015-04-21,25.85,22.4384,26.35,26.52,4015972.0,25.79
2015-04-22,26.66,22.8641,26.85,26.97,6130918.0,26.49
2015-04-23,26.49,22.3106,26.2,26.5,4812761.0,26.0
2015-04-24,26.2,22.3021,26.19,26.33,2684740.0,26.01
2015-04-27,26.35,22.3873,26.29,26.74,7038867.0,26.16
2015-04-28,26.52,22.9408,26.94,27.21,9879491.0,26.43
2015-04-29,26.86,22.8045,26.78,26.94,4511501.0,26.51
2015-04-30,26.69,22.5576,26.49,26.85,4668977.0,26.305
2015-05-01,26.48,23.1111,27.14,27.39,4141106.0,26.36
2015-05-04,27.16,23.3155,27.38,27.46,4847728.0,27.05
2015-05-05,27.25,22.7875,26.76,27.5,4947479.0,26.74
2015-05-06,26.84,22.234,26.11,26.96,7543195.0,25.82
2015-05-07,26.1,22.4724,26.39,26.49,4748930.0,26.07
2015-05-08,26.79,22.5235,26.45,27.03,4786410.0,26.38
2015-05-11,26.37,22.6683,26.62,26.74,4940994.0,26.235
2015-05-12,26.4,22.4213,26.33,26.44,2537809.0,26.05
2015-05-13,26.35,22.5576,26.49,26.69,3033425.0,26.23
2015-05-14,26.71,23.1281,27.16,27.22,4195106.0,26.5
2015-05-15,27.14,22.8216,26.8,27.18,3867140.0,26.78
2015-05-18,26.72,23.1622,27.2,27.23,2096388.0,26.66
2015-05-19,27.4,23.6476,27.77,27.93,4673913.0,27.4
2015-05-20,27.86,23.2729,27.33,27.86,3032001.0,27.27
2015-05-21,27.23,23.6816,27.81,27.9,3838278.0,27.06
2015-05-22,27.78,23.2814,27.34,27.83,2240424.0,27.34
2015-05-26,27.24,23.1537,27.19,27.34,2504923.0,26.995
2015-05-27,27.23,23.4347,27.52,27.565,1749607.0,27.08
2015-05-28,27.41,23.4943,27.59,27.64,2341390.0,27.32
2015-05-29,27.5,23.0515,27.07,27.57,3055003.0,27.06
2015-06-01,27.21,23.2984,27.36,27.69,3184405.0,27.0
2015-06-02,27.27,23.3921,27.47,27.63,1785052.0,27.07
2015-06-03,27.55,23.6305,27.75,27.85,2816000.0,27.39
