Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,30.26,31.245,31.16,30.47,26.1876,2466831.0
2015-01-05,30.11,30.59,30.39,30.46,26.179,3255740.0
2015-01-06,29.8,30.69,30.55,29.81,25.6203,3938134.0
2015-01-07,29.47,30.08,30.04,29.91,25.7063,3488664.0
2015-01-08,29.8,30.16,30.16,29.98,25.7665,3106547.0
2015-01-09,28.9,30.0,29.94,29.1,25.0101,5570422.0
2015-01-12,28.69,29.19,29.18,28.91,24.8468,4393434.0
2015-01-13,28.05,29.23,29.05,28.27,24.2968,4936062.0
2015-01-14,27.67,28.15,28.07,27.95,24.0218,5915867.0
2015-01-15,27.27,28.09,27.92,27.4,23.5491,7249839.0
2015-01-16,27.28,27.84,27.43,27.815,23.9057,3327999.0
2015-01-20,27.34,27.9,27.82,27.755,23.8542,4245358.0
2015-01-21,27.1,28.13,27.42,28.04,24.0991,7344131.0
2015-01-22,28.02,28.48,28.13,28.41,24.4171,3340169.0
2015-01-23,27.66,28.2,28.13,28.04,24.0991,4806096.0
2015-01-26,24.88,28.13,25.07,26.64,22.8959,24521511.0
2015-01-27,26.21,26.85,26.46,26.51,22.7841,11553948.0
2015-01-28,26.49,27.5,26.63,26.985,23.1924,10187124.0
2015-01-29,26.72,27.22,26.9,26.9,23.1193,9755309.0
2015-01-30,26.2,27.76,26.2,26.9,23.1193,15207365.0
2015-02-02,26.86,27.975,27.06,27.91,23.9874,7585333.0
2015-02-03,27.72,28.15,27.81,28.065,24.1206,6797492.0
2015-02-04,27.87,28.41,28.04,27.925,24.0003,3800278.0
2015-02-05,27.83,28.23,28.06,27.99,24.0561,4110868.0
2015-02-06,27.92,28.34,28.06,28.215,24.2495,3399851.0
2015-02-09,27.89,28.45,28.02,27.91,23.9874,3819061.0
2015-02-10,27.37,28.11,28.06,27.44,23.5834,3519917.0
2015-02-11,26.65,27.49,27.47,26.93,23.1451,4538242.0
2015-02-12,26.81,27.49,27.01,27.44,23.5834,3289761.0
2015-02-13,27.4,27.75,27.56,27.615,23.7338,3325723.0
2015-02-17,26.83,27.45,27.3,27.02,23.5491,3298064.0
2015-02-18,26.65,27.12,27.05,26.7,23.2702,3729312.0
2015-02-19,25.7,26.66,26.64,25.81,22.4945,8469622.0
2015-02-20,25.26,25.94,25.85,25.77,22.4596,6436948.0
2015-02-23,25.32,25.85,25.81,25.39,22.1284,4314167.0
2015-02-24,25.16,25.52,25.39,25.315,22.0631,6550128.0
2015-02-25,25.35,25.93,25.43,25.92,22.5904,7949466.0
2015-02-26,25.64,26.3,25.9,26.14,22.7821,3990518.0
2015-02-27,26.04,26.47,26.06,26.32,22.939,3705630.0
2015-03-02,26.485,26.91,26.51,26.56,23.1481,3891618.0
