Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,787807.0,209.06,205.72,207.2,209.93,203.1254
2015-01-05,1261701.0,206.35,206.05,208.9,210.23,204.792
2015-01-06,1197404.0,209.0,206.83,208.42,212.0,204.3215
2015-01-07,1163281.0,210.21,209.45,214.75,215.19,210.527
2015-01-08,1665221.0,216.2,215.01,217.2,218.05,212.9288
2015-01-09,738750.0,217.48,216.26,216.67,218.14,212.4092
2015-01-12,721148.0,217.75,213.85,214.66,217.93,210.4387
2015-01-13,901480.0,217.18,213.0,214.65,218.24,210.4289
2015-01-14,730180.0,213.14,212.5,213.53,215.32,209.331
2015-01-15,974830.0,213.63,211.21,211.3,214.31,207.1448
2015-01-16,921854.0,210.52,209.12,213.98,214.23,209.7721
2015-01-20,861984.0,216.06,212.14,214.87,216.06,210.6446
2015-01-21,751467.0,213.76,213.44,215.23,216.17,210.9975
2015-01-22,942603.0,215.0,213.185,218.89,219.0,214.5856
2015-01-23,615126.0,218.86,217.47,217.67,219.68,213.3896
2015-01-26,690558.0,217.11,215.76,218.94,219.05,214.6346
2015-01-27,749934.0,217.65,215.7,217.71,219.07,213.4288
2015-01-28,1910506.0,219.06,217.61,217.94,222.93,213.6542
2015-01-29,1112586.0,217.55,216.35,219.53,219.75,215.213
2015-01-30,1352428.0,218.65,212.22,212.65,219.14,208.4683
2015-02-02,1069879.0,212.83,210.63,214.83,214.9,210.6054
2015-02-03,1708352.0,215.25,209.0,213.13,216.11,208.9388
2015-02-04,1683829.0,212.43,210.66,210.84,213.78,206.6939
2015-02-05,2398759.0,212.47,212.342,215.86,217.29,211.6151
2015-02-06,2099265.0,220.98,218.745,222.76,225.06,218.3795
2015-02-09,1765140.0,221.02,215.78,218.26,221.22,213.968
2015-02-10,1234233.0,220.08,218.98,222.45,222.91,218.0756
2015-02-11,1031967.0,221.63,221.33,223.73,225.0,219.3304
2015-02-12,680624.0,225.0,222.9465,224.77,225.0,220.3499
2015-02-13,583945.0,223.76,222.58,224.89,224.98,220.4676
2015-02-17,1048414.0,224.71,224.33,226.05,226.79,221.6048
2015-02-18,630244.0,225.84,224.01,225.64,226.49,221.2028
2015-02-19,651041.0,225.27,224.25,225.35,227.03,220.9185
2015-02-20,826530.0,224.94,224.6,229.16,229.299,224.6536
2015-02-23,860039.0,229.5,228.559,229.82,230.32,225.3006
2015-02-24,867803.0,229.82,229.16,230.2,231.025,225.6732
2015-02-25,840001.0,230.65,229.51,229.6,231.549,225.085
2015-02-26,1379117.0,228.96,228.5,229.46,231.2299,225.183
2015-02-27,656954.0,229.15,228.345,228.7,231.14,224.4372
2015-03-02,1134218.0,228.51,227.63,228.22,230.39,223.9661
2015-03-03,788996.0,228.67,225.6,227.69,228.93,223.446
2015-03-04,816021.0,227.35,224.88,227.67,228.46,223.4264
2015-03-05,614450.0,228.74,227.93,229.2,230.02,224.9278
2015-03-06,1072346.0,228.74,224.09,224.6,228.74,220.4136
2015-03-09,793112.0,225.0,222.59,225.35,225.89,221.1496
2015-03-10,1094465.0,223.43,218.0,220.85,223.87,216.7335
2015-03-11,765839.0,221.45,220.74,222.18,223.0,218.0387
2015-03-12,559587.0,223.39,223.3203,225.08,225.34,220.8846
2015-03-13,539143.0,224.7,223.13,224.64,226.29,220.4528
2015-03-16,825544.0,226.36,225.68,229.54,230.12,225.2615
2015-03-17,557873.0,228.05,226.1901,228.2,228.87,223.9465
2015-03-18,1102420.0,227.52,226.2,228.94,229.58,224.6727
2015-03-19,1549530.0,228.72,224.37,225.75,228.95,221.5421
2015-03-20,1292730.0,228.12,226.152,229.94,230.21,225.654
2015-03-23,927781.0,230.22,229.26,230.26,232.69,225.9681
2015-03-24,667559.0,229.88,228.3,228.4,231.27,224.1427
2015-03-25,956987.0,228.26,225.52,225.52,230.23,221.3164
2015-03-26,1297010.0,225.14,223.6201,226.05,229.22,221.8365
2015-03-27,814106.0,225.59,225.1,226.11,227.862,221.8954
2015-03-30,539665.0,228.0,226.79,229.14,229.5,224.869
2015-03-31,769924.0,228.3,226.2,226.2,230.29,221.9838
2015-04-01,1225268.0,226.03,221.26,222.71,226.51,218.5588
2015-04-02,736217.0,222.6,222.06,223.52,224.92,219.3537
2015-04-06,793649.0,222.02,222.02,224.43,225.7,220.2467
2015-04-07,813890.0,225.14,221.62,221.84,225.87,217.705
2015-04-08,1483191.0,221.63,219.51,222.49,222.52,218.3429
2015-04-09,1142208.0,222.57,221.68,223.28,224.48,219.1182
2015-04-10,701703.0,222.96,222.67,224.34,224.9,220.1584
2015-04-13,834469.0,224.43,223.95,223.97,226.74,219.7953
2015-04-14,949221.0,224.19,222.49,226.01,226.26,221.7973
2015-04-15,711892.0,226.56,225.24,225.66,227.88,221.4538
2015-04-16,835492.0,226.0,224.86,226.57,227.605,222.3469
2015-04-17,1455118.0,225.15,223.36,228.03,228.41,223.7796
2015-04-20,1108805.0,229.02,228.5,229.23,231.43,224.9573
2015-04-21,937329.0,230.75,229.92,231.29,231.64,226.9789
2015-04-22,801708.0,231.23,230.37,231.27,231.9,226.9592
2015-04-23,1635251.0,229.65,227.45,229.11,230.26,224.8395
2015-04-24,809353.0,229.21,227.79,229.2,230.57,224.9278
2015-04-27,912411.0,230.56,226.8,227.17,230.802,222.9357
2015-04-28,852142.0,226.88,224.2,228.52,228.6,224.2605
2015-04-29,1268177.0,227.0,224.845,225.4,228.97,221.1987
2015-04-30,1317202.0,225.72,222.72,223.4,228.7,219.2359
2015-05-01,890004.0,224.33,222.42,224.94,225.4995,220.7472
2015-05-04,644407.0,225.41,225.03,225.9,227.13,221.6893
2015-05-05,838286.0,225.24,222.24,222.78,225.79,218.6275
2015-05-06,918586.0,222.47,221.044,222.9,223.93,218.7453
2015-05-07,798040.0,223.1,222.49,223.82,224.92,219.6481
2015-05-08,1061882.0,226.07,225.28,229.08,229.57,224.8101
2015-05-11,821673.0,228.86,227.67,228.54,230.33,224.2801
2015-05-12,1448772.0,227.67,226.13,229.55,230.03,225.2713
2015-05-13,2056360.0,232.97,231.77,232.38,236.0,228.0486
2015-05-14,1462911.0,234.05,233.82,239.48,239.58,235.0162
2015-05-15,955871.0,239.4,239.14,239.93,240.8999,235.4578
2015-05-18,1012919.0,240.44,239.97,242.75,242.89,238.2253
2015-05-19,828461.0,243.61,242.0,242.6,243.61,238.0781
2015-05-20,765829.0,242.35,240.99,241.8,243.44,237.293
2015-05-21,1361376.0,241.01,238.46,239.44,241.42,234.977
2015-05-22,729077.0,239.45,239.0,240.61,241.74,236.1252
2015-05-26,929591.0,239.44,237.06,237.86,240.9,233.4264
2015-05-27,770511.0,237.5,237.1001,239.2,239.62,234.7414
2015-05-28,832260.0,238.34,237.31,237.84,239.6,233.4068
2015-05-29,1289259.0,238.89,237.04,237.23,239.45,232.8082
2015-06-01,641588.0,237.43,235.57,238.27,239.19,233.8288
2015-06-02,817950.0,237.9,235.34,236.62,239.08,232.2095
2015-06-03,557748.0,236.65,235.6,237.02,237.93,232.6021
2015-06-04,650312.0,235.94,234.02,234.72,237.06,230.5805
2015-06-05,621732.0,234.52,233.0125,235.45,235.606,231.2976
2015-06-08,824191.0,235.0,233.42,233.42,236.0,229.3034
2015-06-09,682674.0,234.02,232.76,234.0,234.6,229.8732
2015-06-10,714740.0,234.04,232.9,235.95,236.2,231.7888
2015-06-11,798750.0,237.8,237.06,237.61,238.99,233.4195
2015-06-12,827683.0,237.42,234.96,235.12,237.61,230.9734
2015-06-15,802384.0,233.83,232.67,233.77,235.02,229.6472
2015-06-16,928154.0,234.03,233.035,234.44,235.0,230.3054
2015-06-17,695597.0,235.0,233.075,233.76,235.98,229.6374
2015-06-18,1299805.0,233.41,233.28,236.04,236.44,231.8772
2015-06-19,796544.0,235.7,235.52,235.85,236.91,231.6905
2015-06-22,564345.0,237.54,235.57,235.76,238.5,231.6021
2015-06-23,637105.0,236.43,234.19,235.54,236.48,231.386
2015-06-24,1347984.0,235.0,230.52,230.53,235.76,226.4644
2015-06-25,1472279.0,230.75,228.815,229.33,232.1299,225.2855
2015-06-26,1263895.0,230.11,227.63,227.92,230.474,223.9004
2015-06-29,1220508.0,226.09,224.19,224.28,227.82,220.3246
2015-06-30,1396131.0,225.8,223.0001,224.81,226.14,220.8452
2015-07-01,928259.0,226.9,225.01,225.78,227.245,221.7981
2015-07-02,923141.0,226.79,223.0,224.26,227.15,220.3049
2015-07-06,1056721.0,222.25,221.62,224.58,225.18,220.6193
2015-07-07,1474856.0,225.64,223.77,228.23,228.32,224.2049
2015-07-08,1150587.0,226.55,224.22,224.52,227.362,220.5604
2015-07-09,1255421.0,227.39,226.25,226.9,228.06,222.8984
2015-07-10,831751.0,230.0,228.645,229.56,230.13,225.5115
2015-07-13,658852.0,231.73,229.45,231.43,231.989,227.3485
2015-07-14,941022.0,231.64,230.155,233.83,233.86,229.7062
2015-07-15,919881.0,233.7,230.96,234.44,235.19,230.3054
2015-07-16,832261.0,236.31,234.21,235.02,236.86,230.8752
2015-07-17,955970.0,234.42,233.26,234.46,235.68,230.3251
2015-07-20,819397.0,235.24,233.25,234.55,235.24,230.4135
2015-07-21,943296.0,234.96,230.57,232.49,234.98,228.3898
2015-07-22,950592.0,232.44,232.06,235.13,235.23,230.9832
2015-07-23,1283770.0,235.06,229.01,229.48,235.09,225.4329
2015-07-24,910734.0,230.1,226.24,226.66,230.4,222.6626
2015-07-27,956849.0,225.71,224.19,224.76,226.62,220.7961
2015-07-28,1077240.0,226.22,223.7476,226.74,226.97,222.7412
2015-07-29,1400595.0,227.32,224.06,226.85,227.63,222.8493
2015-07-30,4628286.0,221.48,215.6,217.36,222.81,213.5266
2015-07-31,2082126.0,218.1,216.973,220.57,220.73,216.68
2015-08-03,1753592.0,221.54,220.57,223.48,223.63,219.5387
2015-08-04,900320.0,223.25,222.01,222.91,224.19,218.9788
2015-08-05,923022.0,224.73,222.14,223.4,224.73,219.4601
2015-08-06,1179905.0,223.33,218.23,218.39,223.6,214.5385
2015-08-07,1904527.0,218.13,213.73,216.14,218.3699,212.3281
2015-08-10,937465.0,217.62,216.17,217.34,219.0,213.507
2015-08-11,885422.0,216.35,213.539,215.52,217.13,211.7191
2015-08-12,1159529.0,213.94,212.04,215.18,215.63,211.3851
2015-08-13,841372.0,215.21,214.2,214.29,216.39,210.5108
2015-08-14,636670.0,214.24,213.17,215.28,215.52,211.4833
2015-08-17,1251936.0,214.24,212.39,216.29,216.4,212.4755
2015-08-18,1000350.0,215.79,213.86,215.51,216.416,211.7093
2015-08-19,1079374.0,213.89,212.88,215.51,216.91,211.7093
2015-08-20,944723.0,213.43,210.33,210.49,214.229,206.7778
2015-08-21,1962229.0,208.59,202.12,202.53,209.49,198.9582
2015-08-24,2667911.0,191.87,160.1001,197.8,202.28,194.3116
2015-08-25,4399870.0,203.47,188.16,188.44,204.9,185.1167
2015-08-26,4232809.0,194.49,188.93,197.89,198.37,194.4
2015-08-27,2351639.0,200.36,195.43,198.87,201.25,195.3627
2015-08-28,1896429.0,199.0,198.01,200.8,201.01,197.5337
2015-08-31,2178643.0,200.8,197.0,197.58,203.2,194.3661
2015-09-01,2416225.0,195.0,193.0325,195.78,199.03,192.5954
2015-09-02,1613042.0,198.52,195.74,197.0,200.01,193.7956
2015-09-03,2070790.0,198.2,194.16,194.97,199.52,191.7986
2015-09-04,2254190.0,193.23,189.95,192.82,194.56,189.6836
2015-09-08,1655064.0,196.35,193.6,195.39,196.82,192.2117
2015-09-09,2069991.0,197.33,192.585,192.85,198.9,189.7131
2015-09-10,2903665.0,192.6,190.97,195.11,196.255,191.9363
2015-09-11,1479362.0,194.22,194.15,197.64,197.75,194.4251
2015-09-14,1310062.0,198.03,195.41,196.61,198.3099,193.4119
2015-09-15,1538383.0,197.36,195.67,200.41,200.74,197.1501
2015-09-16,2467484.0,202.68,201.1301,204.24,205.0,200.9178
2015-09-17,1445456.0,204.02,202.66,204.7,207.49,201.3703
2015-09-18,2487101.0,203.79,202.05,203.73,208.03,200.4161
2015-09-21,1737935.0,203.88,200.7,201.3,206.63,198.0256
2015-09-22,1702331.0,198.86,195.821,198.98,199.399,195.7434
2015-09-23,771876.0,198.77,197.09,198.22,199.93,194.9957
2015-09-24,1401511.0,196.78,193.49,197.24,198.11,194.0317
2015-09-25,2171309.0,198.26,191.3401,192.23,198.85,189.1031
2015-09-28,3128615.0,191.61,182.7,184.26,192.3,181.2628
2015-09-29,2465134.0,185.16,183.23,184.77,187.1599,181.7645
2015-09-30,1738384.0,185.88,182.66,185.03,187.22,182.0203
2015-10-01,2008656.0,184.76,183.02,186.07,186.24,183.0433
2015-10-02,1831364.0,184.2,182.18,186.54,186.55,183.5057
2015-10-05,1958514.0,187.24,185.97,189.71,190.39,186.6241
2015-10-06,2143535.0,189.56,182.6,184.0,189.67,181.007
2015-10-07,2486111.0,184.49,182.61,184.98,185.61,181.9711
2015-10-08,2010838.0,184.42,183.39,186.29,187.0299,183.2598
2015-10-09,2783049.0,186.21,186.1,189.95,190.4,186.8602
2015-10-12,1241877.0,189.79,189.21,190.61,191.3,187.5095
2015-10-13,2081248.0,190.53,190.09,191.91,194.36,188.7884
2015-10-14,1573876.0,191.32,188.96,189.78,193.2,186.693
2015-10-15,1542178.0,190.25,189.89,193.75,193.99,190.5984
2015-10-16,1052753.0,194.92,193.21,195.21,195.93,192.0347
2015-10-19,994311.0,194.58,193.83,194.85,196.68,191.6805
2015-10-20,2444471.0,194.95,188.62,189.33,195.215,186.2503
2015-10-21,2236618.0,190.32,184.23,186.62,190.39,183.5844
2015-10-22,3640037.0,187.65,177.55,181.44,188.02,178.4887
2015-10-23,2226906.0,182.72,182.42,186.96,187.4,183.9189
2015-10-26,1552142.0,186.7,185.57,189.54,189.8,186.4569
2015-10-27,5496777.0,189.05,169.0,181.68,192.32,178.7248
2015-10-28,2827651.0,181.75,176.0001,182.41,182.85,179.4429
