Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,72.13,67.5409,71.88,72.99,6030518.0,71.4101
2015-01-05,71.5,67.259,71.58,71.84,11258672.0,71.09
2015-01-06,72.0,66.9207,71.22,72.47,12838756.0,70.87
2015-01-07,71.72,68.5933,73.0,73.099,8104070.0,71.51
2015-01-08,73.71,70.2376,74.75,74.78,7603210.0,73.71
2015-01-09,74.63,69.9087,74.4,74.84,8777986.0,74.14
2015-01-12,74.46,69.9745,74.47,74.74,7293961.0,74.1
2015-01-13,74.88,68.3959,72.79,75.39,9508287.0,72.535
2015-01-14,71.79,67.4375,71.77,72.46,8702313.0,71.41
2015-01-15,72.29,67.5597,71.9,72.41,13290230.0,71.48
2015-01-16,71.69,68.3677,72.76,72.85,8832005.0,71.25
2015-01-20,72.94,67.8415,72.2,73.25,10528172.0,71.6101
2015-01-21,71.88,68.6496,73.06,73.24,10792098.0,71.48
2015-01-22,72.97,70.9235,75.48,75.49,17866642.0,72.97
2015-01-23,75.85,72.3048,76.95,77.39,23255346.0,75.47
2015-01-26,76.87,71.0269,75.59,76.93,34905255.0,74.98
2015-01-27,75.02,70.7168,75.26,75.61,9927213.0,74.62
2015-01-28,74.85,68.9785,73.41,75.51,12731728.0,73.41
2015-01-29,73.12,68.6027,73.01,73.38,11889863.0,72.11
2015-01-30,72.84,67.0898,71.4,72.92,15810618.0,71.21
2015-02-02,70.98,68.3677,72.76,72.78,9912246.0,70.91
2015-02-03,73.48,70.2752,74.79,74.81,9746421.0,73.14
2015-02-04,74.65,69.655,74.13,75.09,7378251.0,73.98
2015-02-05,75.13,70.7732,75.32,75.46,5737695.0,74.71
2015-02-06,75.32,69.9745,74.47,75.655,5421045.0,74.3
2015-02-09,74.26,69.1758,73.62,74.56,5470845.0,73.47
2015-02-10,73.96,70.3504,74.87,75.06,5663339.0,73.74
2015-02-11,74.9,69.8993,74.39,75.18,7457746.0,74.035
2015-02-12,74.81,70.4067,74.93,75.04,5542758.0,74.3
2015-02-13,74.46,70.7168,75.26,75.28,9009406.0,73.73
2015-02-17,76.54,73.3572,78.07,78.3,13477385.0,76.33
2015-02-18,78.0,73.7612,78.5,78.6,7801255.0,77.97
2015-02-19,78.59,73.4136,78.13,78.59,6900528.0,77.85
2015-02-20,77.96,74.0337,78.79,78.8,6665183.0,77.45
2015-02-23,78.67,74.466,79.25,79.45,6051519.0,78.67
2015-02-24,79.11,74.2499,79.02,79.21,4855868.0,78.73
2015-02-25,79.02,73.8834,78.63,79.4,4598767.0,78.445
2015-02-26,78.74,74.0525,78.81,78.99,5413386.0,78.3755
2015-02-27,78.53,72.9062,77.59,78.76,8848172.0,77.56
2015-03-02,77.94,74.0713,78.83,78.92,5240285.0,77.68
2015-03-03,78.8,73.3196,78.03,78.98,4662494.0,77.37
2015-03-04,77.56,73.47,78.19,78.47,5382885.0,77.05
2015-03-05,78.38,73.7612,78.5,78.96,5780484.0,78.0401
2015-03-06,78.0,71.8632,76.48,78.32,7052352.0,76.43
2015-03-09,76.57,72.2578,76.9,77.12,6134437.0,76.19
2015-03-10,76.51,71.29,75.87,76.66,5252717.0,75.84
2015-03-11,76.0,71.4591,76.05,77.0,6954560.0,75.84
2015-03-12,75.89,72.1263,76.76,76.83,4014435.0,75.8
2015-03-13,76.65,71.8538,76.47,76.68,5289004.0,75.88
2015-03-16,76.89,72.9813,77.67,77.87,6497315.0,76.87
2015-03-17,77.42,72.0887,76.72,77.5,4497408.0,76.412
2015-03-18,76.42,72.925,77.61,78.2,5859156.0,76.1
2015-03-19,78.27,72.9719,77.66,78.27,4793989.0,77.27
2015-03-20,78.38,73.3102,78.02,78.4499,9159478.0,77.6976
2015-03-23,78.0,73.921,78.67,78.87,6150784.0,77.93
2015-03-24,78.75,73.968,78.72,79.24,5854912.0,78.68
2015-03-25,78.84,72.9156,77.6,79.5,8133633.0,77.55
2015-03-26,76.94,72.2719,76.61,77.47,5591779.0,76.51
2015-03-27,76.54,72.9983,77.38,77.6,4510282.0,76.5
2015-03-30,77.7,73.9794,78.42,78.45,3765886.0,77.7
2015-03-31,78.49,73.5738,77.99,78.84,5773412.0,77.87
2015-04-01,78.62,71.8285,76.14,78.73,8383932.0,75.965
2015-04-02,76.01,72.5172,76.87,77.12,5113560.0,75.83
2015-04-06,76.31,72.9795,77.36,77.55,4371983.0,76.27
2015-04-07,77.57,72.8096,77.18,77.773,3529602.0,77.15
2015-04-08,77.36,72.0644,76.39,77.45,6279630.0,76.3
2015-04-09,76.34,72.7625,77.13,77.2,4888867.0,76.0801
2015-04-10,77.1,73.5172,77.93,77.96,4521264.0,77.04
2015-04-13,77.6,73.6587,78.08,78.66,5781953.0,77.37
