Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,156.66,154.57,154.57,156.95,988225.0,151.215
2015-01-05,153.5,154.11,154.11,154.675,709965.0,152.4206
2015-01-06,154.58,152.74,152.74,155.31,605748.0,151.15
2015-01-07,154.22,154.05,154.05,155.33,478726.0,153.52
2015-01-08,155.4,155.99,155.99,156.67,839854.0,155.24
2015-01-09,156.5,158.35,158.35,159.95,1145001.0,155.73
2015-01-12,158.7,157.76,157.76,158.97,445541.0,155.805
2015-01-13,159.82,160.11,160.11,164.11,1824493.0,156.06
2015-01-14,163.26,167.05,167.05,167.64,2991764.0,162.09
2015-01-15,167.75,162.66,162.66,170.06,1946361.0,161.48
2015-01-16,162.18,168.45,168.45,168.56,981568.0,161.16
2015-01-20,169.85,168.83,168.83,169.85,1272387.0,166.22
2015-01-21,168.54,167.3,167.3,169.74,629906.0,166.23
2015-01-22,167.81,168.1,168.1,169.73,707637.0,165.77
2015-01-23,168.15,167.09,167.09,168.88,368466.0,166.32
2015-01-26,168.5,167.6,167.6,169.37,653592.0,167.11
2015-01-27,165.6,165.63,165.63,167.26,632756.0,165.01
2015-01-28,167.14,164.76,164.76,167.99,469024.0,164.35
2015-01-29,164.55,169.03,169.03,169.36,615155.0,164.01
2015-01-30,167.51,165.04,165.04,167.84,587387.0,164.78
2015-02-02,166.96,166.71,166.71,167.84,534175.0,163.39
2015-02-03,166.78,169.06,169.06,169.38,585175.0,165.83
2015-02-04,169.04,168.34,168.34,170.96,553593.0,168.0
2015-02-05,168.89,166.48,166.48,169.58,585599.0,165.72
2015-02-06,166.32,165.53,165.53,166.65,593282.0,164.57
2015-02-09,165.4,165.87,165.87,166.655,899094.0,162.41
2015-02-10,167.98,168.25,168.25,170.0,840440.0,165.66
2015-02-11,168.31,168.35,168.35,169.99,551342.0,166.26
2015-02-12,168.7,171.92,171.92,172.17,563726.0,168.7
2015-02-13,172.08,173.0,173.0,173.44,479835.0,170.51
2015-02-17,172.74,171.44,171.44,172.79,937376.0,169.64
2015-02-18,170.67,171.67,171.67,172.11,716576.0,169.6
2015-02-19,171.52,172.67,172.67,174.8,866910.0,171.5
2015-02-20,182.4,184.26,184.26,187.24,1938309.0,179.14
2015-02-23,184.26,183.24,183.24,185.5299,1426508.0,182.14
2015-02-24,183.24,183.51,183.51,184.33,734816.0,181.49
2015-02-25,183.54,185.89,185.89,186.56,657429.0,183.48
2015-02-26,186.22,186.15,186.15,187.25,760789.0,184.13
2015-02-27,186.8,184.35,184.35,187.45,1091241.0,184.24
2015-03-02,185.16,186.17,186.17,188.26,729729.0,184.94
2015-03-03,185.99,185.59,185.59,186.47,566756.0,184.35
2015-03-04,184.53,185.03,185.03,185.59,796263.0,181.5
2015-03-05,185.75,185.18,185.18,186.6,501018.0,184.5
2015-03-06,184.46,180.25,180.25,186.42,735859.0,179.91
2015-03-09,181.01,183.64,183.64,183.97,701372.0,180.352
2015-03-10,181.74,180.55,180.55,182.3,373051.0,180.03
2015-03-11,180.55,178.57,178.57,181.17,614043.0,178.2
2015-03-12,178.55,180.16,180.16,181.77,776653.0,178.55
2015-03-13,179.4,178.6,178.6,180.73,515491.0,176.75
2015-03-16,179.8,180.15,180.15,180.96,571472.0,178.24
2015-03-17,179.69,178.0,178.0,179.78,434267.0,177.26
2015-03-18,177.13,180.73,180.73,181.65,1179958.0,175.68
2015-03-19,180.31,179.87,179.87,181.7449,822677.0,177.83
2015-03-20,180.61,181.03,181.03,182.94,799034.0,180.57
2015-03-23,181.19,181.09,181.09,183.21,375910.0,180.85
2015-03-24,180.79,181.48,181.48,184.68,631290.0,180.43
2015-03-25,181.4,180.95,180.95,183.02,720647.0,180.49
2015-03-26,180.13,180.09,180.09,181.12,872101.0,178.44
2015-03-27,179.43,181.22,181.22,181.61,410059.0,179.37
2015-03-30,182.84,184.72,184.72,185.03,410048.0,182.84
2015-03-31,183.88,185.75,185.75,188.29,649353.0,183.83
2015-04-01,185.95,184.66,184.66,186.16,491176.0,183.2803
2015-04-02,184.29,185.28,185.28,187.29,368948.0,183.47
2015-04-06,183.89,183.41,183.41,185.74,472481.0,183.29
2015-04-07,183.28,181.1,181.1,184.25,348401.0,181.02
2015-04-08,181.01,183.41,183.41,183.41,430147.0,180.61
2015-04-09,183.32,184.25,184.25,184.81,320376.0,181.7
2015-04-10,184.24,183.86,183.86,184.46,365355.0,181.66
2015-04-13,183.34,182.41,182.41,184.54,339459.0,182.18
2015-04-14,182.47,183.36,183.36,183.67,487836.0,180.01
2015-04-15,183.7,181.49,181.49,184.57,309625.0,181.22
2015-04-16,180.26,176.39,176.39,180.85,1523582.0,175.52
2015-04-17,174.87,177.1,177.1,177.85,537390.0,174.39
2015-04-20,178.06,176.88,176.88,178.06,714608.0,175.87
2015-04-21,178.01,179.63,179.63,180.62,407187.0,177.535
2015-04-22,180.1,182.02,182.02,182.35,613586.0,178.06
2015-04-23,180.0,178.54,178.54,181.36,956894.0,177.09
2015-04-24,178.84,179.26,179.26,179.46,460906.0,178.0
2015-04-27,180.09,178.01,178.01,180.757,558986.0,177.002
2015-04-28,177.91,177.7,177.7,179.25,461384.0,175.78
2015-04-29,177.33,174.75,174.75,178.11,753950.0,174.7
2015-04-30,175.01,173.5,173.5,176.57,765815.0,172.971
2015-05-01,174.58,177.69,177.69,178.05,843763.0,174.32
2015-05-04,178.87,178.97,178.97,179.98,602796.0,177.59
2015-05-05,178.56,176.55,176.55,179.16,465928.0,175.97
2015-05-06,176.59,175.47,175.47,176.72,537604.0,174.17
2015-05-07,175.5,179.19,179.19,180.05,805542.0,174.89
2015-05-08,184.18,184.25,184.25,188.0,1339865.0,182.0
2015-05-11,184.49,182.57,182.57,185.49,872968.0,182.48
2015-05-12,181.03,180.83,180.83,181.98,483349.0,179.93
2015-05-13,181.2,181.35,181.35,181.89,385573.0,179.87
2015-05-14,182.8,183.12,183.12,183.67,554667.0,180.47
2015-05-15,183.06,183.05,183.05,184.0,450638.0,181.92
2015-05-18,182.98,185.79,185.79,186.16,618618.0,182.32
2015-05-19,186.74,188.89,188.89,189.5,756172.0,185.6025
2015-05-20,189.2,188.45,188.45,189.52,433574.0,187.4
2015-05-21,187.89,188.62,188.62,189.63,451048.0,187.39
2015-05-22,188.31,187.18,187.18,189.09,290301.0,187.0
2015-05-26,187.22,186.56,186.56,187.6,338914.0,185.88
2015-05-27,186.72,189.5,189.5,189.928,490757.0,184.47
2015-05-28,188.79,188.83,188.83,190.16,347547.0,188.39
2015-05-29,189.05,186.64,186.64,189.16,363667.0,186.49
2015-06-01,186.89,188.8,188.8,189.67,362574.0,186.36
2015-06-02,188.5,189.45,189.45,189.8,379423.0,187.72
2015-06-03,189.49,189.47,189.47,189.82,427887.0,188.04
2015-06-04,188.67,188.57,188.57,189.87,359536.0,188.28
2015-06-05,187.98,188.6,188.6,188.8,420825.0,187.19
2015-06-08,188.06,186.87,186.87,188.94,304082.0,186.84
2015-06-09,186.84,186.95,186.95,187.925,311717.0,186.1025
2015-06-10,188.07,192.44,192.44,192.66,611383.0,187.21
2015-06-11,191.89,189.99,189.99,194.14,495980.0,189.98
2015-06-12,189.11,190.62,190.62,191.13,234392.0,188.6005
2015-06-15,189.12,189.05,189.05,190.52,374128.0,188.32
2015-06-16,189.18,191.08,191.08,191.34,295228.0,188.57
2015-06-17,191.43,192.39,192.39,193.59,237014.0,190.13
2015-06-18,192.88,191.65,191.65,194.14,536399.0,191.48
2015-06-19,191.12,192.78,192.78,193.72,600917.0,190.97
2015-06-22,193.77,194.34,194.34,195.3,405724.0,193.49
2015-06-23,194.38,193.29,193.29,194.96,307799.0,192.71
2015-06-24,193.57,191.87,191.87,194.74,310219.0,191.855
2015-06-25,193.07,191.9,191.9,193.07,553048.0,191.16
2015-06-26,192.26,193.17,193.17,193.27,1176264.0,191.49
2015-06-29,192.3,188.74,188.74,192.99,510927.0,188.51
2015-06-30,189.97,190.9,190.9,192.49,473358.0,189.43
2015-07-01,192.8,194.1,194.1,194.46,468185.0,192.04
2015-07-02,194.65,193.55,193.55,195.53,381931.0,191.72
2015-07-06,192.48,191.53,191.53,193.52,589460.0,190.88
2015-07-07,191.34,194.23,194.23,194.7,695579.0,189.79
2015-07-08,192.86,189.62,189.62,194.09,540297.0,189.0
2015-07-09,192.41,189.41,189.41,193.82,490511.0,189.32
2015-07-10,192.82,194.01,194.01,194.64,542550.0,190.05
2015-07-13,196.05,195.45,195.45,196.25,401889.0,194.11
2015-07-14,195.18,196.05,196.05,196.835,278634.0,194.14
2015-07-15,195.8,194.76,194.76,197.195,362782.0,193.77
2015-07-16,195.59,195.21,195.21,195.87,288501.0,193.51
2015-07-17,195.27,193.57,193.57,196.45,294984.0,191.86
2015-07-20,194.01,196.82,196.82,197.5,483243.0,193.83
2015-07-21,196.75,195.15,195.15,196.75,504941.0,193.57
2015-07-22,195.07,197.82,197.82,200.52,763556.0,194.9301
2015-07-23,198.56,197.99,197.99,202.22,711075.0,197.88
2015-07-24,198.89,196.0,196.0,199.13,621455.0,194.02
2015-07-27,194.82,191.55,191.55,195.0599,665804.0,190.09
2015-07-28,193.1,196.1,196.1,196.58,426932.0,192.515
2015-07-29,196.97,199.58,199.58,200.01,341769.0,196.21
2015-07-30,198.67,200.66,200.66,201.2,367035.0,197.99
2015-07-31,201.46,201.59,201.59,202.37,368739.0,199.46
2015-08-03,204.0,200.83,200.83,204.39,782065.0,199.5
2015-08-04,201.13,202.79,202.79,202.88,467080.0,200.02
2015-08-05,204.34,202.76,202.76,204.34,675785.0,200.8
2015-08-06,202.14,197.64,197.64,203.59,1014907.0,195.598
2015-08-07,205.25,203.85,203.85,207.39,2045082.0,202.92
2015-08-10,204.9,205.42,205.42,207.75,1052605.0,204.6
2015-08-11,203.89,204.92,204.92,206.01,805898.0,203.31
2015-08-12,203.37,205.3,205.3,206.05,1015838.0,200.55
