Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,57.53,53.582,56.97,57.73,1529001.0,56.58
2015-01-05,56.7,53.2058,56.57,56.99,2526415.0,56.43
2015-01-06,56.54,52.491,55.81,56.97,2226285.0,55.54
2015-01-07,56.26,53.187,56.55,56.69,1529988.0,55.99
2015-01-08,57.05,54.0805,57.5,57.65,1264479.0,57.03
2015-01-09,57.43,53.3375,56.71,57.5,2009789.0,56.7
2015-01-12,56.72,52.7637,56.1,57.02,1533826.0,56.07
2015-01-13,56.52,52.8672,56.21,57.27,2171919.0,55.79
2015-01-14,55.62,52.6415,55.97,56.1,1730239.0,55.48
2015-01-15,55.99,52.3969,55.71,56.37,1641284.0,55.56
2015-01-16,55.69,53.3563,56.73,56.77,1645836.0,55.66
2015-01-20,57.05,53.4409,56.82,57.13,2448565.0,56.58
2015-01-21,56.77,53.2246,56.59,56.98,1916054.0,56.23
2015-01-22,56.55,54.0146,57.15,57.22,1688379.0,56.03
2015-01-23,57.26,53.5421,56.65,57.26,1611406.0,56.6
2015-01-26,56.45,53.4854,56.59,56.7,1584001.0,56.27
2015-01-27,56.07,52.8805,55.95,56.45,1523228.0,55.75
2015-01-28,56.18,51.4155,54.4,56.31,3959556.0,54.36
2015-01-29,54.4,51.6612,54.66,54.71,2423529.0,54.085
2015-01-30,54.06,50.8201,53.77,54.38,3442375.0,53.7
2015-02-02,53.85,51.6045,54.6,54.62,3204349.0,53.5
2015-02-03,54.92,52.0866,55.11,55.2,2924683.0,54.63
2015-02-04,55.03,52.2945,55.33,55.675,2289369.0,55.03
2015-02-05,55.22,52.7576,55.82,55.83,500620.0,54.91
2015-02-06,55.31,52.389,55.43,56.09,910761.0,55.0
2015-02-09,54.49,52.2661,55.3,55.51,4971761.0,54.49
2015-02-10,55.68,52.4457,55.49,55.83,2130065.0,55.33
2015-02-11,55.41,53.0128,56.09,56.15,2220576.0,55.41
2015-02-12,56.17,53.4287,56.53,56.55,606783.0,56.16
2015-02-13,56.39,53.2207,56.31,56.52,526975.0,56.19
2015-02-17,56.32,53.4098,56.51,56.67,2862782.0,56.2
2015-02-18,56.52,53.854,56.98,57.0,2100262.0,56.37
2015-02-19,56.89,53.9579,57.09,57.13,1739072.0,56.79
2015-02-20,56.83,53.9957,57.13,57.24,2105053.0,56.44
2015-02-23,56.99,53.8823,57.01,57.08,1322315.0,56.8
2015-02-24,57.0,54.3171,57.47,57.575,2258332.0,56.9
2015-02-25,57.37,54.1281,57.27,57.57,2390645.0,57.06
2015-02-26,57.14,53.8823,57.01,57.31,2047254.0,56.81
2015-02-27,56.86,53.7689,56.89,57.24,1648751.0,56.7401
2015-03-02,56.82,54.0997,57.24,57.37,1757091.0,56.77
2015-03-03,56.94,53.8823,57.01,57.26,1562872.0,56.8
2015-03-04,56.73,53.353,56.45,56.99,2140303.0,56.38
2015-03-05,56.48,53.8634,56.99,57.03,1640263.0,56.46
2015-03-06,56.84,53.2585,56.35,57.28,2254479.0,56.27
2015-03-09,56.28,53.4287,56.53,56.68,1488721.0,56.26
2015-03-10,56.04,52.578,55.63,56.14,2450028.0,55.62
2015-03-11,55.68,52.6631,55.72,55.94,1761960.0,55.34
2015-03-12,55.98,53.3719,56.47,56.57,2880376.0,55.91
2015-03-13,56.48,53.0317,56.11,56.54,1847514.0,55.86
2015-03-16,56.36,54.043,57.18,57.205,1348721.0,56.34
2015-03-17,56.9,53.9863,57.12,57.3,1632601.0,56.77
2015-03-18,57.09,54.5817,57.75,58.11,2103312.0,56.77
2015-03-19,57.74,54.3549,57.51,57.78,1736133.0,57.14
2015-03-20,57.88,54.6857,57.86,58.07,2824329.0,57.52
2015-03-23,57.98,54.525,57.69,58.07,1740724.0,57.69
2015-03-24,57.71,54.0335,57.17,57.9,1560176.0,57.17
2015-03-25,57.17,52.8521,55.92,57.26,1916081.0,55.92
2015-03-26,55.62,52.5497,55.6,55.98,1453604.0,55.47
2015-03-27,55.63,52.5686,55.62,55.79,1759170.0,55.44
