Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,13.67,11.9411,13.6099,13.69,6459.0,13.573
2015-01-05,13.84,11.9588,13.63,13.84,7582.0,13.62
2015-01-06,13.87,12.1342,13.83,13.96,10843.0,13.7
2015-01-07,14.109,12.2395,13.95,14.11,8354.0,13.86
2015-01-08,13.9101,12.2546,13.91,13.9101,1703.0,13.91
2015-01-09,13.87,12.2193,13.87,13.87,600.0,13.87
2015-01-12,13.8,12.1841,13.83,13.831,3929.0,13.8
2015-01-13,13.83,12.1841,13.83,13.83,50.0,13.83
2015-01-14,13.88,12.2105,13.86,13.93,3374.0,13.86
2015-01-15,13.88,12.2634,13.92,13.94,8829.0,13.88
2015-01-16,13.889,12.237,13.89,13.94,3634.0,13.8701
2015-01-20,13.96,12.2282,13.88,13.96,1000.0,13.88
2015-01-21,13.93,12.237,13.89,13.93,1900.0,13.89
2015-01-22,13.89,12.1873,13.8336,13.89,4057.0,13.7929
2015-01-23,13.71,12.1577,13.8,13.8723,12927.0,13.71
2015-01-26,13.8,12.1866,13.8328,13.865,11891.0,13.8
2015-01-27,13.92,12.2623,13.9188,13.92,7633.0,13.88
2015-01-28,13.93,12.2897,13.9499,13.96,5672.0,13.9
2015-01-29,13.99,12.3427,14.01,14.01,9534.0,13.9
2015-01-30,14.02,12.3955,14.07,14.07,3376.0,14.02
2015-02-02,14.0801,12.4572,14.14,14.14,6117.0,14.07
2015-02-03,14.12,12.3955,14.07,14.1221,5600.0,14.07
2015-02-04,14.07,12.3712,14.0424,14.11,9082.0,14.021
2015-02-05,14.17,12.3867,14.06,14.17,5990.0,14.04
2015-02-06,14.02,12.281,13.94,14.11,5218.0,13.87
2015-02-09,14.1,12.2458,13.9,14.1,4723.0,13.9
2015-02-10,13.83,12.4195,14.04,14.04,9067.0,13.83
2015-02-11,14.04,12.3752,13.99,14.1,6857.0,13.8986
2015-02-12,14.03,12.3752,13.99,14.03,276.0,13.99
2015-02-13,13.9604,12.3045,13.91,14.0,4357.0,13.91
2015-02-17,13.91,12.2514,13.85,13.9623,11926.0,13.85
2015-02-18,13.85,12.2956,13.9,13.91,3855.0,13.85
2015-02-19,13.99,12.1541,13.74,13.99,5852.0,13.74
2015-02-20,13.83,12.1983,13.79,13.88,10527.0,13.68
2015-02-23,13.84,12.1099,13.69,13.84,1301.0,13.69
2015-02-24,13.64,12.0568,13.63,13.77,7194.0,13.6
2015-02-25,13.83,12.0833,13.66,13.83,10200.0,13.61
2015-02-26,13.72,12.0922,13.67,13.73,7658.0,13.6301
2015-02-27,13.69,12.1099,13.69,14.1,10945.0,13.64
2015-03-02,13.7421,12.1629,13.75,13.75,6381.0,13.7
2015-03-03,13.9,12.1541,13.74,13.9,11752.0,13.74
2015-03-04,13.78,12.1895,13.78,13.91,2964.0,13.72
2015-03-05,13.8,12.2072,13.8,13.8248,2860.0,13.8
2015-03-06,13.75,12.0745,13.65,13.75,3364.0,13.65
2015-03-09,13.65,12.101,13.68,13.68,1200.0,13.65
2015-03-10,13.6,12.0897,13.61,13.61,295.0,13.6
2015-03-11,13.56,12.0453,13.56,13.64,3030.0,13.47
2015-03-12,13.561,12.0719,13.59,13.59,3210.0,13.52
2015-03-13,13.52,12.0986,13.62,13.62,6504.0,13.5
2015-03-16,13.62,12.0275,13.54,13.62,4219.0,13.5
2015-03-17,13.59,11.9742,13.48,13.59,4400.0,13.48
2015-03-18,13.499,12.0008,13.51,13.5799,13283.0,13.4796
2015-03-19,13.55,11.9298,13.43,13.59,5864.0,13.42
2015-03-20,13.47,12.0719,13.59,13.61,2179.0,13.47
2015-03-23,13.59,12.1606,13.6899,13.72,6264.0,13.59
2015-03-24,13.6,12.0808,13.6,13.6,723.0,13.6
2015-03-25,13.6,12.0808,13.6,13.6,115.0,13.6
2015-03-26,13.67,12.0852,13.605,13.68,3635.0,13.6001
2015-03-27,13.79,12.2496,13.79,13.79,109.0,13.79
2015-03-30,13.69,12.2494,13.7898,13.7898,3428.0,13.69
2015-03-31,13.69,12.1963,13.73,13.73,2081.0,13.64
2015-04-01,13.6742,12.1467,13.6742,13.6742,126.0,13.6742
2015-04-02,13.5963,12.0914,13.612,13.612,1043.0,13.5963
2015-04-06,13.61,12.1074,13.63,13.71,1130.0,13.61
2015-04-07,13.65,12.1696,13.7,13.7,3277.0,13.65
2015-04-08,13.65,12.1607,13.69,13.69,1509.0,13.65
2015-04-09,13.64,12.1659,13.6386,13.64,15932.0,13.56
2015-04-10,13.7,12.2562,13.7399,13.74,3261.0,13.69
2015-04-13,13.67,12.176,13.65,13.742,2864.0,13.65
2015-04-14,13.659,12.176,13.65,13.659,2234.0,13.65
2015-04-15,13.7,12.2206,13.7,13.7,328.0,13.7
2015-04-16,13.634,12.1618,13.634,13.634,1100.0,13.634
2015-04-17,13.73,12.2295,13.71,13.73,1207.0,13.71
