Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,99.27,96.96,96.96,99.43,865769.0,96.34
2015-01-05,96.75,96.07,96.07,97.24,1053735.0,94.93
2015-01-06,95.06,93.89,93.89,96.76,1563263.0,92.81
2015-01-07,94.53,96.91,96.91,97.33,1342790.0,94.53
2015-01-08,97.69,100.16,100.16,100.16,1812541.0,97.5
2015-01-09,100.42,103.57,103.57,104.64,1733660.0,100.2
2015-01-12,104.18,102.46,102.46,104.18,1213647.0,101.22
2015-01-13,103.0,105.32,105.32,106.99,1719943.0,102.55
2015-01-14,104.79,104.25,104.25,105.92,1436121.0,103.821
2015-01-15,104.33,103.84,103.84,104.87,832267.0,103.4
2015-01-16,103.53,105.0,105.0,105.19,977129.0,103.47
2015-01-20,105.23,103.6,103.6,106.97,1155985.0,103.02
2015-01-21,103.46,105.48,105.48,106.31,736265.0,103.31
2015-01-22,105.72,105.23,105.23,106.16,789510.0,102.98
2015-01-23,105.77,106.98,106.98,107.79,884964.0,105.11
2015-01-26,106.58,107.4,107.4,107.98,680197.0,106.58
2015-01-27,106.74,107.33,107.33,108.5,704380.0,106.08
2015-01-28,107.75,105.85,105.85,108.17,889018.0,105.63
2015-01-29,105.92,108.74,108.74,109.74,1070584.0,105.03
2015-01-30,107.5,105.99,105.99,108.42,1341380.0,105.17
2015-02-02,106.06,106.74,106.74,107.75,1458292.0,104.65
2015-02-03,103.48,104.93,104.93,108.3,4201859.0,100.61
2015-02-04,104.385,105.83,105.83,107.86,1539480.0,104.22
2015-02-05,107.26,109.37,109.37,114.7,2178484.0,107.12
2015-02-06,108.94,108.51,108.51,110.2,851997.0,107.94
2015-02-09,108.22,107.82,107.82,109.11,813518.0,106.83
2015-02-10,108.69,110.79,110.79,110.94,756387.0,108.45
2015-02-11,111.08,109.34,109.34,111.25,966583.0,108.08
2015-02-12,110.27,112.5,112.5,112.52,1056723.0,109.37
2015-02-13,114.35,115.01,115.01,115.44,1204032.0,113.46
2015-02-17,114.59,117.37,117.37,117.42,1074907.0,114.41
2015-02-18,117.56,117.96,117.96,117.98,623752.0,116.438
2015-02-19,117.55,116.9,116.9,117.7997,658221.0,115.9401
2015-02-20,116.48,117.58,117.58,117.59,838487.0,115.05
2015-02-23,118.75,120.18,120.18,122.01,1261701.0,118.45
2015-02-24,120.41,117.82,117.82,121.03,883263.0,117.44
2015-02-25,118.09,116.15,116.15,118.359,850391.0,115.82
2015-02-26,116.43,119.61,119.61,119.71,840111.0,116.19
2015-02-27,119.81,116.72,116.72,119.989,975777.0,116.04
2015-03-02,116.72,118.82,118.82,118.98,614098.0,116.09
2015-03-03,118.03,114.85,114.85,118.72,975328.0,114.27
2015-03-04,114.66,116.19,116.19,116.59,991949.0,113.27
2015-03-05,120.99,121.7,121.7,123.96,2333348.0,120.57
2015-03-06,122.24,121.33,121.33,124.57,1724799.0,120.91
2015-03-09,121.77,122.28,122.28,122.981,952900.0,120.32
2015-03-10,121.01,120.59,120.59,122.69,867804.0,120.39
2015-03-11,120.75,119.42,119.42,122.65,944474.0,119.26
2015-03-12,120.12,123.33,123.33,123.47,887724.0,120.0
2015-03-13,122.53,124.12,124.12,124.96,1187117.0,122.11
2015-03-16,125.29,126.43,126.43,126.97,1220188.0,124.7
2015-03-17,126.75,131.26,131.26,131.85,1894403.0,126.4601
2015-03-18,131.0,132.51,132.51,133.508,1937315.0,130.55
2015-03-19,132.4,131.21,131.21,133.5,1373729.0,130.34
2015-03-20,132.72,132.47,132.47,133.6,2225169.0,130.58
2015-03-23,132.47,130.55,130.55,134.2599,1839796.0,129.6001
2015-03-24,130.21,129.68,129.68,131.6599,1065315.0,129.475
2015-03-25,130.02,126.66,126.66,130.57,1879248.0,126.62
2015-03-26,126.23,126.78,126.78,128.68,1539283.0,124.0
2015-03-27,127.63,129.61,129.61,130.32,872254.0,127.5
2015-03-30,130.6,130.13,130.13,130.73,1394450.0,128.68
2015-03-31,129.37,126.65,126.65,129.98,963853.0,126.64
2015-04-01,126.66,124.72,124.72,126.99,1674619.0,123.0
2015-04-02,124.94,124.76,124.76,126.6,1149613.0,124.0
2015-04-06,124.34,124.09,124.09,124.725,894589.0,123.11
2015-04-07,124.25,124.15,124.15,126.435,1050343.0,123.94
2015-04-08,124.02,128.03,128.03,128.1,2135279.0,124.02
2015-04-09,129.61,127.8,127.8,130.85,1978620.0,127.21
2015-04-10,128.08,129.09,129.09,129.37,1517921.0,127.4
2015-04-13,128.62,126.89,126.89,129.54,1367598.0,126.71
2015-04-14,126.28,124.75,124.75,127.21,1193978.0,123.91
2015-04-15,124.98,124.31,124.31,126.75,1061323.0,124.13
2015-04-16,124.1,123.72,123.72,125.4993,785333.0,123.53
2015-04-17,123.4,122.38,122.38,124.255,1273247.0,121.0
2015-04-20,122.77,123.12,123.12,123.29,811166.0,122.01
2015-04-21,123.89,125.17,125.17,126.51,2354889.0,123.87
2015-04-22,125.23,122.95,122.95,125.75,1381659.0,122.4
2015-04-23,122.39,124.85,124.85,125.19,1848982.0,122.25
2015-04-24,124.15,122.01,122.01,124.65,946082.0,121.71
2015-04-27,122.49,115.35,115.35,123.51,1853708.0,115.04
2015-04-28,114.7,114.87,114.87,116.47,2049297.0,112.21
2015-04-29,113.7,115.71,115.71,116.53,1846406.0,113.58
2015-04-30,115.31,113.18,113.18,116.42,1500338.0,112.44
2015-05-01,113.5,114.2,114.2,115.955,1232960.0,113.5
2015-05-04,114.12,115.0,115.0,116.59,1925264.0,114.04
2015-05-05,120.86,120.27,120.27,122.0,2970936.0,118.11
2015-05-06,121.15,117.39,117.39,121.61,1490126.0,116.46
2015-05-07,116.6,119.06,119.06,119.98,1105820.0,116.6
2015-05-08,120.2,122.67,122.67,122.76,1080392.0,118.77
2015-05-11,122.58,123.31,123.31,123.85,1078100.0,121.37
2015-05-12,122.67,122.32,122.32,123.2,575833.0,120.53
2015-05-13,122.77,122.24,122.24,123.5,943505.0,121.95
2015-05-14,122.74,124.31,124.31,124.6,636444.0,121.5
2015-05-15,124.79,123.83,123.83,124.9347,582674.0,123.63
2015-05-18,123.83,127.23,127.23,127.88,1041812.0,123.83
2015-05-19,127.54,128.98,128.98,130.25,1004291.0,127.03
2015-05-20,128.74,129.04,129.04,129.6,630573.0,127.37
2015-05-21,128.8,128.81,128.81,129.28,640892.0,127.6201
2015-05-22,128.45,127.18,127.18,129.04,610309.0,127.11
2015-05-26,127.1,126.57,126.57,128.0599,642333.0,125.88
2015-05-27,127.42,129.61,129.61,129.97,982661.0,126.9701
2015-05-28,129.6,130.18,130.18,131.97,907825.0,128.85
2015-05-29,130.34,129.44,129.44,132.6,892254.0,129.3
2015-06-01,129.63,129.89,129.89,130.19,983171.0,127.64
2015-06-02,129.18,129.19,129.19,130.88,787988.0,127.53
2015-06-03,129.55,129.5,129.5,129.895,903878.0,127.59
2015-06-04,128.58,124.28,124.28,129.26,1311701.0,124.18
2015-06-05,124.24,126.07,126.07,126.8,930958.0,124.1
2015-06-08,126.76,124.32,124.32,127.97,879598.0,124.2
2015-06-09,124.44,122.97,122.97,125.29,792781.0,121.38
2015-06-10,123.33,124.41,124.41,125.11,722740.0,121.83
2015-06-11,124.55,126.29,126.29,127.233,819981.0,124.46
2015-06-12,126.48,124.0,124.0,126.68,611172.0,123.57
2015-06-15,122.71,121.93,121.93,124.22,1063327.0,121.484
2015-06-16,121.68,119.99,119.99,121.85,1863523.0,115.63
2015-06-17,119.88,117.68,117.68,120.84,1363252.0,117.43
2015-06-18,117.13,121.14,121.14,121.74,1514355.0,116.0542
2015-06-19,121.06,122.01,122.01,122.81,1836377.0,120.975
2015-06-22,122.63,124.02,124.02,124.41,817707.0,122.18
2015-06-23,124.36,124.87,124.87,126.25,768799.0,123.6
2015-06-24,124.63,120.59,120.59,124.92,893776.0,120.37
2015-06-25,120.67,120.28,120.28,121.54,851140.0,119.22
2015-06-26,120.81,116.78,116.78,121.21,1992977.0,116.67
2015-06-29,114.99,115.66,115.66,118.78,1510672.0,114.04
2015-06-30,117.65,117.72,117.72,118.16,1177917.0,115.695
2015-07-01,119.41,120.27,120.27,120.53,1589183.0,117.83
2015-07-02,120.68,119.46,119.46,120.69,1030142.0,118.37
2015-07-06,118.35,119.63,119.63,120.46,1538083.0,118.04
2015-07-07,119.56,121.2,121.2,121.26,1563747.0,118.85
2015-07-08,120.22,120.07,120.07,121.42,1672390.0,119.38
2015-07-09,121.59,120.26,120.26,122.12,942362.0,119.75
2015-07-10,122.25,122.44,122.44,123.29,959177.0,121.5
2015-07-13,123.12,121.57,121.57,123.71,870355.0,121.12
2015-07-14,121.81,124.04,124.04,124.54,794814.0,120.79
2015-07-15,124.69,124.63,124.63,126.27,1283769.0,123.54
2015-07-16,125.0,124.32,124.32,125.36,674191.0,124.11
2015-07-17,124.32,123.14,123.14,125.0,530930.0,122.36
2015-07-20,123.13,122.94,122.94,123.95,601718.0,122.0
2015-07-21,122.9,123.98,123.98,124.04,716166.0,121.76
2015-07-22,123.99,126.51,126.51,126.65,765042.0,123.82
2015-07-23,127.0,124.99,124.99,127.0,574201.0,124.24
2015-07-24,124.32,123.82,123.82,125.95,732327.0,122.385
2015-07-27,122.95,123.08,123.08,123.27,816068.0,120.6901
2015-07-28,123.17,123.87,123.87,123.91,739427.0,121.59
2015-07-29,124.58,122.73,122.73,125.265,1631513.0,121.8505
2015-07-30,122.6,121.7,121.7,122.6,858997.0,119.56
2015-07-31,122.0,123.96,123.96,124.14,924255.0,121.81
2015-08-03,124.25,124.21,124.21,125.35,744922.0,122.39
2015-08-04,120.77,106.73,106.73,122.04,6685700.0,101.946
2015-08-05,106.74,104.51,104.51,106.9,4221307.0,102.35
2015-08-06,104.19,98.49,98.49,104.39,6465972.0,94.9
2015-08-07,98.5,100.38,100.38,100.7,2790019.0,96.15
2015-08-10,100.57,103.5,103.5,103.85,2428647.0,96.95
2015-08-11,102.86,102.33,102.33,103.5,1527373.0,100.24
2015-08-12,102.14,100.2,100.2,102.26,1504025.0,98.855
2015-08-13,100.57,98.03,98.03,101.4599,1627407.0,97.53
2015-08-14,98.0,98.54,98.54,98.92,1119224.0,97.66
2015-08-17,97.99,98.84,98.84,99.61,1365695.0,97.51
2015-08-18,98.49,97.79,97.79,99.86,1492772.0,97.0
2015-08-19,97.58,95.49,95.49,98.0,1610956.0,94.44
2015-08-20,93.49,89.44,89.44,94.68,3807089.0,88.73
2015-08-21,88.23,88.3,88.3,90.22,4011929.0,86.51
2015-08-24,83.16,81.96,81.96,88.1,3907758.0,81.83
2015-08-25,84.25,78.66,78.66,84.74,3975659.0,78.57
2015-08-26,81.37,85.82,85.82,86.48,3978827.0,80.2401
2015-08-27,86.72,89.17,89.17,90.64,2625086.0,86.72
2015-08-28,88.69,89.93,89.93,90.2,1697880.0,87.8
2015-08-31,89.51,86.24,86.24,90.45,1564326.0,85.65
2015-09-01,84.29,84.06,84.06,87.68,1461313.0,83.63
2015-09-02,85.3,84.37,84.37,85.72,2184472.0,82.45
2015-09-03,85.02,82.78,82.78,85.88,1541202.0,82.17
2015-09-04,82.22,82.86,82.86,83.93,1264258.0,81.8011
2015-09-08,84.73,85.5,85.5,85.7,1359739.0,83.93
2015-09-09,86.17,83.62,83.62,87.28,1362475.0,83.38
2015-09-10,83.62,83.0,83.0,84.92,1003510.0,82.8
2015-09-11,82.74,82.08,82.08,82.85,1374826.0,80.78
2015-09-14,82.27,81.69,81.69,82.61,871561.0,81.03
2015-09-15,82.0,83.3,83.3,83.5,982975.0,81.2
2015-09-16,83.09,83.61,83.61,84.28,1383750.0,82.24
2015-09-17,83.68,84.95,84.95,86.055,1526793.0,83.03
2015-09-18,83.92,82.1,82.1,83.92,2580828.0,81.68
2015-09-21,81.75,73.87,73.87,81.75,6822182.0,72.81
2015-09-22,72.84,72.9,72.9,75.51,3533027.0,72.0
2015-09-23,73.25,71.64,71.64,73.92,1282160.0,71.44
2015-09-24,70.69,70.14,70.14,70.96,3066904.0,67.31
2015-09-25,71.08,68.45,68.45,71.1,2480333.0,67.57
2015-09-28,68.19,59.8,59.8,68.76,8871128.0,58.28
2015-09-29,59.57,57.96,57.96,61.69,6621433.0,56.57
