Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,109.4,36.0533,108.16,109.8897,655992.0,106.7742
2015-01-05,108.17,36.4766,109.43,109.8,1086406.0,108.14
2015-01-06,109.45,37.4266,112.28,113.99,1924778.0,109.27
2015-01-07,112.43,38.6533,115.96,116.0,1519820.0,112.43
2015-01-08,117.35,39.2366,117.71,118.7,1512443.0,116.48
2015-01-09,118.16,39.0133,117.04,118.25,1030245.0,116.2801
2015-01-12,116.74,37.32,111.96,117.568,2559457.0,111.92
2015-01-13,112.52,37.7033,113.11,116.25,1754826.0,112.0401
2015-01-14,113.59,39.245,117.735,118.06,1559159.0,113.5
2015-01-15,118.59,38.7533,116.26,118.7799,1064890.0,115.66
2015-01-16,115.89,39.63,118.89,118.97,948879.0,115.89
2015-01-20,118.97,39.1466,117.44,119.165,1023848.0,116.95
2015-01-21,117.58,39.5133,118.54,119.01,756128.0,116.25
2015-01-22,118.97,39.9966,119.99,120.15,908524.0,116.85
2015-01-23,120.22,39.77,119.31,120.86,869710.0,119.03
2015-01-26,119.61,39.9816,119.945,120.01,822882.0,118.03
2015-01-27,119.0,39.6033,118.81,119.7,846607.0,117.69
2015-01-28,119.4,39.7366,119.21,122.27,1191381.0,119.03
2015-01-29,119.71,40.2566,120.77,120.84,772781.0,118.931
2015-01-30,119.53,38.9833,116.95,119.86,1022044.0,116.58
2015-02-02,116.79,39.1833,117.55,117.62,897838.0,114.6982
2015-02-03,116.4,38.89,116.67,118.35,1034683.0,115.62
2015-02-04,116.35,39.5766,118.73,119.54,907378.0,116.11
2015-02-05,118.95,39.4566,118.37,119.99,665444.0,117.72
2015-02-06,118.28,39.05,117.15,118.64,512840.0,116.4
2015-02-09,116.56,38.6466,115.94,117.1299,664362.0,115.26
2015-02-10,116.11,39.4966,118.49,118.84,511068.0,116.06
2015-02-11,118.5,39.6633,118.99,119.41,661736.0,118.105
2015-02-12,118.88,39.8366,119.51,119.74,591913.0,118.02
2015-02-13,119.61,39.245,117.735,119.61,803654.0,116.35
2015-02-17,117.04,39.5683,118.705,119.15,515783.0,116.5475
2015-02-18,118.59,40.0933,120.28,120.61,566134.0,118.01
2015-02-19,120.22,40.3766,121.13,121.92,586286.0,119.85
