Date,Volume,Adj Close,High,Low,Close,Open
2016-01-04,6800552.0,53.4008,57.58,56.56,57.39,57.54
2016-01-05,6407647.0,54.4801,58.74,57.42,58.55,57.48
2016-01-06,7686446.0,55.057,59.47,58.0,59.17,58.05
2016-01-07,7313438.0,54.0986,59.3,57.83,58.14,57.92
2016-01-08,7059460.0,54.1917,59.23,58.03,58.24,58.3
2016-01-11,8228719.0,55.3269,59.74,58.68,59.46,58.68
2016-01-12,5628176.0,55.2524,60.08,58.92,59.38,59.96
2016-01-13,7714613.0,53.7636,59.35,57.7001,57.78,59.35
2016-01-14,6738711.0,54.1731,58.7,57.51,58.22,57.7
2016-01-15,9785814.0,53.224,58.15,56.83,57.2,57.05
2016-01-19,7911477.0,54.3405,58.65,57.69,58.4,57.78
2016-01-20,9562879.0,53.2426,58.14,56.151,57.22,57.57
2016-01-21,6151451.0,53.4566,57.74,56.762,57.45,57.48
2016-01-22,6449261.0,54.2289,58.41,57.52,58.28,58.15
2016-01-25,6677752.0,54.3405,59.14,58.27,58.4,58.49
2016-01-26,8360837.0,54.8616,59.7,58.35,58.96,58.71
2016-01-27,8296861.0,54.8616,60.12,58.51,58.96,58.99
2016-01-28,7445913.0,55.485,59.89,58.02,59.63,58.11
2016-01-29,10238160.0,56.8622,61.18,60.02,61.11,60.22
2016-02-01,6017570.0,56.704,61.38,60.7,60.94,60.73
2016-02-02,6734687.0,56.2853,60.8,60.05,60.49,60.44
2016-02-03,7979567.0,55.6805,61.02,59.135,59.84,60.5
2016-02-04,6364665.0,55.3455,59.96,58.87,59.48,59.35
2016-02-05,7506216.0,55.6432,60.0,58.84,59.8,59.8
2016-02-08,7922533.0,55.941,60.42,59.0,60.12,59.11
2016-02-09,7670308.0,56.2481,61.13,59.73,60.45,60.15
2016-02-10,6137484.0,55.8759,61.08,59.915,60.05,60.61
2016-02-11,5865865.0,55.82,60.3,59.18,59.99,59.57
2016-02-12,6719716.0,55.8014,60.64,59.51,59.97,60.33
2016-02-16,6590793.0,56.1085,60.54,59.73,60.3,60.26
2016-02-17,5311747.0,56.2015,60.75,59.85,60.4,60.47
2016-02-18,5524670.0,56.4062,60.7,60.23,60.62,60.32
2016-02-19,4982327.0,56.3504,60.93,60.03,60.56,60.62
2016-02-22,4590489.0,56.9552,61.36,60.71,61.21,61.02
2016-02-23,4684214.0,57.2437,61.77,61.04,61.52,61.22
2016-02-24,4186882.0,57.0948,61.42,60.63,61.36,61.2
2016-02-25,5207188.0,58.0439,62.445,61.38,62.38,61.5
2016-02-26,5543565.0,57.2623,62.53,61.28,61.54,62.53
2016-02-29,6261506.0,57.2902,62.24,61.27,61.57,61.51
2016-03-01,7102049.0,57.4391,62.29,61.32,61.73,62.13
2016-03-02,5623093.0,57.2251,61.69,61.03,61.5,61.48
2016-03-03,5118981.0,57.9043,62.285,61.16,62.23,61.5
2016-03-04,5930922.0,58.6022,63.065,61.875,62.98,62.15
2016-03-07,9972846.0,57.5135,63.08,61.6,61.81,62.86
2016-03-08,5820930.0,57.9695,62.39,61.45,62.3,61.77
2016-03-09,5932279.0,58.444,62.89,62.4001,62.81,62.64
2016-03-10,6124846.0,58.6208,63.15,62.42,63.0,62.91
2016-03-11,7469675.0,58.2253,62.86,61.735,62.01,62.8
2016-03-14,4754826.0,58.2253,62.3,61.57,62.01,62.14
2016-03-15,5815134.0,58.0845,62.06,61.674,61.86,61.69
2016-03-16,5282311.0,58.2817,62.22,61.28,62.07,61.83
2016-03-17,7224940.0,58.5258,62.68,62.01,62.33,62.07
2016-03-18,16636595.0,57.784,62.44,61.39,61.54,62.39
2016-03-21,4124719.0,57.953,62.0,61.06,61.72,61.45
2016-03-22,5198384.0,57.277,61.66,60.77,61.0,61.45
2016-03-23,6229229.0,57.662,61.78,60.33,61.41,60.86
2016-03-24,5651418.0,57.1643,61.29,60.51,60.88,60.81
2016-03-28,4467586.0,57.8685,61.85,60.85,61.63,60.87
2016-03-29,8973299.0,58.2441,62.58,61.48,62.03,61.86
2016-03-30,6622959.0,58.7606,62.8,62.03,62.58,62.16
2016-03-31,6442821.0,58.8357,62.995,62.37,62.66,62.58
2016-04-01,5833125.0,59.2113,63.15,62.11,63.06,62.35
2016-04-04,5093022.0,59.3709,63.3,62.67,63.23,63.03
2016-04-05,4728770.0,59.0892,63.27,62.79,62.93,63.04
2016-04-06,5581446.0,59.6807,63.64,62.92,63.56,63.0
2016-04-07,5600178.0,59.5399,63.71,62.83,63.41,63.22
2016-04-08,5044754.0,59.9061,63.96,63.42,63.8,63.42
2016-04-11,5928748.0,59.446,64.16,63.22,63.31,64.11
2016-04-12,4926818.0,59.9249,63.98,63.33,63.82,63.6
2016-04-13,14747389.0,58.2817,64.11,61.03,62.07,64.11
2016-04-14,7386467.0,57.831,62.66,61.5,61.59,62.19
2016-04-15,6738709.0,57.9155,61.75,60.85,61.68,61.71
2016-04-18,4343883.0,58.3756,62.419,61.58,62.17,61.63
2016-04-19,4966451.0,57.9436,62.09,61.13,61.71,61.99
2016-04-20,4636928.0,57.7277,61.92,61.21,61.48,61.57
2016-04-21,6611504.0,56.507,61.4199,60.09,60.18,61.35
2016-04-22,6977961.0,56.8263,60.56,59.48,60.52,60.24
2016-04-25,4785790.0,57.4836,61.23,60.19,61.22,60.5
2016-04-26,5619193.0,57.6056,61.53,60.79,61.35,61.27
2016-04-27,6189282.0,57.7934,61.98,60.98,61.55,61.44
2016-04-28,5544990.0,58.3944,62.595,61.56,62.19,61.6
2016-04-29,6470251.0,58.8826,63.13,62.25,62.71,62.28
2016-05-02,4740244.0,59.2676,63.42,62.6,63.12,62.83
2016-05-03,5197946.0,59.3427,63.46,62.78,63.2,63.05
2016-05-04,5468797.0,59.3709,63.5901,62.69,63.23,62.94
2016-05-05,8835028.0,59.0047,63.58,62.585,62.84,62.67
2016-05-06,7225684.0,59.0892,63.21,62.66,62.93,62.72
2016-05-09,6759268.0,59.7746,63.78,62.92,63.66,63.16
2016-05-10,6488899.0,60.6573,64.65,63.71,64.6,63.98
2016-05-11,4776384.0,60.6667,64.873,64.321,64.61,64.53
