Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,119.53,112.1903,119.74,120.37,2788011.0,118.65
2015-01-05,118.84,109.9135,117.31,119.32,3184778.0,116.7
2015-01-06,117.5,108.9204,116.25,118.1,4655823.0,115.92
2015-01-07,116.27,110.2789,117.21,118.88,4921934.0,115.16
2015-01-08,119.01,112.1419,119.19,119.59,3837001.0,118.16
2015-01-09,119.54,112.0007,119.04,120.22,3729821.0,118.97
2015-01-12,119.0,112.49,119.56,119.77,3742790.0,117.953
2015-01-13,120.0,110.8905,117.86,120.85,4155994.0,117.3
2015-01-14,116.52,110.5612,117.51,118.33,3288058.0,116.32
2015-01-15,118.25,110.3824,117.32,119.16,2548224.0,117.262
2015-01-16,117.33,110.6365,117.59,117.83,3245639.0,116.3
2015-01-20,118.76,110.6177,117.57,118.76,2389058.0,116.79
2015-01-21,117.66,111.2857,118.28,118.98,1910499.0,117.19
2015-01-22,118.68,112.904,120.0,120.18,2718888.0,118.34
2015-01-23,119.51,111.4456,118.45,119.975,1757653.0,118.39
2015-01-26,118.06,112.0666,119.11,119.15,1799336.0,118.06
2015-01-27,118.27,111.6056,118.62,119.46,2096527.0,118.06
2015-01-28,118.97,110.4107,117.35,119.05,2326056.0,117.12
2015-01-29,117.35,111.4833,118.49,118.97,2875915.0,117.26
2015-01-30,118.0,111.0034,117.98,119.24,3723735.0,117.615
2015-02-02,118.55,111.8502,118.88,119.11,2543210.0,117.26
2015-02-03,119.57,113.2333,120.35,120.67,2819055.0,119.4
2015-02-04,119.91,112.0195,119.06,120.15,2418961.0,118.74
2015-02-05,119.89,113.7131,120.86,121.4722,2364050.0,119.69
2015-02-06,120.93,113.111,120.22,120.93,1967865.0,119.96
2015-02-09,119.88,114.08,121.25,121.51,2309893.0,119.5
2015-02-10,122.08,114.287,121.47,122.12,1632244.0,120.58
2015-02-11,121.57,115.2373,122.48,123.03,2581803.0,121.57
2015-02-12,123.13,115.5102,122.77,123.2,2749833.0,122.0
2015-02-13,122.81,117.3919,124.77,125.15,2762562.0,122.81
2015-02-17,124.63,117.2884,124.66,125.31,1759884.0,123.91
