Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,1577623.0,45.86,45.41,45.77,46.04,41.7919
2015-01-05,2067254.0,45.41,44.81,44.95,45.69,41.0432
2015-01-06,3291123.0,45.27,44.87,45.55,45.78,41.591
2015-01-07,2434066.0,45.79,45.57,45.79,46.145,41.8102
2015-01-08,2888681.0,46.18,46.02,46.33,46.43,42.3032
2015-01-09,2046859.0,46.55,45.72,45.96,46.58,41.9654
2015-01-12,3485787.0,46.13,45.24,46.36,46.5,42.3306
2015-01-13,2782307.0,46.1,44.96,45.45,46.25,41.4997
2015-01-14,3917863.0,45.51,44.78,45.5,45.92,41.5454
2015-01-15,2229588.0,45.94,45.39,45.43,46.18,41.4815
2015-01-16,2816117.0,45.45,45.26,45.99,46.06,41.9928
2015-01-20,6885537.0,47.34,46.58,47.65,47.81,43.5085
2015-01-21,8476134.0,47.83,47.47,48.17,48.38,43.9833
2015-01-22,4436794.0,48.46,48.0,48.66,48.69,44.4307
2015-01-23,3043706.0,48.66,47.94,47.94,48.66,43.7733
2015-01-26,4145279.0,47.82,47.79,48.34,48.44,44.1386
2015-01-27,2958779.0,47.95,47.93,48.61,49.06,44.3851
2015-01-28,2874520.0,48.91,47.59,47.7,48.95,43.5542
2015-01-29,3471954.0,48.07,47.53,48.22,48.28,44.029
2015-01-30,5135772.0,47.72,47.58,48.69,49.5,44.4581
2015-02-02,2968774.0,48.91,48.41,49.09,49.26,44.8234
2015-02-03,4331034.0,49.17,49.0875,50.12,50.31,45.7638
2015-02-04,2907530.0,49.64,49.25,49.34,49.74,45.0516
2015-02-05,2375640.0,49.7,49.34,49.79,49.83,45.4625
2015-02-06,2124830.0,49.71,49.35,49.7,49.835,45.3803
2015-02-09,4233337.0,50.2,49.91,50.49,50.74,46.1017
2015-02-10,3162120.0,50.715,50.12,50.78,50.82,46.3665
2015-02-11,5208319.0,51.03,50.38,51.19,52.17,46.7408
2015-02-12,4286186.0,52.34,51.72,52.04,52.37,47.517
2015-02-13,3465698.0,52.07,51.89,52.33,52.61,47.7818
2015-02-17,4062669.0,52.41,51.8,52.01,52.41,47.4896
2015-02-18,3334124.0,52.39,51.84,52.67,52.67,48.0922
2015-02-19,2661887.0,52.48,52.1,53.02,53.14,48.4118
2015-02-20,3528547.0,52.92,52.53,53.08,53.115,48.4666
2015-02-23,3080418.0,53.02,52.77,52.97,53.33,48.3661
2015-02-24,2486031.0,53.27,52.98,53.19,53.43,48.567
2015-02-25,3534865.0,53.17,53.14,53.56,53.83,48.9049
2015-02-26,3757752.0,53.44,52.7,53.2,53.58,48.5761
2015-02-27,4315957.0,53.08,52.9,53.26,53.41,48.6309
2015-03-02,2706879.0,53.1,52.27,53.53,53.55,48.8775
2015-03-03,2917406.0,53.11,52.52,52.61,53.21,48.2657
2015-03-04,3304590.0,52.58,51.76,51.9,52.62,47.6143
2015-03-05,6993907.0,51.89,49.8,50.43,51.966,46.2657
2015-03-06,6998895.0,49.97,48.78,49.03,50.0,44.9813
2015-03-09,2808585.0,49.13,49.06,49.33,49.48,45.2565
2015-03-10,4595227.0,48.86,48.33,48.33,48.88,44.3391
2015-03-11,3856807.0,48.57,47.61,47.85,48.69,43.8988
2015-03-12,4675011.0,48.11,47.55,47.74,48.62,43.7978
2015-03-13,4361654.0,47.43,46.665,46.83,47.43,42.963
2015-03-16,5075530.0,46.82,45.93,46.9,47.39,43.0272
2015-03-17,5301253.0,46.8,46.56,47.29,47.52,43.385
2015-03-18,4333953.0,47.08,46.7,47.55,47.98,43.6235
2015-03-19,3565866.0,46.62,46.17,46.33,46.83,42.5043
2015-03-20,5643995.0,46.54,45.92,46.5,47.01,42.6602
2015-03-23,3733359.0,46.63,46.32,46.87,47.09,42.9997
2015-03-24,3865479.0,46.92,46.42,46.92,47.135,43.0456
2015-03-25,3528793.0,47.07,46.49,46.53,47.595,42.6878
2015-03-26,3871821.0,46.59,46.51,46.73,47.29,42.8712
2015-03-27,4371933.0,46.89,45.95,46.05,46.89,42.2474
2015-03-30,4043655.0,46.33,46.26,47.36,47.5557,43.4492
2015-03-31,5448270.0,47.11,45.95,46.06,47.39,42.2566
2015-04-01,4667443.0,46.26,45.25,45.47,46.26,41.7153
2015-04-02,2453468.0,45.53,45.37,45.87,46.0999,42.0823
2015-04-06,2917636.0,45.75,45.4599,45.89,46.03,42.1006
2015-04-07,2179249.0,45.88,45.81,45.84,46.32,42.0547
2015-04-08,3456761.0,46.0,45.76,46.0,46.5,42.2015
2015-04-09,2308389.0,46.11,45.92,46.0,46.26,42.2015
2015-04-10,2268013.0,46.1,45.84,45.85,46.4,42.0639
2015-04-13,2558022.0,45.79,45.53,45.62,46.15,41.8529
2015-04-14,2274059.0,45.81,45.35,45.61,45.85,41.8437
2015-04-15,3502620.0,45.87,45.65,45.95,46.06,42.1557
2015-04-16,3125002.0,45.95,45.73,46.02,46.32,42.2199
2015-04-17,4482346.0,45.91,45.29,45.32,46.08,41.5777
2015-04-20,4199696.0,45.42,44.96,45.0,45.7,41.2841
2015-04-21,3902219.0,44.97,44.49,44.69,45.15,40.9997
2015-04-22,3752104.0,44.65,44.55,44.65,44.93,40.963
2015-04-23,1068826.0,44.81,44.73,44.88,45.47,41.174
2015-04-24,794602.0,44.9,44.72,44.99,45.27,41.2749
2015-04-27,3841432.0,45.07,44.59,44.6,45.16,40.9171
2015-04-28,3763462.0,44.5,44.29,44.3,44.88,40.6419
2015-04-29,5651032.0,44.2,43.96,44.03,44.39,40.3942
2015-04-30,6371174.0,44.13,43.33,44.0,44.34,40.3667
2015-05-01,7087553.0,44.54,44.44,44.98,45.41,41.2657
2015-05-04,4405014.0,44.97,44.65,44.66,45.19,40.9722
2015-05-05,4836184.0,44.72,44.03,44.11,45.16,40.4676
2015-05-06,5281231.0,44.4,44.085,44.34,44.66,40.6786
2015-05-07,9009959.0,44.22,44.0,44.49,44.56,40.8162
2015-05-08,4712645.0,44.95,44.87,45.46,45.67,41.7061
2015-05-11,3003053.0,45.38,44.96,45.0,45.57,41.2841
2015-05-12,3062152.0,44.76,44.42,44.84,44.88,41.1373
2015-05-13,5199000.0,44.91,44.69,45.42,45.58,41.6694
2015-05-14,3187247.0,45.54,45.12,45.56,45.63,41.7979
2015-05-15,4470166.0,45.92,45.6,46.62,46.63,42.7703
2015-05-18,4122838.0,46.67,46.52,46.68,46.77,42.8254
2015-05-19,3565638.0,46.77,46.23,46.6,46.81,42.752
2015-05-20,5209317.0,46.63,46.42,47.28,47.31,43.3758
2015-05-21,4903804.0,47.32,47.1,47.43,47.68,43.5134
2015-05-22,4464167.0,47.46,47.02,47.03,47.56,43.1465
2015-05-26,4103302.0,46.75,46.39,46.47,46.94,42.6327
2015-05-27,3837368.0,46.5,46.309,46.59,46.69,42.7428
2015-05-28,3390645.0,46.47,46.25,46.53,46.64,42.6878
2015-05-29,5009617.0,46.57,45.78,45.85,46.66,42.0639
2015-06-01,4197646.0,45.9,45.13,45.36,46.0,41.6144
2015-06-02,3322025.0,45.07,45.0,45.27,45.5001,41.7841
2015-06-03,2538932.0,45.44,45.1,45.41,45.6299,41.9133
2015-06-04,3115394.0,45.1,44.53,44.58,45.16,41.1472
2015-06-05,2352172.0,44.35,44.22,44.31,44.62,40.898
2015-06-08,2283522.0,44.25,44.02,44.03,44.3599,40.6396
2015-06-09,2267659.0,44.0,43.81,43.93,44.25,40.5473
2015-06-10,3157451.0,44.22,44.09,44.61,44.74,41.1749
2015-06-11,2979049.0,44.61,44.58,44.85,44.96,41.3964
2015-06-12,2942527.0,44.71,44.41,44.54,44.995,41.1103
2015-06-15,3040432.0,44.25,44.03,44.45,44.76,41.0272
2015-06-16,2480942.0,44.5,44.39,44.6,44.74,41.1657
2015-06-17,3571067.0,44.7,44.32,44.87,44.92,41.4149
2015-06-18,3289829.0,44.94,44.81,45.03,45.2,41.5626
2015-06-19,4427603.0,44.86,44.84,44.84,45.15,41.3872
2015-06-22,2969332.0,44.93,44.73,44.99,45.06,41.5257
2015-06-23,3390061.0,45.0,44.93,45.27,45.34,41.7841
2015-06-24,4475210.0,45.39,45.165,45.24,45.56,41.7564
2015-06-25,7123747.0,45.43,45.26,46.21,46.43,42.6517
2015-06-26,9312406.0,46.48,46.21,46.55,47.13,42.9655
2015-06-29,4944785.0,46.07,45.88,45.9,46.485,42.3656
2015-06-30,5539296.0,46.13,46.06,46.85,47.129,43.2424
2015-07-01,4422098.0,47.05,46.54,46.73,47.13,43.1317
2015-07-02,2617667.0,46.65,46.43,46.65,46.8999,43.0578
2015-07-06,2859470.0,46.26,46.19,46.45,46.94,42.8732
2015-07-07,4136609.0,46.27,45.34,45.94,46.41,42.4025
2015-07-08,3137638.0,45.6,45.005,45.1,45.73,41.6272
2015-07-09,4591482.0,45.56,44.64,44.71,45.7,41.2672
2015-07-10,4050910.0,45.58,44.97,45.04,45.74,41.5718
2015-07-13,2999497.0,45.42,45.21,45.36,45.62,41.8672
2015-07-14,3895692.0,45.41,45.28,45.73,45.98,42.2087
2015-07-15,3007736.0,45.72,45.2497,45.45,45.8,41.9502
2015-07-16,2216208.0,45.46,45.16,45.27,45.56,41.7841
2015-07-17,4575123.0,45.0,44.93,45.26,45.87,41.7749
2015-07-20,3442306.0,45.19,44.87,44.95,45.3,41.4887
2015-07-21,2498992.0,45.03,44.82,44.85,45.25,41.3964
2015-07-22,5401692.0,44.55,44.03,44.2,44.71,40.7965
2015-07-23,3426812.0,44.21,43.82,43.96,44.43,40.575
2015-07-24,6087863.0,43.78,42.54,42.89,43.78,39.5874
2015-07-27,5932849.0,42.49,42.14,42.29,42.69,39.0336
2015-07-28,3971385.0,42.36,42.0,42.76,42.77,39.4674
2015-07-29,5032684.0,42.85,42.55,42.72,42.93,39.4305
2015-07-30,3984106.0,42.82,42.73,42.83,43.27,39.532
2015-07-31,3610863.0,43.04,42.905,42.94,43.3,39.6335
2015-08-03,4786653.0,42.95,42.52,42.76,43.05,39.4674
2015-08-04,4848638.0,42.89,42.28,43.98,44.12,40.5934
2015-08-05,3917079.0,44.46,44.23,44.58,44.88,41.1472
2015-08-06,3343129.0,44.77,44.17,44.64,44.85,41.2026
2015-08-07,2891328.0,44.58,44.35,44.4,44.95,40.9811
2015-08-10,2436676.0,44.61,44.4,45.28,45.355,41.7933
2015-08-11,3796932.0,44.5,43.81,43.85,44.65,40.4734
2015-08-12,3531395.0,43.53,43.15,43.55,43.88,40.1965
2015-08-13,2370084.0,43.46,43.05,43.34,43.6,40.0027
2015-08-14,2716633.0,43.48,43.06,43.28,43.59,39.9473
2015-08-17,2819416.0,43.34,43.23,43.82,43.85,40.4457
2015-08-18,2736230.0,43.57,43.3,43.59,43.79,40.2335
2015-08-19,3635873.0,43.3,42.41,42.57,43.37,39.292
2015-08-20,3562830.0,42.26,41.48,41.48,42.49,38.2859
2015-08-21,5549333.0,41.23,39.93,39.94,41.33,36.8645
2015-08-24,8320176.0,38.0,37.2,38.24,39.65,35.2954
2015-08-25,5670175.0,39.25,37.5,37.57,39.44,34.677
2015-08-26,5574566.0,38.32,37.98,38.92,38.99,35.9231
2015-08-27,4932726.0,39.51,39.5,40.55,40.71,37.4275
2015-08-28,3580711.0,40.35,40.11,41.04,41.05,37.8798
2015-08-31,2816448.0,40.83,40.3,40.83,40.96,37.686
2015-09-01,3639603.0,39.57,38.92,39.21,40.03,36.4446
2015-09-02,2621240.0,39.65,39.08,39.69,39.82,36.8907
2015-09-03,2697231.0,39.8,39.69,40.37,40.63,37.5227
2015-09-04,2964181.0,39.72,39.49,39.67,39.92,36.8721
2015-09-08,4342767.0,40.64,39.6,40.3,41.345,37.4577
2015-09-09,3099569.0,40.39,39.52,39.58,40.81,36.7885
2015-09-10,3095987.0,39.41,39.17,39.45,39.87,36.6676
2015-09-11,3216228.0,39.0,38.75,39.14,39.27,36.3795
2015-09-14,2131779.0,39.19,38.61,38.68,39.27,35.9519
2015-09-15,2818040.0,38.81,38.56,39.29,39.37,36.5189
2015-09-16,2504620.0,39.25,39.16,39.41,39.665,36.6304
2015-09-17,3170130.0,39.27,38.73,38.83,39.5,36.0914
2015-09-18,10296551.0,38.38,36.92,36.98,38.38,34.3718
2015-09-21,5172108.0,37.28,36.13,36.44,37.28,33.8699
2015-09-22,9121718.0,35.24,33.35,33.88,35.39,31.4905
2015-09-23,6815148.0,34.0,31.85,31.98,34.0,29.7245
2015-09-24,8785947.0,31.76,31.12,32.45,32.575,30.1613
2015-09-25,4812200.0,32.65,31.94,32.14,32.8,29.8732
2015-09-28,4178499.0,31.95,30.9,30.96,31.96,28.7764
2015-09-29,3769431.0,31.13,30.8,31.04,31.51,28.8508
2015-09-30,4247816.0,31.37,30.53,31.11,31.6,28.9158
2015-10-01,5355029.0,31.08,29.9199,30.14,31.25,28.0143
2015-10-02,8769583.0,29.81,29.61,30.99,30.99,28.8043
2015-10-05,5896064.0,31.48,31.17,32.06,32.17,29.7988
2015-10-06,5879344.0,32.06,31.95,32.08,32.48,29.8174
2015-10-07,7149333.0,32.13,32.02,33.49,33.59,31.128
2015-10-08,4452664.0,33.33,33.28,33.89,34.065,31.4998
2015-10-09,4566163.0,34.05,33.69,33.93,34.26,31.5369
2015-10-12,2928659.0,33.95,32.76,33.08,33.98,30.7469
2015-10-13,5334068.0,32.79,32.76,33.44,33.89,31.0815
2015-10-14,7785596.0,33.44,33.42,35.33,35.55,32.8382
2015-10-15,5715903.0,35.32,34.65,34.93,35.47,32.4664
2015-10-16,5224301.0,35.1,34.72,34.93,35.19,32.4664
2015-10-19,3185948.0,34.6,33.95,34.16,34.8,31.7507
2015-10-20,4201056.0,34.04,34.0,34.76,34.88,32.3084
2015-10-21,3773996.0,34.79,34.05,34.41,34.9,31.9831
2015-10-22,3592198.0,34.63,34.47,35.16,35.235,32.6802
2015-10-23,3720322.0,35.44,34.9,35.62,35.7,33.1078
2015-10-26,3432190.0,35.61,35.325,35.39,36.05,32.894
2015-10-27,4006078.0,35.1,33.76,34.27,35.147,31.853
2015-10-28,5443058.0,34.3,34.18,34.56,34.92,32.1225
2015-10-29,3931300.0,34.21,33.75,34.66,34.92,32.2155
2015-10-30,4941588.0,34.57,33.51,33.79,34.754,31.4068
2015-11-02,3899314.0,33.86,33.73,34.48,34.68,32.0482
2015-11-03,7134555.0,33.54,33.24,36.51,36.95,33.935
2015-11-04,8160580.0,36.52,33.19,33.38,36.53,31.0257
2015-11-05,6327156.0,33.45,32.48,32.67,33.89,30.3658
2015-11-06,4354909.0,32.67,32.15,32.5,32.91,30.2078
2015-11-09,4515522.0,32.5,31.7,32.64,32.8,30.3379
2015-11-10,4424056.0,32.61,31.34,31.76,32.74,29.52
2015-11-11,3598546.0,31.85,31.07,31.85,31.94,29.6036
2015-11-12,3280692.0,31.46,31.26,31.66,32.14,29.427
2015-11-13,4389266.0,31.69,31.53,32.21,32.51,29.9383
2015-11-16,3435536.0,32.26,32.13,32.68,32.97,30.3751
2015-11-17,4526228.0,32.87,31.505,31.73,32.96,29.4921
2015-11-18,4567061.0,31.71,31.53,31.95,32.13,29.6966
2015-11-19,3625191.0,32.05,32.0,32.31,32.95,30.0312
2015-11-20,4044334.0,32.45,31.09,31.26,32.66,29.0553
2015-11-23,4505030.0,31.17,30.94,30.96,31.5,28.7764
2015-11-24,4340561.0,30.91,30.67,31.53,31.78,29.3062
2015-11-25,2881840.0,31.36,31.08,31.46,31.82,29.2412
2015-11-27,1899121.0,31.47,30.82,31.05,31.52,28.8601
2015-11-30,5514118.0,31.08,30.61,31.64,31.815,29.4085
2015-12-01,5679144.0,31.5,31.28,31.82,32.25,29.8314
2015-12-02,4906310.0,31.81,30.425,30.71,31.85,28.7907
2015-12-03,5467063.0,30.94,30.54,31.03,31.15,29.0907
2015-12-04,6470666.0,31.0,30.09,30.88,31.05,28.9501
2015-12-07,9704998.0,30.72,30.37,32.05,32.26,30.047
2015-12-08,8153687.0,31.82,30.0,30.02,31.93,28.1439
2015-12-09,5394222.0,30.23,30.19,30.84,30.99,28.9126
2015-12-10,4687172.0,30.82,30.02,30.07,31.45,28.1907
2015-12-11,4180056.0,29.86,29.28,29.37,29.94,27.5345
2015-12-14,5009723.0,29.36,28.27,28.7,29.49,26.9064
2015-12-15,4210906.0,28.84,28.84,29.47,29.62,27.6282
2015-12-16,4558834.0,29.68,28.94,30.09,30.13,28.2095
2015-12-17,4880750.0,30.03,28.82,28.84,30.14,27.0376
2015-12-18,12432748.0,28.73,28.5,28.54,29.38,26.7564
2015-12-21,8913215.0,28.71,26.96,27.24,28.8,25.5376
2015-12-22,6796767.0,27.4,27.37,28.7,28.955,26.9064
2015-12-23,6161353.0,28.96,28.9,30.01,30.5,28.1345
2015-12-24,1668902.0,30.09,29.63,29.75,30.45,27.8907
2015-12-28,3238082.0,29.6,28.62,28.98,29.63,27.1689
2015-12-29,3260919.0,29.17,28.52,28.87,29.35,27.0657
2015-12-30,3015728.0,28.91,28.17,28.35,29.08,26.5782
2015-12-31,4235834.0,28.06,27.53,27.59,28.3,25.8657
2016-01-04,7316363.0,27.31,27.22,28.42,28.43,26.6439
2016-01-05,4995566.0,28.66,27.87,28.3,28.67,26.5314
2016-01-06,5964354.0,27.83,26.265,26.44,27.85,24.7876
2016-01-07,5552689.0,26.17,25.34,25.53,26.34,23.9345
2016-01-08,5370278.0,25.5,24.77,24.91,25.6,23.3532
2016-01-11,7972566.0,25.0,23.52,23.8,25.07,22.3126
2016-01-12,8549868.0,24.3,23.65,24.56,24.765,23.0251
2016-01-13,6384269.0,24.75,24.03,24.14,25.1699,22.6313
2016-01-14,7342210.0,24.08,23.76,25.06,25.38,23.4938
