Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,89.55,41.8371,91.64,91.87,2679659.0,89.55
2015-01-05,90.85,40.6729,89.09,91.3,5246379.0,87.845
2015-01-06,89.13,40.2711,88.21,90.33,2802266.0,87.22
2015-01-07,89.64,40.6044,88.94,89.64,3505973.0,87.64
2015-01-08,89.97,41.5586,91.03,91.49,3494407.0,89.5
2015-01-09,90.87,40.399,88.49,91.17,2611595.0,88.36
2015-01-12,87.45,38.9974,85.42,88.15,4129108.0,85.01
2015-01-13,84.94,36.9156,80.86,86.4299,6819592.0,80.22
2015-01-14,80.01,35.441,77.63,80.04,7138255.0,75.96
2015-01-15,77.97,35.0849,76.85,78.239,4730228.0,75.24
2015-01-16,77.22,35.409,77.56,78.69,4567893.0,77.04
2015-01-20,77.46,36.7147,80.42,80.74,3679366.0,77.46
2015-01-21,80.47,36.9567,80.95,81.75,3456502.0,80.02
2015-01-22,81.7,38.3354,83.97,84.27,3960245.0,80.95
2015-01-23,84.17,39.7918,87.16,88.4999,4638952.0,83.57
2015-01-26,87.15,40.262,88.19,88.57,3134615.0,87.15
2015-01-27,87.49,40.4857,88.68,88.93,2347938.0,87.37
2015-01-28,89.0,40.7642,89.29,90.57,4216051.0,87.89
2015-01-29,90.31,41.0929,90.01,91.24,2604568.0,88.19
2015-01-30,89.02,42.2708,92.59,93.39,4878947.0,88.81
2015-02-02,92.85,42.8871,93.94,93.99,3141363.0,90.97
2015-02-03,94.08,43.7454,95.82,95.82,4214288.0,93.28
2015-02-04,96.01,43.9143,96.19,97.21,4559769.0,94.35
2015-02-05,96.94,44.421,97.3,98.25,3492717.0,96.21
2015-02-06,97.34,45.1424,98.88,99.92,4947051.0,96.79
2015-02-09,98.66,45.7313,100.17,100.45,4194043.0,98.22
2015-02-10,100.48,46.649,102.18,102.61,4515821.0,98.77
2015-02-11,101.2,46.0737,100.92,101.99,2672217.0,100.19
2015-02-12,101.87,46.2929,101.4,101.94,3178100.0,100.2
2015-02-13,101.76,47.4707,103.48,103.55,2945276.0,101.39
2015-02-17,103.27,47.6267,103.82,104.6099,3322851.0,101.75
2015-02-18,103.34,47.9983,104.63,104.7,2427880.0,102.5
2015-02-19,104.15,48.4662,105.65,105.87,2626846.0,103.77
2015-02-20,105.66,48.4295,105.57,106.95,3239338.0,104.315
2015-02-23,105.53,48.7873,106.35,108.13,2525189.0,105.15
2015-02-24,106.65,48.2506,105.18,106.79,2541207.0,104.15
2015-02-25,105.39,48.012,104.66,106.48,2599960.0,103.94
2015-02-26,104.71,49.1038,107.04,108.32,3447635.0,104.71
2015-02-27,107.12,48.168,105.0,108.2099,2192727.0,104.95
2015-03-02,104.09,46.6909,101.78,104.09,4631961.0,101.264
2015-03-03,102.62,47.145,102.77,103.67,3550460.0,101.85
2015-03-04,102.0,46.7964,102.01,103.01,2729637.0,100.88
2015-03-05,102.36,46.6771,101.75,103.06,1879817.0,101.6797
2015-03-06,101.01,45.1816,98.49,102.61,2296783.0,98.37
2015-03-09,99.09,45.7688,99.77,101.89,2512946.0,98.7
2015-03-10,98.72,44.0944,96.12,98.75,3127538.0,96.0
2015-03-11,96.36,44.4384,96.87,97.5299,2738224.0,95.56
2015-03-12,97.89,43.8879,95.67,99.15,2283640.0,95.47
2015-03-13,96.52,44.1311,96.2,97.3,2249064.0,95.48
2015-03-16,95.65,44.9843,98.06,98.12,2369457.0,94.29
2015-03-17,97.02,44.8375,97.74,97.95,1772162.0,96.0
2015-03-18,97.5,46.3376,101.01,101.4099,2554139.0,97.33
2015-03-19,100.15,45.9018,100.06,100.65,1582989.0,99.5
2015-03-20,100.51,46.9111,102.26,102.84,3890638.0,100.0
2015-03-23,102.66,46.9844,102.42,103.8,2617946.0,102.37
2015-03-24,102.08,46.6542,101.7,103.26,1969265.0,101.5
2015-03-25,102.8,47.2872,103.08,104.86,3192338.0,102.7
2015-03-26,103.73,46.278,100.88,103.93,2193186.0,100.73
2015-03-27,101.41,45.7137,99.65,101.58,2443723.0,99.27
2015-03-30,100.41,47.2046,102.9,103.07,2251077.0,100.41
2015-03-31,102.12,46.9707,102.39,104.07,2889638.0,101.69
2015-04-01,102.76,46.6817,101.76,103.6399,2713402.0,101.33
2015-04-02,101.63,44.5348,97.08,102.05,4308489.0,96.89
2015-04-06,97.63,45.2045,98.54,99.64,2554129.0,96.96
2015-04-07,98.99,45.0669,98.24,99.19,2972187.0,97.24
2015-04-08,99.44,45.2504,98.64,99.99,2179381.0,98.34
2015-04-09,98.66,45.8101,99.86,100.34,2733950.0,98.03
2015-04-10,100.09,46.067,100.42,100.52,1353969.0,99.47
2015-04-13,100.32,44.5944,97.21,100.67,3744486.0,96.81
2015-04-14,97.84,44.9752,98.04,98.67,3076700.0,97.22
2015-04-15,98.52,44.9706,98.03,99.965,2706166.0,97.94
2015-04-16,98.0,45.8743,100.0,100.69,3150231.0,97.675
2015-04-17,99.63,45.2871,98.72,100.27,2612145.0,98.23
2015-04-20,99.32,45.5669,99.33,100.59,2236633.0,98.66
2015-04-21,99.36,45.8789,100.01,100.33,1607059.0,99.02
2015-04-22,100.59,46.8514,102.13,102.18,2241325.0,100.1
2015-04-23,102.2,46.6496,101.69,102.48,1806551.0,100.55
2015-04-24,101.3,47.3193,103.15,103.43,2107214.0,101.3
2015-04-27,103.81,47.223,102.94,104.08,2449656.0,102.755
2015-04-28,102.64,47.0257,102.51,103.49,1580244.0,102.13
2015-04-29,103.37,47.0349,102.53,103.87,2420356.0,101.58
2015-04-30,104.2,45.2183,98.57,104.56,5030232.0,97.75
2015-05-01,98.99,47.0945,102.66,103.19,2849180.0,98.65
2015-05-04,102.43,46.4477,101.25,103.2,2045447.0,101.09
2015-05-05,101.7,46.7138,101.83,102.294,1924040.0,101.15
2015-05-06,102.79,46.3422,101.02,102.92,2449721.0,99.75
2015-05-07,101.0,47.1083,102.69,103.47,2377824.0,99.94
2015-05-08,103.04,48.113,104.88,105.52,2595483.0,101.7
2015-05-11,106.02,46.9202,102.28,106.14,2246351.0,101.4348
2015-05-12,102.2,46.4844,101.33,102.2,1814210.0,100.62
2015-05-13,102.02,46.9202,102.28,102.69,1499803.0,101.43
2015-05-14,102.7,48.035,104.71,104.97,1871843.0,102.57
2015-05-15,104.56,47.457,103.45,104.61,1599679.0,102.45
2015-05-18,103.19,48.0625,104.27,104.48,1283935.0,102.43
2015-05-19,102.82,48.0579,104.26,104.49,1721342.0,102.82
2015-05-20,104.76,48.0902,104.33,104.95,1781678.0,103.48
2015-05-21,104.3,47.7813,103.66,104.84,2105160.0,103.52
2015-05-22,103.28,47.514,103.08,104.56,2169006.0,102.87
2015-05-26,102.7,46.2971,100.44,102.975,3232635.0,99.69
2015-05-27,101.41,46.5368,100.96,102.19,2344771.0,100.29
2015-05-28,100.91,47.3711,102.77,103.08,1826520.0,100.36
2015-05-29,102.98,47.6891,103.46,105.0,2817560.0,102.49
2015-06-01,103.16,47.7306,103.55,104.9,2346299.0,103.16
2015-06-02,103.4,47.4909,103.03,103.78,1924591.0,101.9
2015-06-03,102.71,47.1083,102.2,103.19,2583832.0,101.64
2015-06-04,101.33,46.2464,100.33,101.98,3022157.0,99.96
2015-06-05,100.15,46.5183,100.92,101.5,2907043.0,99.96
2015-06-08,100.81,46.3063,100.46,102.15,1520856.0,100.283
2015-06-09,100.79,45.7854,99.33,101.24,2486900.0,99.31
