Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,57.22,52.0041,57.19,57.79,7085957.0,57.025
2015-01-05,58.21,52.777,58.04,58.48,15961191.0,57.57
2015-01-06,58.28,54.8503,60.32,60.5,24287584.0,58.25
2015-01-07,60.44,56.0233,61.61,61.62,18634387.0,60.36
2015-01-08,62.0,57.1508,62.85,62.935,19120536.0,61.85
2015-01-09,62.81,56.8871,62.56,63.13,12604585.0,62.17
2015-01-12,63.1,56.6507,62.3,63.5,11568909.0,62.1
2015-01-13,62.91,56.5507,62.19,63.62,10039285.0,61.73
2015-01-14,61.72,56.9599,62.64,62.91,9858016.0,61.48
2015-01-15,62.79,56.2688,61.88,62.99,9563904.0,61.83
2015-01-16,61.86,57.3145,63.03,63.16,11371154.0,61.53
2015-01-20,62.71,56.9326,62.61,63.3,13108794.0,61.88
2015-01-21,62.42,56.5234,62.16,62.78,9082145.0,62.08
2015-01-22,62.26,56.9144,62.59,62.71,8494438.0,61.53
2015-01-23,62.46,56.8235,62.49,63.0,6229120.0,62.41
2015-01-26,62.58,57.1236,62.82,62.98,6714545.0,62.12
2015-01-27,62.88,56.8871,62.56,63.02,7965061.0,62.13
2015-01-28,62.82,55.8778,61.45,62.9608,8868066.0,61.32
2015-01-29,61.54,56.4598,62.09,62.15,9091286.0,60.755
2015-01-30,61.53,54.8139,60.28,61.93,12086725.0,60.03
2015-02-02,60.5,55.3595,60.88,60.93,9266650.0,59.78
2015-02-03,60.89,55.4868,61.02,61.06,11477537.0,59.94
2015-02-04,59.97,53.6954,59.05,60.0,19446362.0,58.34
2015-02-05,59.27,53.8045,59.17,59.35,12660363.0,58.505
2015-02-06,59.1,53.459,58.79,59.77,9864527.0,58.58
2015-02-09,58.65,53.0407,58.33,59.0,10014119.0,57.93
2015-02-10,59.0,53.5136,58.85,59.34,9539369.0,58.771
2015-02-11,58.76,53.4135,58.74,58.96,10484321.0,58.4
2015-02-12,59.0,53.5408,58.88,59.11,7207699.0,58.59
2015-02-13,58.9,53.4772,58.81,58.94,7899278.0,58.61
2015-02-17,58.74,53.459,58.79,58.97,10187258.0,58.7
2015-02-18,58.67,53.4681,58.8,59.01,10534154.0,58.23
2015-02-19,58.85,53.0134,58.3,58.99,9835648.0,57.81
2015-02-20,58.15,53.0589,58.35,58.48,11604783.0,57.73
2015-02-23,58.39,53.0134,58.3,58.67,8589913.0,58.17
2015-02-24,58.49,53.068,58.36,58.57,7714066.0,58.05
2015-02-25,58.46,53.1862,58.49,58.97,8455230.0,58.0625
2015-02-26,58.66,53.6136,58.96,59.15,11488572.0,58.66
2015-02-27,58.89,53.2317,58.54,59.06,13059817.0,58.49
2015-03-02,58.29,53.268,58.58,58.89,9666895.0,58.28
2015-03-03,58.64,53.0498,58.34,58.7,8251196.0,57.95
2015-03-04,58.41,52.6315,57.88,58.65,13334541.0,57.68
2015-03-05,58.09,52.7224,57.98,58.28,11534075.0,57.8
2015-03-06,57.85,51.6858,56.84,57.87,11064674.0,56.72
2015-03-09,56.84,52.0677,57.26,57.37,8342037.0,56.3
2015-03-10,56.95,51.4494,56.58,57.19,13125044.0,56.49
2015-03-11,57.49,50.9765,56.06,57.49,15657552.0,55.97
2015-03-12,55.82,51.4858,56.17,56.22,12954263.0,55.66
2015-03-13,56.03,51.5133,56.2,56.43,13072758.0,55.64
2015-03-16,56.58,52.3565,57.12,57.32,11520310.0,56.58
2015-03-17,56.89,51.7607,56.47,56.89,9999041.0,56.24
2015-03-18,56.39,52.8423,57.65,57.97,14927873.0,56.21
2015-03-19,57.43,53.3556,58.21,58.34,14455885.0,57.03
2015-03-20,58.24,53.6948,58.58,58.86,26113962.0,57.76
2015-03-23,58.4,53.8323,58.73,59.14,10658466.0,58.04
2015-03-24,59.41,53.7406,58.63,59.7,13049057.0,58.51
2015-03-25,59.5,53.4015,58.26,59.71,14038029.0,58.18
2015-03-26,58.04,52.7965,57.6,58.2,10582836.0,57.41
2015-03-27,57.83,52.934,57.75,58.2252,8522294.0,57.63
2015-03-30,58.25,53.4748,58.34,58.54,8188953.0,58.15
2015-03-31,58.19,52.6865,57.48,58.31,10458436.0,57.48
2015-04-01,57.26,52.1182,56.86,57.32,12712204.0,56.22
2015-04-02,57.0,52.3382,57.1,57.4501,7583525.0,56.85
2015-04-06,56.93,52.4115,57.18,57.335,12649211.0,56.71
2015-04-07,57.66,52.6407,57.43,57.88,9278294.0,57.3
2015-04-08,57.91,52.384,57.15,58.05,13559688.0,57.02
2015-04-09,57.22,52.6407,57.43,57.729,12003465.0,57.11
2015-04-10,57.05,52.4757,57.25,57.645,15507494.0,56.32
2015-04-13,57.08,51.9991,56.73,57.365,10480941.0,56.5
2015-04-14,56.94,52.9432,57.76,57.99,14656168.0,56.61
2015-04-15,58.07,53.5756,58.45,58.945,12108838.0,58.07
2015-04-16,58.21,53.0165,57.84,58.39,6409437.0,57.74
2015-04-17,57.35,52.1366,56.88,57.36,11663102.0,56.57
2015-04-20,57.5,52.8057,57.61,58.0,9961359.0,57.39
2015-04-21,58.01,52.8515,57.66,58.03,9255533.0,57.41
2015-04-22,57.56,52.879,57.69,57.885,7914568.0,57.32
2015-04-23,57.52,52.714,57.51,57.85,8342300.0,57.035
2015-04-24,57.85,52.7965,57.6,58.19,7866496.0,57.51
2015-04-27,57.83,52.3382,57.1,58.03,10480766.0,56.88
2015-04-28,60.22,54.978,59.98,60.48,34730213.0,59.22
2015-04-29,59.33,54.7031,59.68,60.43,17187694.0,59.23
2015-04-30,59.79,54.5931,59.56,60.14,13012342.0,59.24
2015-05-01,59.76,54.868,59.86,60.38,9357474.0,59.68
2015-05-04,60.14,55.583,60.64,60.95,9049765.0,60.03
2015-05-05,60.32,55.4455,60.49,60.7,12082488.0,60.06
2015-05-06,60.45,55.2347,60.26,60.59,11570856.0,59.93
2015-05-07,60.05,55.2713,60.3,60.73,9000828.0,59.93
2015-05-08,61.0,55.6747,60.74,61.375,10143412.0,60.7
2015-05-11,60.66,54.9964,60.0,60.69,9718746.0,59.835
2015-05-12,59.55,54.4831,59.44,59.725,13191909.0,59.11
2015-05-13,59.62,54.2448,59.18,59.85,7320884.0,58.97
2015-05-14,59.47,54.7947,59.78,59.89,7127324.0,59.045
2015-05-15,59.94,55.2072,60.23,60.23,7665651.0,59.81
2015-05-18,60.17,55.0055,60.01,60.45,7190826.0,60.01
2015-05-19,59.96,55.473,60.52,60.92,8128726.0,59.94
2015-05-20,60.67,55.418,60.46,60.85,6034665.0,60.44
2015-05-21,60.55,55.088,60.1,60.785,8038381.0,60.09
2015-05-22,60.07,54.4281,59.38,60.07,8990387.0,59.34
