,date,ADX
0,2000-02-29,32.4107
1,2000-03-01,32.6155
2,2000-03-02,32.5484
3,2000-03-03,31.8324
4,2000-03-06,31.5642
5,2000-03-07,31.2863
6,2000-03-08,31.1226
7,2000-03-09,30.3031
8,2000-03-10,29.1409
9,2000-03-13,28.2845
10,2000-03-14,27.7463
11,2000-03-15,27.3922
12,2000-03-16,27.104
13,2000-03-17,26.3699
14,2000-03-20,25.6328
15,2000-03-21,24.4257
16,2000-03-22,23.466
17,2000-03-23,23.3511
18,2000-03-24,23.4368
19,2000-03-27,22.7633
20,2000-03-28,21.9349
21,2000-03-29,21.3043
22,2000-03-30,20.3896
23,2000-03-31,19.5207
24,2000-04-03,19.7147
25,2000-04-04,20.2368
26,2000-04-05,20.7328
27,2000-04-06,21.244
28,2000-04-07,21.5542
29,2000-04-10,21.8489
30,2000-04-11,22.3153
31,2000-04-12,23.079
32,2000-04-13,23.8046
33,2000-04-14,24.8407
34,2000-04-17,25.839
35,2000-04-18,25.974
36,2000-04-19,26.1023
37,2000-04-20,26.27
38,2000-04-24,27.1839
39,2000-04-25,27.862
40,2000-04-26,28.3018
41,2000-04-27,28.7195
42,2000-04-28,28.9755
43,2000-05-01,28.8313
44,2000-05-02,28.8517
45,2000-05-03,28.9203
46,2000-05-04,28.9252
47,2000-05-05,28.8508
48,2000-05-08,28.7951
49,2000-05-09,28.9237
50,2000-05-10,29.185
51,2000-05-11,29.3925
52,2000-05-12,29.3235
53,2000-05-15,29.281
54,2000-05-16,29.0426
55,2000-05-17,28.9951
56,2000-05-18,29.0818
57,2000-05-19,29.292
58,2000-05-22,29.6758
59,2000-05-23,29.981
60,2000-05-24,30.0769
61,2000-05-25,30.3494
62,2000-05-26,30.6792
63,2000-05-30,30.6914
64,2000-05-31,30.703
65,2000-06-01,30.256
66,2000-06-02,29.6887
67,2000-06-05,28.8487
68,2000-06-06,27.7854
69,2000-06-07,26.6235
70,2000-06-08,25.296
71,2000-06-09,24.0348
72,2000-06-12,23.1539
73,2000-06-13,22.3578
74,2000-06-14,21.4102
75,2000-06-15,20.7784
