,date,ADXR
0,2000-03-27,27.587
1,2000-03-28,27.2752
2,2000-03-29,26.9264
3,2000-03-30,26.111
4,2000-03-31,25.5424
5,2000-04-03,25.5005
6,2000-04-04,25.6797
7,2000-04-05,25.5179
8,2000-04-06,25.1924
9,2000-04-07,24.9193
10,2000-04-10,24.7976
11,2000-04-11,24.8537
12,2000-04-12,25.0915
13,2000-04-13,25.0872
14,2000-04-14,25.2368
15,2000-04-17,25.1323
16,2000-04-18,24.72
17,2000-04-19,24.7267
18,2000-04-20,24.8534
19,2000-04-24,24.9736
20,2000-04-25,24.8985
21,2000-04-26,24.803
22,2000-04-27,24.5546
23,2000-04-28,24.2481
24,2000-05-01,24.273
25,2000-05-02,24.5442
26,2000-05-03,24.8266
27,2000-05-04,25.0846
28,2000-05-05,25.2025
29,2000-05-08,25.322
30,2000-05-09,25.6195
31,2000-05-10,26.132
32,2000-05-11,26.5986
33,2000-05-12,27.0821
34,2000-05-15,27.56
35,2000-05-16,27.5083
36,2000-05-17,27.5487
37,2000-05-18,27.6759
38,2000-05-19,28.238
39,2000-05-22,28.7689
40,2000-05-23,29.1414
41,2000-05-24,29.3982
42,2000-05-25,29.6625
43,2000-05-26,29.7553
44,2000-05-30,29.7715
45,2000-05-31,29.8117
46,2000-06-01,29.5906
47,2000-06-02,29.2697
48,2000-06-05,28.8219
49,2000-06-06,28.3545
50,2000-06-07,27.9042
51,2000-06-08,27.3442
52,2000-06-09,26.6792
53,2000-06-12,26.2175
54,2000-06-13,25.7002
55,2000-06-14,25.2027
56,2000-06-15,24.9301
57,2000-06-16,24.7685
58,2000-06-19,24.7614
59,2000-06-20,24.8355
60,2000-06-21,25.233
61,2000-06-22,25.7014
62,2000-06-23,25.9482
63,2000-06-26,26.0358
64,2000-06-27,26.119
65,2000-06-28,25.969
66,2000-06-29,25.5851
67,2000-06-30,25.1474
68,2000-07-03,24.6032
69,2000-07-05,23.8831
70,2000-07-06,23.2285
71,2000-07-07,22.6926
72,2000-07-10,22.2032
73,2000-07-11,21.6599
74,2000-07-12,20.9043
75,2000-07-13,20.3207
76,2000-07-14,19.7997
77,2000-07-17,19.2493
78,2000-07-18,18.8299
79,2000-07-19,19.0745
80,2000-07-20,19.3069
81,2000-07-21,19.4037
82,2000-07-24,19.6509
83,2000-07-25,20.0062
84,2000-07-26,20.4219
85,2000-07-27,20.5641
86,2000-07-28,20.5609
87,2000-07-31,20.5927
88,2000-08-01,20.5816
89,2000-08-02,20.6616
90,2000-08-03,20.8561
91,2000-08-04,20.9019
92,2000-08-07,20.6673
93,2000-08-08,19.8847
94,2000-08-09,19.1605
95,2000-08-10,18.5655
96,2000-08-11,17.9043
97,2000-08-14,17.1871
98,2000-08-15,16.7246
99,2000-08-16,16.3967
100,2000-08-17,16.1947
101,2000-08-18,16.2225
102,2000-08-21,16.3695
103,2000-08-22,16.3579
104,2000-08-23,16.2643
105,2000-08-24,16.0155
106,2000-08-25,15.7668
107,2000-08-28,15.6508
108,2000-08-29,15.4866
109,2000-08-30,15.4471
110,2000-08-31,15.3107
111,2000-09-01,15.0017
112,2000-09-05,14.3033
113,2000-09-06,13.6563
114,2000-09-07,13.2737
115,2000-09-08,12.8803
116,2000-09-11,12.3433
117,2000-09-12,11.9034
118,2000-09-13,11.6651
