,date,ATR
0,2000-02-01,5.088
1,2000-02-02,5.0056
2,2000-02-03,4.9588
3,2000-02-04,4.9299
4,2000-02-07,4.8144
5,2000-02-08,4.7517
6,2000-02-09,4.8176
7,2000-02-10,4.7797
8,2000-02-11,4.8847
9,2000-02-14,4.775
10,2000-02-15,4.6302
11,2000-02-16,4.5522
12,2000-02-17,4.4521
13,2000-02-18,4.489
14,2000-02-22,4.4801
15,2000-02-23,4.4406
16,2000-02-24,4.412
17,2000-02-25,4.4039
18,2000-02-28,4.3837
19,2000-02-29,4.3085
20,2000-03-01,4.3506
21,2000-03-02,4.3611
22,2000-03-03,4.418
23,2000-03-06,4.5596
24,2000-03-07,4.6756
25,2000-03-08,4.7014
26,2000-03-09,4.7163
27,2000-03-10,4.6305
28,2000-03-13,4.574
29,2000-03-14,4.5518
30,2000-03-15,4.4707
31,2000-03-16,4.4191
32,2000-03-17,4.4482
33,2000-03-20,4.3883
34,2000-03-21,4.4999
35,2000-03-22,4.4999
36,2000-03-23,4.7559
37,2000-03-24,4.7901
38,2000-03-27,4.9381
39,2000-03-28,4.9447
40,2000-03-29,4.9289
41,2000-03-30,4.9885
42,2000-03-31,4.9831
43,2000-04-03,5.5464
44,2000-04-04,5.6221
45,2000-04-05,5.4755
46,2000-04-06,5.3382
47,2000-04-07,5.2898
48,2000-04-10,5.1783
49,2000-04-11,5.0474
50,2000-04-12,5.051
51,2000-04-13,4.961
52,2000-04-14,5.0254
53,2000-04-17,4.9242
54,2000-04-18,4.9814
55,2000-04-19,4.9014
56,2000-04-20,4.7748
57,2000-04-24,5.2331
58,2000-04-25,5.1154
59,2000-04-26,5.0471
60,2000-04-27,4.9233
61,2000-04-28,4.8146
62,2000-05-01,4.7864
63,2000-05-02,4.7471
64,2000-05-03,4.6097
65,2000-05-04,4.4762
66,2000-05-05,4.3494
67,2000-05-08,4.2159
68,2000-05-09,4.1522
69,2000-05-10,4.0505
70,2000-05-11,3.9665
71,2000-05-12,3.8622
72,2000-05-15,3.7411
73,2000-05-16,3.632
74,2000-05-17,3.5629
75,2000-05-18,3.4943
76,2000-05-19,3.4041
77,2000-05-22,3.3744
78,2000-05-23,3.3306
79,2000-05-24,3.3421
80,2000-05-25,3.3965
81,2000-05-26,3.3392
82,2000-05-30,3.3062
83,2000-05-31,3.2229
84,2000-06-01,3.2338
85,2000-06-02,3.1816
86,2000-06-05,3.141
87,2000-06-06,3.1339
88,2000-06-07,3.1588
89,2000-06-08,3.1943
90,2000-06-09,3.1036
91,2000-06-12,3.0799
92,2000-06-13,3.0199
93,2000-06-14,3.0254
94,2000-06-15,2.9837
95,2000-06-16,2.9155
96,2000-06-19,2.8602
97,2000-06-20,2.7952
98,2000-06-21,3.0179
99,2000-06-22,3.0015
100,2000-06-23,3.0045
