,date,CMO
0,2000-02-01,-25.815
1,2000-02-02,-28.8391
2,2000-02-03,-21.9365
3,2000-02-04,-15.1426
4,2000-02-07,-15.0049
5,2000-02-08,-7.5182
6,2000-02-09,-17.6184
7,2000-02-10,-13.2354
8,2000-02-11,-22.4523
9,2000-02-14,-22.9075
10,2000-02-15,-24.4538
11,2000-02-16,-25.8423
12,2000-02-17,-20.8671
13,2000-02-18,-27.7248
14,2000-02-22,-29.4881
15,2000-02-23,-28.3281
16,2000-02-24,-26.9675
17,2000-02-25,-32.1752
18,2000-02-28,-31.4581
19,2000-02-29,-34.7237
20,2000-03-01,-30.4229
21,2000-03-02,-23.0706
22,2000-03-03,-15.6958
23,2000-03-06,-25.1398
24,2000-03-07,-19.3809
25,2000-03-08,-12.8456
26,2000-03-09,-3.0446
27,2000-03-10,-0.9656
28,2000-03-13,-6.8974
29,2000-03-14,-12.211
30,2000-03-15,-11.6288
31,2000-03-16,-11.6288
32,2000-03-17,-2.2267
33,2000-03-20,-6.377
34,2000-03-21,5.0371
35,2000-03-22,6.0236
36,2000-03-23,20.9293
37,2000-03-24,20.5091
38,2000-03-27,4.335
39,2000-03-28,4.7758
40,2000-03-29,9.8149
41,2000-03-30,2.2595
42,2000-03-31,7.3199
43,2000-04-03,-16.8733
44,2000-04-04,-19.734
45,2000-04-05,-22.3991
46,2000-04-06,-22.8546
47,2000-04-07,-16.8815
48,2000-04-10,-20.8527
49,2000-04-11,-23.6556
50,2000-04-12,-29.0872
51,2000-04-13,-29.2285
52,2000-04-14,-35.0536
53,2000-04-17,-31.1766
54,2000-04-18,-21.3492
55,2000-04-19,-23.7469
56,2000-04-20,-23.2183
57,2000-04-24,-37.1459
58,2000-04-25,-31.5396
59,2000-04-26,-32.9764
60,2000-04-27,-29.2054
61,2000-04-28,-29.2753
62,2000-05-01,-21.4998
63,2000-05-02,-26.0307
64,2000-05-03,-24.5679
65,2000-05-04,-24.7279
66,2000-05-05,-23.1701
67,2000-05-08,-25.0679
68,2000-05-09,-27.9288
69,2000-05-10,-30.201
70,2000-05-11,-25.8691
71,2000-05-12,-23.45
72,2000-05-15,-21.9799
73,2000-05-16,-21.626
74,2000-05-17,-24.8229
75,2000-05-18,-27.406
76,2000-05-19,-29.3316
77,2000-05-22,-30.8187
78,2000-05-23,-32.5365
79,2000-05-24,-24.8056
80,2000-05-25,-31.9621
81,2000-05-26,-32.0627
82,2000-05-30,-25.7362
83,2000-05-31,-27.286
84,2000-06-01,-20.8129
85,2000-06-02,-15.4072
86,2000-06-05,-13.6937
87,2000-06-06,-5.5895
88,2000-06-07,-3.1137
89,2000-06-08,-7.4982
90,2000-06-09,-7.4982
91,2000-06-12,-12.533
92,2000-06-13,-9.3049
93,2000-06-14,-1.2633
94,2000-06-15,4.0217
95,2000-06-16,4.5544
96,2000-06-19,7.7598
97,2000-06-20,11.2311
98,2000-06-21,24.9137
99,2000-06-22,22.0888
100,2000-06-23,14.822
101,2000-06-26,19.0338
