,date,DX
0,2000-02-01,36.7826
1,2000-02-02,34.5623
2,2000-02-03,35.1723
3,2000-02-04,23.0645
4,2000-02-07,23.0645
5,2000-02-08,13.7867
6,2000-02-09,19.0607
7,2000-02-10,21.7468
8,2000-02-11,27.956
9,2000-02-14,28.0627
10,2000-02-15,29.7772
11,2000-02-16,31.6026
12,2000-02-17,31.6026
13,2000-02-18,35.8002
14,2000-02-22,39.3555
15,2000-02-23,40.6158
16,2000-02-24,40.1253
17,2000-02-25,42.7526
18,2000-02-28,46.6616
19,2000-02-29,46.6616
20,2000-03-01,36.5071
21,2000-03-02,31.2737
22,2000-03-03,18.2274
23,2000-03-06,26.4691
24,2000-03-07,26.0057
25,2000-03-08,28.0135
26,2000-03-09,14.7311
27,2000-03-10,7.0587
28,2000-03-13,12.0136
29,2000-03-14,17.5215
30,2000-03-15,20.6626
31,2000-03-16,21.6293
32,2000-03-17,12.4208
33,2000-03-20,11.6293
34,2000-03-21,1.4906
35,2000-03-22,5.2309
36,2000-03-23,21.1681
37,2000-03-24,25.0652
38,2000-03-27,9.9666
39,2000-03-28,6.1965
40,2000-03-29,9.323
41,2000-03-30,3.0104
42,2000-03-31,3.0104
43,2000-04-03,23.4015
44,2000-04-04,30.1566
45,2000-04-05,30.1566
46,2000-04-06,30.9566
47,2000-04-07,27.448
48,2000-04-10,27.448
49,2000-04-11,31.1764
50,2000-04-12,37.5908
51,2000-04-13,37.5908
52,2000-04-14,44.5256
53,2000-04-17,44.8063
54,2000-04-18,28.5398
55,2000-04-19,28.5398
56,2000-04-20,29.4563
57,2000-04-24,44.5489
58,2000-04-25,40.7453
59,2000-04-26,36.6572
60,2000-04-27,36.6572
61,2000-04-28,33.8388
62,2000-05-01,26.0915
63,2000-05-02,29.239
64,2000-05-03,30.2244
65,2000-05-04,29.0183
66,2000-05-05,27.4371
67,2000-05-08,27.7367
68,2000-05-09,31.3667
69,2000-05-10,34.1491
70,2000-05-11,33.3362
71,2000-05-12,28.0127
72,2000-05-15,28.4738
73,2000-05-16,24.5117
74,2000-05-17,28.0923
75,2000-05-18,30.7292
76,2000-05-19,33.2858
77,2000-05-22,36.9679
78,2000-05-23,35.7808
79,2000-05-24,31.8991
80,2000-05-25,35.5272
81,2000-05-26,36.9454
82,2000-05-30,30.9229
83,2000-05-31,30.9229
84,2000-06-01,21.7639
85,2000-06-02,18.9086
86,2000-06-05,12.8897
87,2000-06-06,7.5821
88,2000-06-07,4.5467
89,2000-06-08,0.0736
90,2000-06-09,0.0736
91,2000-06-12,6.4157
92,2000-06-13,7.2317
93,2000-06-14,3.4071
94,2000-06-15,8.7741
95,2000-06-16,10.1118
96,2000-06-19,12.2843
97,2000-06-20,16.7068
98,2000-06-21,33.6718
99,2000-06-22,33.6718
100,2000-06-23,24.3321
101,2000-06-26,24.4764
102,2000-06-27,24.4764
103,2000-06-28,24.4764
104,2000-06-29,17.6725
105,2000-06-30,20.77
106,2000-07-03,20.9472
107,2000-07-05,15.8553
108,2000-07-06,21.5078
109,2000-07-07,24.9486
110,2000-07-10,19.3928
111,2000-07-11,15.4424
112,2000-07-12,9.6899
113,2000-07-13,9.6899
114,2000-07-14,9.6899
115,2000-07-17,5.2986
116,2000-07-18,5.0161
117,2000-07-19,13.7732
118,2000-07-20,13.7732
119,2000-07-21,18.1538
120,2000-07-24,24.2167
121,2000-07-25,29.0396
122,2000-07-26,32.1623
123,2000-07-27,28.8581
124,2000-07-28,20.2332
125,2000-07-31,21.4449
126,2000-08-01,24.8859
127,2000-08-02,22.8552
128,2000-08-03,24.1534
129,2000-08-04,24.1534
130,2000-08-07,16.9782
131,2000-08-08,0.3377
132,2000-08-09,1.1145
133,2000-08-10,4.8291
134,2000-08-11,5.3846
135,2000-08-14,2.1031
136,2000-08-15,2.1031
137,2000-08-16,6.5597
138,2000-08-17,6.5597
139,2000-08-18,9.2856
140,2000-08-21,9.2856
141,2000-08-22,0.1127
142,2000-08-23,0.1127
143,2000-08-24,2.3422
144,2000-08-25,0.64
145,2000-08-28,2.0051
146,2000-08-29,1.8816
147,2000-08-30,5.2373
148,2000-08-31,1.285
149,2000-09-01,1.285
150,2000-09-05,1.7306
151,2000-09-06,1.6091
152,2000-09-07,7.1798
153,2000-09-08,5.4281
154,2000-09-11,2.1785
155,2000-09-12,4.9882
156,2000-09-13,7.715
157,2000-09-14,16.5131
158,2000-09-15,27.9806
159,2000-09-18,32.5687
160,2000-09-19,24.1678
161,2000-09-20,25.0089
162,2000-09-21,24.0938
163,2000-09-22,34.8096
164,2000-09-25,36.8621
165,2000-09-26,20.0276
166,2000-09-27,22.6885
167,2000-09-28,22.6885
168,2000-09-29,30.7889
169,2000-10-02,32.2095
170,2000-10-03,38.3441
171,2000-10-04,44.3973
172,2000-10-05,39.4263
173,2000-10-06,40.9762
174,2000-10-09,46.0611
175,2000-10-10,46.0611
176,2000-10-11,35.8361
177,2000-10-12,36.4806
178,2000-10-13,41.9108
179,2000-10-16,48.9399
180,2000-10-17,48.9399
181,2000-10-18,53.3453
182,2000-10-19,5.8585
183,2000-10-20,7.4093
184,2000-10-23,5.8459
185,2000-10-24,4.0345
186,2000-10-25,5.7326
187,2000-10-26,11.098
188,2000-10-27,22.8775
189,2000-10-30,25.2259
190,2000-10-31,25.2259
191,2000-11-01,26.7148
192,2000-11-02,28.7937
193,2000-11-03,21.5357
194,2000-11-06,22.9997
195,2000-11-07,27.9522
196,2000-11-08,20.9342
197,2000-11-09,20.9342
198,2000-11-10,13.4424
199,2000-11-13,3.5044
200,2000-11-14,9.3882
201,2000-11-15,12.8948
202,2000-11-16,14.9539
203,2000-11-17,10.0009
204,2000-11-20,1.0001
205,2000-11-21,3.7751
206,2000-11-22,1.532
207,2000-11-24,2.0846
208,2000-11-27,8.6779
209,2000-11-28,5.4319
210,2000-11-29,16.1404
211,2000-11-30,30.6523
212,2000-12-01,32.5016
213,2000-12-04,34.2107
214,2000-12-05,28.314
215,2000-12-06,32.8483
216,2000-12-07,39.8192
217,2000-12-08,32.666
218,2000-12-11,22.5878
219,2000-12-12,18.462
220,2000-12-13,16.8068
221,2000-12-14,20.1651
222,2000-12-15,34.9202
223,2000-12-18,36.1414
224,2000-12-19,40.0861
